word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS
prose/xein,προσέχω,verb,ou)=n,οὖν,particle,dei=,δέομαι,verb,th=|,ὁ,article,periptw/sei,περίπτωσις,noun,th=|,ὁ,article,w(s,ὡς,conjunction,e)pi\,ἐπί,preposition,to\,ὁ,article,polu/,πολύς,adjective,kai\,καί,conjunction,met',μετά,preposition,w)feli/hs,ὠφέλεια,noun,kai\,καί,conjunction,h)remaio/thtos,ἠρεμαιότης,noun,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,e)paggeli/hs,ἐπαγγελία,noun,kai\,καί,conjunction,a)pologi/hs,ἀπολογία,noun,th=s,ὁ,article,met',μετά,preposition,a)prhci/hs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrh/simos,χρήσιμος,adjective,de\,δέ,particle,kai\,καί,conjunction,poiki/los,ποικίλος,adjective,tw=n,ὁ,article,prosferome/nwn,προσφέρω,verb,tw=|,ὁ,article,nose/onti,νοσέω,verb,kai\,καί,conjunction,o(,ὁ,article,proorismo/s,προορισμός,noun,o(/ti,ὅστις,pronoun,mo/non,μόνος,adjective,ti,τις,pronoun,prosenexqe\n,προσφέρω,verb,w)felh/sei,ὠφελέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,i)sxuri/sios,,,dei=,δέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/nta,πᾶς,adjective,ga\r,γάρ,particle,ta\,ὁ,article,pa/qh,πάθη,noun,dia\,διά,preposition,polla\s,πολύς,adjective,perista/sias,περίστασις,noun,kai\,καί,conjunction,metabola\s,μεταβολή,noun,monh=|,μονάζω,verb,tini,τις,pronoun,proskaqi/zei,προσκαθίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*paraine/sios,παραίω,verb,d',δέ,particle,a)\n,ἄν,particle,kai\,καί,conjunction,tou=to,οὗτος,pronoun,e)pidehqei/h,ἐπιδέω,verb,th=s,ὁ,article,qewri/hs,θεωρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sumba/llei,συμβάλλω,verb,ga/r,γάρ,particle,ti,τις,pronoun,tw=|,ὁ,article,su/mpanti,σύμπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,ga\r,γάρ,particle,a)/rcaio,ἄρχω,verb,peri\,περί,preposition,misqari/wn,μισθάριον,adjective,tw=|,ὁ,article,me\n,μέν,particle,a)lge/onti,ἀλγέω,verb,toiau/thn,τοιοῦτος,adjective,diano/hsin,διανόησις,noun,e)mpoih/seis,ἐμποιέω,verb,th\n,ὁ,article,o(/ti,ὅστις,pronoun,a)polipw\n,ἀπολείπω,verb,au)to\n,αὐτός,pronoun,poreu/sei,πορεύω,verb,mh\,μή,conjunction,sunqe/menos,συντίθημι,verb,h)\,ἠέ,conjunction,o(/ti,ὅστις,pronoun,a)melh/seis,ἀμελέω,verb,kai\,καί,conjunction,ou)x,οὐ,adverb,u(poqh/sei,ὑποθέω,verb,tina\,τις,pronoun,tw=|,ὁ,article,pareo/nti,πάρειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pimelei=sqai,ἐπιμελέομαι,verb,ou)=n,οὖν,particle,ou),οὐ,adverb,dei=,δέομαι,verb,peri\,περί,preposition,sta/sios,στάσις,adjective,misqou=,μισθός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/xrhston,ἄχρηστος,adjective,ga\r,γάρ,particle,h(geu/meqa,ἁγέομαι,verb,e)nqu/mhsin,ἐνθύμησις,noun,o)xleome/nw|,ὀχλέω,verb,th\n,ὁ,article,toiau/thn,τοιοῦτος,adjective,polu\,πολύς,adjective,de\,δέ,particle,ma=llon,μᾶλλον,adverb,e)n,ἐν,preposition,o)cei=,ὀξύς,adjective,nosh/mati,νόσημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nou/sou,νόσος,noun,ga\r,γάρ,particle,taxuth\s,ταχυτής,adjective,kairo\n,καιρός,noun,mh\,μή,conjunction,didou=sa,δίδωμι,verb,e)s,εἰς,preposition,a)nastrofh\n,ἀναστροφή,noun,ou)k,οὐ,adverb,e)potru/nei,ἐποτρύνω,verb,to\n,ὁ,article,kalw=s,καλός,noun,i)htreu/onta,,,zhtei=n,ζητέω,verb,to\,ὁ,article,lusitele/s,λυσιτελής,adverb,e)/xesqai,ἔχω,verb,de\,δέ,particle,do/chs,δόξα,noun,ma=llon,μᾶλλον,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kre/sson,κρείσσων,verb,ou)=n,οὖν,particle,sw|zome/nois,σώζω,verb,o)neidi/zein,ὀνειδίζω,verb,h)\,ἠέ,conjunction,o)leqri/ws,ὀλέθριος,adjective,e)/xontas,ἔχω,verb,pro,,,mu/ssein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,toi,τοι,particle,e)/nioi,ἔνιοι,adjective,nose/ontes,νοσέω,verb,a)ciou=si,ἀξιόω,verb,to\,ὁ,article,cenoprepe\s,ξενοπρεπής,adverb,kai\,καί,conjunction,to\,ὁ,article,a)/dhlon,ἄδηλος,adjective,prokri/nontes,προκρίνω,verb,a)/cioi,ἄξιος,adjective,me\n,μέν,particle,a)melei/hs,ἀμέλεια,noun,ou),οὐ,adverb,me/ntoi,μέντοι,particle,ge,γε,particle,kola/sios,κόλασις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio\,διό,conjunction,tou/tois,οὗτος,pronoun,a)ntita/cei,ἀντιτάσσω,verb,ei)ko/tws,ἐοικότως,adverb,metabolh=s,μεταβολεύς,noun,e)pi\,ἐπί,preposition,sa/lou,σάλος,adjective,poreuo,,,me/nois,μένω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,ga/r,γάρ,particle,w)=,ὦ,interjection,pro\s,πρός,preposition,*dio/s,Ζεύς,proper,h)delfisme/nos,ἀδελφίζω,verb,i)htro\s,ἰατρός,noun,i)htreu/ei,,,tosau/th|,τοσοῦτος,adjective,a)teramni/h|,ἀτεραμνία,noun,w(/ste,ὥστε,conjunction,e)n,ἐν,preposition,a)rxh=|,ἀρχή,noun,a)nakri/nonta,ἀνακρίνω,verb,pa=n,πᾶς,adjective,pa/qos,πάθος,adjective,mh\,μή,conjunction,ou)x,οὐ,adverb,u(poqe/sqai,ὑποτίθημι,verb,tina\,τις,pronoun,sumfe/ronta,συμφέρω,verb,e)s,εἰς,preposition,qerapei/hn,θεραπεία,noun,a)poqerapeu=sai/,ἀποθεραπεύω,verb,te,τε,particle,to\n,ὁ,article,nose/onta,νοσέω,verb,kai\,καί,conjunction,mh\,μή,conjunction,paridei=n,παρεῖδον,verb,th\n,ὁ,article,e)pikarpi/hn,,,a)/neu,ἄνευ,preposition,th=s,ὁ,article,e)piskeuazou/shs,ἐπισκευάζω,verb,e)s,εἰς,preposition,ma/qhsin,μάθησις,noun,e)piqumi/hs,ἐπιθυμιάω,verb,,,,,,,,,,,,,
parakeleu/omai,παρακελεύομαι,verb,de\,δέ,particle,mh\,μή,conjunction,li/hn,λίαν,adverb,a)panqrwpi/hn,,,e)sa/gein,εἰσάγω,verb,a)ll',ἀλλά,adverb,a)poble/pein,ἀποβλέπω,verb,e)/s,εἰς,preposition,te,τε,particle,periousi/hn,περιουσία,noun,kai\,καί,conjunction,ou)si/hn,οὐσία,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(te\,ὅτε,conjunction,de\,δέ,particle,proi=ka,προίξ,adjective,a)nafe/rwn,ἀναφέρω,verb,mnh/mhn,μνήμη,noun,eu)xaristi/hs,εὐχαριστία,noun,prote/rhn,πρότερος,adjective,h)\,ἠέ,conjunction,pareou=san,πάρειμι,verb,eu)doki/hn,εὐδοκία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
