word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS
pepe/raken,περάω,verb,me\n,μέν,particle,o(,ὁ,article,perse/ptolis,περσέπολις,noun,h)/dh,ἤδη,adverb,basi/leios,βασίλειος,adjective,strato\s,στρατός,noun,ei)s,εἰς,preposition,a)nti/poron,ἀντίπορος,adjective,gei/tona,γείτων,noun,xw/ran,χώρα,noun,linode/smw|,λινόδεσμος,adjective,sxedi/a|,σχέδιος,adjective,porqmo\n,πορθμός,noun,a)mei/yas,ἀμείβω,verb,*)aqamanti/dos,,,*(/ellas,Ἕλλη,proper,polu/gomfon,πολύγομφος,adjective,o(/disma,ὅδισμα,noun,zugo\n,ζυγόν,noun,a)mfibalw\n,ἀμφιβάλλω,verb,au)xe/ni,αὐχήν,noun,po/ntou,πόντος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polua/ndrou,πολύανδρος,adjective,d',δέ,particle,*)asi/as,Ἄσιος,proper,qou/rios,θούριος,adjective,a)/rxwn,ἄρχων,noun,e)pi\,ἐπί,preposition,pa=san,πᾶς,adjective,xqo/na,χθών,noun,poimano/rion,ποιμανόριον,noun,qei=on,θεῖος,adjective,e)lau/nei,ἐλαύνω,verb,dixo/qen,διχόθεν,adverb,pezono/mon,πεζονόμος,adjective,t',τε,particle,e)/k,ἐκ,preposition,te,τε,particle,qala/ssas,θάλασσα,noun,e)xuroi=si,ἐχυρός,adjective,pepoiqw\s,πείθω,verb,stufeloi=s,στυφελός,adjective,e)fe/tais,ἐφέται,noun,xrusogo/nou,χρυσόγονον,noun,genea=s,γενεά,noun,i)so/qeos,ἰσόθεος,adjective,fw/s,φώς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kua/neon,κυάνεος,adjective,d',δέ,particle,o)/mmasi,ὄμμα,noun,leu/sswn,λεύσσω,verb,foni/ou,φόνιος,adverb,de/rgma,δέργμα,noun,dra/kontos,δράκων,noun,polu/xeir,πολύχειρ,noun,kai\,καί,conjunction,polunau/tas,πολυναύτης,noun,*su/rio/n,Σύριος,proper,q',τε,particle,a(/rma,ἅρμα,noun,diw/kwn,διώκω,verb,e)pa/gei,ἐπάγω,verb,douriklu/tois,δουρίκλυτος,adjective,a)ndra/si,ἀνήρ,noun,toco/damnon,τοξόδαμνος,adjective,*)/arh,Ἄρης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do/kimos,δόκιμος,adjective,d',δέ,particle,ou)/tis,οὔτις,pronoun,u(posta\s,ὑφίστημι,verb,mega/lw|,μέγας,adverb,r(eu/mati,ῥεῦμα,noun,fwtw=n,φώς,adjective,e)xuroi=s,ἐχυρός,adjective,e(/rkesin,ἕρκος,noun,ei)/rgein,ἔργω,verb,a)/maxon,ἄμαχος,adjective,ku=ma,κῦμα,noun,qala/ssas,θάλασσα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)pro/soistos,ἀπρόσοιστος,adjective,ga\r,γάρ,particle,o(,ὁ,article,*persa=n,Πέρσης,proper,strato\s,στρατός,noun,a)lki/frwn,ἀλκίφρων,adjective,te,τε,particle,lao/s,λαός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qeo/qen,θεόθεν,adverb,ga\r,γάρ,particle,kata\,κατά,preposition,*moi=r',Μοῖρα,proper,e)kra/thsen,κρατέω,verb,to\,ὁ,article,palaio/n,παλαιός,adjective,e)pe/skhye,ἐπισκήπτω,verb,de\,δέ,particle,*pe/rsais,Πέρσης,proper,pole/mous,πόλεμος,noun,purgodai/+ktous,πυργοδάικτος,adjective,die/pein,διέπω,verb,i(ppioxa/rmas,ἱππιοχάρμης,noun,te,τε,particle,klo/nous,κλόνος,noun,po/lew/n,πόλις,adjective,t',τε,particle,a)nasta/seis,ἀνάστασις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/maqon,μανθάνω,verb,d',δέ,particle,eu)rupo/roio,εὐρύπορος,adjective,qala/ssas,θάλασσα,noun,poliainome/nas,πολιαίνομαι,verb,pneu/mati,πνεῦμα,noun,la/brw|,λάβρος,adjective,e)sora=n,εἰσοράω,verb,po/ntion,πόντιος,adjective,a)/lsos,ἄλσος,noun,pi/sunoi,πίσυνος,adjective,leptodo/mois,λεπτόδομος,adjective,pei/smasi,πεῖσμα,noun,laopo/rois,λαοπόρος,adjective,te,τε,particle,maxanai=s,μηχανή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolo/mhtin,δολομήτης,noun,d',δέ,particle,a)pa/tan,ἀπάτη,noun,qeou=,θεός,noun,ti/s,τίς,pronoun,a)nh\r,ἀνήρ,noun,qnato\s,θνητός,adjective,a)lu/cei,ἄλυξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,o(,ὁ,article,kraipnw=|,κραιπνός,adjective,podi\,ποδίς,noun,ph/dhma,πήδημα,noun,to/d',ὅδε,pronoun,eu)petw=s,εὐπετής,adverb,a)na/|sswn,ἀνᾴσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filo/frwn,φιλόφρων,adjective,ga\r,γάρ,particle,parasai/nei,,,broto\n,βροτός,noun,ei)s,εἰς,preposition,a)/rkuas,ἄρκυς,adjective,*)/ata,Ἄτη,proper,to/qen,τόθεν,adverb,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,u(/perqe/n,ὕπερθεν,preposition,nin,νιν,pronoun,a)/naton,ἄνατος,adjective,e)calu/cai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta/,οὗτος,pronoun,moi,ἐγώ,pronoun,melagxi/twn,μελαγχίτων,adjective,frh\n,φρήν,noun,a)mu/ssetai,ἀμύσσω,verb,fo/bw|,φόβος,noun,o)a=,ὀᾶ,interjection,*persikou=,Περσικός,adjective,strateu/matos,στράτευμα,adjective,tou=de,ὅδε,pronoun,mh\,μή,conjunction,po/lis,πόλις,adjective,pu/qhtai,πύθω,verb,ke/nandron,κένανδρος,adjective,me/g',μέγας,adverb,a)/stu,ἄστυ,noun,*sousi/dos,Σουσίς,proper,kai\,καί,conjunction,to\,ὁ,article,*kissi/wn,Κίσσιος,proper,po/lism',πόλισμα,noun,a)nti/doupon,ἀντίδουπος,adjective,a)/|setai,ἀείδω,verb,o)a=,ὀᾶ,interjection,tou=t',οὗτος,pronoun,e)/pos,ἔπος,adjective,gunaikoplhqh\s,γυναικοπληθής,adjective,o(/milos,ὅμιλος,noun,a)pu/wn,ἄπυος,adjective,bussi/nois,βύσσινος,adjective,d',δέ,particle,e)n,ἐν,preposition,pe/plois,πέπλος,noun,pe/sh|,πίπτω,verb,laki/s,λακίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa=s,πᾶς,adjective,ga\r,γάρ,particle,i(pphla/tas,ἱππηλάτης,noun,kai\,καί,conjunction,pedostibh\s,πεδοστιβής,adjective,lew\s,λαός,noun,smh=nos,σμῆνος,noun,w(\s,ὅς,pronoun,e)kle/loipen,ἐκλείπω,verb,melissa=n,μέλισσα,noun,su\n,σύν,preposition,o)rxa/mw|,ὄρχαμος,noun,stratou=,στρατός,noun,to\n,ὁ,article,a)mfi/zeukton,ἀμφίζευκτος,adjective,e)camei/yas,ἐξαμείβω,verb,a)mfote/ras,ἀμφότερος,adjective,a(/lion,ἅλιος,adjective,prw=na,πρών,noun,koino\n,κοινός,adjective,ai)/as,αἶα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/ktra,λέκτρον,noun,d',δέ,particle,a)ndrw=n,ἀνήρ,noun,po/qw|,πόθος,noun,pi/mplatai,πίμπλημι,verb,dakru/masin,δάκρυμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
