word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/17/lemma/@_entry,word/17/lemma/@_POS,word/25/lemma/@_entry,word/25/lemma/@_POS,word/47/lemma/@_entry,word/47/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS
pa=n,πᾶς,adjective,e)/rgon,ἔργον,noun,shpo/menon,σήπω,verb,e)klei/pei,ἐκλείπω,verb,kai\,καί,conjunction,o(,ὁ,article,e)rgazo/menos,ἐργάζομαι,verb,au)to\,αὐτός,pronoun,met',μετά,preposition,au)tou=,αὐτός,pronoun,a)peleu/setai,ἀπέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*maka/rios,Μακάριος,proper,a)nh/r,ἀνήρ,noun,o(\s,ὅς,pronoun,e)n,ἐν,preposition,sofi/a|,σοφία,noun,meleth/sei,μελετάω,verb,kai\,καί,conjunction,o(\s,ὅς,pronoun,e)n,ἐν,preposition,sune/sei,σύνεσις,noun,au)tou=,αὐτός,pronoun,dialexqh/setai,διαλέγω,verb,o(,ὁ,article,dianoou/menos,διανοέομαι,verb,ta\s,ὁ,article,o(dou\s,ὁδός,adjective,au)th=s,αὐτός,pronoun,e)n,kardi/a|,καρδία,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,e)n,ἐν,preposition,toi=s,ὁ,article,a)pokru/fois,ἀπόκρυφος,adjective,au)th=s,αὐτός,pronoun,e)nnohqh/setai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐν,preposition,ἐννοέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/celqe,ἐξέρχομαι,verb,o)pi/sw,ὀπίσω,adverb,au)th=s,αὐτός,pronoun,w(s,ὡς,conjunction,i)xneuth\s,ἰχνευτής,noun,kai\,καί,conjunction,e)n,ἐν,preposition,tai=s,ὁ,article,o(doi=s,ὁδός,adjective,au)th=s,αὐτός,pronoun,e)ne/dreue,ἐνεδρεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,paraku/ptwn,παρακύπτω,verb,dia\,διά,preposition,tw=n,ὁ,article,quri/dwn,θυρίς,noun,au)th=s,αὐτός,pronoun,kai\,καί,conjunction,e)pi\,ἐπί,preposition,tw=n,ὁ,article,qurwma/twn,θυρώματα,noun,au)th=s,αὐτός,pronoun,a)kroa/setai,ἀκροάομαι,verb,o(,ὁ,article,katalu/wn,καταλύω,verb,su/neggus,σύνεγγυς,adverb,tou=,ὁ,article,oi)/kou,οἶκος,noun,au)th=s,kai\,καί,conjunction,ph/cei,πήγνυμι,verb,pa/ssalon,πάσσαλος,noun,e)n,ἐν,preposition,toi=s,ὁ,article,toi/xois,τοῖχος,noun,au)th=s,αὐτός,pronoun,sth/sei,th\n,ὁ,article,skhnh\n,σκηνή,noun,au)tou=,αὐτός,pronoun,kata\,κατά,preposition,xei=ras,χείρ,noun,au)th=s,αὐτός,pronoun,kai\,καί,conjunction,katalu/sei,καταλύω,verb,e)n,ἐν,preposition,katalu/mati,κατάλυμα,noun,a)gaqw=n,ἀγαθός,adjective,qh/sei,τίθημι,verb,ta\,ὁ,article,te/kna,τέκνον,noun,au)tou=,αὐτός,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,ske/ph|,σκέπη,noun,au)th=s,αὐτός,pronoun,kai\,καί,conjunction,u(po\,ὑπό,preposition,tou\s,kla/dous,κλάδος,adjective,au)th=s,αὐτός,pronoun,au)lisqh/setai,αὐλίζομαι,verb,skepasqh/setai,σκεπάζω,verb,u(p',ὑπό,preposition,au)th=s,αὐτός,pronoun,a)po\,ἀπό,preposition,kau/matos,καῦμα,noun,kai\,καί,conjunction,e)n,ἐν,preposition,th=|,ὁ,article,do/ch|,δόξα,noun,au)th=s,αὐτός,pronoun,katalu/sei,καταλύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,ἵστημι,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(o,ὁ,article,fobou/menos,φοβέω,verb,ku/rion,κύριος,adjective,poih/sei,ποιέω,verb,au)to/,αὐτός,pronoun,kai\,καί,conjunction,o(,ὁ,article,e)gkrath\s,ἐγκρατής,adjective,tou=,ὁ,article,no/mou,νόμος,noun,katalh/myetai,,,au)th/n,αὐτός,pronoun,kai\,καί,conjunction,u(panth/setai,ὑπαντάω,verb,au)tw=|,αὐτός,pronoun,w(s,ὡς,conjunction,mh/thr,μήτηρ,noun,kai\,w(s,ὡς,conjunction,gunh\,γυνή,noun,parqeni/as,παρθενία,noun,prosde/cetai,προσδέχομαι,verb,au)to/n,αὐτός,pronoun,ywmiei=,ψωμίζω,verb,au)to\n,αὐτός,pronoun,a)/rton,sune/sews,σύνεσις,noun,kai\,καί,conjunction,u(/dwr,ὕδωρ,noun,sofi/as,σοφία,noun,poti/sei,ποτίζω,verb,au)to/n,αὐτός,pronoun,sthrixqh/setai,στηρίζω,verb,e)p',ἐπί,preposition,au)th\n,αὐτός,pronoun,kai\,καί,conjunction,ou),οὐ,adverb,mh\,μή,conjunction,kliqh=|,κλίνω,verb,kai\,καί,conjunction,e)p',ἐπί,preposition,au)th=s,αὐτός,pronoun,e)fe/cei,ἐπέχω,verb,kai\,καί,conjunction,ou),οὐ,adverb,mh\,μή,conjunction,kataisxunqh=|,καταισχύνω,verb,kai\,u(yw/sei,ὑψόω,verb,au)to\n,αὐτός,pronoun,para\,παρά,preposition,tou\s,ὁ,article,plhsi/on,πλησίος,adjective,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,e)n,ἐν,preposition,me/sw|,μέσος,adjective,e)kklhsi/as,ἐκκλησία,noun,a)noi/cei,ἀνοίγνυμι,verb,to\,ὁ,article,sto/ma,στόμα,noun,au)tou=,αὐτός,pronoun,eu)frosu/nhn,εὐφροσύνη,noun,kai\,καί,conjunction,ste/fanon,στέφανος,noun,a)gallia/matos,ἀγαλλίαμα,noun,eu(rh/sei,εὑρίσκω,verb,kai\,καί,conjunction,o)/noma,ὄνομα,adjective,ai)w=nos,αἰών,noun,kataklhronomh/sei,κατακληρονομέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,ἄρτος,noun,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\,μή,conjunction,katalh/myontai,,,au)th\n,αὐτός,pronoun,a)/nqrwpoi,ἄνθρωπος,noun,a)su/netoi,ἀσύνετος,adjective,kai\,καί,conjunction,a)/ndres,ἀνήρ,noun,a(martwloi\,ἁμαρτωλός,adjective,ou),οὐ,adverb,mh\,μή,conjunction,i)/dwsin,εἶδον,verb,au)th/n,αὐτός,pronoun,makra/n,μακράν,adverb,e)stin,εἰμί,verb,u(perhfani/as,ὑπερηφανία,noun,kai\,καί,conjunction,a)/ndres,yeu=stai,ψεύστης,noun,ou),οὐ,adverb,mh\,μή,conjunction,mnhsqh/sontai,μιμνήσκω,verb,au)th=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ou)x,οὐ,adverb,w(rai=os,ὡραῖος,adjective,ai)=nos,αἶνος,noun,e)n,ἐν,preposition,sto/mati,στόμα,noun,a(martwlou=,ἁμαρτωλός,adjective,o(/ti,ὅστις,pronoun,ou),οὐ,adverb,para\,παρά,preposition,kuri/ou,κύριος,adjective,a)pesta/lh,ἀποστέλλω,verb,e)n,ἐν,preposition,ga\r,γάρ,particle,sofi/a|,σοφία,noun,r(hqh/setai,ἐρῶ,verb,ai)=nos,αἶνος,noun,kai\,καί,conjunction,o(,ku/rios,κῦρος,noun,eu)odw/sei,εὐοδόω,verb,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,ei)/ph|s,εἶπον,verb,o(/ti,ὅστις,pronoun,*dia\,Ζεύς,proper,ku/rion,κύριος,adjective,a)pe/sthn,ἀφίστημι,verb,a(\,ὅς,pronoun,ga\r,γάρ,particle,e)mi/shsen,μισέω,verb,ou),οὐ,adverb,poih/sei,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,ei)/ph|s,εἶπον,verb,o(/ti,ὅστις,pronoun,*au)to/s,αὐτός,pronoun,me,ἐγώ,pronoun,e)pla/nhsen,πλανάω,verb,ou),οὐ,adverb,ga\r,γάρ,particle,xrei/an,χρεία,noun,e)/xei,ἔχω,verb,a)ndro\s,ἀνήρ,noun,a(martwlou=,ἁμαρτωλός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa=n,πᾶς,adjective,bde/lugma,βδέλυγμα,noun,e)mi/shsen,μισέω,verb,o(,ὁ,article,ku/rios,κῦρος,noun,kai\,καί,conjunction,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,a)gaphto\n,ἀγαπητός,adjective,toi=s,ὁ,article,foboume/nois,φοβέω,verb,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to\s,αὐτός,pronoun,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,e)poi/hsen,ποιέω,verb,a)/nqrwpon,ἄνθρωπος,noun,kai\,καί,conjunction,a)fh=ken,ἀφήκω,verb,au)to\n,αὐτός,pronoun,e)n,ἐν,preposition,xeiri\,χείρ,noun,diabouli/ou,διαβούλιον,noun,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,qe/lh|s,ἐθέλω,verb,sunthrh/seis,συντήρησις,noun,e)ntola\s,ἐντολή,noun,kai\,καί,conjunction,pi/stin,πίστις,noun,poih=sai,ποιέω,verb,eu)doki/as,εὐδοκία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pare/qhke/n,παρατίθημι,verb,soi,σύ,pronoun,pu=r,πῦρ,noun,kai\,καί,conjunction,u(/dwr,ὕδωρ,noun,ou(=,ἕ,pronoun,e)a\n,ἐάν,conjunction,qe/lh|s,ἐθέλω,verb,e)ktenei=s,ἐκτείνω,verb,th\n,ὁ,article,xei=ra/,χείρ,noun,sou,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
