word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/16/lemma/@_entry,word/16/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/27/lemma/@_entry,word/27/lemma/@_POS,word/31/lemma/@_entry,word/31/lemma/@_POS
to\,ὁ,article,de\,δέ,particle,pollo\n,πολύς,adjective,u(/dwr,ὕδωρ,noun,u(po\,ὑπό,preposition,possi\n,πούς,noun,e)/keito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κεῖμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,r(',ἄρα,particle,u(p',ὑπό,preposition,a)mhxani/hs,ἀμηχανία,noun,sxome/nh,ἔχω,verb,fa/to,φημί,verb,po/tnia,*(rei/h,,,'*gai=a,γαῖα,noun,fi/lh,φίλος,adjective,te/ke,τίκτω,verb,kai\,καί,conjunction,su/,σύ,pronoun,,,,,,,,,,,,,,,,,,πότνια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teai\,τεός,adjective,d',δέ,particle,w)di=nes,ὠδίς,adjective,e)lafrai/',ἐλαφρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=pe,εἶπον,verb,kai\,καί,conjunction,a)ntanu/sasa,ἀνατανύω,verb,qeh\,θεά,noun,me/gan,μέγας,adverb,u(yo/qi,ὑψόθι,adverb,ph=xun,plh=cen,πλήσσω,verb,o)/ros,ὄρος,adjective,skh/ptrwi,σκῆπτρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,πῆχυς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de/,δέ,particle,oi(,ἕ,pronoun,di/xa,δίχα,adverb,poulu\,πολύς,adjective,die/sth,διίστημι,verb,e)k,d',δέ,particle,e)/xeen,ἔχω,verb,me/ga,μέγας,adverb,xeu=ma,χεῦμα,noun,,,,,,,,,,,,,,,,,,,,,,,,ἐκ,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to/qi,τόθι,adverb,xro/a,χρώς,noun,faidru/nasa,φαιδρύνω,verb,w)=na,ἄναξ,noun,teo\n,τεός,adjective,spei/rwse,σπειρόω,verb,*ne/dhi,de/,δέ,particle,se,σύ,pronoun,dw=ke,δίδωμι,verb,komi/zein,κομίζω,verb,keuqmo\n,κευθμός,noun,e)/sw,ἔσω,adjective,*krhtai=on,Κρηταῖος,proper,i(/na,ἵνα,conjunction,kru/fa,κρύφα,adverb,paideu/oio,presbuta/thi,,,*numfe/wn,Νύμφης,proper,ai(/,,,παιδεύω,verb,ὅς,pronoun,min,μιν,pronoun,to/te,τότε,adverb,maiw/santo,μαιόομαι,verb,prwti/sth,πρώτιστος,adjective,geneh\,γενεά,noun,meta/,μετά,preposition,ge,γε,particle,*stu/ga,te,τε,particle,*filu/rhn,Φιλύρη,proper,te,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Στύξ,proper,,
ou)d',οὐδέ,particle,a(li/hn,ἁλίη,noun,a)pe/teise,ἀποτίνω,verb,qeh\,θεά,noun,xa/rin,χάρις,noun,a)lla\,ἀλλά,adverb,to\,xeu=ma,χεῦμα,noun,kei=no,ἐκεῖνος,pronoun,*ne/dhn,Νέδη,proper,o)no/mhne,ὀνομαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,me/n,μέν,particle,poqi,ποθι,adverb,poulu\,πολύς,adjective,kat',κατά,preposition,au)to/,αὐτός,pronoun,*kaukw/nwn,ptoli/eqron,πτολίεθρον,adjective,d,,,*le/preion,,,pefa/tistai,φατίζω,verb,sumfe/retai,συμφέρω,verb,*nhrh=i,Νηρεύς,proper,palaio/taton,παλαιός,adjective,de/,δέ,particle,min,μιν,pronoun,u(/dwr,ui(wnoi\,υἱωνός,noun,pi/nousi,πίνω,verb,*lukaoni/hs,Καύκων,proper,ὕδωρ,noun,Λυκαονία,proper,a)/rktoio,ἄρκτος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)=te,εὖτε,conjunction,*qena\s,,,a)pe/leipen,ἀπολείπω,verb,e)pi\,ἐπί,preposition,*knwsoi=o,Κνωσσός,proper,fe/rousa,φέρω,verb,*zeu=,pa/ter,πατήρ,noun,h(,ὁ,article,*nu/mfh,Νύμφης,proper,se,σύ,pronoun,*qenai\,,,d',δέ,particle,e)/san,εἰμί,verb,e)ggu/qi,ἐγγύθι,adverb,*knwsou=),,,touta/ki,toi,τοι,particle,pe/se,πίπτω,verb,dai=mon,Ζεύς,proper,τουτάκις,adverb,δαίμων,adjective,a)/p',ἀπό,preposition,o)mfalo/s,ὀμφαλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nqen,ἔνθεν,adverb,e)kei=no,ἐκεῖνος,pronoun,o)mfa/lion,ὀμφάλιον,noun,mete/peita,μετέπειμι,verb,pe/don,πέδον,noun,kale/ousi,καλέω,verb,*ku/dwnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Κύδων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*zeu=,Ζεύς,proper,se\,σύ,pronoun,de\,δέ,particle,*kurba/ntwn,Κύρβας,proper,e(ta/rai,ἑταίρα,noun,prosephxu/nanto,προσπηχύνομαι,verb,*diktai=ai,*meli/ai,Μελίη,proper,de\,δέ,particle,d',δέ,particle,e)koi/misen,κοιμίζω,verb,*)adrh/steia,Ἀδράστεια,proper,li/knwi,,,e)ni\,ἐν,preposition,xruse/wi,χρύσεος,adjective,su\,σύ,pronoun,d',e)qh/sao,,,pi/ona,πίων,adjective,mazo/n,,,δέ,particle,μαστός,noun,ai)go\s,αἴξ,adjective,*)amalqei/hs,Ἀμαλθεία,proper,e)pi\,ἐπί,preposition,de\,δέ,particle,gluku\,γλυκύς,adjective,khri/on,κηρίον,noun,e)/brws,βιβρώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ge/nto,γέντο,verb,ga\r,γάρ,particle,e)capinai=a,ἐξαπίναιος,adjective,*panakri/dos,,,e)/rga,ἔργον,noun,meli/sshs,μέλισσα,noun,*)idai/ois,e)n,ἐν,preposition,o)/ressi,ὄρος,adjective,ta/,τίς,pronoun,te,τε,particle,klei/ousi,κλέω,verb,*pa/nakra,,,,,,,,,,,,,,,,,,,,Ἰδαῖος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)=la,οὖλον,noun,de\,δέ,particle,*kou/rhte/s,κούρητες,noun,se,σύ,pronoun,peri\,περί,preposition,pru/lin,πρύλις,adjective,w)rxh/santo,teu/xea,τεῦχος,noun,peplh/gontes,,,i(/na,ἵνα,conjunction,*kro/nos,Κρόνος,proper,ou)/asin,οὖς,noun,h)xh/n,ἠχή,noun,a)spi/dos,ἀσπίς,noun,ei)sai/+oi,εἰσαίω,verb,kai\,καί,conjunction,mh/,seo,σύ,pronoun,kouri/zontos,κουρίζω,verb,,ὀρχέομαι,verb,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kala\,καλός,noun,me\n,μέν,particle,h)e/ceu,ἀέξω,verb,kala\,καλός,noun,d',δέ,particle,e)/trafes,τρέφω,verb,ou)ra/nie,*zeu=,Ζεύς,proper,o)cu\,ὀξύς,adjective,d',δέ,particle,a)nh/bhsas,ἀνηβάω,verb,taxinoi\,ταχινός,adjective,de/,δέ,particle,toi,σύ,pronoun,h)=lqon,ἔρχομαι,verb,i)/ouloi,ἴουλος,adjective,,,,,,,,,οὐράνιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)/ti,ἔτι,adverb,paidno\s,παιδνός,adjective,e)w\n,εἰμί,verb,e)fra/ssao,φράζω,verb,pa/nta,πᾶς,adjective,te/leia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τέλειος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=i,τίς,pronoun,toi,τοι,particle,kai\,καί,conjunction,gnwtoi\,γνωτός,adjective,proterhgene/es,προτερηγενής,adjective,per,πέρ,particle,e)o/ntes,ou)rano\n,οὐρανός,noun,ou)k,οὐ,adverb,e)me/ghran,μεγαίρω,verb,e)/xein,ἔχω,verb,e)pidai/sion,ἐπιδαίσιος,adjective,oi)=kon,οἶκος,noun,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhnaioi\,δηναιός,adjective,d',δέ,particle,ou),οὐ,adverb,pa/mpan,πάμπαν,adverb,a)lhqe/es,ἀληθής,adjective,h)=san,εἰμί,verb,a)oidoi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀοιδός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa/nto,φημί,verb,pa/lon,πάλος,adjective,*kroni/dhisi,,,dia/trixa,διάτριχα,adverb,dw/mata,δῶμα,noun,nei=mai,νέμω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,de/,δέ,particle,k',ἄν,particle,e)p',ἐπί,preposition,ou)lu/mpwi,,,te,τε,particle,kai\,a)/idi,,,klh=ron,κλῆρος,adjective,e)ru/ssai,ἐρύω,verb,ds,,,ma/la,μάλα,adverb,mh\,μή,conjunction,neni/hlos,νενίηλος,adjective,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)p',ἐπί,preposition,i)sai/hi,,,ga\r,γάρ,particle,e)/oike,ἔοικα,verb,ph/lasqai,πάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
