word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/9/@_form,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/29/@_form,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/34/@_form,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/44/@_form,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/54/@_form,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/62/@_form,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/70/@_form,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/75/@_form,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/8/lemma/@_entry,word/8/lemma/@_POS,word/22/lemma/@_entry,word/22/lemma/@_POS,word/25/lemma/@_entry,word/25/lemma/@_POS,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/lemma/@_entry,word/62/lemma/@_POS,word/66/lemma/@_entry,word/66/lemma/@_POS,word/70/lemma/@_entry,word/70/lemma/@_POS,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/lemma/@_entry,word/75/lemma/@_POS,word/79/lemma/@_entry,word/79/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/69/lemma/@_entry,word/69/lemma/@_POS,word/9/lemma/@_entry,word/9/lemma/@_POS,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/lemma/@_entry,word/29/lemma/@_POS,word/33/lemma/@_entry,word/33/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/lemma/@_entry,word/39/lemma/@_POS,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/lemma/@_entry,word/44/lemma/@_POS,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/lemma/@_entry,word/49/lemma/@_POS,word/34/lemma/@_entry,word/34/lemma/@_POS,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/lemma/@_entry,word/54/lemma/@_POS,word/58/lemma/@_entry,word/58/lemma/@_POS
o(\s,d',δέ,particle,a)\n,ἄν,particle,poih/sh|,ποιέω,verb,kai\,καί,conjunction,dida/ch|,ou(=tos,οὗτος,pronoun,me/gas,διδάσκω,verb,μέγας,adverb,klhqh/setai,e)n,th=|,ὁ,article,basilei/a|,βασιλεία,noun,tw=n,ὁ,article,ou)ranw=n,οὐρανός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καλέω,verb,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,ἐν,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,
le/gw,ga\r,γάρ,particle,u(mi=n,σύ,pronoun,o(/ti,ὅστις,pronoun,e)a\n,ἐάν,conjunction,mh\,perisseu/sh|,περισσεύω,verb,u(mw=n,μή,conjunction,σύ,pronoun,h(,dikaiosu/nh,plei=on,πλέως,adjective,tw=n,ὁ,article,grammate/wn,γραμματεύς,noun,kai\,καί,conjunction,*farisai/wn,Φαρισαῖος,proper,ou),οὐ,adverb,mh\,μή,conjunction,ei)se/lqhte,εἰσέρχομαι,verb,ei)s,εἰς,preposition,th\n,ὁ,article,basilei/an,βασιλεία,noun,tw=n,ὁ,article,ou)ranw=n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,οὐρανός,noun,,,,,,,,,,,,,,,,,λέγω,verb,,,δικαιοσύνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,
*)hkou/sate,o(/ti,ὅστις,pronoun,e)rre/qh,ἐνερῶ,verb,toi=s,ὁ,article,a)rxai/ois,ἀρχαῖος,adjective,*ou),foneu/seis,φονεύω,verb,,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀκούω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,d',δέ,particle,a)\n,ἄν,particle,foneu/sh|,φονάω,verb,e)/noxos,ἔνοχος,adjective,e)/stai,th=|,ὁ,article,kri/sei,εἰμί,verb,κρίσις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)egw\,de\,δέ,particle,le/gw,λέγω,verb,u(mi=n,σύ,pronoun,o(/ti,ὅστις,pronoun,pa=s,o(,ὁ,article,o)rgizo/menos,πᾶς,adjective,ὀργίζω,verb,tw=|,a)delfw=|,au)tou=,αὐτός,pronoun,e)/noxos,ἔνοχος,adjective,e)/stai,εἰμί,verb,th=|,ὁ,article,kri/sei,κρίσις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,ἀδελφός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,d',δέ,particle,a)\n,ἄν,particle,ei)/ph|,εἶπον,verb,tw=|,ὁ,article,a)delfw=|,au)tou=,αὐτός,pronoun,*(raka/,ἀδελφός,adjective,,,e)/noxos,e)/stai,tw=|,ὁ,article,sunedri/w|,συνέδριον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔνοχος,adjective,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,d',δέ,particle,a)\n,ἄν,particle,ei)/ph|,εἶπον,verb,*mwre/,μωρός,adjective,e)/noxos,e)/stai,εἰμί,verb,ei)s,ἔνοχος,adjective,εἰς,preposition,th\n,ge/ennan,tou=,ὁ,article,puro/s,πῦρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,γέεννα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ou)=n,οὖν,particle,prosfe/rh|s,προσφέρω,verb,to\,ὁ,article,dw=ro/n,δῶρον,noun,sou,e)pi\,ἐπί,preposition,to\,σύ,pronoun,ὁ,article,qusiasth/rion,ka)kei=,mnhsqh=|s,μιμνήσκω,verb,o(/ti,ὅστις,pronoun,o(,ὁ,article,a)delfo/s,ἀδελφός,adjective,sou,σύ,pronoun,e)/xei,ἔχω,verb,ti,τις,pronoun,kata\,κατά,preposition,sou=,σύ,pronoun,a)/fes,ἀφίημι,verb,e)kei=,ἐκεῖ,adverb,to\,ὁ,article,dw=ro/n,sou,σύ,pronoun,e)/mprosqen,ἔμπροσθεν,adverb,tou=,qusiasthri/ou,θυσιαστήριον,noun,kai\,καί,conjunction,u(/page,prw=ton,dialla/ghqi,,,tw=|,ὁ,article,a)delfw=|,ἀδελφός,adjective,sou,kai\,to/te,τότε,adverb,e)lqw\n,ἔρχομαι,verb,pro/sfere,προσφέρω,verb,to\,dw=ro/n,sou,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θυσιαστήριον,noun,δῶρον,noun,ὁ,article,,,,,,,,,,,,,,,ἐάν,conjunction,,,ἐκεῖ,adverb,ὑπάγω,verb,πρότερος,adjective,σύ,pronoun,ὁ,article,δῶρον,noun,,,,,,,,,καί,conjunction,,,,,,
i)/sqi,eu)now=n,εὐνοέω,verb,tw=|,ὁ,article,a)ntidi/kw|,ἀντίδικος,adjective,sou,σύ,pronoun,taxu\,e(/ws,ἕως,conjunction,o(/tou,ταχύς,adjective,ὅστις,pronoun,ei)=,met',au)tou=,αὐτός,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,o(dw=|,ὁδός,adjective,mh/,μή,conjunction,pote/,ποτέ,particle,se,σύ,pronoun,paradw=|,παραδίδωμι,verb,o(,ὁ,article,a)nti/dikos,ἀντίδικος,adjective,tw=|,ὁ,article,krith=|,κριτής,noun,kai\,o(,ὁ,article,krith\s,κριτής,noun,tw=|,u(phre/th|,ὑπηρέτης,noun,kai\,καί,conjunction,ei)s,fulakh\n,blhqh/sh|,βάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἶμι,verb,καί,conjunction,ὁ,article,,,,,,,,,,,,,,,εἰμί,verb,,,μετά,preposition,εἰς,preposition,φυλακή,noun,,,,,,,,,,,,,,,,,,,,,,
a)mh\n,le/gw,λέγω,verb,soi,σύ,pronoun,ou),οὐ,adverb,mh\,μή,conjunction,e)ce/lqh|s,e)kei=qen,ἐκεῖθεν,adverb,e(/ws,ἐξέρχομαι,verb,ἕως,conjunction,a)\n,a)podw=|s,to\n,ὁ,article,e)/sxaton,σχέθω,verb,kodra/nthn,κοδράντης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄν,particle,,,,,,,,,,,,,,,,,,,ἀμήν,interjection,,,ἀποδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,
*)hkou/sate,o(/ti,ὅστις,pronoun,e)rre/qh,ἐνερῶ,verb,*ou),οὐ,adverb,moixeu/seis,μοιχεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀκούω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)egw\,de\,δέ,particle,le/gw,λέγω,verb,u(mi=n,σύ,pronoun,o(/ti,ὅστις,pronoun,pa=s,o(,ὁ,article,ble/pwn,πᾶς,adjective,βλέπω,verb,gunai=ka,pro\s,to\,ὁ,article,e)piqumh=sai,ἐπιθυμέω,verb,au)th\n,αὐτός,pronoun,h)/dh,ἤδη,adverb,e)moi/xeusen,μοιχεύω,verb,au)th\n,αὐτός,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,kardi/a|,καρδία,noun,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γυνή,noun,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,πρός,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),de\,δέ,particle,o(,ὁ,article,o)fqalmo/s,ὀφθαλμός,noun,sou,σύ,pronoun,o(,decio\s,δεξιός,adjective,skandali/zei,ὁ,article,σκανδαλίζω,verb,se,e)/cele,au)to\n,αὐτός,pronoun,kai\,καί,conjunction,ba/le,βάλλω,verb,a)po\,ἀπό,preposition,sou=,σύ,pronoun,sumfe/rei,συμφέρω,verb,ga/r,γάρ,particle,soi,σύ,pronoun,i(/na,ἵνα,conjunction,a)po/lhtai,ἀπόλλυμι,verb,e(\n,εἷς,adjective,tw=n,ὁ,article,melw=n,sou,σύ,pronoun,kai\,καί,conjunction,mh\,o(/lon,ὅλος,adjective,to\,ὁ,article,sw=ma/,sou,blhqh=|,βάλλω,verb,ei)s,εἰς,preposition,ge/ennan,γέεννα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σύ,pronoun,μέλη,noun,μή,conjunction,,,,,,,,,,,,,,,εἰ,conjunction,,,ἐξαιρέω,verb,σῶμα,adjective,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,
kai\,ei),εἰ,conjunction,h(,ὁ,article,decia/,δεξιός,adjective,sou,σύ,pronoun,xei\r,skandali/zei,σκανδαλίζω,verb,se,χείρ,noun,σύ,pronoun,e)/kkoyon,au)th\n,kai\,καί,conjunction,ba/le,βάλλω,verb,a)po\,ἀπό,preposition,sou=,σύ,pronoun,sumfe/rei,συμφέρω,verb,ga/r,γάρ,particle,soi,σύ,pronoun,i(/na,ἵνα,conjunction,a)po/lhtai,ἀπόλλυμι,verb,e(\n,εἷς,adjective,tw=n,ὁ,article,melw=n,μέλη,noun,sou,kai\,καί,conjunction,mh\,μή,conjunction,o(/lon,to\,ὁ,article,sw=ma/,σῶμα,adjective,sou,ei)s,ge/ennan,γέεννα,noun,a)pe/lqh|,ἀπέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκκόπτω,verb,σύ,pronoun,ὅλος,adjective,,,,,,,,,,,,,,,καί,conjunction,,,αὐτός,pronoun,σύ,pronoun,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,
*)erre/qh,de/,δέ,particle,*(\os,ὅς,pronoun,a)\n,ἄν,particle,a)polu/sh|,ἀπολύω,verb,th\n,gunai=ka,γυνή,noun,au)tou=,ὁ,article,αὐτός,pronoun,do/tw,au)th=|,a)posta/sion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δίδωμι,verb,,,,,,,,,,,,,,,,,,,ἐνερῶ,verb,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,
*)egw\,de\,δέ,particle,le/gw,λέγω,verb,u(mi=n,σύ,pronoun,o(/ti,ὅστις,pronoun,pa=s,o(,ὁ,article,a)polu/wn,πᾶς,adjective,ἀπολύω,verb,th\n,gunai=ka,au)tou=,αὐτός,pronoun,parekto\s,παρεκτός,adverb,lo/gou,λόγος,noun,pornei/as,πορνεία,noun,poiei=,ποιέω,verb,au)th\n,αὐτός,pronoun,moixeuqh=nai,μοιχεύω,verb,kai\,καί,conjunction,o(\s,ὅς,pronoun,e)a\n,ἐάν,conjunction,a)polelume/nhn,ἀπολύω,verb,gamh/sh|,γαμέω,verb,moixa=tai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,μοιχάω,verb,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,
*pa/lin,h)kou/sate,ἀκούω,verb,o(/ti,ὅστις,pronoun,e)rre/qh,ἐνερῶ,verb,toi=s,ὁ,article,a)rxai/ois,*ou)k,οὐ,adverb,e)piorkh/seis,ἀρχαῖος,adjective,ἐπιορκέω,verb,a)podw/seis,de\,tw=|,ὁ,article,kuri/w|,κύριος,adjective,tou\s,ὁ,article,o(/rkous,ὅρκος,noun,sou,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀποδίδωμι,verb,,,,,,,,,,,,,,,,,,,πάλιν,adverb,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,
*)egw\,de\,δέ,particle,le/gw,λέγω,verb,u(mi=n,σύ,pronoun,mn,,,o)mo/sai,o(/lws,ὅλος,adjective,,ὄμνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh/te,e)n,ἐν,preposition,tw=|,ὁ,article,ou)ranw=|,οὐρανός,noun,o(/ti,ὅστις,pronoun,qro/nos,e)sti\n,εἰμί,verb,tou=,θρόνος,noun,ὁ,article,qeou=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θεός,noun,,,,,,,,,,,,,,,,,,,μήτε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh/te,e)n,ἐν,preposition,th=|,ὁ,article,gh=|,γῆ,noun,o(/ti,ὅστις,pronoun,u(popo/dio/n,e)stin,εἰμί,verb,tw=n,ὑποπόδιον,noun,ὁ,article,podw=n,au)tou=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πούς,noun,,,,,,,,,,,,,,,,,,,μήτε,particle,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,
mh/te,ei)s,εἰς,preposition,*)ieroso/luma,,,o(/ti,ὅστις,pronoun,po/lis,πόλις,adjective,e)sti\n,tou=,ὁ,article,mega/lou,εἰμί,verb,μέγας,adverb,basile/ws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,βασιλεύς,noun,,,,,,,,,,,,,,,,,,,μήτε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh/te,e)n,ἐν,preposition,th=|,ὁ,article,kefalh=|,κεφαλή,noun,sou,σύ,pronoun,o)mo/sh|s,o(/ti,ὅστις,pronoun,ou),ὄμνυμι,verb,οὐ,adverb,du/nasai,mi/an,tri/xa,θρίξ,noun,leukh\n,λευκός,adjective,poih=sai,ποιέω,verb,h)\,ἠέ,conjunction,me/lainan,μέλας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δύναμαι,verb,,,,,,,,,,,,,,,,,,,μήτε,particle,,,εἷς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/stw,de\,δέ,particle,o(,ὁ,article,lo/gos,λόγος,noun,u(mw=n,σύ,pronoun,nai\,nai/,ναί,adverb,ou)\,ναί,adverb,οὐ,adverb,ou)/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐ,adverb,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,de\,δέ,particle,perisso\n,περισσός,adjective,tou/twn,οὗτος,pronoun,e)k,ἐκ,preposition,tou=,ponhrou=,πονηρός,adjective,e)sti/n,ὁ,article,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)hkou/sate,o(/ti,ὅστις,pronoun,e)rre/qh,ἐνερῶ,verb,*)ofqalmo\n,ὀφθαλμός,noun,a)nti\,ἀντί,preposition,o)fqalmou=,kai\,καί,conjunction,o)do/nta,ὀφθαλμός,noun,ὀδούς,noun,a)nti\,o)do/ntos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀντί,preposition,,,,,,,,,,,,,,,,,,,ἀκούω,verb,,,ὀδούς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,
*)egw\,de\,δέ,particle,le/gw,λέγω,verb,u(mi=n,σύ,pronoun,mh\,μή,conjunction,a)ntisth=nai,tw=|,ὁ,article,ponhrw=|,ἀνθίστημι,verb,πονηρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
