word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/24/lemma/@_entry,word/24/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS
o(/ti,ὅστις,pronoun,d',δέ,particle,ou)k,οὐ,adverb,e)w=sin,ἀίω,verb,oi(,ὁ,article,no/moi,νόμος,noun,peri\,περί,preposition,tw=n,ὁ,article,ou(/tw,οὕτως,adverb,praxqe/ntwn,πράσσω,verb,au)=qis,αὖθις,adverb,dika/zesqai,δικάζω,verb,nomi/zw,νομίζω,verb,me\n,μέν,particle,a(/pantas,ἅπας,adjective,u(ma=s,σύ,pronoun,ei)de/nai,οἶδα,verb,ka)\n,κἀν,conjunction,mhde\n,μηδείς,pronoun,ei)/pw,εἶπον,verb,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,e)gw/,ἐγώ,pronoun,bou/lomai,βούλομαι,verb,d',o(/mws,ὅμως,conjunction,kai\,καί,conjunction,to\n,ὁ,article,no/mon,νόμος,noun,u(mi=n,σύ,pronoun,au)to\n,αὐτός,pronoun,a)nagnw=nai,ἀναγιγνώσκω,verb,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/ge,λέγω,verb,to\n,ὁ,article,no/mon,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)kou/et',ἀκούω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,tou=,ὁ,article,no/mou,νόμος,noun,safw=s,σαφής,adverb,le/gontos,λέγω,verb,e(/kasta,ἕκαστος,adjective,w(=n,ὅς,pronoun,mh\,μή,conjunction,ei)=nai,εἰμί,verb,di/kas,δίκη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,ὅς,pronoun,e(/n,εἷς,adjective,e)stin,εἰμί,verb,o(moi/ws,ὅμοιος,adjective,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,ku/rion,κύριος,adjective,peri\,περί,preposition,w(=n,ὅς,pronoun,a)/n,ἄν,particle,tis,τις,pronoun,a)fh=|,ἀφίημι,verb,kai\,καί,conjunction,a)palla/ch|,ἀπαλλάσσω,verb,mh\,μή,conjunction,dika/zesqai,δικάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,toi/nun,τοίνυν,particle,kai\,καί,conjunction,meta\,μετά,preposition,pollw=n,πολύς,adjective,martu/rwn,μάρτυρος,noun,th=s,ὁ,article,a)fe/sews,ἄφεσις,noun,gegonui/as,γίγνομαι,verb,kai\,καί,conjunction,fanerw=s,φανερός,adjective,a)polu/ontos,ἀπολύω,verb,h(ma=s,ἐγώ,pronoun,tou=,ὁ,article,no/mou,νόμος,noun,ei)s,εἰς,preposition,tou=t',οὗτος,pronoun,e)lhlu/qasin,ἔρχομαι,verb,a)naisxunti/as,ἀναισχυντία,noun,ou(=toi,οὗτος,pronoun,kai\,καί,conjunction,to/lmhs,τόλμα,noun,w(/ste,ὥστε,conjunction,tetta/rwn,τέσσαρες,noun,me\n,kai\,καί,conjunction,de/k',δέκα,verb,e)tw=n,ἔται,noun,gegenhme/nwn,γίγνομαι,verb,a)f',ἀπό,preposition,ou(=,ἕ,pronoun,to\n,ὁ,article,pate/r',πατήρ,noun,h(mw=n,ἐγώ,pronoun,a)fei=san,ἀφίημι,verb,ei)/kosi,εἴκοσι,verb,de\,δέ,particle,μέν,particle,kai\,καί,conjunction,duoi=n,δύο,adjective,a)f',ἀπό,preposition,ou(=,ἕ,pronoun,tugxa/nousin,τυγχάνω,verb,e)ggegramme/noi,ἐγγράφω,verb,teteleuthko/tos,τελευτάω,verb,de\,δέ,particle,kai\,καί,conjunction,tou=,ὁ,article,patro\s,πατήρ,noun,tou=,ὁ,article,h(mete/rou,ἡμέτερος,adjective,pro\s,πρός,preposition,o(\n,ὅς,pronoun,au)toi=s,αὐτός,pronoun,e)ge/nonq',γίγνομαι,verb,ai(,ὁ,article,diallagai/,διαλλαγή,noun,kai\,καί,conjunction,tw=n,ὁ,article,e)pitro/pwn,ἐπίτροπος,adjective,oi(\,ἕ,pronoun,meta\,μετά,preposition,to\n,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,qa/naton,θάνατος,adjective,tw=n,ὁ,article,h(mete/rwn,ἡμέτερος,adjective,e)ge/nonto,γίγνομαι,verb,ku/rioi,κύριος,adjective,kai\,καί,conjunction,th=s,ὁ,article,e(autw=n,ἑαυτοῦ,pronoun,mhtro/s,μήτηρ,noun,h(/tis,ὅστις,pronoun,a(/panta,ἅπας,adjective,tau=t',οὗτος,pronoun,h)/|dei,οἶδα,verb,kai\,καί,conjunction,diaithtw=n,διαιτητής,noun,kai\,καί,conjunction,martu/rwn,μάρτυρος,noun,kai\,καί,conjunction,pa/ntwn,πᾶς,adjective,w(s,ὡς,conjunction,ei)pei=n,εἶπον,verb,th\n,ὁ,article,h(mete/ran,ἡμέτερος,adjective,a)peiri/an,ἀπειρία,noun,kai\,καί,conjunction,th\n,ὁ,article,e)c,ἐκ,preposition,a)na/gkhs,ἀνάγκη,noun,a)/gnoian,ἄγνοια,noun,tw=n,ὁ,article,pepragme/nwn,πράσσω,verb,e(/rmaion,ἕρμαιον,noun,nomi/santes,νομίζω,verb,e(autw=n,ἑαυτοῦ,pronoun,ta\s,ὁ,article,di/kas,δίκη,adjective,h(mi=n,ἐγώ,pronoun,e)/laxon,λαγχάνω,verb,tautasi/,οὗτος,pronoun,kai\,καί,conjunction,lo/gon,λόγος,noun,ou)/te,οὔτε,adverb,di/kaion,δίκαιος,adjective,ou)/t',οὔτε,adverb,e)pieikh=,ἐπιεικής,adjective,tolmw=si,τολμάω,verb,le/gein,λέγω,verb
fasi\,φημί,verb,ga\r,γάρ,particle,ou)k,οὐ,adverb,a)podo/sqai,ἀποδίδωμι,verb,ta\,ὁ,article,patrw=|',πατρῷος,adjective,w(=n,ὅς,pronoun,e)komi/zonto,κομίζω,verb,xrhma/twn,χρῆμα,adjective,ou)d',οὐδέ,particle,a)posth=nai,ἀφίστημι,verb,tw=n,ὁ,article,o)/ntwn,εἰμί,verb,a)ll',ἀλλά,adverb,o(/s',ὅσος,adjective,au)toi=s,αὐτός,pronoun,katelei/fqh,καταλιμπάνω,verb,xre/a,χρέος,noun,kai\,καί,conjunction,skeu/h,σκεῦος,noun,kai\,καί,conjunction,o(/lws,ὅλος,adjective,xrh/mata,χρῆμα,adjective,tau=q',οὗτος,pronoun,e(autw=n,gi/gnesqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,oi)=d',οἶδα,verb,a)kou/wn,ἀκούω,verb,o(/ti,ὅστις,pronoun,th\n,ὁ,article,ou)si/an,οὐσία,adjective,*cenopei/qhs,,,kai\,καί,conjunction,*nausikra/ths,Ναυσικράτης,proper,a(/pasan,ἅπας,adjective,xre/a,χρέος,noun,kate/lipon,καταλιμπάνω,verb,kai\,καί,conjunction,fanera\n,φανερός,adjective,e)ke/kthnto,κτάομαι,verb,mikra/n,μικρός,adjective,tina,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)spraxqe/ntwn,εἰσπράσσω,verb,de\,δέ,particle,tw=n,ὁ,article,xrew=n,χρέος,noun,kai/,καί,conjunction,tinwn,τις,pronoun,skeuw=n,σκεῦος,noun,praqe/ntwn,πιπράσκω,verb,e)/ti,ἔτι,adverb,d',δέ,particle,a)ndrapo/dwn,ἀνδράποδον,noun,kai\,καί,conjunction,ta\,ὁ,article,xwri/a,χωρίον,noun,kai\,καί,conjunction,ta\s,ὁ,article,sunoiki/as,συνοικία,noun,e)pri/anq',πρίαμαι,verb,oi(,ὁ,article,e)pi/tropoi,ἐπίτροπος,adjective,a(\,ὅς,pronoun,pare/labon,παραλαμβάνω,verb,ou(=toi,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,mhde\n,μηδείς,pronoun,h)mfesbhth/qh,ἀμφαμφισβητέω,verb,peri\,περί,preposition,tou/twn,οὗτος,pronoun,pro/teron,πρότερος,adjective,mhd',μηδέ,particle,w(s,ὡς,conjunction,ou),οὐ,adverb,kalw=s,καλός,noun,diw|khme/nwn,διοικέω,verb,ei)s,εἰς,preposition,di/khn,δίκη,adjective,h)=lqen,ἔρχομαι,verb,a)/llos,ἄλλος,adjective,a)\n,ἄν,particle,h)=n,εἰμί,verb,lo/gos,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,d',δέ,particle,o(/lhn,ὅλος,adjective,th\n,ὁ,article,e)pitroph\n,ἐπιτροπή,noun,e)gkale/santes,ἐγκαλέω,verb,ou(=toi,οὗτος,pronoun,kai\,καί,conjunction,di/kas,δίκη,adjective,laxo/ntes,λαγχάνω,verb,xrh/mat',χρῆμα,adjective,e)pra/canto,πράσσω,verb,pa/nta,πᾶς,adjective,tau=t',οὗτος,pronoun,a)fei=tai,ἀφίημι,verb,to/te,τότε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,ga\r,γάρ,particle,ou(=toi,οὗτος,pronoun,tou)no/matos,ὄνομα,adjective,dh/pou,δήπου,particle,tou=,ὁ,article,th=s,ὁ,article,e)pitroph=s,ἐπιτροπή,noun,ta\s,ὁ,article,di/kas,δίκη,adjective,e)di/wkon,διώκω,verb,a)lla\,ἀλλά,adverb,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,ou)/t',οὔτε,adverb,e)kei=noi,ἐκεῖνος,pronoun,tou)/noma,ὄνομα,adjective,tou=t',οὗτος,pronoun,e)wnou=nq',ὠνέομαι,verb,w(=n,ὅς,pronoun,a)pe/teisan,ἀποτίνω,verb,xrhma/twn,χρῆμα,adjective,a)lla\,ἀλλά,adverb,ta\,ὁ,article,e)gklh/mata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔγκλημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,w(=n,ὅς,pronoun,pro\,πρό,preposition,tw=n,ὁ,article,a)pallagw=n,ἀπαλλαγή,noun,ei)se/pracen,εἰσπράσσω,verb,xrew=n,χρέα,adjective,o(,ὁ,article,path\r,πατήρ,noun,h)\,ἠέ,conjunction,o(/lws,ὅλος,adjective,e)/laben,λάπτω,verb,xrhma/twn,χρῆμα,adjective,e)k,ἐκ,preposition,th=s,ὁ,article,e)pitroph=s,ἐπιτροπή,noun,ou)deno/s,οὐδείς,pronoun,ei)sin,εἰμί,verb,di/kai,δίκη,adjective,tou/tois,οὗτος,pronoun,kaq',κατά,preposition,h(mw=n,ἐγώ,pronoun,a)phllagme/nois,e)c,ἐκ,preposition,au)tw=n,αὐτός,pronoun,tw=n,ὁ,article,no/mwn,νόμος,noun,kai\,καί,conjunction,th=s,ὁ,article,a)fe/sews,ἄφεσις,noun,i(kanw=s,ἱκανός,adjective,pa/ntas,πᾶς,adjective,h(gou=mai,ἡγέομαι,verb,u(ma=s,σύ,pronoun,memaqhke/nai,μανθάνω,verb,ἀπαλλάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,d',δέ,particle,u(/steron,ὕστερος,adjective,ou)k,οὐ,adverb,e)/ni,ἐν,preposition,th\n,ὁ,article,komidh\n,κομιδή,noun,gegenh=sqai,γίγνομαι,verb,tou/twn,οὗτος,pronoun,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,tou=to,οὗτος,pronoun,ga\r,γάρ,particle,pla/ttousin,πλάσσω,verb,ou(=toi,οὗτος,pronoun,kai\,καί,conjunction,para/gousin),παράγω,verb,tou=to,οὗτος,pronoun,bou/lomai,βούλομαι,verb,dei=cai,δείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,pate/r',πατήρ,noun,ou)d',οὐδέ,particle,a)\n,ἄν,particle,ai)tia/sainto,αἰτιάομαι,verb,labei=n,λαμβάνω,verb,te/ttarsi,τέσσαρες,noun,ga\r,γάρ,particle,h)\,ἠέ,conjunction,trisi\,τρεῖς,noun,mhsi\n,μείς,adjective,u(/steron,ὕστερος,adjective,h)\,ἠέ,conjunction,dielu/sato,διαλύω,verb,pro\s,πρός,preposition,tou/tous,οὗτος,pronoun,e)teleu/thsen),τελευτάω,verb,w(s,ὡς,conjunction,d',δέ,particle,ou)de\,οὐδέ,particle,*dhma/reton,,,to\n,ὁ,article,kataleifqe/nq',h(mw=n,ἐγώ,pronoun,e)pi/tropon,ἐπίτροπος,adjective,labei=n,λαμβάνω,verb,oi(=o/n,οἷος,adjective,te,τε,particle,kai\,καί,conjunction,ga\r,γάρ,particle,tou=ton,οὗτος,pronoun,e)/grayan,γράφω,verb,ei)s,εἰς,preposition,to\,ὁ,article,e)/gklhma),ἔγκλημα,noun,καταλιμπάνω,verb,kai\,καί,conjunction,tou=t',οὗτος,pronoun,e)pidei/cw,ἐπιδείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
