word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/4/lemma/@_entry,word/4/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/23/@_form,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/23/lemma/@_entry,word/23/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/35/lemma/@_entry,word/35/lemma/@_POS,word/41/lemma/@_entry,word/41/lemma/@_POS
e)n,ἐν,preposition,tou/tw|,οὗτος,pronoun,ka/qaire,καθαίρω,verb,kai\,καί,conjunction,ta\s,a)skari/das,ἀσκαρίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/soi,ὁπόσος,adjective,d',δέ,particle,a)\n,ἄν,particle,katalei/fqwsin,,,a)qera/peutoi,qnh/skousin,θνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀθεράπευτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,o)qo/nion,ὀθόνιον,noun,bu/ssinon,βύσσινος,adjective,tiquma/llou,τιθύμαλλος,adjective,o)pw=|,tou=,ὁ,article,mega/lou,μέγας,adverb,deu/sas,δέω,verb,katapa/sswn,καταπάσσω,verb,a)/nqos,ἄνθος,adjective,xalkou=,χαλκός,noun,o)pto\n,tetrimme/non,τρίβω,verb,strobi/lhn,στροβίλη,noun,poih/sas,ποιέω,verb,i)/shn,ἴσος,adjective,th=|,ὁ,article,su/riggi,σῦριγξ,noun,to\,ὁ,article,mh=kos,*ra/mma,,,diei\s,δίεμαι,verb,di',διά,preposition,ὀπάζω,verb,ὀπτός,adjective,μῆκος,adjective,a)/kras,th=s,ὁ,article,strobi/lhs,στροβίλη,noun,kai\,καί,conjunction,au)=qis,αὖθις,adverb,dia\,διά,preposition,th=s,ὁ,article,ἄκρος,adjective,fu/siggos,φῦσιγξ,noun,u(/ption,ὕπτιος,adjective,katakli/nas,κατακλίνω,verb,to\n,ὁ,article,a)/nqrwpon,ἄνθρωπος,noun,katopth=ri,katidw\n,κατεῖδον,verb,to\,ὁ,article,diabebrwme/non,διαβιβρώσκω,verb,tou=,ὁ,article,a)rxou=,ἀρχός,noun,tau/th|,th\n,ὁ,article,fu/sigga,φῦσιγξ,noun,diei=nai,διίημι,verb,,,,,,,,,,,,,,,,κατόπτης,noun,οὗτος,pronoun
kai\,καί,conjunction,o(ko/tan,,,paraku/yh|,παράκυψις,noun,es,,,to\n,a)oxo\n,,,e)pilambano/menos,ἐπιλαμβάνω,verb,e(/lkein,ἕλκω,verb,a)/xris,ἄχρι,adverb,ou(=,ἕ,pronoun,h(,ὁ,article,strobi/lh,diwsqh=|,διωθέω,verb,kai\,καί,conjunction,i)swqh=|,ἰσόω,verb,tw=|,ὁ,article,te,τε,particle,a)/nw,ἄνω,adverb,kai\,καί,conjunction,tw=|,ka/tw,κάτος,adjective,,,,,,,ὁ,article,στροβίλη,noun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ph\n,ἐπήν,conjunction,de\,δέ,particle,e)swsqh=|,εἰσωθέω,verb,ba/lanon,βάλανος,adjective,e)nqei\s,kerati/nhn,κεράτινος,adjective,e)s,εἰς,preposition,to\n,ὁ,article,a)rxo\n,ἀρχός,noun,gh=,γῆ,noun,diaxri/sas,διαχρίω,verb,smhktri/di,to\n,ὁ,article,a)rxon,,,e)a=|n,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,ἐντίθημι,verb,σμηκτρίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ph\n,ἐπήν,conjunction,de\,δέ,particle,a)popate/h,,,e)caire/ein,ἐξαιρέω,verb,kai\,au)=qis,αὖθις,adverb,prostiqe/nai,προστίθημι,verb,e(/ws,ἕως,conjunction,a)\n,ἄν,particle,pemptai/h,πεμπταῖος,adjective,ge/nhtai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/kth|,ἕκτος,adjective,de\,δέ,particle,h(me/rh|,ἡμέρα,noun,e)caire/ein,ἐξαιρέω,verb,e(/lkwn,th\n,ὁ,article,strobi/lhn,στροβίλη,noun,e)/cw,ἔξω,adverb,th=s,ὁ,article,sarko/s,σάρξ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἕλκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tri/yai,τρίβω,verb,stupthri/hn,στυπτηρία,noun,meta\,μετά,preposition,tau=ta,kai\,καί,conjunction,plh/sas,πίμπλημι,verb,th\n,ὁ,article,ba/lanon,βάλανος,adjective,kai\,καί,conjunction,e)s,εἰς,preposition,to\n,a)rxo\n,ἀρχός,noun,e)mbalw\n,ἐμβάλλω,verb,e)a=|n,ἀίω,verb,a)/xris,ἄχρι,adverb,ou(=,ἕ,pronoun,h(,ὁ,article,stupthri/h,στυπτηρία,noun,u(grh\,ge/nhtai,γίγνομαι,verb,,,,,,,οὗτος,pronoun,ὁ,article,ὑγρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,de\,δέ,particle,a)rxo\n,ἀρχός,noun,smu/rnh|,σμύρνα,noun,a)lei/fein,a)/xris,ἄχρι,adverb,ou(=,ἕ,pronoun,a)\n,ἄν,particle,doke/h|,δοκέω,verb,cumpefuke/nai,συμφύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀλείφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(te/rh,ἕτερος,adjective,qerapei/h,θεραπεία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)mo/linon,ὠμόλινον,noun,labw\n,λαμβάνω,verb,w(s,ὡς,conjunction,lepto/taton,λεπτός,adjective,sumba/llein,o(/son,ὅσος,adjective,spiqamiai=on,,,penta/ploun,,,kai\,καί,conjunction,cumperilabei=n,συμπεριλαμβάνω,verb,i(ppei/hn,ἱππεία,noun,tri/xa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,συμβάλλω,verb,θρίξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,poihsa/menos,ποιέω,verb,mh/lhn,μήλη,noun,kassiteri/nhn,κασσιτέρινος,adjective,e)p',a)/krou,ἄκρον,noun,tetrhme/nhn,τετραίνω,verb,e)nei/ras,ἐνείρω,verb,e)s,εἰς,preposition,th\n,ὁ,article,mh/lhn,μήλη,noun,th\n,a)rxh\n,ἀρχή,noun,tou=,ὁ,article,w)moli/nou,ὠμόλινον,noun,sumbeblhme/nou,συμβάλλω,verb,kaqie/nai,καθίημι,verb,th\n,ὁ,article,mh/lhn,μήλη,noun,e)s,th\n,ὁ,article,su/rigga,σῦριγξ,noun,kai\,καί,conjunction,ἐπί,preposition,ὁ,article,εἰς,preposition,a(/ma,th=s,ὁ,article,a)risterh=s,ἀριστερός,adjective,xeiro\s,χείρ,noun,to\n,ὁ,article,da/ktulon,δάκτυλος,noun,to\n,ὁ,article,ἅμα,adverb,lixano\n,λιχανός,adjective,kaqie/nai,καθίημι,verb,e)s,εἰς,preposition,th\n,ὁ,article,e(/drhn,ἕδρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ph\n,ἐπήν,conjunction,de\,δέ,particle,yau/sh|,ψαύω,verb,h(,ὁ,article,mh/lh,tou=,ὁ,article,daktu/lou,δάκτυλος,noun,a)/gein,ἄγω,verb,e)/cw,ἔξω,adverb,tw=|,ὁ,article,daktu/lw|,δάκτυλος,noun,a)poka/myas,th=s,ὁ,article,mh/lhs,μήλη,noun,to\,ὁ,article,a)/kron,ἄκρον,noun,kai\,καί,conjunction,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,th\n,e)n,ἐν,preposition,th=|,ὁ,article,mh/lh|,μήλη,noun,μήλη,noun,ἀποκάμπτω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th\n,ὁ,article,me\n,μέν,particle,mh/lhn,μήλη,noun,pa/lin,e)caire/ein,ἐξαιρέω,verb,tou=,ὁ,article,de\,δέ,particle,w)moli/nou,ὠμόλινον,noun,ta\s,ὁ,article,a)rxa\s,ἀρχή,noun,a)fa/yai,di\s,δίς,adverb,h)\,ἠέ,conjunction,tri/s,τρίς,adverb,,,,,,,,,,,,,,,,,,,,,,,πάλιν,adverb,ἀφάπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\,ὁ,article,loipo\n,λοιπός,adjective,tou=,ὁ,article,w)moli/nou,e)pistre/yas,ἐπιστρέφω,verb,e)pidh=sai,ἐπιδέω,verb,pro\s,πρός,preposition,to\,ὁ,article,a)/mma,ἄμπν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὠμόλινον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,keleu/ein,κελεύω,verb,a)pelqo/nta,ἀπέρχομαι,verb,diaprh/ssesqai,διαπράσσω,verb,ta\,e(wutou=,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/son,ὁπόσος,adjective,dh\,δή,particle,shpome/nhs,σήπω,verb,th=s,ὁ,article,su/riggos,xala=ta,,,tou=,ὁ,article,w)moli/nou,ὠμόλινον,noun,tou=to,οὗτος,pronoun,e)pitei/nein,ἐπιτείνω,verb,kai\,καί,conjunction,e)pistre/fein,ai)ei\,ἀεί,adverb,kaq',κατά,preposition,e(ka/sthn,ἕκαστος,adjective,h(me/rhn,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,σῦριγξ,noun,ἐπιστρέφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de/,δέ,particle,soi,σύ,pronoun,to\,ὁ,article,w)mo/linon,diasaph=|,διασήπομαι,verb,pro/sqen,πρόσθεν,adverb,h)\,ἠέ,conjunction,th\n,ὁ,article,su/rigga,σῦριγξ,noun,diabrwqh=nai,διαβιβρώσκω,verb,pro\s,th\n,ὁ,article,tri/xa,θρίξ,noun,prosa/yas,προσάπτω,verb,e(/teron,ἕτερος,adjective,w)mo/linon,ὠμόλινον,noun,diei=nai,διίημι,verb,kai\,καί,conjunction,a)fa/yaih(,ga\r,γάρ,particle,qri\c,θρίξ,noun,dia\,διά,preposition,ὠμόλινον,noun,πρός,preposition,,,tou=to,paraba/lletai,παραβάλλω,verb,tw=|,ὁ,article,w)moli/nw|,ὠμόλινον,noun,o(/ti,ὅστις,pronoun,a)/shpto/s,ἄσηπτος,adjective,e)stin',εἰμί,verb,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ph\n,ἐπήν,conjunction,de\,δέ,particle,diasaph=|,διασήπομαι,verb,h(,ὁ,article,su/rigc,ta/mnesqai,τέμνω,verb,xrh\,χρή,verb,spo/ggon,σπόγγος,noun,malako\n,μαλακός,adjective,w(s,ὡς,conjunction,lepto/taton,λεπτός,adjective,prosteqe/nta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,προστίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
