word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/21/lemma/@_entry,word/21/lemma/@_POS,word/50/lemma/@_entry,word/50/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,tou/twn,οὗτος,pronoun,a)ciou=sin,ἀξιόω,verb,h(ma=s,ἐγώ,pronoun,kai\,καί,conjunction,tw=n,ὁ,article,o(mologoume/nwn,ὁμολογέω,verb,w(=n,ὅς,pronoun,*klew/numos,Κλεώνυμος,proper,kate/lipen,καταλιμπάνω,verb,au)toi=s,αὐτός,pronoun,tou/twn,οὗτος,pronoun,i)somoirh=sai,ἰσομοιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,οὗτος,pronoun,de\,δέ,particle,ei)s,εἰς,preposition,tou=to,οὗτος,pronoun,h(/kousin,ἥκω,verb,a)naisxunti/as,ἀναισχυντία,noun,w(/ste,ὥστε,conjunction,kai\,καί,conjunction,ta\,ὁ,article,patrw=|a,πατρῷος,adjective,prosafele/sqai,προσαφαιρέομαι,verb,zhtou=sin,ζητέω,verb,h(ma=s,ἐγώ,pronoun,ou)k,οὐ,adverb,a)gnoou=ntes,ἀγνοέω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,to\,ὁ,article,di/kaion,δίκαιος,adjective,a)lla\,ἀλλά,adverb,pollh\n,πολύς,adjective,h(mw=n,e)rhmi/an,ἐρημία,noun,katagno/ntes,καταγιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,
ske/yasqe,σκέπτομαι,verb,ga\r,γάρ,particle,oi(=s,ὅς,pronoun,e(ka/teroi,ἑκάτερος,adjective,pisteu/ontes,πιστεύω,verb,w(s,ὡς,conjunction,u(ma=s,σύ,pronoun,ei)selhlu/qamen,εἰσέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,οὗτος,pronoun,me\n,μέν,particle,diaqh/kais,διαθήκη,noun,i)sxurizo/menoi,ἰσχυρίζομαι,verb,toiau/tais,τοιοῦτος,adjective,a(\s,ὅς,pronoun,e)kei=nos,ἐκεῖνος,pronoun,die/qeto,διατίθημι,verb,me\n,μέν,particle,ou)x,οὐ,adverb,h(mi=n,ἐγώ,pronoun,e)gkalw=n,ἐγκαλέω,verb,a)ll',ἀλλά,adverb,o)rgisqei\s,ὀργίζω,verb,tw=n,ὁ,article,oi)kei/wn,οἰκεῖος,adjective,tini\,τις,pronoun,tw=n,ὁ,article,h(mete/rwn,ἡμέτερος,adjective,e)/luse,ἐλύω,verb,de\,δέ,particle,pro\,tou=,ὁ,article,qana/tou,θάνατος,adjective,pe/myas,πέμπω,verb,*posei/dippon,,,e)pi\,ἐπί,preposition,th\n,ὁ,article,a)rxh/n,ἀρχή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρό,preposition,,,,,,,,,,,,,,,,,
h(mei=s,ἐγώ,pronoun,de\,δέ,particle,ge/nei,γένος,noun,me\n,μέν,particle,e)gguta/tw,ἐγγύς,adverb,prosh/kontes,προσήκω,verb,xrw/menoi,χράομαι,verb,de\,δέ,particle,e)kei/nw|,ἐκεῖνος,pronoun,pa/ntwn,πᾶς,adjective,oi)keio/tata,οἰκεῖος,adjective,dedwko/twn,δίδωμι,verb,d',δέ,particle,h(mi=n,ἐγώ,pronoun,kai\,καί,conjunction,tw=n,ὁ,article,no/mwn,νόμος,noun,kata\,κατά,preposition,th\n,ὁ,article,a)gxistei/an,ἀγχιστεία,noun,kai\,καί,conjunction,au)tou=,tou=,ὁ,article,*klewnu/mou,Κλεώνυμος,proper,dia\,διά,preposition,th\n,ὁ,article,fili/an,φιλία,noun,th\n,ὁ,article,u(pa/rxousan,ὑπάρχω,verb,au)tw=|,αὐτός,pronoun,e)/ti,ἔτι,adverb,de\,δέ,particle,*polua/rxou,Πολύαρχος,proper,tou=,ὁ,article,patro\s,πατήρ,noun,lttou=gt,,,*klewnu/mou,Κλεώνυμος,proper,pa/ppou,πάππας,noun,d',δέ,particle,h(mete/rou,ἡμέτερος,adjective,prosta/cantos,προσστάζω,verb,ei)/,εἰ,conjunction,ti,τις,pronoun,pa/qoi,πάσχω,verb,*klew/numos,Κλεώνυμος,proper,a)/pais,ἄπαις,noun,h(mi=n,ἐγώ,pronoun,dou=nai,δίδωμι,verb,ta\,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,
tosou/twn,τοσοῦτος,adjective,toi/nun,τοίνυν,particle,h(mi=n,ἐγώ,pronoun,u(parxo/ntwn,ὑπάρχω,verb,ou(=toi,οὗτος,pronoun,kai\,καί,conjunction,suggenei=s,συγγενεύς,noun,o)/ntes,εἰμί,verb,kai\,καί,conjunction,ou)de\n,οὐδείς,pronoun,di/kaion,δίκαιος,adjective,ei)pei=n,εἶπον,verb,e)/xontes,ἔχω,verb,ou)k,οὐ,adverb,ai)sxu/nontai,αἰσχύνω,verb,katasth/santes,καθίστημι,verb,h(ma=s,ἐγώ,pronoun,ei)s,εἰς,preposition,a)gw=na,ἀγών,noun,peri\,περί,preposition,tou/twn,οὗτος,pronoun,peri\,w(=n,ὅς,pronoun,ai)sxro\n,αἰσχρός,adjective,h)=n,εἰμί,verb,a)mfisbhth=sai,ἀμφισβητέω,verb,kai\,καί,conjunction,toi=s,ὁ,article,mhde\n,μηδείς,pronoun,prosh/kousin,προσήκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,περί,preposition,,,,,,,,,,,,,,,,,
ou)x,οὐ,adverb,o(moi/ws,ὅμοιος,adjective,de/,δέ,particle,moi,ἐγώ,pronoun,dokou=men,δοκέω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,diakei=sqai,διάκειμαι,verb,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,ou)x,οὐ,adverb,o(/ti,ὅστις,pronoun,a)di/kws,ἄδικος,adjective,kinduneu/w,κινδυνεύω,verb,tou=q',οὗτος,pronoun,h(gou=mai,ἡγέομαι,verb,me/giston,μέγας,adverb,ei)=nai,εἰμί,verb,tw=n,ὁ,article,paro/ntwn,πάρειμι,verb,kakw=n,κακός,adjective,a)ll',ἀλλά,adverb,o(/ti,ὅστις,pronoun,a)gwni/zomai,ἀγωνίζομαι,verb,pro\s,πρός,preposition,oi)kei/ous,οἰκεῖος,adjective,ou(\s,ὅς,pronoun,ou)d',οὐδέ,particle,a)mu/nesqai,kalw=s,καλός,noun,e)/xei,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀμύνω,verb,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,a)\n,ἄν,particle,e)la/ttw,ἐλάσσων,adjective,sumfora\n,συμφορά,noun,h(ghsai/mhn,ἡγέομαι,verb,kakw=s,κακός,adjective,poiei=n,ποιέω,verb,tou/tous,οὗτος,pronoun,a)muno/menos,ἀμύνω,verb,oi)kei/ous,οἰκεῖος,adjective,o)/ntas,εἰμί,verb,h)\,ἠέ,conjunction,kakw=s,κακός,adjective,paqei=n,πάσχω,verb,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,u(po\,ὑπό,preposition,tou/twn,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,οὗτος,pronoun,d',δέ,particle,ou),οὐ,adverb,toiau/thn,τοιοῦτος,adjective,e)/xousi,ἔχω,verb,th\n,ὁ,article,gnw/mhn,γνώμη,noun,a)ll',ἀλλά,adverb,h(/kousin,ἥκω,verb,e)f',ἐπί,preposition,h(ma=s,ἐγώ,pronoun,kai\,καί,conjunction,tou\s,ὁ,article,fi/lous,φῖλος,noun,parakale/santes,παρακαλέω,verb,kai\,καί,conjunction,r(h/toras,ῥήτωρ,noun,paraskeuasa/menoi,παρασκευάζω,verb,kai\,καί,conjunction,ou)de\n,οὐδείς,pronoun,a)polei/pontes,ἀπολείπω,verb,th=s,au(tw=n,ἑαυτοῦ,pronoun,duna/mews,δύναμις,adjective,w(/sper,ὥσπερ,adverb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,e)xqrou\s,ἐχθρός,adjective,timwrhso/menoi,τιμωρέω,verb,kai\,καί,conjunction,ou)k,οὐ,adverb,a)nagkai/ous,ἀναγκαῖος,adjective,kai\,καί,conjunction,suggenei=s,συγγενεύς,noun,kakw=s,κακός,adjective,poih/sontes,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,
th\n,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,tou/twn,οὗτος,pronoun,a)naisxunti/an,ἀναισχυντία,noun,kai\,καί,conjunction,th\n,ὁ,article,ai)sxroke/rdeian,αἰσχροκέρδεια,noun,e)/ti,ἔτι,adverb,ma=llon,μᾶλλον,adverb,gnw/sesqe,γιγνώσκω,verb,e)peida\n,ἐπειδάν,conjunction,pa/ntwn,πᾶς,adjective,a)kou/shte,ἀκούω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,d',δέ,particle,oi)=mai,οἴομαι,verb,ta/xist',τάχιστος,adjective,a)\n,ἄν,particle,u(ma=s,σύ,pronoun,maqei=n,μανθάνω,verb,peri\,περί,preposition,w(=n,ὅς,pronoun,a)mfisbhtou=men,ἀμφισβητέω,verb,e)nteu=qen,ἐντεῦθεν,adverb,a)/rcomai,ἄρχω,verb,dida/skein,διδάσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*deini/as,Δεινίας,proper,ga\r,γάρ,particle,o(,ὁ,article,tou=,ὁ,article,patro\s,πατήρ,noun,a)delfo\s,ἀδελφός,adjective,e)petro/peusen,ἐπιτροπεύω,verb,h(ma=s,ἐγώ,pronoun,qei=os,θεῖος,adjective,w)\n,εἰμί,verb,o)rfanou\s,ὀρφανός,adjective,o)/ntas,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*klewnu/mw|,Κλεώνυμος,proper,d',δέ,particle,ou(=tos,οὗτος,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dia/foros,διάφορος,adjective,w)\n,εἰμί,verb,e)/tuxen,τυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(po/teros,ὁπότερος,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,au)tw=n,αὐτός,pronoun,h)=n,εἰμί,verb,th=s,ὁ,article,diafora=s,διαφορά,noun,ai)/tios,αἴτιος,adjective,i)/sws,ἴσως,adverb,ou)k,οὐ,adverb,e)mo\n,ἐμός,adjective,e)/rgon,ἔργον,noun,e)sti\,εἰμί,verb,kathgorei=n,κατηγορέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plh\n,πλήν,preposition,tosou=to/n,τοσοῦτος,adjective,ge,γε,particle,a)\n,ἄν,particle,dikai/ws,δίκαιος,adjective,au)toi=s,αὐτός,pronoun,a)mfote/rois,ἀμφότερος,adjective,memyai/mhn,μέμφομαι,verb,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,fi/loi,φίλος,adjective,te/ws,τέως,adverb,o)/ntes,εἰμί,verb,kai\,καί,conjunction,profa/sews,πρόφασις,noun,ou)demia=s,οὐδείς,pronoun,genome/nhs,γίγνομαι,verb,e)k,ἐκ,preposition,lo/gwn,λόγος,noun,tinw=n,τις,pronoun,ou(/tws,οὕτως,adverb,ei)kh=|,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,e)/xqran,ἔχθρα,noun,a)nei/lonto,ἀναιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰκῇ,adverb,,,,,,,,,,,,,,,,,
to/te,τότε,adverb,gou=n,γοῦν,particle,e)k,ἐκ,preposition,tau/ths,οὗτος,pronoun,th=s,ὁ,article,o)rgh=s,ὀργή,noun,*klew/numos,Κλεώνυμος,proper,tau/tas,οὗτος,pronoun,poiei=tai,ποιέω,verb,ta\s,ὁ,article,diaqh/kas,διαθήκη,noun,ou)x,οὐ,adverb,h(mi=n,ἐγώ,pronoun,e)gkalw=n,ἐγκαλέω,verb,w(s,ὡς,conjunction,u(/steron,ὕστερος,adjective,lte)sw/qhgt,,,e)/legen,λέγω,verb,o(rw=n,ὁράω,verb,de\,δέ,particle,h(ma=s,ἐγώ,pronoun,e)pitropeuome/nous,u(po\,ὑπό,preposition,*deini/ou,Δεινίας,proper,kai\,καί,conjunction,dediw\s,δείδω,verb,mh\,μή,conjunction,teleuth/seien,τελευτάω,verb,au)to\s,αὐτός,pronoun,e)/ti,ἔτι,adverb,pai=das,παῖς,adjective,h(ma=s,ἐγώ,pronoun,katalipw\n,καταλιμπάνω,verb,kai\,καί,conjunction,th=s,ὁ,article,ou)si/as,οὐσία,adjective,h(mete/ras,ἡμέτερος,adjective,ou)/shs,εἰμί,verb,ge/noito,γίγνομαι,verb,ku/rios,κῦρος,noun,*deini/as,Δεινίας,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπιτροπεύω,verb,,,,,,,,,,,,,,,,,
h(gei=to,ἁγέομαι,verb,ga\r,γάρ,particle,deino\n,δεινός,adjective,ei)=nai,εἰμί,verb,to\n,ὁ,article,e)/xqiston,ἔχθιστος,adjective,tw=n,ὁ,article,oi)kei/wn,οἰκεῖος,adjective,e)pi/tropon,ἐπίτροπος,adjective,kai\,καί,conjunction,ku/rion,κύριος,adjective,tw=n,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,katalipei=n,καταλιμπάνω,verb,kai\,καί,conjunction,poiei=n,ποιέω,verb,au(tw=|,ἑαυτοῦ,pronoun,ta\,ὁ,article,nomizo/mena,νομίζω,verb,tou=ton,οὗτος,pronoun,e(/ws,ἕως,conjunction,h(mei=s,h(bh/saimen,ἡβάω,verb,w(=|,ὅς,pronoun,zw=n,ζάω,verb,dia/foros,διάφορος,adjective,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,dianohqei\s,διανοέομαι,verb,e)kei=nos,ἐκεῖνος,pronoun,ei)/t',εἴτε,adverb,o)rqw=s,ὀρθός,adjective,ei)/te,εἴτε,adverb,mh/,μή,conjunction,ta\s,ὁ,article,diaqh/kas,διαθήκη,noun,tau/tas,οὗτος,pronoun,die/qeto,διατίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,eu)qu\s,εὐθύς,adverb,e)rwtw=ntos,ἐρωτάω,verb,tou=,ὁ,article,*deini/ou,Δεινίας,proper,paraxrh=ma,παραχρῆμα,adverb,ei)/,εἰ,conjunction,ti,τις,pronoun,h(mi=n,ἐγώ,pronoun,h)\,ἠέ,conjunction,tw=|,ὁ,article,patri\,πατήρ,noun,e)gkalei=,ἐγκαλέω,verb,tw=|,ὁ,article,h(mete/rw|,ἡμέτερος,adjective,a)pekri/nato,ἀποκρίνω,verb,pa/ntwn,πᾶς,adjective,tw=n,ὁ,article,politw=n,πολίτης,noun,e)nanti/on,ἐναντίον,adverb,o(/ti,ὅστις,pronoun,ou)de\n,ponhro\n,πονηρός,adjective,e)gkalei=,ἐγκαλέω,verb,kai\,καί,conjunction,e)martu/rhsen,μαρτυρέω,verb,w(s,ὡς,conjunction,o)rgizo/menos,ὀργίζω,verb,e)kei/nw|,ἐκεῖνος,pronoun,kai\,καί,conjunction,ou)k,οὐ,adverb,o)rqw=s,ὀρθός,adjective,bouleuo/menos,βουλεύω,verb,tau=ta,οὗτος,pronoun,die/qeto,διατίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐδείς,pronoun,,,,,,,,,,,,,,,,,
pw=s,πῶς,adverb,ga\r,γάρ,particle,a)\n,ἄν,particle,eu)=,εὖ,adverb,fronw=n,φρονέω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,kakw=s,κακός,adjective,poiei=n,ποιέω,verb,h(ma=s,ἐγώ,pronoun,e)boulh/qh,βούλομαι,verb,tou\s,ὁ,article,mhde\n,μηδείς,pronoun,au)to\n,αὐτός,pronoun,h)dikhko/tas,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(/steron,ὕστερος,adjective,de\,δέ,particle,tou/twn,οὗτος,pronoun,o(\,ὅς,pronoun,me/giston,μέγας,adverb,h(mi=n,ἐγώ,pronoun,tekmh/rion,τεκμήριον,noun,o(/ti,ὅστις,pronoun,ou)de\,οὐδέ,particle,tau=ta,οὗτος,pronoun,e)/pracen,πράσσω,verb,h(ma=s,ἐγώ,pronoun,bla/ptein,βλάπτω,verb,boulo/menos,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
