word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS
kai\,καί,conjunction,labw\n,λαμβάνω,verb,para\,παρά,preposition,tou=,ὁ,article,ma/ntews,μάντις,noun,to\,ὁ,article,h(=par,ἧπαρ,noun,e)pe/qhke,ἐπιτίθημι,verb,me\n,μέν,particle,e)pi\,ἐπί,preposition,th\n,ὁ,article,u(pogegramme/nhn,xei=ra,χείρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὑπογράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kratw=n,κράς,verb,de\,δέ,particle,e)f',ἐπί,preposition,i(kano\n,ἱκανός,adjective,xro/non,χρόνος,noun,u(pe/faine,ὑποφαίνω,verb,distagmo\n,δισταγμός,noun,kai\,καί,conjunction,prospoi/hsin,προσποίησις,noun,ei)=xen,ἔχω,verb,a)porou=ntos,ἀφοράω,verb,me/xri,tw=|,ὁ,article,h(/pati,ἧπαρ,noun,sunanalhfqe/ntes,,,e)tupw/qhsan,τυπόω,verb,oi(,ἕ,pronoun,tw=n,ὁ,article,gramma/twn,γράμμα,noun,xarakth=res,χαρακτήρ,noun,,,,,,,,,,μέχρι,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to/te,τότε,adverb,toi=s,ὁ,article,sunagwni/zesqai,συναγωνίζομαι,verb,me/llousin,μέλλω,verb,e)pedei/knue,ἐπιδείκνυμι,verb,fa/menos,φημί,verb,tou\s,ὁ,article,qeou\s,θεός,noun,dia\,διά,preposition,tw=n,ὁ,article,gegramme/nwn,e)kfh=nai,ἐκφαίνω,verb,ni/khn,νίκη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,γράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)sfale\s,ἀσφαλής,adjective,ou)=n,οὖν,particle,tekmh/rion,τεκμήριον,noun,do/cantes,δοκέω,verb,e)/xein,ἔχω,verb,tou=,ὁ,article,krath=sai,κρατέω,verb,e)qa/rrhsan,θαρσέω,verb,pro\s,πρός,preposition,th\n,ὁ,article,ma/xhn,μάχη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peritafreuo/ntwn,περιταφρεύω,verb,de\,δέ,particle,tw=n,ὁ,article,polemi/wn,πολέμιος,adjective,to\,ὁ,article,strato/pedon,στρατόπεδον,noun,au)tou=,αὐτός,pronoun,dia\,διά,preposition,to\,ὁ,article,plh=qos,πλῆθος,noun,kai\,καί,conjunction,*nektana/bios,w(=|,ὅς,pronoun,sunema/xei,συμμαχέω,verb,a)ciou=ntos,ἀξιόω,verb,e)pecie/nai,ἐπέξειμι,verb,kai\,καί,conjunction,diama/xesqai,διαμάχομαι,verb,ou)k,οὐ,adverb,e)/fh,φημί,verb,diakwlu/sein,διακωλύω,verb,tou\s,ὁ,article,polemi/ous,πολέμιος,adjective,,,i)/sous,ἴσος,adjective,au)toi=s,αὐτός,pronoun,gene/sqai,γίγνομαι,verb,boulome/nous,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,de\,δέ,particle,mikro\n,μικρός,adjective,a)polipou/shs,ἀπολείπω,verb,th=s,ὁ,article,ta/frou,τάφρος,noun,suna/yai,συνάπτω,verb,kata\,κατά,preposition,tou=to,οὗτος,pronoun,parata/cas,παρατάσσω,verb,to\,ὁ,article,dialei=pon,kai\,καί,conjunction,pro\s,πρός,preposition,i)/sous,ἴσος,adjective,i)/sois,ἴσος,adjective,a)gwnisa/menos,ἀγωνίζομαι,verb,troph\n,τροπή,noun,e)poih/sato,ποιέω,verb,kai\,καί,conjunction,polu\n,πολύς,adjective,fo/non,φόνος,noun,tw=n,ὁ,article,διαλείπω,verb,polemi/wn,πολέμιος,adjective,o)li/gois,ὀλίγος,adjective,toi=s,ὁ,article,peri\,περί,preposition,au(to\n,ἑαυτοῦ,pronoun,stratiw/tais,στρατιώτης,adjective,kai\,καί,conjunction,xrh/mata,χρῆμα,adjective,polla\,πολύς,adjective,th=|,ὁ,article,po/lei,πόλις,adjective,diepe/myato,διαπέμπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kata\,κατά,preposition,de\,δέ,particle,to\n,ὁ,article,*ai)gu/ptou,Αἴγυπτος,proper,a)po/ploun,ἀπόπλοος,noun,a)poqnh/|skwn,ἀποθνήσκω,verb,e)netei/lato,ἐντέλλω,verb,toi=s,ὁ,article,peri\,περί,preposition,au(to\n,ἑαυτοῦ,pronoun,mh/te,μήτε,particle,plasta\n,mh/te,μήτε,particle,grapta\n,γραπτός,adjective,mh/te,μήτε,particle,mimhla\n,μιμηλός,adjective,tou=,ὁ,article,sw/matos,σῶμα,adjective,ei)ko/na,εἰκών,noun,poih/sasqai,ποιέω,verb,ei),εἰ,conjunction,ga/r,γάρ,particle,ti,τις,pronoun,πλαστός,adjective,kalo\n,καλός,noun,e)/rgon,ἔργον,noun,pepoi/hka,ποιέω,verb,tou=to/,οὗτος,pronoun,mou,ἐγώ,pronoun,mnhmei=on,μνημεῖον,noun,e)/stai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,mh/,μή,conjunction,ou)d',οὐδέ,particle,oi(,ὁ,article,pa/ntes,πᾶς,adjective,a)ndria/ntes,ἀνδριάς,noun,banau/swn,βάναυσος,adjective,kai\,καί,conjunction,ou)deno\s,οὐδείς,pronoun,a)ci/wn,ἄξιος,adjective,e)/rga,o)/ntes,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔργον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)aghsi/polis,Ἀγησίπολις,proper,o(,ὁ,article,*kleombro/tou,Κλεόμβροτος,proper,ei)po/ntos,εἶπον,verb,tino\s,τις,pronoun,o(/ti,ὅστις,pronoun,*fi/lippos,Φίλιππος,proper,e)n,ἐν,preposition,o)li/gais,ὀλίγος,adjective,h(me/rais,ἡμέρα,noun,*)/olunqon,Ὄλυνθος,proper,kate/skaye,ma\,μά,particle,tou\s,ὁ,article,qeou/s,θεός,noun,ei)=pen,εἶπον,verb,a)/llhn,ἄλλος,adjective,toiau/thn,τοιοῦτος,adjective,e)n,ἐν,preposition,pollaplasi/oni,πολλαπλασίων,adverb,xro/nw|,χρόνος,noun,ou)k,οὐ,adverb,oi)kodomh/sei,οἰκοδομέω,verb,κατασκάπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llou,ἄλλος,adjective,de\,δέ,particle,ei)po/ntos,εἶπον,verb,o(/ti,ὅστις,pronoun,meta\,μετά,preposition,tw=n,ὁ,article,a)kmazo/ntwn,ἀκμάζω,verb,basileu/wn,βασιλεύω,verb,w(mh/reuse,ὁμηρεύω,verb,kai\,καί,conjunction,ou)x,οὐ,adverb,oi(,pai=des,παῖς,adjective,ou)d',οὐδέ,particle,ai(,ὁ,article,gunai=kes,γυνή,noun,au)tw=n,αὐτός,pronoun,dikai/ws,δίκαιος,adjective,ei)=pen,εἶπον,verb,au)tou\s,αὐτός,pronoun,ga\r,γάρ,particle,h(ma=s,ἐγώ,pronoun,kalw=s,καλός,noun,ὁ,article,e)/xon,ἔχω,verb,e)sti\,εἰμί,verb,ta\s,ὁ,article,au(tw=n,ἑαυτοῦ,pronoun,a(marti/as,ἁμαρτία,noun,fe/rein,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boulome/nou,βούλομαι,verb,d',δέ,particle,au)tou=,αὐτός,pronoun,sku/lakas,σκύλαξ,noun,oi)/koqen,οἴκοθεν,adverb,metape/myasqai,μεταπέμπω,verb,w(/s,ὡς,conjunction,tis,τις,pronoun,ei)=pen,εἶπον,verb,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,e)cagwgh\,par',παρά,preposition,au)tw=n,αὐτός,pronoun,ou)de\,οὐδέ,particle,ga\r,γάρ,particle,a)ndrw=n,ἀνήρ,noun,e)/fh,φημί,verb,pro/sqen,πρόσθεν,adverb,a)lla\,ἀλλά,adverb,nu=n,νῦν,adverb,e)ge/neto,γίγνομαι,verb,,,,ἐξαγωγή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)aghsi/polis,Ἀγησίπολις,proper,o(,ὁ,article,*pausani/ou,Παυσανίης,proper,*)aqhnai/wn,Ἀθήναια,proper,pro\s,πρός,preposition,au)to\n,αὐτός,pronoun,peri\,περί,preposition,w(=n,ὅς,pronoun,ei)=xon,ἔχω,verb,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,e)gklhma/twn,th\n,ὁ,article,tw=n,ὁ,article,*megare/wn,Μεγάρη,proper,po/lin,πόλις,adjective,e)/kklhton,ἔκκλητος,adjective,lambano/ntwn,λαμβάνω,verb,ai)sxro/n,αἰσχρός,adjective,e)/fh,φημί,verb,w)=,ὦ,interjection,*)aqhnai=oi,Ἀθηναῖος,proper,tou\s,ὁ,article,ἔγκλημα,noun,a)fhghsame/nous,ἀφηγέομαι,verb,tw=n,ὁ,article,*(ellh/nwn,Ἕλλην,proper,h(=tton,ἥσσων,adverb,ei)de/nai,οἶδα,verb,*megare/wn,Μεγάρη,proper,to\,ὁ,article,di/kaion,δίκαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)=agis,Ἄγις,proper,o(,ὁ,article,*)arxida/mou,Ἀρχίδαμος,proper,tw=n,ὁ,article,e)fo/rwn,ἔφορος,noun,pote\,ποτός,adjective,ei)po/ntwn,εἶπον,verb,ba/dize,βαδίζω,verb,tou\s,ὁ,article,h(bw=ntas,ἡβάω,verb,e)/xwn,ἔχω,verb,e)pi\,th\n,ὁ,article,tou/tou,οὗτος,pronoun,patri/da,πατρίς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,ἐπί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(gh/setai,ἁγέομαι,verb,de/,δέ,particle,soi,σύ,pronoun,au)to\s,αὐτός,pronoun,ou(=tos,οὗτος,pronoun,e)pi\,ἐπί,preposition,th\n,ὁ,article,a)kro/polin,ἀκρόπολις,noun,kai\,καί,conjunction,pw=s,πῶς,adverb,ei)=pe,εἶπον,verb,kalw=s,e)/xon,ἔχω,verb,e)sti/n,εἰμί,verb,w)=,ὦ,interjection,e)/foroi,ἔφορος,noun,tosou/tous,τοσοῦτος,adjective,ne/ous,νέος,adjective,pisteu/ein,πιστεύω,verb,tw=|,ὁ,article,th\n,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,patri/da,πατρίς,adjective,καλός,noun,prodido/nti,προδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,,,e)rwthqei\s,ἐρωτάω,verb,de\,δέ,particle,ti/,τίς,pronoun,ma/lista,μάλιστα,adverb,ma/qhma,μάθημα,noun,e)n,ἐν,preposition,*spa/rth|,Σπάρτη,proper,a)skei=tai,ἀσκέω,verb,to\,ὁ,article,gignw/skein,γιγνώσκω,verb,ei)=pen,a)/rxein,ἄρχω,verb,te,τε,particle,kai\,καί,conjunction,a)/rxesqai,ἄρχω,verb,,,,,,,,,,,,,,,,,,,,,,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,e)/fh,φημί,verb,de\,δέ,particle,tou\s,ὁ,article,*lakedaimoni/ous,Λακεδαιμόνιος,proper,e)rwta=n,ἐρωτάω,verb,po/soi,πόσος,adjective,ei)si\n,εἰμί,verb,oi(,ὁ,article,pole/mioi,πολέμιος,adjective,a)lla\,ἀλλά,adverb,pou=,ei)si/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πού,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,de\,δέ,particle,*mantinei/a|,Μαντινεία,proper,kwluo/menos,κωλύω,verb,diama/xesqai,διαμάχομαι,verb,toi=s,ὁ,article,polemi/ois,πολέμιος,adjective,plei/osin,πλείων,verb,ou)=sin,εἰμί,verb,ei)=pen,εἶπον,verb,a)na/gkh,ἀνάγκη,noun,polloi=s,ma/xesqai,μάχομαι,verb,to\n,ὁ,article,a)/rxein,ἄρχω,verb,pollw=n,πολύς,adjective,boulo/menon,βούλομαι,verb,,,,,,,,,,,,,,,,,,,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
punqanome/nou,πυνθάνομαι,verb,de/,δέ,particle,tinos,τις,pronoun,po/soi,πόσος,adjective,ei)si\n,εἰμί,verb,oi(,ὁ,article,*lakedaimo/nioi,Λακεδαιμόνιος,proper,o(/soi,ὅσος,adjective,i(kanoi/,ἱκανός,adjective,ei)=pe,εἶπον,verb,tou\s,ὁ,article,kakou\s,a)peru/kein,ἀπερύκω,verb,e)n,ἐν,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dierxo/menos,διέρχομαι,verb,de\,δέ,particle,ta\,τίς,pronoun,tw=n,ὁ,article,*korinqi/wn,Κορίνθιος,proper,tei/xh,τεῖχος,noun,kai\,καί,conjunction,qeasa/menos,θεάομαι,verb,u(yhla/,ὑψηλός,adjective,te,τε,particle,kai\,καί,conjunction,o)xura\,e)pi\,ἐπί,preposition,polu\,πολύς,adjective,te,τε,particle,paratei/nonta,παρατείνω,verb,ti/nes,τίς,pronoun,ei)=pen,εἶπον,verb,ai(,ὁ,article,to\n,ὁ,article,to/pon,τόπος,noun,katoikou=sai,κατοικέω,verb,gunai=kes,γυνή,noun,ὀχυρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
