word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS
ka/tarxe,κατάρχω,verb,sofi/as,σοφία,noun,kai\,καί,conjunction,a)reth=s,ἀρετή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhde\,μηδέ,particle,e)ristiko\s,ἐριστικός,adjective,e)/so,,,pro\s,πρός,preposition,tou\s,ὁ,article,fi/lous,φῖλος,noun,mhde\,μηδέ,particle,xleuasth\s,χλευαστής,noun,kat',κατά,preposition,au)tw=n,αὐτός,pronoun,kai\,καί,conjunction,gelwtopoio/s,γελωτοποιός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeu=dos,ψεῦδος,noun,de\,δέ,particle,kai\,καί,conjunction,do/lon,δόλος,noun,kai\,καί,conjunction,u(/brin,ὕβρις,noun,i)sxurw=s,ἰσχυρός,adjective,parai/tou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\n,σύν,preposition,eu)fhmi/a|,εὐφημία,noun,de\,δέ,particle,fe/re,φέρω,verb,kai\,καί,conjunction,to\n,ὁ,article,u(perh/fanon,ὑπερήφανος,adjective,kai\,καί,conjunction,u(bristh\n,ὑβριστής,noun,w(s,ὡς,conjunction,pra=|o/s,πρᾶος,adjective,te,τε,particle,kai\,καί,conjunction,megalo/yuxos,μεγαλόψυχος,adjective,a)nh/r,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kei/sqw,κέω,verb,de/,δέ,particle,soi,σύ,pronoun,pa/nta,πᾶς,adjective,ei)s,εἰς,preposition,qeo\n,θεός,noun,kai\,καί,conjunction,e)/rga,ἔργον,noun,kai\,καί,conjunction,lo/goi,λόγος,noun,kai\,καί,conjunction,pa/nta,πᾶς,adjective,a)na/fere,ἀναφέρω,verb,*xristw=|,χριστός,adjective,ta\,ὁ,article,sautou=,σαυτοῦ,pronoun,kai\,καί,conjunction,puknw=s,πυκνός,adjective,e)pi\,ἐπί,preposition,qeo\n,θεός,noun,tre/pe,τρέπω,verb,th\n,ὁ,article,yuxh/n,ψυχή,noun,kai\,καί,conjunction,to\,ὁ,article,no/hma,νόημα,noun,e)pe/reide,ἐπερείδω,verb,th=|,ὁ,article,*xristou=,χριστός,adjective,duna/mei,δύναμις,adjective,w(/sper,ὥσπερ,adverb,e)n,ἐν,preposition,lime/ni,λιμήν,noun,tini\,τις,pronoun,tw=|,ὁ,article,qei/w|,θεῖος,noun,fwti\,φάος,adjective,tou=,ὁ,article,swth=ros,σωτήρ,noun,a)napauo/menon,ἀναπαύω,verb,a)po\,ἀπό,preposition,pa/shs,πᾶς,adjective,lalia=s,λαλιά,noun,te,τε,particle,kai\,καί,conjunction,pra/cews,πρᾶξις,adjective
kai\,καί,conjunction,meq',μετά,preposition,h(me/ran,ἡμέρα,noun,polla/kis,πολλάκις,adverb,me\n,μέν,particle,a)nqrw/pois,ἄνθρωπος,noun,koi/nou,κοινόω,verb,th\n,ὁ,article,seautou=,σαυτοῦ,pronoun,fro/nhsin,φρόνησις,noun,qew=|,θεός,noun,de\,δέ,particle,e)pi\,ἐπί,preposition,plei=ston,πλεῖστος,adjective,e)n,ἐν,preposition,nukti\,νύξ,adjective,o(moi/ws,ὅμοιος,adjective,kai\,καί,conjunction,e)n,ἐν,preposition,h(me/ra|,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,ga\r,γάρ,particle,u(/pnos,ὕπνος,noun,se,σύ,pronoun,e)pikratei/tw,ἐπικρατέω,verb,polu\s,πολύς,adjective,tw=n,ὁ,article,pro\s,πρός,preposition,qeo\n,θεός,noun,eu)xw=n,εὖχος,noun,te,τε,particle,kai\,καί,conjunction,u(/mnwn,ὕμνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qana/tw|,θάνατος,adjective,ga\r,γάρ,particle,o(,ὁ,article,makro\s,μακρός,adjective,u(/pnos,ὕπνος,noun,e)fa/millos,ἐφάμιλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/toxos,μέτοχος,adjective,*xristou=,χριστός,adjective,a)ei\,ἀεί,adverb,kaqi/staso,καθίστημι,verb,tou=,ὁ,article,th\n,ὁ,article,qei/an,θεῖος,adjective,au)gh\n,αὐγή,noun,katala/mpontos,καταλάμπω,verb,e)c,ἐκ,preposition,ou)ranou=,οὐρανός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)frosu/nh,εὐφροσύνη,noun,ga\r,γάρ,particle,e)/stw,εἰμί,verb,soi,σύ,pronoun,dihnekh\s,διηνεκής,adverb,kai\,καί,conjunction,a)/paustos,ἄπαυστος,adjective,o(,ὁ,article,*xristo/s,χριστός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*mhde\,μηδέ,particle,lu=e,λύω,verb,to\n,ὁ,article,th=s,ὁ,article,yuxh=s,ψυχή,noun,to/non,τόνος,noun,e)n,ἐν,preposition,eu)wxi/a|,εὐωχία,noun,kai\,καί,conjunction,potw=n,πότης,noun,a)ne/sei,ἄνεσις,adjective,i(kano\n,ἱκανός,adjective,de\,δέ,particle,h(gou=,ἁγέομαι,verb,tw=|,ὁ,article,sw/mati,σῶμα,adjective,to\,ὁ,article,xreiw=des,χρειώδης,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\,μή,conjunction,pro/sqen,πρόσθεν,adverb,e)pei/gou,ἐπείγω,verb,pro\s,πρός,preposition,trofa\s,τροφή,noun,pri\n,πρίν,adverb,h)\,ἠέ,conjunction,kai\,καί,conjunction,dei/pnou,δεῖπνον,noun,parh=|,πάρειμι,verb,kairo/s,καιρός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/rtos,ἄρτος,noun,de\,δέ,particle,e)/stw,εἰμί,verb,soi,σύ,pronoun,to\,ὁ,article,dei=pnon,δεῖπνον,noun,kai\,καί,conjunction,po/ai,πόα,noun,gh=s,γῆ,noun,prose/stwsan,πρόσειμι,verb,kai\,καί,conjunction,ta\,ὁ,article,e)k,ἐκ,preposition,de/ndrwn,δένδρον,adjective,w(rai=a,ὡραῖος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/qi,εἶμι,verb,de\,δέ,particle,e)pi\,ἐπί,preposition,th\n,ὁ,article,trofh\n,τροφή,noun,eu)staqw=s,εὐσταθής,adverb,kai\,καί,conjunction,mh\,μή,conjunction,lussw/dh,λυσσώδης,adjective,gastrimargi/an,γαστριμαργία,noun,e)pifai/nwn,ἐπιφαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhde\,μηδέ,particle,sarkobo/ros,σαρκοβόρος,adjective,mhde\,μηδέ,particle,fi/loinos,φίλοινος,adjective,e)/so,,,o(po/te,ὁπότε,adverb,mh\,μή,conjunction,no/sos,νόσος,noun,tis,τις,pronoun,i)/asin,εἶμι,verb,e)pi\,ἐπί,preposition,tau/thn,οὗτος,pronoun,a)/goi,ἄγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,a)nti\,ἀντί,preposition,tw=n,ὁ,article,e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,h(donw=n,ἡδονά,noun,ta\s,ὁ,article,e)n,ἐν,preposition,lo/gois,λόγος,noun,qei/ois,θεῖος,noun,kai\,καί,conjunction,u(/mnois,ὕμνος,noun,eu)frosu/nas,εὐφροσύνη,noun,ai(rou=,αἱρέω,verb,th=|,ὁ,article,para\,παρά,preposition,qeou=,θεός,noun,soi,σύ,pronoun,xorhgoume/nas,χορηγέω,verb,sofi/a|,σοφία,noun,ou)ra/nio/s,οὐράνιος,adjective,te,τε,particle,a)ei/,ἀεί,adverb,se,σύ,pronoun,fronti\s,φροντίς,noun,a)nage/tw,ἀνάγω,verb,pro\s,πρός,preposition,ou)rano/n,οὐρανός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kai\,καί,conjunction,ta\s,ὁ,article,polla\s,πολύς,adjective,peri\,περί,preposition,sw/matos,σῶμα,adjective,a)ni/ei,ἀνίημι,verb,meri/mnas,μέριμνα,noun,teqarshkw\s,θαρσέω,verb,e)lpi/si,ἐλπίς,noun,tai=s,ὁ,article,pro\s,πρός,preposition,qeo/n,θεός,noun,o(/ti,ὅστις,pronoun,soi/,σύ,pronoun,ge,γε,particle,ta\,ὁ,article,a)nagkai=a,ἀναγκαῖος,adjective,pare/cei,παραξέω,verb,diarkh=,διαρκής,adverb,trofh/n,τροφή,noun,te,τε,particle,th\n,ὁ,article,ei)s,εἰς,preposition,zwh\n,ζωή,noun,kai\,καί,conjunction,ka/lumma,κάλυμμα,noun,sw/matos,σῶμα,adjective,kai\,καί,conjunction,xeimerinou=,χειμερινός,adjective,yu/xous,ψῦχος,noun,a)lechth/ria,ἀλεξητήριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,ga\r,γάρ,particle,dh\,δή,particle,sou=,σύ,pronoun,basile/ws,βασιλεύς,noun,gh=,γῆ,noun,te,τε,particle,a(/pasa,ἅπας,adjective,kai\,καί,conjunction,o(/sa,ὅσος,adjective,e)kfu/etai,ἐκφύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
