word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/54/lemma/@_entry,word/54/lemma/@_POS
path\r,πατήρ,noun,d',δέ,particle,e)pe/neuse,ἐπινέω,verb,gela/ssas,γελάω,verb,fh=,φημί,verb,de\,δέ,particle,katarre/zwn,καταρρέζω,verb,'o(/te,ὅστε,pronoun,moi,ἐγώ,pronoun,toiau=ta,τοιοῦτος,adjective,qe/ainai,θέαινα,noun,ti/ktoien,τίκτω,verb,tutqo/n,τυτθός,adjective,ken,ἄν,particle,e)gw\,ἐγώ,pronoun,zhlh/monos,ζηλήμων,adjective,*(/hrhs,Ἥρα,proper,xwome/nhs,χάω,verb,a)le/goimi,ἀλέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe/reu,φέρω,verb,te/kos,τέκος,noun,o(/ss',ὅσος,adjective,e)qelhmo/s,ἐθελημός,adjective,ai)ti/zeis,αἰτίζω,verb,kai\,καί,conjunction,d',δέ,particle,a)/lla,ἄλλος,adjective,path\r,πατήρ,noun,e)/ti,ἔτι,adverb,mei/zona,μέγας,adverb,dw/sei,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri\s,τρίς,adverb,de/ka,δέκα,verb,toi,σύ,pronoun,ptoli/eqra,πτολίεθρον,adjective,kai\,καί,conjunction,ou)x,οὐ,adverb,e(/na,ἕνος,adjective,pu/rgon,πύργος,noun,o)pa/ssw,ὀπάζω,verb,tri\s,τρίς,adverb,de/ka,δέκα,verb,toi,σύ,pronoun,ptoli/eqra,πτολίεθρον,adjective,ta\,ὁ,article,mh\,μή,conjunction,qeo\n,θεός,noun,a)/llon,ἄλλος,adjective,a)e/cein,ἀέξω,verb,ei)/setai,εἶμι,verb,a)lla\,mo/nhn,μόνος,adjective,se\,σύ,pronoun,kai\,καί,conjunction,*)arte/midos,Ἄρτεμις,proper,kale/esqai,καλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀλλά,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polla\s,πολύς,adjective,de\,δέ,particle,cunh=i,ξυνός,adjective,po/lias,πόλις,adjective,diametrh/sasqai,διαμετρέω,verb,messo/gews,,,nh/sous,νῆσος,noun,te,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)n,ἐν,preposition,pa/shisin,πᾶς,adjective,e)/sontai,εἰμί,verb,*)arte/midos,Ἄρτεμις,proper,bwmoi/,βωμός,noun,te,τε,particle,kai\,καί,conjunction,a)/lsea,ἄλσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,me\n,μέν,particle,a)guiai=s,ἀγυιά,noun,e)/sshi,ἔσσομαι,verb,kai\,καί,conjunction,lime/nessin,λιμήν,noun,e)pi/skopos',ἐπίσκοπος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(\s,ὅς,pronoun,o(\,ὅς,pronoun,me\n,μέν,particle,ei)pw\n,εἶπον,verb,mu=qon,μῦθος,noun,e)pekrh/hne,ἐπικραίνω,verb,karh/ati,κάρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bai=ne,βαίνω,verb,de\,δέ,particle,kou/rh,κόρη,noun,leuko\n,λευκός,adjective,e)pi\,ἐπί,preposition,*krhtai=on,Κρηταῖος,proper,o)/ros,ὄρος,adjective,kekomhme/non,κομάω,verb,u(/lhi,ὕλη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nqen,ἔνθεν,adverb,e)p',ἐπί,preposition,*)wkeano/n,Ὠκεανός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pole/as,πολύς,adjective,d',δέ,particle,e)pele/cato,ἐπιλέγω,verb,nu/mfas,νύμφη,noun,xai=re,χαίρω,verb,de\,δέ,particle,*kai/ratos,,,potamo\s,ποταμός,noun,me/ga,μέγας,adverb,xai=re,χαίρω,verb,de\,δέ,particle,*thqu/s,Τηθύς,proper,ou(/neka,οὕνεκα,conjunction,qugate/ras,θυγάτηρ,adjective,*lhtwi/di,Λητῷος,proper,pe/mpon,πέμπω,verb,a)morbou/s,ἀμορβός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)=qi,αὖθι,adverb,de\,δέ,particle,*ku/klwpas,Κύκλωψ,proper,meteki/aqe,μετακιάθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,me\n,μέν,particle,e)/tetme,τέτμον,verb,nh/swi,νῆσος,noun,e)ni\,ἐν,preposition,*lipa/rhi,,,*lipa/rh,Λιπάρα,proper,ne/on,νέος,adjective,a)lla\,ἀλλά,adverb,to/t',τότε,adverb,e)/sken,εἰμί,verb,ou)/noma/,ὄνομα,adjective,oi(,ὁ,article,*meligouni/s),,,e)p',ἐπί,preposition,a)/kmosin,ἄκμων,noun,*(hfai/stoio,Ἥφαιστος,proper,e(stao/tas,ἵστημι,verb,peri\,περί,preposition,mu/dron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μύδρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei/geto,ἐπείγω,verb,ga\r,γάρ,particle,me/ga,μέγας,adverb,e)/rgon,ἔργον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(ppei/hn,ἱππεία,noun,tetu/konto,τεύχω,verb,*poseida/wni,Ποσειδεών,proper,poti/strhn,ποτίστρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,nu/mfai,νύμφη,noun,d',δέ,particle,e)/ddeisan,δείδω,verb,o(/pws,ὅπως,conjunction,i)/don,εἶδον,verb,ai)na\,αἰνός,adjective,pe/lwra,πέλωρον,noun,prho/sin,,,o)ssei/oisin,,,e)oiko/ta,ἔοικα,verb,pa=si,πᾶς,adjective,d',δέ,particle,u(p',ὑπό,preposition,o)fru/n,ὀφρύς,noun,fa/ea,φάος,adjective,mouno/glhna,,,sa/kei,σάκος,adjective,i)/sa,ἴσος,adjective,tetraboei/wi,deino\n,δεινός,adjective,u(poglau/ssonta,ὑπογλαύσσω,verb,kai\,καί,conjunction,o(ppo/te,ὁπότε,adverb,dou=pon,δοῦπος,noun,a)/kousan,ἀέκων,adjective,a)/kmonos,ἄκμων,noun,h)xh/santos,ἠχέω,verb,e)pi\,ἐπί,preposition,me/ga,μέγας,adverb,poulu/,πολύς,adjective,t',τε,particle,a)/hma,ἄημα,noun,fusa/wn,φύω,verb,au)tw=n,αὐτός,pronoun,te,τε,particle,baru\n,βαρύς,adjective,sto/non,στόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)=e,αὔω,verb,ga\r,γάρ,particle,*ai)/tnh,Αἴτνη,proper,au)=e,αὔω,verb,de\,δέ,particle,*trinaki/h,Τρινάκιος,proper,*sikanw=n,Σικανός,proper,e(/dos,ἕδος,noun,au)=e,αὔω,verb,de\,δέ,particle,gei/twn,γείτων,noun,*)itali/h,Ἰταλία,proper,mega/lhn,μέγας,adverb,de\,δέ,particle,boh\n,βοή,noun,e)pi\,ἐπί,preposition,*ku/rnos,Κύρνος,proper,a)u/tei,ἀυτέω,verb,eu)=q',εὖτε,conjunction,oi(/,ge,γε,particle,rr(aisth=ras,,,a)eira/menoi,ἀείρω,verb,u(pe\r,ὑπέρ,preposition,w)/mwn,ὦμος,noun,h)\,ἠέ,conjunction,xalko\n,χαλκός,noun,zei/onta,,,kamino/qen,,,h)e\,ἠέ,conjunction,si/dhron,σίδηρον,noun,a)mboladi\s,ἀμβολαδίς,adverb,tetupo/ntes,,,e)pi\,ἐπί,preposition,me/ga,μέγας,adverb,moxqh/seian,,,,,,,,,,,,,,,,,,,,,,,,,ἕ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=i,τίς,pronoun,sfe/as,σφεῖς,pronoun,ou)k,οὐ,adverb,e)ta/lassan,τλάω,verb,a)khde/es,ἀκηδής,adverb,*)wkeani=nai,Ὠκεανίνη,proper,ou)/t',οὔτε,adverb,a)/nthn,ἄντην,adverb,i)de/ein,εἶδον,verb,ou)/te,οὔτε,adverb,ktu/pon,κτύπος,noun,ou)/asi,οὖς,noun,de/xqai,δέχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
