word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/lemma/@_entry,word/12/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS
pa/lai,πάλαι,adverb,me\n,μέν,particle,dh\,δή,particle,noma/das,νομάς,noun,ei)=nai,εἰμί,verb,*)indou/s,Ἰνδός,proper,kata/per,καθά,adverb,*skuqe/wn,Σκύθης,proper,tou\s,ὁ,article,ou)k,οὐ,adverb,a)roth=ras,ἀροτήρ,adjective,oi(\,e)n,th=|sin,ὁ,article,a(ma/ch|si,planeu/menoi,,,a)/llote,ἄλλοτε,adverb,a)/llhn,ἄλλος,adjective,ἕ,pronoun,ἐν,preposition,ἄμαξα,noun,th=s,ὁ,article,*skuqi/hs,Σκύθιος,proper,a)mei/bousin,ἀμείβω,verb,ou)/te,οὔτε,adverb,po/lias,πόλις,adjective,oi)ke/ontes,οἰκέω,verb,ou)/te,οὔτε,adverb,i(ra\,ἱερός,adjective,qew=n,θέα,noun,se/bontes,σέβω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,mhde\,μηδέ,particle,*)indoi=si,Ἰνδός,proper,po/lias,πόλις,adjective,ei)=nai,εἰμί,verb,mhde\,μηδέ,particle,i(ra\,ἱερός,adjective,qew=n,θέα,noun,dedomhme/na,δομάω,verb,a)lla\,ἀλλά,adverb,a)mpi/sxesqai,ἀμφίσχω,verb,me\n,dora\s,qhri/wn,θηρίον,noun,o(/swn,kataka/noien,κατακαίνω,verb,site/esqai,σιτέομαι,verb,de\,δέ,particle,μέν,particle,δορά,noun,ὅσος,adjective,tw=n,ὁ,article,dendre/wn,δένδρεον,noun,to\n,ὁ,article,floio/n,φλοιός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kale/esqai,καλέω,verb,de\,δέ,particle,ta\,ὁ,article,de/ndrea,δένδρεον,noun,tau=ta,οὗτος,pronoun,th=|,ὁ,article,*)indw=n,Ἰνδή,proper,fwnh=|,φωνή,noun,ta/la,,,kai\,καί,conjunction,fu/esqai,φύω,verb,e)p',au)tw=n,kata/per,καθά,adverb,tw=n,foini/kwn,φοῖνιξ,noun,e)pi\,ἐπί,preposition,th=|si,ὁ,article,ἐπί,preposition,αὐτός,pronoun,ὁ,article,korufh=|sin,κορυφή,noun,oi(=a/,οἷος,adjective,per,πέρ,particle,tolu/pas,τολύπη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site/esqai,σιτέομαι,verb,de\,δέ,particle,kai\,καί,conjunction,tw=n,ὁ,article,qhri/wn,θηρίον,noun,o(/sa,ὅσος,adjective,e(/loien,αἱρέω,verb,w)mofage/ontas,ὠμοφαγέω,verb,pri/n,πρίν,adverb,ge,γε,particle,dh\,δή,particle,*dio/nuson,e)lqei=n,e)s,εἰς,preposition,th\n,xw/rhn,χώρα,noun,th\n,ὁ,article,*)indw=n,Ἰνδή,proper,Διόνυσος,proper,ἔρχομαι,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dio/nuson,Διόνυσος,proper,de\,δέ,particle,e)lqo/nta,ἔρχομαι,verb,w(s,ὡς,conjunction,kartero\s,καρτερός,adjective,e)ge/neto,γίγνομαι,verb,*)indw=n,Ἰνδή,proper,po/lia/s,πόλις,adjective,te,τε,particle,oi)ki/sai,οἰκίζω,verb,kai\,καί,conjunction,no/mous,qe/sqai,th=|si,ὁ,article,po/lisin,oi)/nou,οἶνον,noun,te,τε,particle,doth=ra,δοτήρ,noun,νόμος,noun,τίθημι,verb,πόλις,adjective,*)indoi=si,Ἰνδός,proper,gene/sqai,γίγνομαι,verb,kata/per,καθά,adverb,*(/ellhsi,Ἕλλην,proper,kai\,καί,conjunction,spei/rein,σπείρω,verb,dida/cai,διδάσκω,verb,th\n,ὁ,article,gh=n,γῆ,noun,dido/nta,δίδωμι,verb,au)to\n,αὐτός,pronoun,spe/rmata,σπέρμα,noun,h)\,ἠέ,conjunction,ou)k,οὐ,adverb,e)la/santos,ἐλαύνω,verb,tau/th|,οὗτος,pronoun,*triptole/mou,Τριπτόλεμος,proper,o(/te,ὅτε,conjunction,per,πέρ,particle,e)k,ἐκ,preposition,*dh/mhtros,Δημήτηρ,proper,e)sta/lh,σταλάω,verb,spei/rein,σπείρω,verb,gh=n,γῆ,noun,pa=san,πᾶς,adjective,h)\,ἠέ,conjunction,pro\,πρό,preposition,*triptole/mou,Τριπτόλεμος,proper,tis,τις,pronoun,ou(=tos,οὗτος,pronoun,*dio/nusos,Διόνυσος,proper,e)pelqw\n,ἐπέρχομαι,verb,th\n,ὁ,article,*)indw=n,Ἰνδή,proper,gh=n,γῆ,noun,spe/rmata/,σπέρμα,noun,sfisin,σφεῖς,pronoun,e)/dwke,δίδωμι,verb,karpou=,καρπός,noun,tou=,ὁ,article,h(me/rou,ἥμερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo/as,βόα,noun,te,τε,particle,u(p',ὑπό,preposition,a)/rotron,ἄροτρον,adjective,zeu=cai,ζεύγνυμι,verb,*dio/nuson,Διόνυσος,proper,prw=ton,πρότερος,adjective,kai\,καί,conjunction,a)roth=ras,ἀροτήρ,adjective,a)nti\,ἀντί,preposition,noma/dwn,νομάς,noun,poih=sai,*)indw=n,tou\s,ὁ,article,pollou/s,kai\,καί,conjunction,o(pli/sai,ὁπλίζω,verb,o(/ploisi,ὅπλον,noun,ποιέω,verb,Ἰνδή,proper,πολύς,adjective,toi=sin,τίς,pronoun,a)rhi/oisi,ἄρειος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,qeou\s,θεός,noun,se/bein,σέβω,verb,o(/ti,ὅστις,pronoun,e)di/dace,διδάσκω,verb,*dio/nusos,Διόνυσος,proper,a)/llous,ἄλλος,adjective,te,τε,particle,kai\,καί,conjunction,ma/lista,μάλιστα,adverb,dh\,δή,particle,e(wuto\n,kumbali/zontas,kai\,καί,conjunction,tumpani/zontas,,,,,,,,,,ἑαυτοῦ,pronoun,κυμβαλίζω,verb,τυμπανίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,o)/rxhsin,ὄρχησις,noun,de\,δέ,particle,dida/cai,διδάσκω,verb,th\n,ὁ,article,saturikh/n,σατυρικός,adjective,to\n,ὁ,article,ko/rdaka,κόρδαξ,noun,par',παρά,preposition,*(/ellhsi,Ἕλλην,proper,kaleo/menon,καλέω,verb,kai\,koma=n,*)indou\s,Ἰνδός,proper,tw=|,qew=|,θεός,noun,,,,,,,καί,conjunction,κομάω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitrhfore/ein,μιτρηφορέω,verb,te,τε,particle,a)nadei=cai,ἀναδείκνυμι,verb,kai\,καί,conjunction,mu/rwn,μῦρος,noun,a)loifa\s,ἀλοιφή,noun,e)kdida/cai,ἐκδιδάσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)pio/nta,ἄπειμι,verb,de\,δέ,particle,e)k,ἐκ,preposition,th=s,ὁ,article,*)indw=n,Ἰνδή,proper,gh=s,γῆ,noun,w(/s,ὡς,conjunction,oi(,ἕ,pronoun,tau=ta,οὗτος,pronoun,e)kekosmhto,,,katasth=sai,καθίστημι,verb,basile/a,th=s,xw/rhs,χώρα,noun,*spate/mban,tw=n,ὁ,article,e(tai/rwn,ἑταῖρος,noun,to\n,ὁ,article,βασιλεύς,noun,ὁ,article,,,bakxwde/staton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teleuth/santos,τελευτάω,verb,de\,δέ,particle,*spate/mba,,,th\n,ὁ,article,basilhi/hn,βασιλεία,noun,e)kde/casqai,ἐκδέχομαι,verb,*boudu/an,,,to\n,ὁ,article,tou/tou,οὗτος,pronoun,pai=da,παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\n,ὁ,article,me\n,μέν,particle,penth/konta,πεντήκοντα,verb,kai\,καί,conjunction,du/o,δύο,adjective,e)/tea,ἔτης,noun,basileu=sai,βασιλεύω,verb,*)indw=n,Ἰνδή,proper,to\n,ὁ,article,pate/ra,πατήρ,noun,to\n,de\,pai=da,παῖς,adjective,ei)/kosin,e)/tea,ἔτης,noun,,,,,,,ὁ,article,δέ,particle,εἴκοσι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou/tou,οὗτος,pronoun,pai=da,παῖς,adjective,e)kde/casqai,ἐκδέχομαι,verb,th\n,ὁ,article,basilhi/hn,βασιλεία,noun,*kradeu/an,,,kai\,καί,conjunction,to\,ὁ,article,a)po\,ἀπό,preposition,tou=de,ὅδε,pronoun,to\,pollo\n,me\n,μέν,particle,kata\,ge/nos,γένος,noun,a)mei/bein,ἀμείβω,verb,th\n,ὁ,article,ὁ,article,πολύς,adjective,κατά,preposition,basilhi/hn,βασιλεία,noun,pai=da,παῖς,adjective,para\,παρά,preposition,patro\s,πατήρ,noun,e)kdeko/menon,ἐκδέχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,e)klei/poi,ἐκλείπω,verb,to\,ὁ,article,ge/nos,γένος,noun,ou(/tw,οὕτως,adverb,dh\,δή,particle,a)risti/ndhn,ἀριστίνδην,adverb,kati/stasqai,καθίστημι,verb,*)indoi=si,Ἰνδός,proper,basile/as,βασιλεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(hrakle/a,Ἡράκλεα,proper,de/,δέ,particle,o(/ntina,ὅστις,pronoun,e)s,εἰς,preposition,*)indou\s,Ἰνδός,proper,a)pike/sqai,ἀφικνέομαι,verb,lo/gos,λόγος,noun,kate/xei,καταχέω,verb,par',παρά,preposition,au)toi=sin,αὐτός,pronoun,*)indoi=si,Ἰνδός,proper,ghgene/a,le/gesqai,,,,,,,,,,,,,,γηγενής,adjective,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=ton,οὗτος,pronoun,to\n,ὁ,article,*(hrakle/a,Ἡράκλεα,proper,ma/lista,μάλιστα,adverb,pro\s,πρός,preposition,*sourashnw=n,,,gerai/resqai,γεραίρω,verb,*)indikou=,Ἰνδικός,adjective,e)/qneos,ἔθνος,adjective,i(/na,ἵνα,conjunction,du/o,δύο,adjective,po/lies,mega/lai,*me/qora/,,,te,kai\,καί,conjunction,*kleiso/bora,,,,,,πόλις,adjective,μέγας,adverb,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,potamo\s,ποταμός,noun,*)iwba/rhs,,,plwto\s,πλωτός,adjective,diarre/ei,διαρρέω,verb,th\n,ὁ,article,xw/rhn,χώρα,noun,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,skeuh\n,σκευή,noun,de\,δέ,particle,ou(=tos,οὗτος,pronoun,o(,ὁ,article,*(hrakle/hs,Ἡράκλεα,proper,h(/ntina,ὅστις,pronoun,e)fo/ree,ἐφοράω,verb,*megasqe/nhs,Μεγασθένης,proper,le/gei,λέγω,verb,o(/ti,ὅστις,pronoun,o(moi/hn,tw=|,*qhbai/w|,Θηβαῖος,proper,*(hrakle/i+,w(s,ὡς,conjunction,au)toi\,αὐτός,pronoun,*)indoi\,Ἰνδός,proper,ὅμοιος,adjective,ὁ,article,,,a)phge/ontai,ἀφηγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou/tw|,οὗτος,pronoun,a)/rsenas,ἄρσην,noun,me\n,μέν,particle,pai=das,παῖς,adjective,pollou\s,πολύς,adjective,ka/rta,κάρτα,adverb,gene/sqai,γίγνομαι,verb,e)n,ἐν,preposition,th=|,ὁ,article,*)indw=n,Ἰνδή,proper,gh=|,pollh=|si,ga\r,γάρ,particle,dh\,gunaici\n,γυνή,noun,e)s,εἰς,preposition,ga/mon,γάμος,adjective,γῆ,noun,πολύς,adjective,δή,particle,e)lqei=n,ἔρχομαι,verb,kai\,καί,conjunction,tou=ton,οὗτος,pronoun,to\n,ὁ,article,*(hrakle/a,Ἡράκλεα,proper,qugate/ra,θυγάτηρ,adjective,de\,δέ,particle,mounogene/hn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/noma,ὄνομα,adjective,de\,δέ,particle,ei)=nai,εἰμί,verb,th=|,ὁ,article,paidi\,παῖς,adjective,*pandai/hn,,,kai\,καί,conjunction,th\n,ὁ,article,xw/rhn,χώρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(/na,ἵνα,conjunction,te,τε,particle,e)ge/neto,γίγνομαι,verb,kai\,καί,conjunction,h(=stinos,ὅστις,pronoun,e)pe/treyen,ἐπιτρέπω,verb,au)th=|,αὐτός,pronoun,a)/rxein,ἄρχω,verb,*(hrakle/hs,Ἡράκλεα,proper,th=s,ὁ,article,paido\s,παῖς,adjective,e)pw/numon,,,,,,,,,,,,,,,ἐπώνυμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau/th|,ταύτῃ,adverb,e)le/fantas,ἐλέφας,adjective,me\n,μέν,particle,gene/sqai,γίγνομαι,verb,e)k,ἐκ,preposition,tou=,ὁ,article,patro\s,πατήρ,noun,e)s,εἰς,preposition,pentakosi/ous,πεντακόσιοι,adjective,i(/ppon,ἵππος,noun,de\,e)s,tetrakisxili/hn,,,pezw=n,de\,δέ,particle,e)s,εἰς,preposition,ta\s,ὁ,article,δέ,particle,εἰς,preposition,πεζός,adjective,triskai/deka,τρεισκαίδεκα,noun,muria/das,μυριάς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
