word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS
gnw/setai,γιγνώσκω,verb,de\,δέ,particle,lo/gous,λόγος,noun,tis,τις,pronoun,e)n,ἐν,preposition,ma/kei,μᾶκος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,kurei=,κυρέω,verb,tis,τις,pronoun,pe/las,πέλας,adverb,oi)wnopo/lwn,οἰωνοπόλος,noun,e)/ggaios,ἔγγαιος,adjective,oi)=kton,οἶκτος,noun,a)i/wn,ἀίω,verb,doca/sei,δοξάζω,verb,tis,τις,pronoun,a)kou/ein,ἀκούω,verb,o)/pa,ὄψ,noun,ta=s,ὁ,article,*threi/+as,Τήρεια,proper,*mh/tidos,Μήτις,proper,oi)ktra=s,οἰκτρός,adjective,a)lo/xou,ἄλοχος,adjective,kirkhla/tou,κιρκήλατος,adjective,t',τε,particle,a)hdo/nos,ἀηδών,noun,a(/t',ἅτε,adverb,a)po\,ἀπό,preposition,xlwrw=n,χλωρός,adjective,peta/lwn,πέταλον,noun,e)rgome/na,ἔργνυμι,verb,penqei=,πενθέω,verb,me\n,μέν,particle,oi)=kton,οἶκτος,noun,h)qe/wn,ἦθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cunti/qhsi,συντίθημι,verb,de\,δέ,particle,paido\s,παῖς,adjective,mo/ron,μόρον,noun,w(s,ὡς,conjunction,au)tofo/nws,αὐτόφονος,adjective,w)/leto,ὄλλυμι,verb,pro\s,πρός,preposition,xeiro\s,χείρ,noun,e(/qen,ἕ,pronoun,dusma/toros,δυσμάτωρ,adjective,ko/tou,κότος,noun,tuxw/n,τυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw\s,τώς,adverb,kai\,καί,conjunction,e)gw\,ἐγώ,pronoun,filo/durtos,φιλόδυρτος,adjective,*)iaoni/oisi,Ἰαόνιος,proper,no/moisi,νόμος,noun,da/ptw,δάπτω,verb,ta\n,ὁ,article,a(pala\n,ἁπαλός,adjective,*neiloqerh=,Νειλοθερής,proper,pareia\n,παρειά,noun,a)peiro/dakru/n,ἀπειρόδακρυς,adjective,te,τε,particle,kardi/an,καρδία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goedna\,γοεδνός,adjective,d',δέ,particle,a)nqemi/zomai,ἀνθεμίζομαι,verb,deimai/nousa,δειμαίνω,verb,fi/lous,φῖλος,noun,ta=sde,ὅδε,pronoun,fuga=s,φυγή,noun,a)eri/as,ἀέριος,adjective,a)po\,ἀπό,preposition,ga=s,γῆ,noun,ei)/,εἰ,conjunction,tis,τις,pronoun,e)sti\,εἰμί,verb,khdemw/n,κηδεμών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla/,ἀλλά,adverb,qeoi\,θεός,noun,gene/tai,γενέτης,noun,klu/et',κλύω,verb,eu)=,εὖ,adverb,to\,ὁ,article,di/kaion,δίκαιος,adjective,i)do/ntes,εἶδον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/ba|,ἥβη,noun,mh\,μή,conjunction,te/leon,τέλειος,adjective,do/ntes,δίδωμι,verb,e)/xein,ἔχω,verb,par',παρά,preposition,ai)=san,Αἶσα,proper,u(/brin,ὕβρις,noun,d',δέ,particle,e(toi/mws,ἑτοῖμος,adjective,stugou=ntes,στυγέω,verb,pe/loit',πέλω,verb,a)\n,ἄν,particle,e)/ndikoi,ἔνδικος,adjective,ga/mois,γάμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,de\,δέ,particle,ka)k,ἐκ,preposition,pole/mou,πόλεμος,noun,teirome/nois,τείρω,verb,bwmo\s,βωμός,noun,a)rh=s,ἀρά,noun,fuga/sin,φυγάς,noun,r(u=ma,ῥῦμα,noun,daimo/nwn,δαίμων,adjective,se/bas,σέβας,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)=,εὖ,adverb,d',δέ,particle,ei)/h,ἀίω,verb,*dio/qen,Ζεύς,proper,panalhqw=s,παναληθής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dio\s,Ζεύς,proper,i(/meros,ἵμερος,adjective,ou)k,οὐ,adverb,eu)qh/ratos,εὐθήρατος,adjective,e)tu/xqh,τεύχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panta=|,πάντῃ,adverb,toi,τοι,particle,flege/qei,φλεγέθω,verb,ka)n,ἐν,preposition,sko/tw|,σκότος,noun,melai/na|,μέλας,adjective,cu\n,σύν,preposition,tu/xa|,τύχη,noun,mero/pessi,μέροψ,noun,laoi=s,λαός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi/ptei,πίπτω,verb,d',δέ,particle,a)sfale\s,ἀσφαλής,adjective,ou)d',οὐδέ,particle,e)pi\,ἐπί,preposition,nw/tw|,νῶτον,noun,korufa=|,κορυφή,noun,*dio\s,Ζεύς,proper,ei),εἰ,conjunction,kranqh=|,κραίνω,verb,pra=gma,πρᾶγμα,noun,te/leion,τέλειος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dauloi\,δαυλός,adjective,ga\r,γάρ,particle,prapi/dwn,πραπίδες,noun,da/skioi/,δάσκιος,adjective,te,τε,particle,tei/nousin,τείνω,verb,po/roi,πόρος,noun,katidei=n,κατεῖδον,verb,a)/frastoi,ἄφραστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)a/ptei,ἰάπτω,verb,d',δέ,particle,e)lpi/dwn,ἐλπίς,noun,a)f',ἀπό,preposition,u(yipu/rgwn,ὑψίπυργος,adjective,panw/leis,πανώλης,adjective,brotou/s,βροτός,noun,bi/an,βία,adjective,d',δέ,particle,ou)/tin',οὔτις,pronoun,e)copli/zei,ἐξοπλίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa=n,πᾶς,adjective,a)/ponon,ἄπονος,adjective,daimoni/wn,δαιμόνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/menos,ἧμαι,verb,o(\n,ὅς,pronoun,fro/nhma/,φρόνημα,noun,pws,πως,particle,au)to/qen,αὐτόθεν,adverb,e)ce/pracen,ἐκπράσσω,verb,e)/mpas,ἔμπας,adverb,e(dra/nwn,ἕδρανον,noun,e)f',ἐπί,preposition,a(gnw=n,ἁγνός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)de/sqw,εἶδον,verb,d',δέ,particle,ei)s,εἰς,preposition,u(/brin,ὕβρις,noun,bro/teion,βρότειος,adjective,oi(/a,οἷος,adjective,nea/zei,νεάζω,verb,puqmh\n,πυθμήν,noun,di',διά,preposition,a(mo\n,ἁμός,adjective,ga/mon,γάμος,adjective,teqalw\s,θάλλω,verb,dusparabou/loisi,δυσπαράβουλος,adjective,fresi/n,φρήν,noun,kai\,καί,conjunction,dia/noian,διάνοια,noun,maino/lin,μαινόλις,noun,ke/ntron,κέντρον,noun,e)/xwn,ἔχω,verb,a)/fukton,ἄφυκτος,adjective,a)/tan,ἄτη,noun,d',δέ,particle,a)pa/ta|,,,metagnou/s,μεταγιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toiau=ta,τοιοῦτος,adjective,pa/qea,πάθος,adjective,me/lea,μέλεος,adjective,qreome/na,θράομαι,verb,le/gw,λέγω,verb,lige/a,λιγύς,adjective,bare/a,βαρύς,adjective,dakruopeth=,δακρυοπετής,adjective,i)h\,ἰή,interjection,i)h/,ἰή,interjection,i)hle/moisin,ἰάλεμος,noun,e)mpreph=,ἐμπρεπής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zw=sa,ζάω,verb,go/ois,γόος,noun,me,ἐγώ,pronoun,timw=,τιμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
