word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS
tou/tous,οὗτος,pronoun,e)n,ἐν,preposition,eu)xai=s,εὐχή,noun,froimia/zomai,φροιμιάζομαι,verb,qeou/s,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*palla\s,Παλλάς,proper,pronai/a,πρόναος,adjective,d',δέ,particle,e)n,ἐν,preposition,lo/gois,λόγος,noun,presbeu/etai,πρεσβεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se/bw,σέβω,verb,de\,δέ,particle,nu/mfas,νύμφη,noun,e)/nqa,ἔνθα,adverb,*kwruki\s,Κωρύκιος,proper,pe/tra,πέτρα,noun,koi/lh,κόιλος,adjective,fi/lornis,φίλορνις,noun,daimo/nwn,δαίμων,adjective,a)nastrofh/,ἀναστροφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*bro/mios,Βρόμιος,proper,e)/xei,ἔχω,verb,to\n,ὁ,article,xw=ron,χῶρος,noun,ou)d',οὐδέ,particle,a)mnhmonw=,ἀμνημονέω,verb,e)c,ἐκ,preposition,ou(=te,ὅστε,pronoun,*ba/kxais,Βάκχη,proper,e)strath/ghsen,στρατηγέω,verb,qeo/s,θεός,noun,lagw\,λαγῶς,noun,di/khn,δίκη,adjective,*penqei=,Πενθεύς,proper,katarra/yas,καταρράπτω,verb,mo/ron,μόρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*pleistou=,Πλειστός,proper,te,τε,particle,phga\s,πηγάς,noun,kai\,καί,conjunction,*poseidw=nos,Ποσειδῶν,proper,kra/tos,κράτος,noun,kalou=sa,καλέω,verb,kai\,καί,conjunction,te/leion,τέλειος,adjective,u(/yiston,ὕψιστος,adjective,*di/a,Δίη,proper,e)/peita,ἔπειτα,adverb,ma/ntis,μάντις,noun,e)s,εἰς,preposition,qro/nous,θρόνος,noun,kaqiza/nw,καθιζάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,tuxei=n,τυγχάνω,verb,me,ἐγώ,pronoun,tw=n,ὁ,article,pri\n,πρίν,adverb,ei)so/dwn,εἴσοδος,noun,makrw=|,μακρός,adjective,a)/rista,ἄριστος,adjective,doi=en,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei),εἰ,conjunction,par',παρά,preposition,*(ellh/nwn,Ἕλλην,proper,tine/s,τις,pronoun,i)/twn,εἶμι,verb,pa/lw|,πᾶλος,noun,laxo/ntes,λαγχάνω,verb,w(s,ὡς,conjunction,nomi/zetai,νομίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manteu/omai,μαντεύομαι,verb,ga\r,γάρ,particle,w(s,ὡς,conjunction,a)\n,ἄν,particle,h(gh=tai,ἡγέομαι,verb,qeo/s,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,deina\,δεινός,adjective,le/cai,λέγω,verb,deina\,δεινός,adjective,d',δέ,particle,o)fqalmoi=s,ὀφθαλμός,noun,drakei=n,δέρκομαι,verb,pa/lin,πάλιν,adverb,m',ἐγώ,pronoun,e)/pemyen,πέμπω,verb,e)k,ἐκ,preposition,do/mwn,δόμος,noun,tw=n,ὁ,article,*loci/ou,Λοξίας,proper,w(s,ὡς,conjunction,mh/te,μήτε,particle,swkei=n,σωκέω,verb,mh/te,μήτε,particle,m',ἐγώ,pronoun,a)ktai/nein,ἀκταίνω,verb,ba/sin,βάσις,adjective,tre/xw,τρέχω,verb,de\,δέ,particle,xersi/n,χείρ,noun,ou),οὐ,adverb,podwkei/a|,ποδώκεια,noun,skelw=n,σκέλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei/sasa,δείδω,verb,ga\r,γάρ,particle,grau=s,γραῦς,adjective,ou)de/n,οὐδείς,pronoun,a)nti/pais,ἀντίπαις,noun,me\n,μέν,particle,ou)=n,οὖν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,me\n,μέν,particle,e(/rpw,ἕρπω,verb,pro\s,πρός,preposition,polustefh=,πολυστεφής,adjective,muxo/n,μυχός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(rw=,ὁράω,verb,d',δέ,particle,e)p',ἐπί,preposition,o)mfalw=|,ὀμφαλός,noun,me\n,μέν,particle,a)/ndra,ἀνήρ,noun,qeomush=,θεομυσής,adjective,e(/dran,ἕδρα,noun,e)/xonta,ἔχω,verb,prostro/paion,προσχράω,verb,ai(/mati,αἷμα,noun,sta/zonta,στάζω,verb,xei=ras,χείρ,noun,kai\,καί,conjunction,neospade\s,νεοσπαδής,adjective,ci/fos,ξίφος,noun,e)/xont',ἔχω,verb,e)lai/as,ἐλαία,noun,q',τε,particle,u(yige/nnhton,ὑψιγέννητος,adjective,kla/don,κλάδος,adjective,lh/nei,λῆνος,noun,megi/stw|,μέγας,adverb,swfro/nws,σώφρων,noun,e)stemme/non,στέφω,verb,a)rgh=ti,ἀργής,noun,mallw=|,μαλλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=|de,ὅδε,pronoun,ga\r,γάρ,particle,tranw=s,τρανής,adverb,e)rw=,ἐράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro/sqen,πρόσθεν,adverb,de\,δέ,particle,ta)ndro\s,ἀνήρ,noun,tou=de,ὅδε,pronoun,qaumasto\s,θαυμαστός,adjective,lo/xos,λόχος,noun,eu(/dei,εὕδω,verb,gunaikw=n,γυνή,noun,e)n,ἐν,preposition,qro/noisin,θρόνον,noun,h(/menos,ἧμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/toi,οὔτοι,adverb,gunai=kas,γυνή,noun,a)lla\,ἀλλά,adverb,*gorgo/nas,Γοργόνη,proper,le/gw,λέγω,verb,ou)d',οὐδέ,particle,au)=te,αὖτε,adverb,*gorgei/oisin,Γόργειος,proper,ei)ka/sw,εἰκάζω,verb,tu/pois,τύπον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=do/n,εἶδον,verb,pot',ποτέ,particle,h)/dh,ἤδη,adverb,*fine/ws,Φινεύς,proper,gegramme/nas,γράφω,verb,dei=pnon,δεῖπνον,noun,ferou/sas,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/pteroi/,ἄπτερος,adjective,ge,γε,particle,mh\n,μήν,particle,i)dei=n,εἶδον,verb,au(=tai,οὗτος,pronoun,me/lainai,μέλας,adjective,d',δέ,particle,e)s,εἰς,preposition,to\,ὁ,article,pa=n,πᾶς,adjective,bdelu/ktropoi,βδελύκτροπος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(e/gkousi,ῥέγκω,verb,d',δέ,particle,ou),οὐ,adverb,platoi=si,πλατός,adjective,fusia/masin,φυσίαμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,d',δέ,particle,o)mma/twn,ὄμμα,noun,lei/bousi,λείβω,verb,dusfilh=,δυσφιλής,adjective,li/ba,λίβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ko/smos,κόσμος,noun,ou)/te,οὔτε,adverb,pro\s,πρός,preposition,qew=n,θέα,noun,a)ga/lmata,ἄγαλμα,noun,fe/rein,φέρω,verb,di/kaios,δίκαιος,adjective,ou)/t',οὔτε,adverb,e)s,εἰς,preposition,a)nqrw/pwn,ἄνθρωπος,noun,ste/gas,στέγη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,fu=lon,φῦλον,noun,ou)k,οὐ,adverb,o)/pwpa,ὁράω,verb,th=sd',ὅδε,pronoun,o(mili/as,ὁμιλία,noun,ou)d',οὐδέ,particle,h(/tis,ὅστις,pronoun,ai)=a,αἶα,noun,tou=t',οὗτος,pronoun,e)peu/xetai,ἐπεύχομαι,verb,ge/nos,γένος,noun,tre/fous',τρέφω,verb,a)natei\,ἀνατί,adverb,mh\,μή,conjunction,metaste/nein,μεταστένω,verb,po/non,πόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta)nteu=qen,ἐντεῦθεν,adverb,h)/dh,ἤδη,adverb,tw=nde,ὅδε,pronoun,despo/th|,δεσπότης,adjective,do/mwn,δόμος,noun,au)tw=|,αὐτός,pronoun,mele/sqw,μέλω,verb,*loci/a|,Λοξίας,proper,megasqenei=,μεγασθενής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)atro/mantis,ἰατρόμαντις,noun,d',δέ,particle,e)sti\,εἰμί,verb,kai\,καί,conjunction,terasko/pos,τερασκόπος,noun,kai\,καί,conjunction,toi=sin,τίς,pronoun,a)/llois,ἄλλος,adjective,dwma/twn,δῶμα,noun,kaqa/rsios,καθάρσιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/toi,οὔτοι,adverb,prodw/sw,προδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,te/lous,τέλος,noun,de/,δέ,particle,soi,σύ,pronoun,fu/lac,φύλαξ,noun,e)ggu\s,ἐγγύς,adverb,parestw\s,παρίστημι,verb,kai\,καί,conjunction,pro/sw,πρόσω,adverb,d',δέ,particle,a)postatw=n,ἀποστατέω,verb,e)xqroi=si,ἐχθρός,adjective,toi=s,ὁ,article,soi=s,σός,adjective,ou),οὐ,adverb,genh/somai,γίγνομαι,verb,pe/pwn,πέπων,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,a(lou/sas,ἁλίσκομαι,verb,ta/sde,ὅδε,pronoun,ta\s,ὁ,article,ma/rgous,μάργος,adjective,o(ra=|s,ὁράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(/pnw|,ὕπνον,noun,pesou=sai,πίπτω,verb,d',δέ,particle,ai(,ὁ,article,kata/ptustoi,κατάπτυστος,adjective,ko/rai,κόρη,noun,grai=ai,γραίη,noun,palaiai\,παλαιός,adjective,pai=des,παῖς,adjective,ai(=s,ὅς,pronoun,ou),οὐ,adverb,mei/gnutai,μίγνυμι,verb,qew=n,θέα,noun,tis,τις,pronoun,ou)d',οὐδέ,particle,a)/nqrwpos,ἄνθρωπος,noun,ou)de\,οὐδέ,particle,qh/r,θήρ,noun,pote,ποτέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kakw=n,κακός,adjective,d',δέ,particle,e(/kati,ἕκητι,adverb,ka)ge/nont',γίγνομαι,verb,e)pei\,ἐπεί,conjunction,kako\n,κακός,adjective,sko/ton,σκότος,noun,ne/montai,νέμω,verb,*ta/rtaro/n,Τάρταρος,proper,q',τε,particle,u(po\,ὑπό,preposition,xqono/s,χθών,noun,mish/mat',μίσημα,noun,a)ndrw=n,ἀνήρ,noun,kai\,καί,conjunction,qew=n,θέα,noun,*)olumpi/wn,Ὀλύμπια,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/mws,ὅμως,conjunction,de\,δέ,particle,feu=ge,φεύγω,verb,mhde\,μηδέ,particle,malqako\s,μαλθακός,adjective,ge/nh|,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)lw=si,ἐλαύνω,verb,ga/r,γάρ,particle,se,σύ,pronoun,kai\,καί,conjunction,di',διά,preposition,h)pei/rou,ἤπειρος,adjective,makra=s,μακρός,adjective,bibw=nt',βιβάω,verb,a)n',ἀνά,preposition,ai)ei\,ἀεί,adverb,th\n,ὁ,article,planostibh=,πλανοστιβής,adjective,xqo/na,χθών,noun,u(pe/r,ὑπέρ,preposition,te,τε,particle,po/nton,πόντος,noun,kai\,καί,conjunction,perirru/tas,περίρρυτος,adjective,po/leis,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
