word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS
h(mi=n,ἐγώ,pronoun,ga\r,γάρ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*(/ellhnes,Ἕλλην,proper,ptai=sai,πταίρω,verb,me\n,sune/bh,συμβαίνω,verb,kata\,κατά,preposition,th\n,ὁ,article,koinh\n,κοινός,adjective,a)nqrw/pwn,ἄνθρωπος,noun,tu/xhn,τύχη,noun,h(\n,ὅς,pronoun,ou)x,οὐ,adverb,oi(=o/n,οἷος,adjective,te,τε,particle,a)moi/rous,ἄμοιρος,adjective,kakw=n,κακός,adjective,ei)s,εἰς,preposition,te/los,τέλος,noun,diecelqei=n,διεξέρχομαι,verb,a)nafe/rein,ἀναφέρω,verb,de\,δέ,particle,th=|,μέν,particle,ὁ,article,th=s,ὁ,article,po/lews,πόλις,adjective,tu/xh|,τυγχάνω,verb,di',διά,preposition,h(\n,ὅς,pronoun,ou)deno\s,οὐδείς,pronoun,tw=n,ὁ,article,kalw=n,κάλη,adjective,a)/moiros,ἄμοιρος,adjective,pw/pote,πώποτε,adverb,e)ge/neto,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnoi/h,γιγνώσκω,verb,d',δέ,particle,a)/n,ἄν,particle,tis,τις,pronoun,kai\,καί,conjunction,tw=|,ὁ,article,xro/nw|,tekmairo/menos,τεκμαίρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,χρόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,ga\r,γάρ,particle,h(ni/k',ἡνίκα,adverb,e)/mellen,μέλλω,verb,ou),οὐ,adverb,pesou=sa,πίπτω,verb,kei/sesqai,ou)d',οὐδέ,particle,a)nqrw/pou,ἄνθρωπος,noun,teleuth=|,τελευτή,noun,paraplhsi/ws,παραπλήσιος,adjective,pra/cein,πράσσω,verb,w(/sper,ὥσπερ,adverb,a)/llai,ἄλλος,adjective,tine\s,τις,pronoun,h)/dh,ἤδη,adverb,pro/teron,πρότερος,adjective,po/leis,πόλις,adjective,a)ll',ἀλλά,adverb,e)pi\,ἐπί,preposition,kreitto/nwn,κρείσσων,verb,krhpi/dwn,κρηπίς,noun,a)nasth/sesqai,ἀνίστημι,verb,thnikau=ta,τηνικαῦτα,adverb,u(polisqei=n,κεῖμαι,verb,ὑπολισθάνω,verb,pw=s,πῶς,adverb,ou)k,οὐ,adverb,eu)tuxi/as,εὐτυχία,noun,me/rei,μέρος,noun,prosqei/h,προστίθημι,verb,tis,τις,pronoun,a)\n,ἄν,particle,eu)=,εὖ,adverb,fronw=n,φρονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suzugi/an,συζυγία,noun,de\,δέ,particle,w(s,ὡς,conjunction,e)/oiken,ἔοικα,verb,o(,ὁ,article,dai/mwn,δαίμων,adjective,e)ske/yato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σκέπτομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=s,ὁ,article,te,τε,particle,ga\r,γάρ,particle,pa/nta,πᾶς,adjective,a)ri/stois,ἄριστος,adjective,basileu=si,βασιλεύς,noun,kai\,pa/sas,πᾶς,adjective,po/leis,πόλις,adjective,u(f',ὑπό,preposition,e(autoi=s,ἑαυτοῦ,pronoun,e)/xousi,ἔχω,verb,th\n,ὁ,article,kalli/sthn,καλός,noun,oi)ki/sai,οἰκίζω,verb,filotimi/an,φιλοτιμία,noun,ei)=xe,ἔχω,verb,th=|,ὁ,article,te,τε,particle,po/lei,πόλις,adjective,to\,ὁ,article,dia\,διά,preposition,tou/twn,οὗτος,pronoun,a)negerqh=nai,ἀνεγείρω,verb,kai\,καί,conjunction,καί,conjunction,toiou/tous,τοιοῦτος,adjective,a)rxhge/tas,ἀρχηγέτης,noun,e)pigra/yasqai,ἐπιγράφω,verb,th\n,ὁ,article,sumfora\n,συμφορά,noun,ei)s,εἰς,preposition,eu)praci/an,εὐπραξία,noun,mete/bale,μεταβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro/teron,πρότερος,adjective,me\n,μέν,particle,ga\r,γάρ,particle,*qhse/a,Θησεύς,proper,kai\,καί,conjunction,*)ale/candron,Ἀλέξανδρος,proper,h)/|domen,to\n,ὁ,article,me\n,μέν,particle,tw=n,ὁ,article,e)n,ἐν,preposition,*(/ellhsin,Ἕλλην,proper,oi)=mai,οἴομαι,verb,filanqrwpo/taton,φιλάνθρωπος,adjective,to\n,ὁ,article,de\,δέ,particle,sumpa/ntwn,σύμπας,adjective,basile/wn,βασίλη,noun,ma/lista,μάλιστα,adverb,dh\,δή,particle,qaumasqe/nta,θαυμάζω,verb,th=s,ὁ,article,ei)s,εἰς,preposition,tou\s,ὁ,article,pole/mous,ἀείδω,verb,πόλεμος,noun,to/lmhs,τόλμα,noun,e(/neka,ἕνεκα,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,e)/ti,ἔτι,adverb,lamprote/rous,λαμπρός,adjective,kai\,καί,conjunction,mei/zonas,μέγας,adverb,oi)kista\s,prosela/bomen,προσλαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οἰκιστής,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=s,ὅς,pronoun,pa=sa,πᾶς,adjective,me\n,μέν,particle,gh=,γῆ,noun,kai\,καί,conjunction,qa/latta,θάλασσα,noun,u(ph/koos,e)k,ἐκ,preposition,pate/rwn,πατήρ,noun,te,τε,particle,kai\,καί,conjunction,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,au)toi\,αὐτός,pronoun,prosekth/santo,προσκτάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὑπήκοος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sofi/as,σοφία,noun,de\,δέ,particle,kai\,καί,conjunction,dikaiosu/nhs,δικαιοσύνη,noun,kai\,καί,conjunction,a)lhqei/as,ἀλήθεια,adjective,kai\,xrhsto/thtos,χρηστότης,noun,ou)k,οὐ,adverb,e)/latton,ἐλάσσων,adjective,ei),εἰ,conjunction,mh\,μή,conjunction,kai\,καί,conjunction,ple/on,πλέος,adjective,th=s,ὁ,article,e)n,ἐν,preposition,toi=s,ὁ,article,o(/plois,ὅπλον,noun,i)sxu/os,ἰσχύς,noun,peri/esti,περίειμι,verb,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,ga\r,γάρ,particle,ou(/tws,οὕτως,adverb,e)/cw,ἔξω,adverb,sthlw=n,στηλόω,verb,*(hrakle/ous,Ἡρακλέης,proper,h)\,ti/s,τίς,pronoun,u(pe\r,ὑπέρ,preposition,to\n,ὁ,article,*kau/kason,Καύκασος,proper,w(/st',ὥστε,conjunction,a)nh/koos,ἀνήκοος,adjective,th=s,ὁ,article,tou/twn,οὗτος,pronoun,filanqrwpi/as,φιλανθρωπία,noun,kai\,καί,conjunction,megaloyuxi/as,μεγαλοψυχία,noun,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,ἠέ,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(\,ἕ,pronoun,kai\,καί,conjunction,to\,ὁ,article,th=s,ὁ,article,*smu/rnhs,Σμύρνα,proper,o)/noma,ὄνομα,adjective,ou),periei=don,περεῖδον,verb,e)n,ἐν,preposition,mu/qou,μῦθος,noun,ta/cei,τάξις,noun,geno/menon,γίγνομαι,verb,a)ll',ἀλλά,adverb,a)porroh/n,ἀπορροή,noun,tina,τις,pronoun,th=s,ὁ,article,au(tw=n,ἑαυτοῦ,pronoun,tu/xhs,τύχη,noun,a)fei=san,ἀφίημι,verb,ei)s,εἰς,preposition,au)th\n,αὐτός,pronoun,kai\,καί,conjunction,pare/sxon,παρέχω,verb,ou),οὐ,adverb,to\,οὐ,adverb,ὁ,article,ptw=ma,πτῶμα,noun,qrhnei=n,θρηνέω,verb,a)lla\,ἀλλά,adverb,sunoiki/a,συνοικία,noun,e(orta/zein,ἑορτάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)aleca/ndrou,Ἀλέξανδρος,proper,me\n,μέν,particle,ou)=n,οὖν,particle,u(/pnos,ὕπνος,noun,a(|detai,,,prooi/mion,προοίμιον,noun,th=s,katoiki/sews,κατοίκισις,noun,e)/xwn,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,tosau/thn,τοσοῦτος,adjective,a)/ra,ἄρος,adjective,th\n,ὁ,article,e)grh/gorsin,ἐγρήγορσις,noun,pare/sxonto,w(/st',ὥστε,conjunction,e)/fqhsan,φθάνω,verb,h(ma=s,ἐγώ,pronoun,a)nista/ntes,ἀνίστημι,verb,pri\n,πρίν,adverb,e)celqei=n,ἐξέρχομαι,verb,to\n,ὁ,article,e)rou=nta,ἐρέω,verb,pro\s,πρός,preposition,au)tou\s,αὐτός,pronoun,a(\,ὅς,pronoun,pepo/nqamen,πάσχω,verb,,,,,,,,,,,,,,,,,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)rga/nois,ὄργανον,noun,de\,δέ,particle,qeiota/tois,θεῖος,adjective,a(/ma,ἅμα,adverb,kai\,καί,conjunction,lamprota/tois,λαμπρός,adjective,e)xrh/santo,lo/gois,λόγος,noun,me\n,μέν,particle,paramuqhsa/menoi,παραμυθέομαι,verb,kai\,καί,conjunction,dei/cantes,δείκνυμι,verb,o(/,ὅς,pronoun,pote,ποτέ,particle,*(hsi/odos,Ἡσίοδος,proper,e)manteu/sato,μαντεύομαι,verb,o(/son,ὅσος,adjective,ti,τις,pronoun,xrh=ma,χρῆμα,adjective,h(,ὁ,article,mousikh\,μουσικός,adjective,th=|,ὁ,article,basilikh=|,βασιλικός,adjective,prosgenome/nh,προσγίγνομαι,verb,xorhgi/an,χράω,verb,χορηγία,noun,de\,δέ,particle,pa=san,πᾶς,adjective,parasxo/menoi,παρέχω,verb,pro/s,πρός,preposition,te,τε,particle,th\n,ὁ,article,tw=n,ὁ,article,sumbebhko/twn,συμβαίνω,verb,qerapei/an,θεραπεία,noun,kai\,καί,conjunction,prose/ti,προσέτι,adverb,e(te/rwn,ἕτερος,adjective,ko/smwn,κόσμος,noun,peribolh/n,περιβολή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou)de\,οὐδέ,particle,tau=t',οὗτος,pronoun,a)pe/xrhsen,ἀποχράω,verb,a)ll',ἀλλά,adverb,w(/sper,ὥσπερ,adverb,e)n,au)th=|,αὐτός,pronoun,th=|,ὁ,article,po/lei,πόλις,adjective,politeuo/menoi,πολιτεύω,verb,xrhma/twn,χρῆμα,adjective,te,τε,particle,po/rous,πόρος,noun,a)pedei/knusan,ἀποδείκνυμι,verb,kai\,καί,conjunction,tou\s,ὁ,article,filotimhsome/nous,φιλοτιμέομαι,verb,u(p',ὑπό,preposition,e)lpi/dwn,ἐλπίς,noun,e)kh/loun,κηλέω,verb,kai\,καί,conjunction,ei)s,εἰς,preposition,xeirw=n,χείρ,noun,boh/qeian,ἐν,preposition,βοήθεια,noun,e)ka/loun,καλέω,verb,kai\,καί,conjunction,e)phgge/llonto,ἐπαγγέλλω,verb,boulome/nous,βούλομαι,verb,ou)k,οὐ,adverb,e)qe/lontas,ἐθέλω,verb,de\,δέ,particle,ou)k,οὐ,adverb,e)noxlh/sein,ἐνοχλέω,verb,ka)\n,κἀν,conjunction,au)ti/ka,αὐτίκα,adverb,pro\s,πρός,preposition,tou/tois,οὗτος,pronoun,e(/tero/n,ἕτερος,adjective,ti,τις,pronoun,boulw/meqa,βούλομαι,verb,le/gein,λέγω,verb,e)ke/leuon,κελεύω,verb,w(s,ὡς,conjunction,xariou/menoi,χαρίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/st',ὥστε,conjunction,e)moi\,ἐγώ,pronoun,me\n,μέν,particle,ou)de\,οὐδέ,particle,su/mpanta,σύμπας,adjective,ta\,ὁ,article,e)c,a)nqrw/pwn,ἄνθρωπος,noun,xrh/mata,χρῆμα,adjective,a)nta/cia,ἀντάξιος,adjective,th=s,ὁ,article,sunexei/as,συνέχεια,noun,tau/ths,οὗτος,pronoun,ei)=nai,εἰμί,verb,dokei=,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκ,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pepoi/hke,ποιέω,verb,ga\r,γάρ,particle,ei),εἰ,conjunction,qe/mis,θέμις,noun,ei)pei=n,εἶπον,verb,sunenegkei=n,συμφέρω,verb,th=|,po/lei,πόλις,adjective,to\n,ὁ,article,seismo/n,σεισμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pri\n,πρίν,adverb,me\n,μέν,particle,ga\r,γάρ,particle,e)n,ἐν,preposition,tou/tw|,οὗτος,pronoun,gene/sqai,γίγνομαι,verb,tu/xhs,ou)/pw,οὔπω,adverb,dh=lon,δῆλος,adjective,h)=n,εἰμί,verb,ei)s,εἰς,preposition,o(/son,ὅσος,adjective,tima=tai,τιμάω,verb,ou)de\,οὐδέ,particle,o(/pws,ὅπως,conjunction,de/oi,δέω,verb,pro\s,πρός,preposition,au)th\n,αὐτός,pronoun,e)/xein,ἔχω,verb,tou\s,ὁ,article,a)/llous,ἄλλος,adjective,nu=n,νῦν,adverb,de\,δέ,particle,to\,ὁ,article,tou=,τύχη,noun,ὁ,article,*qemistokle/ous,Θεμιστοκλέης,proper,e)/cestin,ἔξεστι,verb,ei)pei=n,εἶπον,verb,ei),εἰ,conjunction,dh\,δή,particle,tou=to/,οὗτος,pronoun,ge,γε,particle,pisteute/on,πιστευτέος,adjective,kat',κατά,preposition,e)kei/nou,ἐκεῖνος,pronoun,w(s,ὡς,conjunction,e)pi\,ἐπί,preposition,tai=s,ὁ,article,dwreai=s,δωρεά,noun,tai=s,ὁ,article,para\,παρά,preposition,tou=,ὁ,article,*pe/rsou,Πέρσης,proper,genome/nais,γίγνομαι,verb,au)tw=|,αὐτός,pronoun,fqe/gcaito/,φθέγγομαι,verb,ti,τις,pronoun,toiou=ton,τοιοῦτος,adjective,pro\s,πρός,preposition,tou\s,ὁ,article,pai=das,παῖς,adjective,o(/ti,ὅστις,pronoun,nu=n,νῦν,adverb,a)/ra,ἄρος,adjective,e)sw/qhsan,εἰσωθέω,verb,h(ni/ka,ἡνίκα,adverb,a)pwlw/lesan,ἀπόλλυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)=n,οὖν,particle,e)kei=nos,ἐκεῖνος,pronoun,me\n,μέν,particle,th=s,ὁ,article,patri/dos,πατρίς,adjective,le/getai,sterhqei\s,στερέω,verb,tau=ta,οὗτος,pronoun,ei)pei=n,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mi=n,ἐγώ,pronoun,de\,δέ,particle,o(mou=,ὁμοῦ,adverb,th=|,ὁ,article,komidh=|,κομιδῇ,adverb,th=s,ὁ,article,patri/dos,xrh/mata,χρῆμα,adjective,ko/smoi,κόσμος,noun,filotimi/ai,φιλοτιμία,noun,basilei=s,βασιλεύς,noun,oi)kistai/,οἰκιστής,noun,te,τε,particle,kai\,καί,conjunction,su/mbouloi,σύμβουλος,noun,pa/nta,πᾶς,adjective,o(mou=,ὁμοῦ,adverb,ge/gone,γίγνομαι,verb,ta\,ὁ,article,ka/llista,κάλλιστα,adverb,,,,,,,,,,,,,,πατρίς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)=r',ἆρα,particle,ou),οὐ,adverb,tau=ta,οὗτος,pronoun,xrh\,χρή,verb,fa/nai,φαίνω,verb,th=s,ὁ,article,e)kei/nwn,a)htth/tou,ἀήττητος,adjective,kai\,καί,conjunction,th=s,ὁ,article,a)gaqh=s,ἀγαθός,adjective,th=s,ὁ,article,po/lews,πόλις,adjective,tu/xhs,τύχη,noun,ei)=nai,εἰμί,verb,toi=s,ὁ,article,me\n,μέν,particle,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,oi)ki/zousi/,οἰκίζω,verb,te,τε,particle,kai\,καί,conjunction,pra/ttousi,πράσσω,verb,th=|,ὁ,article,d',ἐκεῖνος,pronoun,δέ,particle,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,oi)ki/zetai,οἰκίζω,verb,mnh/mhn,μνήμη,noun,a)qa/naton,ἀθάνατος,adjective,porizou/shs,πορίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
