word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/49/lemma/@_entry,word/49/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS
oi(,ὁ,article,de\,δέ,particle,h)fa/nisan,ἀφανίζω,verb,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,*zeu\s,Ζεύς,proper,me\n,μέν,particle,ai)sqo/menos,αἰσθάνομαι,verb,ktei/nei,κτείνω,verb,*kou/rhtas,κούρητες,noun,*)iw\,Ἰώ,proper,de\,δέ,particle,e)pi\,ἐπί,preposition,zh/thsin,ζήτησις,noun,tou=,ὁ,article,paido\s,παῖς,adjective,e)tra/peto,τρέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
planwme/nh,πλανάω,verb,de\,δέ,particle,kata\,κατά,preposition,th\n,ὁ,article,*suri/an,Σύριος,proper,a(/pasan,ἅπας,adjective,e)kei=,ἐκεῖ,adverb,ga\r,γάρ,particle,e)mhnu/eto,μηνύω,verb,o(/ti,ὅστις,pronoun,h(,ὁ,article,tou=,ὁ,article,*bubli/wn,Βύβλιοι,proper,basile/ws,βασιλεύς,noun,gunh\,γυνή,noun,e)tiqh/nei,τιθηνέομαι,verb,to\n,ὁ,article,ui(o/n),υἱός,noun,kai\,καί,conjunction,to\n,ὁ,article,*)/epafon,Ἔπαφος,proper,eu(rou=sa,εὑρίσκω,verb,ei)s,εἰς,preposition,*ai)/gupton,Αἴγυπτος,proper,e)lqou=sa,ἔρχομαι,verb,e)gamh/qh,γαμέω,verb,*thlego/nw|,Τηλέγονος,proper,tw=|,ὁ,article,basileu/onti,βασιλεύω,verb,to/te,τότε,adverb,*ai)gupti/wn,Αἰγύπτιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(dru/sato,ἱδρύω,verb,de\,δέ,particle,a)/galma,ἄγαλμα,noun,*dh/mhtros,Δημήτηρ,proper,h(\n,ὅς,pronoun,e)ka/lesan,καλέω,verb,*)=isin,Ἶσις,proper,*ai)gu/ptioi,Αἰγύπτιος,proper,kai\,καί,conjunction,th\n,ὁ,article,*)iw\,Ἰώ,proper,*)=isin,Ἶσις,proper,o(moi/ws,ὅμοιος,adjective,proshgo/reusan,προσαγορεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/epafos,Ἔπαφος,proper,de\,δέ,particle,basileu/wn,βασιλεύω,verb,*ai)gupti/wn,Αἰγύπτιος,proper,gamei=,γαμέω,verb,*me/mfin,Μέμφις,proper,th\n,ὁ,article,*nei/lou,Νεῖλος,proper,qugate/ra,θυγάτηρ,adjective,kai\,καί,conjunction,a)po\,ἀπό,preposition,tau/ths,οὗτος,pronoun,kti/zei,κτίζω,verb,*me/mfin,Μέμφις,proper,po/lin,πόλις,adjective,kai\,καί,conjunction,teknoi=,τεκνόω,verb,qugate/ra,θυγάτηρ,adjective,*libu/hn,Λιβύη,proper,a)f',ἀπό,preposition,h(=s,ὅς,pronoun,h(,ὁ,article,xw/ra,χώρα,noun,*libu/h,Λιβύη,proper,e)klh/qh,καλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*libu/hs,Λιβύη,proper,de\,δέ,particle,kai\,καί,conjunction,*poseidw=nos,Ποσειδῶν,proper,gi/nontai,γίγνομαι,verb,pai=des,παῖς,adjective,di/dumoi,δίδυμος,adjective,*)agh/nwr,Ἀγήνωρ,proper,kai\,καί,conjunction,*bh=los,Βῆλος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)agh/nwr,Ἀγήνωρ,proper,me\n,μέν,particle,ou)=n,οὖν,particle,ei)s,εἰς,preposition,*foini/khn,Φοινίκη,proper,a)pallagei\s,ἀπαλλάσσω,verb,e)basi/leuse,βασιλεύω,verb,ka)kei=,ἐκεῖ,adverb,th=s,ὁ,article,mega/lhs,μέγας,adverb,r(i/zhs,ῥίζα,adjective,e)ge/neto,γίγνομαι,verb,genea/rxhs,γενεάρχης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,u(perqhso/meqa,ὑπερθέω,verb,peri\,περί,preposition,tou/tou,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*bh=los,Βῆλος,proper,de\,δέ,particle,u(pomei/nas,ὑπομένω,verb,e)n,ἐν,preposition,*ai)gu/ptw|,Αἴγυπτος,proper,basileu/ei,βασιλεύω,verb,me\n,μέν,particle,*ai)gu/ptou,Αἴγυπτος,proper,gamei=,γαμέω,verb,de\,δέ,particle,*)agxino/hn,Ἀγχινόη,proper,th\n,ὁ,article,*nei/lou,Νεῖλος,proper,qugate/ra,θυγάτηρ,adjective,kai\,καί,conjunction,au)tw=|,αὐτός,pronoun,gi/nontai,γίγνομαι,verb,pai=des,παῖς,adjective,di/dumoi,δίδυμος,adjective,*ai)/guptos,Αἴγυπτος,proper,kai\,καί,conjunction,*danao/s,Δαναός,proper,w(s,ὡς,conjunction,de/,δέ,particle,fhsin,φημί,verb,*eu)ripi/dhs,Εὐριπίδης,proper,kai\,καί,conjunction,*khfeu\s,Κηφεύς,proper,kai\,καί,conjunction,*fineu\s,Φινεύς,proper,prose/ti,προσέτι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*danao\n,Δαναός,proper,me\n,μέν,particle,ou)=n,οὖν,particle,*bh=los,Βῆλος,proper,e)n,ἐν,preposition,*libu/h|,Λιβύη,proper,katw/|kisen,κατοικίζω,verb,*ai)/gupton,Αἴγυπτος,proper,de\,δέ,particle,e)n,ἐν,preposition,*)arabi/a|,Ἀράβιος,proper,o(\s,ὅς,pronoun,kai\,καί,conjunction,katastreya/menos,καταστρέφω,verb,th\n,ὁ,article,*melampo/dwn,Μελάμπους,proper,xw/ran,χώρα,noun,a)f',ἀπό,preposition,e(autou=,ἑαυτοῦ,pronoun,w)no/masen,ὀνομάζω,verb,*ai)/gupton,Αἴγυπτος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi/nontai,γίγνομαι,verb,de\,δέ,particle,e)k,ἐκ,preposition,pollw=n,πολύς,adjective,gunaikw=n,γυνή,noun,*ai)gu/ptw|,Αἴγυπτος,proper,me\n,μέν,particle,pai=des,παῖς,adjective,penth/konta,πεντήκοντα,verb,qugate/res,θυγάτηρ,adjective,de\,δέ,particle,*danaw=|,Δαναός,proper,penth/konta,πεντήκοντα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stasiasa/ntwn,στασιάζω,verb,de\,δέ,particle,au)tw=n,αὐτός,pronoun,peri\,περί,preposition,th=s,ὁ,article,a)rxh=s,ἀρχή,noun,u(/steron,ὕστερος,adjective,*danao\s,Δαναός,proper,tou\s,ὁ,article,*ai)gu/ptou,Αἴγυπτος,proper,pai=das,παῖς,adjective,dedoikw/s,δείδω,verb,u(poqeme/nhs,ὑποτίθημι,verb,*)aqhna=s,Ἀθήνη,proper,au)tw=|,αὐτός,pronoun,nau=n,ναῦς,noun,kateskeu/ase,κατασκευάζω,verb,prw=tos,πρότερος,adjective,kai\,καί,conjunction,ta\s,ὁ,article,qugate/ras,θυγάτηρ,adjective,e)nqe/menos,ἐντίθημι,verb,e)/fuge,φεύγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prossxw\n,προσέχω,verb,de\,δέ,particle,*(ro/dw|,,,to\,ὁ,article,th=s,ὁ,article,*lindi/as,Λίνδιος,proper,a)/galma,ἄγαλμα,noun,*)aqhna=s,Ἀθήνη,proper,i(dru/sato,ἱδρύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)nteu=qen,ἐντεῦθεν,adverb,de\,δέ,particle,h(=ken,ἥκω,verb,ei)s,εἰς,preposition,*)/argos,Ἄργος,proper,kai\,καί,conjunction,th\n,ὁ,article,basilei/an,βασιλεία,noun,au)tw=|,αὐτός,pronoun,paradi/dwsi,παραδίδωμι,verb,*gela/nwr,Γελάνωρ,proper,o(,ὁ,article,to/te,τότε,adverb,basileu/wn,βασιλεύω,verb,au)to\s,αὐτός,pronoun,de\,δέ,particle,krath/sas,κρατέω,verb,th=s,ὁ,article,xw/ras,χώρα,noun,a)f',ἀπό,preposition,e(autou=,ἑαυτοῦ,pronoun,tou\s,ὁ,article,e)noikou=ntas,ἐνοικέω,verb,*danaou\s,Δαναός,proper,w)no/mase,ὀνομάζω,verb,a)nu/drou,ἄνυδρος,adjective,de\,δέ,particle,th=s,ὁ,article,xw/ras,χώρα,noun,u(parxou/shs,ὑπάρχω,verb,e)peidh\,ἐπεί,conjunction,kai\,καί,conjunction,ta\s,ὁ,article,phga\s,πηγάς,noun,e)ch/rane,ξηραίνω,verb,*poseidw=n,Ποσειδῶν,proper,mhni/wn,μηνίω,verb,*)ina/xw|,Ἴναχος,proper,dio/ti,διότι,conjunction,th\n,ὁ,article,xw/ran,χώρα,noun,*(/hras,Ἥρα,proper,e)martu/rhsen,μαρτυρέω,verb,ei)=nai,εἰμί,verb,ta\s,ὁ,article,qugate/ras,θυγάτηρ,adjective,u(dreusome/nas,ὑδρεύω,verb,e)/pemye,πέμπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mi/a,εἷς,adjective,de\,δέ,particle,au)tw=n,αὐτός,pronoun,*)amumw/nh,Ἀμυμώνη,proper,zhtou=sa,ζητέω,verb,u(/dwr,ὕδωρ,noun,r(i/ptei,ῥίπτω,verb,be/los,βέλος,noun,e)pi\,ἐπί,preposition,e)/lafon,ἔλαφος,noun,kai\,καί,conjunction,koimwme/nou,κοιμάω,verb,*satu/rou,Σάτυρος,proper,tugxa/nei,τυγχάνω,verb,ka)kei=nos,ἐκεῖνος,pronoun,perianasta\s,περανίστημι,verb,e)pequ/mei,ἐπιθυμέω,verb,suggene/sqai,συγγίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*poseidw=nos,Ποσειδῶν,proper,de\,δέ,particle,e)pifane/ntos,ἐπιφαίνω,verb,o(,ὁ,article,*sa/turos,Σάτυρος,proper,me\n,μέν,particle,e)/fugen,φεύγω,verb,*)amumw/nh,Ἀμυμώνη,proper,de\,δέ,particle,tou/tw|,οὗτος,pronoun,suneuna/zetai,συνευνάζομαι,verb,kai\,καί,conjunction,au)th=|,αὐτός,pronoun,*poseidw=n,Ποσειδῶν,proper,ta\s,ὁ,article,e)n,ἐν,preposition,*le/rnh|,Λέρνα,proper,phga\s,πηγάς,noun,e)mh/nusen,μηνύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,*ai)gu/ptou,Αἴγυπτος,proper,pai=des,παῖς,adjective,e)lqo/ntes,ἔρχομαι,verb,ei)s,εἰς,preposition,*)/argos,Ἄργος,proper,th=s,ὁ,article,te,τε,particle,e)/xqras,ἔχθρα,noun,pau/sasqai,παύω,verb,pareka/loun,παρακαλέω,verb,kai\,καί,conjunction,ta\s,ὁ,article,qugate/ras,θυγάτηρ,adjective,au)tou=,αὐτός,pronoun,gamei=n,γαμέω,verb,h)ci/oun,ἀξιόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
