word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/76/lemma/@_entry,word/76/lemma/@_POS,word/89/lemma/@_entry,word/89/lemma/@_POS
kai/,καί,conjunction,meta\,μετά,preposition,mikro\n,o(,ὁ,article,*lai/nas,λαῖνα,noun,th\n,ὁ,article,decia\n,tou=,ὁ,article,*kai/saros,Καῖσαρ,proper,katafilh/sas,καταφιλέω,verb,a)pe/sth,ἀφίστημι,verb,fanero\s,φανερός,adjective,geno/menos,γίγνομαι,verb,w(s,ὡς,conjunction,u(pe\r,e(autou=,ἑαυτοῦ,pronoun,kai/,καί,conjunction,tw=n,ὁ,article,au(tw=|,ἑαυτοῦ,pronoun,tinos,τις,pronoun,diafero/ntwn,διαφέρω,verb,e)poiei=to,ποιέω,verb,th\n,ὁ,article,e)/nteucin,μικρός,adjective,δεξιός,adjective,ὑπέρ,preposition,ἔντευξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,ὁ,article,de\,δέ,particle,boulh=s,ei)s,εἰς,preposition,th\n,ὁ,article,e)ce/dran,ἐξέδρα,noun,proeiselqou/shs,oi(,ὁ,article,me\n,μέν,particle,a)/lloi,ἄλλος,adjective,to\n,ὁ,article,di/fron,δίφρος,noun,tou=,ὁ,article,*kai/saros,Καῖσαρ,proper,perie/sthsan,w(s,ὡς,conjunction,e)ntugxa/nein,ἐντυγχάνω,verb,ti,τις,pronoun,me/llontes,μέλλω,verb,au)tw=|,αὐτός,pronoun,,,,,,,,,,,βουλεύς,noun,προεισέρχομαι,verb,περιίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,*ka/ssion,Κάσσιος,proper,me\n,le/getai,λέγω,verb,tre/ponta,τρέπω,verb,to\,ὁ,article,pro/swpon,ei)s,εἰς,preposition,th\n,ὁ,article,ei)ko/na,εἰκών,noun,tou=,ὁ,article,*pomphi/+ou,Πομπήιος,proper,parakalei=n,παρακαλέω,verb,w(/sper,ὥσπερ,adverb,ai)sqano/menon,*trebw/nios,,,de\,δέ,particle,peri\,περί,preposition,ta\s,ὁ,article,qu/ras,θύρα,noun,*)antw/nion,Ἀντώνιος,proper,e)pispasa/menos,ἐπισπάω,verb,kai\,καί,conjunction,prosomilw=n,μέν,particle,πρόσωπον,noun,αἰσθάνομαι,verb,προσομιλέω,verb,e)/cw,ἔξω,adverb,kate/sxe,κατέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kai/sari,Καῖσαρ,proper,de\,δέ,particle,ei)sio/nti,me\n,μέν,particle,h(,ὁ,article,su/gklhtos,σύγκλητος,adjective,u(pecane/sth,kaqezo/menon,καθέζομαι,verb,d',δέ,particle,eu)qu\s,εὐθύς,adverb,e)kei=noi,ἐκεῖνος,pronoun,perie/sxon,περιέχω,verb,a(qro/oi,ἀθρόος,adjective,*ti/llion,,,*ki/mbron,e)c,ἐκ,preposition,e(autw=n,ἑαυτοῦ,pronoun,proba/llontes,προβάλλω,verb,u(pe\r,ὑπέρ,preposition,a)delfou=,ἀδελφός,adjective,fuga/dos,φυγάς,noun,deo/menon,δέομαι,verb,,,,,εἴσειμι,verb,ὑπεξανίσταμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,sunede/onto,συνδέομαι,verb,pa/ntes,a(pto/menoi/,ἅπτω,verb,te,τε,particle,xeirw=n,χείρ,noun,kai\,ste/rna,στέρνον,noun,kai\,καί,conjunction,kefalh\n,κεφαλή,noun,katefi/loun,καταφιλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πᾶς,adjective,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)potribome/nou,ἀποτρίβω,verb,de\,δέ,particle,ta\s,deh/seis,δέησις,noun,to\,ὁ,article,prw=ton,πρότερος,adjective,ei)=q',w(s,ὡς,conjunction,ou)k,οὐ,adverb,a)ni/esan,ἀνίημι,verb,e)canistame/nou,ἐξανίστημι,verb,bi/a|,βία,adjective,*ti/llios,,,me\n,μέν,particle,a)mfote/rais,tai=s,ὁ,article,xersi\n,χείρ,noun,e)k,ἐκ,preposition,tw=n,ὁ,article,w)/mwn,ὦμος,noun,kate/spase,κατασπάω,verb,to\,ὁ,article,i(ma/tion,ἱμάτιον,adjective,*ka/skas,ὁ,article,εἶτα,adverb,ἀμφότερος,adjective,,,de\,δέ,particle,prw=tos,πρότερος,adjective,'ei(sth/kei,ἵστημι,verb,ga\r,γάρ,particle,o)/pisqen',ὀπίζω,verb,a)naspa/sas,ἀνασπάω,verb,to\,ὁ,article,ci/fos,ξίφος,noun,dielau/nei,διελαύνω,verb,ou)k,οὐ,adverb,ei)s,εἰς,preposition,ba/qos,βάθος,adjective,para\,παρά,preposition,to\n,ὁ,article,w)=mon,ὦμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ntilambanome/nou,ἀντινέω,verb,de\,δέ,particle,th=s,labh=s,λαβή,noun,tou=,ὁ,article,*kai/saros,Καῖσαρ,proper,kai\,me/ga,μέγας,adverb,*(rwmai+sti\,,,a)nakrago/ntos,ἀνακράζω,verb,a)no/sie,ἀνόσιος,adjective,*ka/ska,,,ti/,τίς,pronoun,poiei=s,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kei=nos,ἐκεῖνος,pronoun,*(ellhnisti\,Ἑλληνιστί,adverb,to\n,a)delfo\n,ἀδελφός,adjective,prosagoreu/sas,προσαγορεύω,verb,e)ke/leuse,κελεύω,verb,bohqei=n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,βοηθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/dh,ἤδη,adverb,de\,δέ,particle,paio/menos,u(po\,ὑπό,preposition,pollw=n,πολύς,adjective,kai\,καί,conjunction,ku/klw|,perible/pwn,περιβλέπω,verb,kai\,καί,conjunction,diw/sasqai,διωθέω,verb,boulo/menos,βούλομαι,verb,w(s,ὡς,conjunction,ei)=de,εἶδον,verb,*brou=ton,,,e(lko/menon,ci/fos,ξίφος,noun,e)p',ἐπί,preposition,au)to/n,αὐτός,pronoun,th\n,ὁ,article,xei=ra,χείρ,noun,tou=,ὁ,article,*ka/ska,,,kratw=n,κράς,verb,a)fh=ke,παίω,verb,κύκλος,noun,ἕλκω,verb,ἀφήκω,verb,kai\,καί,conjunction,tw=|,ὁ,article,i(mati/w|,ἱμάτιον,adjective,th\n,ὁ,article,kefalh\n,κεφαλή,noun,e)gkaluya/menos,ἐγκαλύπτω,verb,pare/dwke,παραδίδωμι,verb,to\,ὁ,article,sw=ma,σῶμα,adjective,tai=s,ὁ,article,plhgai=s,πληγή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,d',δέ,particle,a)feidw=s,a)napeplegme/noi,ἀναπλέκω,verb,polloi=s,πολύς,adjective,peri\,περί,preposition,to\,sw=ma,σῶμα,adjective,xrw/menoi,χράομαι,verb,toi=s,ὁ,article,ci/fesin,ξίφος,noun,a)llh/lous,ἀλλήλων,pronoun,e)ti/trwskon,τιτρώσκω,verb,w(/ste,ὥστε,conjunction,kai\,*brou=ton,,,ei)s,εἰς,preposition,th\n,ὁ,article,xei=ra,χείρ,noun,plhgh\n,πληγή,noun,labei=n,λαμβάνω,verb,tou=,ὁ,article,fo/nou,φόνος,noun,sunefapto/menon,ἀφειδής,adverb,ὁ,article,καί,conjunction,συνεφάπτομαι,verb,pi/mplasqai,πίμπλημι,verb,de\,δέ,particle,tou=,ὁ,article,ai(/matos,αἷμα,noun,a(/pantas,ἅπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,d',δέ,particle,a)poqano/ntos,au)tou=,αὐτός,pronoun,*brou=tos,,,me\n,μέν,particle,ei)s,me/son,μέσος,adjective,proelqw\n,προέρχομαι,verb,e)bou/leto,βούλομαι,verb,le/gein,λέγω,verb,kai\,καί,conjunction,katei=xe,κατέχω,verb,qarru/nwn,θαρσύνω,verb,th\n,su/gklhton,σύγκλητος,adjective,,,,,,,,,,,,,,,,,,,,,,,ἀποθνήσκω,verb,εἰς,preposition,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,d',δέ,particle,u(po\,de/ous,δέος,noun,e)/feugen,φεύγω,verb,a)ta/ktws,ἄτακτος,adjective,kai\,peri\,περί,preposition,ta\s,ὁ,article,qu/ras,θύρα,noun,w)qismo\s,ὠθισμός,noun,h)=n,εἰμί,verb,kai\,καί,conjunction,ta/raxos,τάραχος,adjective,ou)deno\s,diw/kontos,διώκω,verb,ou)de\,οὐδέ,particle,kate,,,pei/gontos,,,,,,,,,,,,,,,,ὑπό,preposition,καί,conjunction,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)sxurw=s,ἰσχυρός,adjective,ga\r,γάρ,particle,e)de/dokto,mhde/na,μηδείς,pronoun,ktei/nein,κτείνω,verb,e(/teron,ἕτερος,adjective,a)lla\,pa/ntas,πᾶς,adjective,e)pi\,ἐπί,preposition,th\n,ὁ,article,e)leuqeri/an,ἐλευθερία,noun,a)nakalei=sqai,ἀνακαλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δοκέω,verb,ἀλλά,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,toi=s,ὁ,article,me\n,a)/llois,ἄλλος,adjective,pa=sin,πᾶς,adjective,o(phni/ka,ὁπηνίκα,adverb,dieskopou=nto,th\n,ὁ,article,pra=cin,πρᾶξις,adjective,h)/resken,ἀρέσκω,verb,*)antw/nion,Ἀντώνιος,proper,e)pisfa/ttein,ἐπισφάζω,verb,*kai/sari,Καῖσαρ,proper,monarxiko\n,μοναρχικός,adjective,a)/ndra,kai\,καί,conjunction,u(bristh\n,ὑβριστής,noun,i)sxu/n,ἰσχύς,noun,te,τε,particle,pepoihme/non,ποιέω,verb,o(mili/a|,ὁμιλία,noun,kai\,καί,conjunction,sunhqei/a|,συνήθεια,noun,pro\s,μέν,particle,διασκοπέω,verb,ἀνήρ,noun,πρός,preposition,to\,ὁ,article,stratiwtiko/n,στρατιωτικός,adjective,kai\,καί,conjunction,ma/lisq',μάλιστα,adverb,o(/ti,ὅστις,pronoun,tw=|,ὁ,article,fu/sei,φύσις,noun,sobarw=|,σοβαρός,adjective,kai\,καί,conjunction,megalopra/gmoni,μεγαλοπράγμων,adjective,proseilh/fei,προσλαμβάνω,verb,to\,ὁ,article,th=s,ὁ,article,u(patei/as,ὑπατεία,noun,a)ci/wma,ἀξίωμα,noun,to/te,τότε,adverb,*kai/sari,Καῖσαρ,proper,suna/rxwn,συνάρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,*brou=tos,,,e)ne/sth,pro\s,πρός,preposition,to\,ὁ,article,bou/leuma,βούλευμα,noun,prw=ton,me\n,μέν,particle,i)sxurizo/menos,ἰσχυρίζομαι,verb,tw=|,ὁ,article,dikai/w|,δίκαιος,adjective,deu/teron,δεύτερος,adjective,d',δέ,particle,u(potiqei\s,ὑποτίθημι,verb,e)lpi/da,th=s,ὁ,article,metabolh=s,μεταβολεύς,noun,ou),οὐ,adverb,ga\r,γάρ,particle,a)pegi/nwsken,ἀπογιγνώσκω,verb,eu)fua=,εὐφυής,adverb,kai\,καί,conjunction,filo/timon,φιλότιμος,adjective,a)/ndra,ἐνίστημι,verb,πρότερος,adjective,ἐλπίς,noun,ἀνήρ,noun,kai\,καί,conjunction,do/chs,δόξα,noun,e)rasth\n,ἐραστής,noun,to\n,ὁ,article,*)antw/nion,Ἀντώνιος,proper,e)kpodw\n,ἐκποδών,adverb,*kai/saros,Καῖσαρ,proper,genome/nou,γίγνομαι,verb,sunefa/yesqai,συνεφάπτομαι,verb,th=|,ὁ,article,patri/di,πατρίς,adjective,th=s,ὁ,article,e)leuqeri/as,ἐλευθερία,noun,e)pispasqe/nta,ἐπισπάω,verb,tw=|,ὁ,article,zh/lw|,ζῆλος,noun,pro\s,πρός,preposition,to\,ὁ,article,kalo\n,καλός,noun,u(p',ὑπό,preposition,au)tw=n,αὐτός,pronoun,ou(/tw,οὕτως,adverb,me\n,μέν,particle,*)antw/nion,Ἀντώνιος,proper,*brou=tos,,,periepoi/hsen,περιποιέω,verb,e)n,ἐν,preposition,de\,δέ,particle,tw=|,ὁ,article,to/te,τότε,adverb,fo/bw|,φόβος,noun,metabalw\n,μεταβάλλω,verb,e)sqh=ta,ἐσθής,noun,dhmotikh\n,δημοτικός,adjective,e)/fugen,φεύγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,peri\,*brou=ton,,,ei)s,εἰς,preposition,to\,ὁ,article,*kapetw/lion,e)xw/roun,χωρέω,verb,h(|magme/noi,αἱμάσσω,verb,ta\s,ὁ,article,xei=ras,χείρ,noun,kai\,καί,conjunction,ta\,ὁ,article,ci/fh,ξίφος,noun,gumna\,deiknu/ntes,δείκνυμι,verb,e)pi\,ἐπί,preposition,th\n,ὁ,article,e)leuqeri/an,ἐλευθερία,noun,pareka/loun,παρακαλέω,verb,tou\s,ὁ,article,poli/tas,πολίτης,noun,,,,,περί,preposition,Καπετώλιον,proper,γυμνάς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,me\n,μέν,particle,ou)=n,prw=ton,πρότερος,adjective,h)=san,εἰμί,verb,a)lalagmoi/,ἀλαλαγή,noun,kai\,diadromai\,διαδρομή,noun,tw=|,ὁ,article,pa/qei,πάθος,adjective,kata\,κατά,preposition,tu/xhn,τύχη,noun,e)pigino/menai,ἐπιγίγνομαι,verb,plei/ona,πλείων,verb,to\n,qo/rubon,θόρυβος,noun,e)poi/hsan,ποιέω,verb,,,,,,,,,,,,,,,,,,,,οὖν,particle,καί,conjunction,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
