word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS
sumbai/nei,συμβαίνω,verb,d',δέ,particle,e)moi\,ἐγώ,pronoun,th=|,ὁ,article,me\n,μέν,particle,mnh/mh|,μνήμη,noun,pa/ntwn,πᾶς,adjective,e)fiknei=sqai,tw=n,ὁ,article,ἐφικνέομαι,verb,e)kei/nou,ἐκεῖνος,pronoun,kalw=n,κάλη,adjective,tw=|,lo/gw|,λόγος,noun,de\,δέ,particle,a)po/rws,ἄπορος,adjective,e)/xein,ἔχω,verb,e)pecelqei=n,ἐπεξέρχομαι,verb,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)qro/a,ἀθρόος,adjective,ga\r,γάρ,particle,pa/nta,πᾶς,adjective,e)pe/rxetai,ἐπέρχομαι,verb,a(\,ὅς,pronoun,kaq',κατά,preposition,e(/kaston,ἕκαστος,adjective,me\n,ei)pei=n,εἶπον,verb,μέν,particle,a)du/naton,ἀδύνατος,adjective,a)rxh\n,ἀρχή,noun,de\,ou)de\,οὐδέ,particle,peira=sqai,πειράω,verb,kairo\n,καιρός,noun,e)/xein,ἔχω,verb,moi,ἐγώ,pronoun,dokei=,δοκέω,verb,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)po\,ἀπό,preposition,me/rous,μέρος,noun,d',δέ,particle,ei),εἰ,conjunction,le/goimi,λέγω,verb,de/doika,δείδω,verb,mh\,μή,conjunction,belti/wn,w)=,ὦ,interjection,βελτίων,adverb,siwpw=n,σιωπάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kei=nos,ἐκεῖνος,pronoun,ga\r,γάρ,particle,e(\n,εἷς,adjective,me\n,μέν,particle,kai\,καί,conjunction,prw=ton,πρότερος,adjective,a(pa/ntwn,ἅπας,adjective,mete/qhke,to\,ὁ,article,μετατίθημι,verb,gigno/menon,γίγνομαι,verb,peri\,περί,preposition,tou\s,e)pai/nous,ἔπαινος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tosou=ton,τοσοῦτος,adjective,ga\r,γάρ,particle,a)pe/sxe,ἀπέχω,verb,tou=,ὁ,article,dia\,διά,preposition,koino/thta,κοινότης,noun,ge/nous,γένος,noun,eu)dokimei=n,oi(=on,οἷος,adjective,εὐδοκιμέω,verb,e)/qnei,ἔθνος,adjective,prosfeu/gwn,προσφεύγω,verb,h)\,po/lei,πόλις,adjective,w(/ste,ὥστε,conjunction,palaio/taton,παλαιός,adjective,me\n,μέν,particle,dh/,δή,particle,pou,πού,adverb,genw=n,γένος,noun,to\,ὁ,article,u(me/teron,ὑμέτερος,adjective,kai\,καί,conjunction,ἠέ,conjunction,e)n,ἐν,preposition,tw=|,ὁ,article,koinw=|,κοινός,adjective,ge/nei,γένος,noun,tw=n,ὁ,article,*frugw=n,Φρύξ,proper,h(,ὁ,article,po/lis,πόλις,adjective,au)=,αὖ,interjection,kaqa/,καθά,adverb,fasin,φημί,verb,h(,ὁ,article,u(mete/ra,ὑμέτερος,adjective,o(,ὁ,article,de\,δέ,particle,kai\,καί,conjunction,th=|,ὁ,article,po/lei,πόλις,adjective,kai\,καί,conjunction,tw=|,ὁ,article,ge/nei,γένος,noun,su/mpanti,σύμπαντι,adverb,th\n,ὁ,article,filotimi/an,φιλοτιμία,noun,au(tou=,ἑαυτοῦ,pronoun,kate/sthse,καθίστημι,verb,kai\,καί,conjunction,pa=sin,πᾶς,adjective,u(mi=n,σύ,pronoun,ou),οὐ,adverb,mikro\n,μικρός,adjective,kau/xhma,καύχημα,noun,pro\s,πρός,preposition,tou\s,ὁ,article,*(/ellhnas,Ἕλλην,proper,e)kei/nou,ἐκεῖνος,pronoun,poli/tas,πολίτης,noun,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didaska/lois,διδάσκαλος,noun,de\,δέ,particle,xrh/sasqai,χράω,verb,me\n,μέν,particle,le/getai,λέγω,verb,toi=s,ὁ,article,a)ri/stois,ἄριστος,adjective,u(perbalo/menos,d',δέ,particle,ὑπερβάλλω,verb,o(/son,ὅσος,adjective,pai=das,παῖς,adjective,a(/pantas,fai/netai,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἅπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)faya/menos,ἐφάπτω,verb,de\,δέ,particle,toi=s,ὁ,article,xro/nois,χρόνος,noun,th=s,ὁ,article,h(liki/as,ἡλικία,noun,a(pa/ntwn,ἅπας,adjective,tw=n,e)ndocota/twn,ἔνδοξος,adjective,ὁ,article,tw=n,ὁ,article,me\n,μέν,particle,a)rxaiota/twn,maqhth\s,μαθητής,noun,tw=n,ὁ,article,d',δέ,particle,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,a(pa/ntwn,ἅπας,adjective,tw=n,ὁ,article,me\n,μέν,particle,dida/skalos,διδάσκαλος,noun,tw=n,ὁ,article,ἀρχαῖος,adjective,de\,δέ,particle,sunergo\s,συνεργός,adjective,kate/sth,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,o(poi/ous,ὁποῖος,adjective,me/n,μέν,particle,tinas,τις,pronoun,a)peirga/sato,ἀπεργάζομαι,verb,e)rou=sin,ἐρέω,verb,e(/teroi,ἕτερος,adjective,oi(=s,d',δέ,particle,ὅς,pronoun,au)=,αὖ,interjection,sunepai/deusen,συμπαιδεύω,verb,ou)dei\s,h)=n,εἰμί,verb,e)kei/nwn,ἐκεῖνος,pronoun,mei/zwn,μέγας,adverb,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,oi(,ἕ,pronoun,me\n,μέν,particle,a)/lloi,ἄλλος,adjective,tw=n,ὁ,article,mega/lwn,μέγας,adverb,o)rego/menoi,ta\,ὁ,article,ὀρέγω,verb,mikra\,μικρός,adjective,paria=sin,παρίημι,verb,o(,de\,δέ,particle,a)rca/menos,ἄρχω,verb,e)k,ἐκ,preposition,tw=n,ὁ,article,braxuta/twn,βραχύς,adjective,a)/xri,ἄχρι,adverb,tw=n,ὁ,article,telewta/twn,τέλειος,adjective,diech=lqen,διεξέρχομαι,verb,w(/sper,ὥσπερ,adverb,ὁ,article,fasi\,φημί,verb,kai\,καί,conjunction,muei=sqai,μυάω,verb,qemito\n,θεμιτός,adverb,ei)=nai,εἰμί,verb,ta\,ὁ,article,mikra\,μικρός,adjective,prw=ton,πρότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/teroi,ἕτερος,adjective,de\,δέ,particle,ta\,ὁ,article,me\n,μέν,particle,i)/xnh,ἴχνος,noun,kai\,καί,conjunction,ta\s,ὁ,article,a)rxa\s,me/xri,μέχρι,preposition,ἀρχή,noun,pollou=,πολύς,adjective,dihreunh/santo,διερευνάω,verb,ma=llon,de\,δέ,particle,kai\,καί,conjunction,kate/triyan,κατατρίβω,verb,e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,to\n,ὁ,article,e(autw=n,ἑαυτοῦ,pronoun,bi/on,βίος,adjective,w(=n,ὅς,pronoun,de\,δέ,particle,μᾶλλον,adverb,e(/neka,ἕνεκα,preposition,tau=ta,οὗτος,pronoun,e)ceurei=n,ἐξευρίσκω,verb,a)/cion,ἄξιος,adjective,oi(,ὁ,article,me\n,μέν,particle,o(/lws,ὅλος,adjective,ou)k,οὐ,adverb,ei)=don,εἶδον,verb,oi(,ἕ,pronoun,d',δέ,particle,ou)k,οὐ,adverb,e)fi/konto,ἐφικνέομαι,verb,w(s,ὡς,conjunction,e)/oiken,ἔοικα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,d',δέ,particle,w(/sper,ὥσπερ,adverb,o(do/n,ὁδός,adjective,tina,τις,pronoun,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,ei)s,te/los,τέλος,noun,εἰς,preposition,h)reunh/sato,ἐρευνάω,verb,ou)de\n,οὐδείς,pronoun,ou)damou=,pariei\s,παρίημι,verb,tw=n,ὁ,article,sxolh=s,σχολή,noun,kai\,καί,conjunction,o(poshstinosou=n,,,a)ci/wn,ἄξιος,adjective,,,,,,,,,,,,,οὐδαμός,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga/r,γάρ,particle,toi,σύ,pronoun,kate/sth,καθίστημι,verb,toi=s,ὁ,article,*(/ellhsin,Ἕλλην,proper,a)nti\,ἀντί,preposition,tamiei/ou,koinou=,κοινός,adjective,ταμιεῖον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,ga\r,γάρ,particle,o(/tou,ὅστις,pronoun,tis,τις,pronoun,de/oito,δέομαι,verb,tw=n,ὁ,article,ei)s,εἰς,preposition,paidei/an,par',παρά,preposition,παιδεία,noun,e)kei/nou,ἐκεῖνος,pronoun,lamba/nein,λαμβάνω,verb,w(/sper,e)k,ἐκ,preposition,phgw=n,πηγή,noun,a)ruo/menon,ἀρύω,verb,,,,,,,,,,,,,,,,,,,,,,ὥσπερ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,dh\,δή,particle,me/giston,μέγας,adverb,tw=n,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,kai\,καί,conjunction,ma/lista,a)/cion,ἄξιος,adjective,μάλιστα,adverb,e)pishmh/nasqai,ἐπισημαίνω,verb,o(\,ὅς,pronoun,kai\,pro\s,πρός,preposition,au)to\n,αὐτός,pronoun,e)/gwge/,ἐγώ,pronoun,pote,ποτέ,particle,ei)=pon,εἶπον,verb,dialego/menos,διαλέγω,verb,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/nta,πᾶς,adjective,ga\r,γάρ,particle,w(/sper,ὥσπερ,adverb,le/gw,λέγω,verb,diecelqw\n,διεξέρχομαι,verb,ta\,ὁ,article,maqh/mata,μάθημα,noun,kai\,ou)de\n,οὐδείς,pronoun,καί,conjunction,e)/sq',ἔσθω,verb,o(/,ὅς,pronoun,ti,ou)k,οὐ,adverb,a)kribe/steron,ἀκριβής,adjective,tw=n,ὁ,article,e)f',ἐπί,preposition,e(ka/stw|,ἕκαστος,adjective,kaqhme/nwn,κάθημαι,verb,ou)/te,οὔτε,adverb,to\,ὁ,article,sobarw/taton,σοβαρός,adjective,au(tw=|,ἑαυτοῦ,pronoun,τις,pronoun,tw=n,ὁ,article,o)noma/twn,ὄνομα,adjective,e)pegra/yato,ἐπιγράφω,verb,a)ll',ἀλλά,adverb,e)/meinen,μένω,verb,e)pi\,ἐπί,preposition,tou=,ὁ,article,a)rxai/ou,ἀρχαῖος,adjective,kai\,καί,conjunction,tou\s,ὁ,article,a)/llous,ἄλλος,adjective,ou)k,οὐ,adverb,a)peste/rei,ἀποστερέω,verb,tw=n,ὁ,article,diatribw=n,διατριβή,noun,a)lla\,ἀλλά,adverb,sumpra/ttwn,συμπράσσω,verb,e(ka/stois,ἕκαστος,adjective,h)=n,εἰμί,verb,fanero\s,φανερός,adjective,kai\,καί,conjunction,sunau/cwn,συναυξάνω,verb,kata\,κατά,preposition,du/namin,δύναμις,adjective,a)ei/,ἀεί,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,ou)=n,οὖν,particle,oi(,ὁ,article,me\n,μέν,particle,a)/lloi,ἄλλος,adjective,mei/zous,μέγας,adverb,dia\,ta\s,ὁ,article,διά,preposition,te/xnas,τέχνη,noun,gi/gnontai,γίγνομαι,verb,o(,de\,δέ,particle,kai\,καί,conjunction,th\n,ὁ,article,te/xnhn,τέχνη,noun,au)th\n,αὐτός,pronoun,mei/zw,μέγας,adverb,tw=|,ὁ,article,par',παρά,preposition,e(autou=,ἑαυτοῦ,pronoun,me/rei,μέρος,noun,ὁ,article,kate/sthse,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollaxo/qen,πολλαχόθεν,adverb,ga\r,γάρ,particle,au)th\n,αὐτός,pronoun,h)=ren,αἴρω,verb,w(/st',ὥστε,conjunction,a)p',ἀπό,preposition,e)kei/nou,ἐκεῖνος,pronoun,to\,sxh=ma,σχῆμα,noun,ὁ,article,e)/xein,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=s,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,a)/llois,ἄλλος,adjective,e)carkei=,ἐξαρκής,adjective,tw=n,ὁ,article,kaq',κατά,preposition,au(tou\s,u(persxei=n,ὑπερέχω,verb,ἑαυτοῦ,pronoun,o(,ὁ,article,de\,δέ,particle,sumpa/shs,a(plw=s,ἁπλῶς,adverb,th=s,ὁ,article,te/xnhs,τέχνη,noun,prwteu/sas,πρωτεύω,verb,fai/netai,φαίνω,verb,,,,,,,,,,,,,,,,σύμπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,ga\r,γάρ,particle,a)/llwn,ἄλλος,adjective,tw=n,ὁ,article,e)ntau=qa,ἐνταῦθα,adverb,paidei/as,παιδεία,noun,taxqe/ntwn,τάσσω,verb,tw=n,me\n,μέν,particle,ὁ,article,kri/sews,κρίσις,adjective,eu)=,εὖ,adverb,sxei=n,doca/ntwn,δοξάζω,verb,fwnh\n,φωνή,noun,de\,δέ,particle,ou)de/nwn,οὐδείς,pronoun,genome/nwn,γίγνομαι,verb,tw=n,ὁ,article,d',δέ,particle,ei)pei=n,εἶπον,verb,me\n,μέν,particle,e)ciknoume/nwn,ἐξικνέομαι,verb,ἔχω,verb,th=|,ὁ,article,d',δέ,particle,e)pisth/mh|,ἐπιστήμη,noun,ou),οὐ,adverb,polla\,πολύς,adjective,w(milhko/twn,ὁμιλέω,verb,tw=n,ὁ,article,d',δέ,particle,au)=,αὖ,interjection,poluma/qeian,πολυμάθεια,noun,a)skhsa/ntwn,ἀσκέω,verb,u(po\,ὑπό,preposition,d',δέ,particle,au)th=s,αὐτός,pronoun,tau/ths,οὗτος,pronoun,ei)s,εἰς,preposition,ta\,ὁ,article,krei/ttw,κρείσσων,verb,tuflwqe/ntwn,τυφλόω,verb,kai\,καί,conjunction,meqe/ntwn,μεθίημι,verb,to\,ὁ,article,be/ltiston,βέλτιστος,adjective,pa/nta,πᾶς,adjective,dh\,δή,particle,sullabw\n,συλλαμβάνω,verb,ei(=s,εἷς,adjective,a)nh\r,ἀνήρ,noun,ei)=xe,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,to/,ὁ,article,ge,γε,particle,fwnh=s,φωνή,noun,ou(/tws,οὕτως,adverb,e)/xonta,ἔχω,verb,mh\,ei)s,εἰς,preposition,μή,conjunction,suggrafa/s,συγγραφή,noun,te,τε,particle,kai\,toiou=ton,τοιοῦτος,adjective,sxh=ma,σχῆμα,noun,a)naxwrh=sai,ἀναχωρέω,verb,a)ll',ἀλλά,adverb,e(le/sqai,αἱρέω,verb,th\n,ὁ,article,toi=s,ὁ,article,palaioi=s,παλαιός,adjective,*(/ellhsi,Ἕλλην,proper,diakoni/an,διακονία,noun,καί,conjunction,pw=s,πῶς,adverb,ou)x,οὐ,adverb,o(/moion,ὅμοιος,adjective,tw=|,ὁ,article,pro\s,πρός,preposition,tou\s,ὁ,article,foitw=ntas,φοιτάω,verb,a)fqo/nw|,ἄφθονος,adjective,kai\,καί,conjunction,a)feidei=,ἀφειδέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio\,διό,conjunction,tw=n,ὁ,article,te,τε,particle,maqhma/twn,μάθημα,noun,eu)qe/ws,εὐθύς,adverb,e)nepi/mplh,ἐμπίπλημι,verb,kai\,καί,conjunction,o(/sous,e(w/ra,ὁράω,verb,ὅσος,adjective,bi/ou,βίος,adjective,deome/nous,δέομαι,verb,susta/seis,au)toi=s,αὐτός,pronoun,kai\,καί,conjunction,ta/ceis,τάξις,noun,e)pori/zeto,πορίζω,verb,,,,,,,,,,,,,,,,,,,συνίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,plei/stous,πλεῖστος,adjective,dh\,δή,particle,ei(=s,εἷς,adjective,a)nh\r,ἀνήρ,noun,ou(=tos,οὗτος,pronoun,paideu/sas,παιδεύω,verb,te,kai\,καί,conjunction,τε,particle,diadou\s,διαδίδωμι,verb,fai/netai,φαίνω,verb,kai\,geno/menos,γίγνομαι,verb,a)kribw=s,ἀκριβῶς,adverb,toi=s,ὁ,article,*(/ellhsin,Ἕλλην,proper,a)nt',ἀντί,preposition,oi)kistou=,οἰκιστής,noun,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)ka/sai,εἰκάζω,verb,de\,δέ,particle,e)/cesti,ἔξεστι,verb,to\,ὁ,article,kat',κατά,preposition,au)to\n,αὐτός,pronoun,kai\,καί,conjunction,tai=s,mhtropo/lesin,μητρόπολις,adjective,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
