word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/26/lemma/@_entry,word/26/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/34/lemma/@_entry,word/34/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS
kuna/gxh,κυνάγχη,noun,to/de,ὅδε,pronoun,kale/etai,καλέω,verb,h)/toi,ἤτοι,particle,tw=|,ὁ,article,cunexe/i+,συνεχής,adverb,pa/qei+,πάθος,adjective,tw=nde,ὅδε,pronoun,tw=n,ὁ,article,zw/wn,ζάω,verb,h)\,ἠέ,conjunction,tw=|,ὁ,article,cunh/qei+,σύνηθέω,verb,th=s,ὁ,article,probolh=s,προβολεύς,noun,th=s,ὁ,article,glw/sshs,γλῶσσα,noun,kai\,καί,conjunction,e)n,ἐν,preposition,u(gei/h|,ὑγεία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,e(te/rw|,ἕτερος,adjective,de\,δέ,particle,ei)/dei+,εἶδος,noun,ta\,ὁ,article,e)nanti/a,ἐναντίος,adjective,cu/nesti,σύνειμι,verb,cu/mptwsis,σύμπτωσις,noun,tw=n,ὁ,article,o)rga/nwn,ὄργανον,noun,kai\,καί,conjunction,i)sxno/ths,ἰσχνότης,noun,e)pi\,ἐπί,preposition,ma=llon,μᾶλλον,adverb,th=s,ὁ,article,e(ka/stou,ἕκαστος,adjective,fu/sios,φύσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pni\c,πνίξ,adjective,karterh\,καρτερός,adjective,w(s,ὡς,conjunction,doke/ein,δοκέω,verb,sfi/si,σφεῖς,pronoun,au)te/oisi,,,e)s,εἰς,preposition,qw/rhka,θώραξ,noun,e)s,εἰς,preposition,to\,ὁ,article,a)fane\s,ἀφανής,adjective,e)gkekru/fqai,ἐγκρύπτω,verb,th\n,ὁ,article,flegmon,,,h\n,,,a)mfi\,ἀμφί,preposition,kardi/hn,καρδία,noun,kai\,καί,conjunction,pneu/mona,πνεύμων,adjective,suna/gxhn,συνάγχη,noun,th/nde,ὅδε,pronoun,kale/omen,καλέω,verb,oi(=on,οἷος,adjective,suneu/ousan,,,e)/ndon,ἔνδον,adverb,kai\,a)/gxousan,ἀναχράω,verb,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,de\,δέ,particle,doke/ei,δοκέω,verb,au)te/ou,,,tou=,ὁ,article,pneu/matos,πνεῦμα,noun,mou/nou,μόνος,adjective,to\,ὁ,article,kako\n,κακός,adjective,e)/mmenai,εἰμί,verb,troph\n,τροπή,noun,ponhrh\n,πονηρός,adjective,e)s,εἰς,preposition,to\,ὁ,article,qermo/ta,,,ton,,,kai\,καί,conjunction,chro/taton,ξηρός,adjective,trepome/nou,τρέπω,verb,a)/neuqen,ἄνευθε,preposition,tou=,ὁ,article,sw/mato/s,σῶμα,adjective,tinos,τις,pronoun,flegmon,,,h=s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,de\,δέ,particle,ou),οὐ,adverb,me/ga,μέγας,adverb,to\,ὁ,article,qwu=ma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,e)n,ἐν,preposition,*xarwni/oisin,,,ai(,ὁ,article,pni/cies,πνῖξις,noun,ou),οὐ,adverb,swma/twn,σῶμα,adjective,pa/qei+,πάθος,adjective,o)cuta/tw|,ὀξύς,adjective,gi/gnontai,γίγνομαι,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,mia=|,εἷς,adjective,ei)spnoh=|,εἰσπνοή,noun,qnh/skousi,θνήσκω,verb,w(/nqrwpoi,ἄνθρωπος,noun,pri\n,πρίν,adverb,to\,ὁ,article,sw=ma,σῶμα,adjective,kako/n,κακός,adjective,ti,τις,pronoun,paqe/ein,πάσχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,kai\,καί,conjunction,a)po\,ἀπό,preposition,glw/sshs,γλῶσσα,noun,kuno\s,κύων,noun,ei)spneu/santos,εἰσπνέω,verb,mou=non,μόνος,adjective,e)s,εἰς,preposition,th\n,ὁ,article,a)napnoh\n,ἀναπνοή,noun,ou)/ti,οὔτι,adverb,mh\n,μήν,particle,e)ndako/ntos,ἐνδάκνω,verb,lussa=|,λυσσάω,verb,o(,ὁ,article,a)/nqrwpos,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toih/nde,τοιόσδε,adjective,ou)=n,οὖν,particle,th=s,ὁ,article,a)napnoh=s,ἀναπνοή,noun,th\n,ὁ,article,troph\n,τροπή,noun,ou)k,οὐ,adverb,a)du/naton,ἀδύνατος,adjective,gi/gnesqai,γίγνομαι,verb,e)/ndoqen,ἔνδοθεν,adverb,e)pei\,ἐπεί,conjunction,kai\,καί,conjunction,a)/lla,ἄλλος,adjective,muri/a,μυρίος,adjective,tw=n,ὁ,article,e)n,ἐν,preposition,a)nqrw/pw|,ἄνθρωπος,noun,th\n,ὁ,article,au)th\n,αὐτός,pronoun,i)de/hn,ἰδέα,noun,toi=s,ὁ,article,e)/cwqen,ἔξωθεν,adverb,ai)ti/ois,αἴτιος,adjective,i)/sxei,ἴσχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xuloi\,χυλός,noun,fqei/rontes,φθείρω,verb,e)/swqen,ἔσωθεν,adverb,kai\,καί,conjunction,e)/cwqen,ἔξωθεν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,kai\,καί,conjunction,nou=soi,νόσος,noun,farma/koisi,φάρμακον,noun,dhlhthri/oisi,δηλητήριος,adjective,i)/kelai,ἴκελος,adjective,kai\,καί,conjunction,a)po\,ἀπό,preposition,farma/kwn,φάρμακον,noun,e)me/ousi,ἐμέω,verb,o(koi=a,ὁποῖος,adjective,puretw=n,πυρετέω,verb,ei(/neka,ἕνεκα,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,ou)d',οὐδέ,particle,a)peoiko\s,ἀπεοικώς,verb,e)n,ἐν,preposition,tw=|,ὁ,article,loimw=|,λοιμός,noun,tw=|,ὁ,article,e)n,ἐν,preposition,*)aqh/nh|si,Ἀθήνη,proper,metecete/rous,μετεξέτεροι,adjective,doke/ein,δοκέω,verb,ei)s,εἰς,preposition,ta\,ὁ,article,fre/ata,φρέαρ,noun,e)n,ἐν,preposition,tw=|,ὁ,article,*peiraiei=,Πειραιεύς,proper,u(po\,ὑπό,preposition,*peloponnhsi/wn,Πελοποννήσιοι,proper,e)mbeblh=sqai,ἐμβάλλω,verb,fa/rmaka,φάρμακον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,cuni/esan,συνίημι,verb,w(/nqrwpoi,ἄνθρωπος,noun,to\,ὁ,article,cuno\n,ξυνός,adjective,tou=,ὁ,article,kakou=,κακός,adjective,tou=,ὁ,article,loimw/deos,λοιμώδης,adverb,pro\s,πρός,preposition,ta\,ὁ,article,dhlhth/r,,,ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cu/nesti,σύνειμι,verb,de\,δέ,particle,toi=si,τίς,pronoun,me\n,μέν,particle,kunagxikoi=si,κυναγχικός,adjective,flegmonh\,φλεγμονή,noun,parisqmi/wn,παρίσθμιον,noun,farugge/qrou,φαρύγγεθρον,noun,panto\s,πᾶς,adjective,tou=,ὁ,article,sto/matos,στόμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glw=ssa,γλῶσσα,noun,propeth\s,προπετής,adverb,u(pe\r,ὑπέρ,preposition,tou\s,ὁ,article,o)do/ntas,ὀδούς,noun,kai\,καί,conjunction,ta\,ὁ,article,xei/lea,χεῖλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sieloxo/oi,,,fle/gma,φλέγμα,noun,paxu/taton,,,a)porre/on,ἀπορρέω,verb,kai\,καί,conjunction,yuxro/n,ψυχρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ruqroi\,ἐρυθρός,adjective,ta\,ὁ,article,pro/swpa,πρόσωπον,noun,kai\,καί,conjunction,e)phrme/noi,ἐπαίρω,verb,o)fqalmoi\,ὀφθαλμός,noun,e)ci/sxontes,ἐξίσχω,verb,a)napete/es,ἀναπετής,adjective,e)ce/ruqroi,ἐξέρυθρος,adjective,to\,ὁ,article,poto\n,ποτός,adjective,e)s,εἰς,preposition,ta\s,ὁ,article,*ri=nas,,,a)nako/ptetai,ἀνακόπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/noi,πόνος,noun,karteroi\,καρτερός,adjective,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,u(po\,ὑπό,preposition,th=s,ὁ,article,pnigo\s,,,sundiwko/menoi,,,a)maurou=ntai,ἀμαυρόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qw/rhc,θώραξ,noun,kai\,καί,conjunction,kardi/h,καρδία,noun,fle/getai,φλέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poqh\,ποθή,noun,yuxrou=,ψυχρός,adjective,h)e/ros,ἀήρ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)spne/ousi,εἰσπνέω,verb,de\,δέ,particle,mikro\n,μικρός,adjective,pa/nu,πάνυ,adverb,e)/s,εἰς,preposition,te,τε,particle,kai\,καί,conjunction,a)pepni/xqhsan,ἀποπνίγω,verb,e)mfragei/shs,ἐμφράσσω,verb,th=s,ὁ,article,e)s,εἰς,preposition,to\n,ὁ,article,qw/rhka,θώραξ,noun,dio/dou,δίοδος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ni/oisi,ἔνιοι,adjective,de\,δέ,particle,e)s,εἰς,preposition,pneu/mona,πνεύμων,adjective,h(,ὁ,article,cu/ndosis,σύνδοσις,noun,*rhi+di/ws,,,oi(,ὁ,article,de\,δέ,particle,metasta/si,,,qnh/skousi,θνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puretoi\,πυρετός,noun,nwqroi\,νωθρός,adjective,malakoi\,μαλακός,adjective,ou)de\n,οὐδείς,pronoun,w)fele/ontes,ὠφελέω,verb,ei),εἰ,conjunction,de/,δέ,particle,tw|,τις,pronoun,e)s,εἰς,preposition,a)gaqo\n,ἀγαθός,adjective,tre/poito,τρέπω,verb,a)posta/sies,ἀπόστασις,noun,gi/gnontai,γίγνομαι,verb,e)/nqa,ἔνθα,adverb,kai\,καί,conjunction,e)/nqa,ἔνθα,adverb,par',παρά,preposition,ou)=s,οὖς,noun,e)/cw,ἔξω,adverb,h)\,ἠέ,conjunction,e)/ndon,ἔνδον,adverb,e)s,εἰς,preposition,ta\,ὁ,article,pari/sqmia,παρίσθμιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kh)\n,ἐν,preposition,me\n,μέν,particle,cu\n,σύν,preposition,na/rkh|,νάρκα,noun,mh\,μή,conjunction,ka/rta,κάρτα,adverb,brade/ws,βραδύς,adjective,perigi/gnontai,περιγίγνομαι,verb,me\n,μέν,particle,cu\n,σύν,preposition,po/nw|,πόνος,noun,de\,δέ,particle,kai\,καί,conjunction,kindu/nw|,κίνδυνος,noun,h)\n,ἐάν,conjunction,de\,δέ,particle,trepome/nwn,τρέπω,verb,e)s,εἰς,preposition,a)po/stasin,ἀπόστασις,noun,o)/gkos,ὄγκος,noun,me/zwn,μέγας,adverb,u(pogi/gnhtai,ὑπογίγνομαι,verb,e)s,εἰς,preposition,korufh\n,κορυφή,noun,th=s,ὁ,article,a)posta/sios,ἀπόστασις,noun,a)nistame/nhs,a)qro/on,ἀθρόος,adjective,ἀνίστημι,verb,pni/gontai,πνίγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta/de,ὅδε,pronoun,me\n,μέν,particle,ta\,ὁ,article,kuna/gxhs,κυνάγχη,noun,ei)/dea,εἶδος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*cuna/gxhs,ἀναχάω,verb,de\,δέ,particle,su/mptwsis,σύμπτωσις,noun,i)sxno/ths,ἰσχνότης,noun,w)xro/ths,ὠχρότης,noun,su/nesti,σύνειμι,verb,o)fqalmoi\,ὀφθαλμός,noun,koi=loi,κόιλος,adjective,ei)/sw,εἴσω,adverb,deduko/tes,δύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa/rugc,φάρυγξ,noun,kai\,καί,conjunction,gargare/wn,,,a)nespasme/noi,ἀνασπάω,verb,pari/sqmia,παρίσθμιον,noun,e)pi\,ἐπί,preposition,ma=llon,μᾶλλον,adverb,prosi/zonta,προσίζω,verb,a)fwni/h,ἀφωνία,noun,pni\c,πνίξ,adjective,h(,ὁ,article,tou=de,ὅδε,pronoun,tou=,ὁ,article,ei)/deos,εἶδος,noun,th=s,ὁ,article,pro/sqen,πρόσθεν,adverb,pollo/n,πολύς,adjective,ti,τις,pronoun,krataiote/rh,κραταιός,adjective,e)n,ἐν,preposition,qw/rhki,θώραξ,noun,e)o/ntos,εἰμί,verb,tou=,ὁ,article,kakou=,κακός,adjective,e)/nqa,ἔνθα,adverb,h(,ὁ,article,a)rxh\,th=s,ὁ,article,ἀρχή,noun,a)napnoh=s,ἀναπνοή,noun,oi(,ὁ,article,de\,δέ,particle,o)cu/tatoi,ὀξύς,adjective,qnh/skousi,θνήσκω,verb,au)th=mar,αὐτῆμαρ,adverb,e)/sq',o(/ph,ὅπη,adverb,kai\,καί,conjunction,pri\n,πρίν,adverb,kale/sasqai,καλέω,verb,ἔσθω,verb,to\n,ὁ,article,i)htro\n,ἰατρός,noun,oi(,ὁ,article,de\,δέ,particle,kai\,καί,conjunction,e)skalesa/menoi,εἰσκαλέω,verb,ou)de\n,οὐδείς,pronoun,w)/nanto,ὀνίνημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)pe/qanon,ἀποθνήσκω,verb,ga\r,γάρ,particle,pri\n,πρίν,adverb,h)\,ἠέ,conjunction,to\n,ὁ,article,i)htro\n,ἰατρός,noun,e)pi\,ἐπί,preposition,te/xnh|,τέχνη,noun,xrh/sasqai,χράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
