word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS
ou),οὐ,adverb,me/ntoi,μέντοι,particle,proseti/qhn,προστίθημι,verb,ou)/t',οὔτε,adverb,e)n,ἐν,preposition,oi(=s,ὅς,pronoun,o)/nti,εἰμί,verb,prosegi/gneto,προσγίγνομαι,verb,e(/kasta,ἕκαστος,adjective,ou)/q',οὔτε,adverb,o(poi=',ὁποῖος,adjective,a)/tt',ἀίσσω,verb,a)pe/bainen,ἀποβαίνω,verb,e)c,ἐκ,preposition,au)tw=n,αὐτός,pronoun,a)ll',ἀλλά,adverb,h)/rkei,ἀρκέω,verb,moi,ἐγώ,pronoun,w(/sper,ὥσπερ,adverb,a)fosiou=sqai,ἀφοσιόω,verb,pro\s,πρός,preposition,to\n,ὁ,article,qeo\n,θεός,noun,a(/ma,ἅμα,adverb,me\n,μέν,particle,dia\,διά,preposition,th\n,ὁ,article,a)dunami/an,ἀδυναμία,noun,w(/sper,ὥσπερ,adverb,e)/fhn,φημί,verb,tou=,ὁ,article,sw/matos,σῶμα,adjective,a(/ma,ἅμα,adverb,de\,δέ,particle,ou)k,οὐ,adverb,a)/n,ἄν,particle,pote,ποτέ,particle,h)/lpisa,ἐλπίζω,verb,ei)s,εἰς,preposition,tosou=ton,τοσοῦτος,adjective,probh/sesqai,προβαίνω,verb,pronoi/as,πρόνοια,noun,to\n,ὁ,article,qeo/n,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,d',δέ,particle,*)adra/steia,Ἀδράστεια,proper,keklh/sqw,καλέω,verb,moi,ἐγώ,pronoun,su\n,σύν,preposition,au)tw=|,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,de\,δέ,particle,kai\,καί,conjunction,tw=|,ὁ,article,mh\,μή,conjunction,pa/nta,πᾶς,adjective,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,a)rca/menos,ἄρχω,verb,gra/fein,γράφω,verb,w(/sper,ὥσπερ,adverb,dakno/menos,δάκνω,verb,kai\,καί,conjunction,ta\,ὁ,article,loipa\,λοιπός,adjective,proi+e/mhn,προίημι,verb,ta\,ὁ,article,me\n,μέν,particle,w(s,ὡς,conjunction,a)\n,ἄν,particle,e(kw/n,ἑκών,adjective,tis,τις,pronoun,ta\,ὁ,article,de\,δέ,particle,w(s,ὡς,conjunction,a)/kwn,ἀέκων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(te/ras,ἕτερος,adjective,de\,δέ,particle,o(dou\s,ὁδός,adjective,xari/twn,χάρις,noun,eu(/riskon,εὑρίσκω,verb,pro\s,πρός,preposition,to\n,ὁ,article,qeo/n,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,muria/das,μυριάς,noun,ge,γε,particle,e)pw=n,ἔπος,adjective,ou)k,οὐ,adverb,e)/latton,ἐλάσσων,adjective,h)\,ἠέ,conjunction,tria/konta,τριάκοντα,noun,h(gou=mai,ἡγέομαι,verb,th=s,ὁ,article,a)pografh=s,ἀπογραφεύς,noun,ei)=nai,εἰμί,verb,a)ll',ἀλλά,adverb,ou)/t',οὔτε,adverb,e)pelqei=n,ἐπέρχομαι,verb,dh/,δή,particle,pou,πού,adverb,r(a/|dion,ῥαίδιον,noun,au)ta\s,αὐτός,pronoun,ou)/t',οὔτε,adverb,e)farmo/ttein,ἐφαρμόζω,verb,e(ka/stois,ἕκαστος,adjective,o(/pws,ὅπως,conjunction,ei)=xe,ἔχω,verb,ta\,ὁ,article,tw=n,ὁ,article,xro/nwn,χρόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro/s,πρός,preposition,te,τε,particle,tou/tois,οὗτος,pronoun,e)/stin,εἰμί,verb,a(\,ὅς,pronoun,kai\,καί,conjunction,dieforh/qh,διαφορέω,verb,e)n,ἐν,preposition,th=|,ὁ,article,pantodaph=|,παντοδαπός,adjective,fqora=|,φθορά,noun,kai\,καί,conjunction,a)krasi/a|,ἀκρασία,noun,tw=n,ὁ,article,kat',κατά,preposition,oi)=kon,οἶκος,noun,peri\,περί,preposition,tou\s,ὁ,article,xro/nous,χρόνος,noun,tou/tous,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(po/loipon,ὑπόλοιπος,adjective,ou)=n,οὖν,particle,e)sti,εἰμί,verb,kefa/laia,κεφάλαιος,adjective,le/gein,λέγω,verb,a)/lla,ἄλλος,adjective,a)/lloqen,ἄλλοθεν,adverb,a)namimnhsko/menon,ἀναμιμνήσκω,verb,o(/pws,ὅπως,conjunction,a)\n,ἄν,particle,o(,ὁ,article,qeo\s,θεός,noun,a)/gh|,ἄγω,verb,te,τε,particle,kai\,καί,conjunction,kinh=|,κινέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kalou=men,καλέω,verb,d',δέ,particle,au)to\n,αὐτός,pronoun,kai\,καί,conjunction,pro\s,πρός,preposition,au)ta\,αὐτός,pronoun,tau=ta,οὗτος,pronoun,w(/sper,ὥσπερ,adverb,pro\s,πρός,preposition,a(/panta,ἅπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ntws,πάντως,adverb,d',δέ,particle,e)sti\,εἰμί,verb,pro\s,πρός,preposition,a(/panta,ἅπας,adjective,klhto\s,κλητός,adjective,ei),εἰ,conjunction,dh/,δή,particle,tis,τις,pronoun,qew=n,θέα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,ga\r,γάρ,particle,e)komi/sqhn,κομίζω,verb,a)po\,ἀπό,preposition,th=s,ὁ,article,*)itali/as,Ἰταλία,proper,polla\,πολύς,adjective,kai\,καί,conjunction,pantoi=a,παντοῖος,adjective,suneiloxw\s,συλλέγω,verb,tw=|,ὁ,article,sw/mati,σῶμα,adjective,a)po\,ἀπό,preposition,tw=n,ὁ,article,sunexw=n,συνεχής,adverb,kama/twn,κάματος,noun,te,τε,particle,kai\,καί,conjunction,xeimw/nwn,χειμών,noun,oi(=s,ὅς,pronoun,e)xrhsa/mhn,χράω,verb,a)piw\n,ἄπειμι,verb,dia\,διά,preposition,*qra/|khs,Θρᾴκη,proper,kai\,καί,conjunction,*makedoni/as,Μακεδονία,proper,e)/ti,ἔτι,adverb,ka/mnwn,κάμνω,verb,e)celqw\n,ἐξέρχομαι,verb,oi)/koqen,οἴκοθεν,adverb,h)=n,εἰμί,verb,toi=s,ὁ,article,i)atroi=s,ἰατρός,noun,a)pori/a,ἀπορία,noun,pollh\,πολύς,adjective,mh\,μή,conjunction,o(/ti,ὅστις,pronoun,w)felei=n,ὠφελέω,verb,ou)k,οὐ,adverb,e)/xousin,ἔχω,verb,a)ll',ἀλλά,adverb,ou)de\,οὐδέ,particle,gnwri/sai,γνωρίζω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,ei)/h,ἀίω,verb,to\,ὁ,article,su/mpan,σύμπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xalepw/taton,χαλεπός,adjective,d',δέ,particle,a(pa/ntwn,ἅπας,adjective,kai\,καί,conjunction,a)porw/taton,ἄπορος,adjective,o(/ti,ὅστις,pronoun,tou=,ὁ,article,pneu/matos,πνεῦμα,noun,a)pekeklei/mhn,ἀποκλείω,verb,kai\,καί,conjunction,meta\,μετά,preposition,pollh=s,πολύς,adjective,th=s,ὁ,article,pragmatei/as,πραγματεία,noun,kai\,καί,conjunction,a)pisti/as,ἀπιστία,adjective,mo/lis,μόλις,adverb,a)/n,ἄν,particle,pote,ποτέ,particle,a)ne/pneusa,ἀναπνέω,verb,biai/ws,βίαιος,adjective,kai\,καί,conjunction,a)gaphtw=s,ἀγαπητός,adjective,pnigmoi/,πνιγμός,noun,te,τε,particle,parhkolou/qoun,παρακολουθέω,verb,sunexei=s,συνεχής,adverb,e)n,ἐν,preposition,tw=|,ὁ,article,traxh/lw|,τράχηλος,noun,kai\,καί,conjunction,ta\,ὁ,article,neu=ra,νεῦρον,noun,e)pefri/kei,φρίσσω,verb,kai\,καί,conjunction,ske/phs,σκέπη,noun,e)/dei,δέω,verb,plei/onos,πλείων,verb,h)\,ἠέ,conjunction,fe/rein,φέρω,verb,dunai/mhn,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xwri\s,χωρίς,adverb,d',δέ,particle,e(/tera,ἕτερος,adjective,a)mu/qhta,ἀμύθητος,adjective,h)nw/xlei,ἀνοχλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)do/kei,δοκέω,verb,dh\,δή,particle,xrh=nai,χρή,verb,toi=s,ὁ,article,u(/dasi,ὕδωρ,noun,xrh/sasqai,χράω,verb,toi=s,ὁ,article,qermoi=s,θερμός,adjective,ei)/,εἰ,conjunction,ti,τις,pronoun,dunai/mhn,δύναμαι,verb,gene/sqai,γίγνομαι,verb,r(a/|wn,ῥάιος,adjective,h)\,ἠέ,conjunction,to\n,ὁ,article,a)e/ra,ἀήρ,adjective,ma=llo/n,μᾶλλον,adverb,pws,πως,particle,a)nasxe/sqai,ἀνέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
