word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS
tw=|,ὁ,article,d',δέ,particle,a(/ma,ἅμα,adverb,i(e/menoi,ἵημι,verb,pole/moio/,πόλεμος,noun,te,τε,particle,fulo/pido/s,φύλοπις,noun,te,τε,particle,*boiwtoi\,Βοιωτός,proper,plh/cippoi,πλήξιππος,adjective,u(pe\r,ὑπέρ,preposition,sake/wn,σάκας,noun,pnei/ontes,πνέω,verb,*lokroi/,Λοκρός,proper,t',τε,particle,a)gxe/maxoi,ἀγχέμαχος,adjective,kai\,καί,conjunction,*fwkh=es,Φωκεύς,proper,mega/qumoi,μεγάθυμος,adjective,e(/spont',ἕπομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=rxe,ἄρχω,verb,de\,δέ,particle,toi=sin,τίς,pronoun,e)u\s,ἐύς,adjective,pa/is,παῖς,adjective,*)alkai/oio,Ἀλκαῖος,proper,kudio/wn,κυδιάω,verb,laoi=si,λαός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path\r,πατήρ,noun,d',δέ,particle,a)ndrw=n,ἀνήρ,noun,te,τε,particle,qew=n,θέα,noun,te,τε,particle,a)/llhn,ἄλλος,adjective,mh=tin,μῆτις,noun,u(/faine,ὑφαίνω,verb,meta\,μετά,preposition,fresi/n,φρήν,noun,w(/s,ὅς,pronoun,r(a,ἄρα,particle,qeoi=sin,θεός,noun,a)ndra/si,ἀνήρ,noun,t',τε,particle,a)lfhsth=|sin,ἀλφηστής,noun,a)rh=s,ἀρά,noun,a)lkth=ra,ἀλκτήρ,noun,futeu/sai,φυτεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=rto,ὄρνυμι,verb,d',δέ,particle,a)p',ἀπό,preposition,*ou)lu/mpoio,Ὄλυμπος,proper,do/lon,δόλος,noun,fresi\,φρήν,noun,bussodomeu/wn,βυσσοδομεύω,verb,i(mei/rwn,ἱμείρω,verb,filo/thtos,φιλότης,noun,e)uzw/noio,εὔζωνος,adjective,gunaiko/s,γυνή,noun,e)nnu/xios,ἐννύχιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta/xa,τάχα,adjective,d',δέ,particle,i(=ce,ἵκω,verb,*tufao/nion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to/qen,τόθεν,adverb,au)=tis,αὖθις,adverb,*fi/kion,Φίκιον,proper,a)kro/taton,ἄκρος,adjective,prosebh/sato,προσβαίνω,verb,mhti/eta,μητίετα,adjective,*zeu/s,Ζεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nqa,ἔνθα,adverb,kaqezo/menos,καθέζομαι,verb,fresi\,φρήν,noun,mh/deto,μήδομαι,verb,qe/skela,θέσκελος,adjective,e)/rga,ἔργον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)th=|,αὐτός,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,nukti\,νύξ,adjective,tanusfu/rou,,,*)hlektruw/nhs,Ἠλεκτρυώνη,proper,eu)nh=|,εὐνή,noun,kai\,καί,conjunction,filo/thti,φιλότης,noun,mi/gh,μίγνυμι,verb,te/lesen,τελέω,verb,d',δέ,particle,a)/r',ἄρα,particle,e)e/ldwr,ἔλδωρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)th=|,αὐτός,pronoun,d',δέ,particle,*)amfitru/wn,Ἀμφιτρύων,proper,laosso/os,λαοσσόος,adjective,a)glao\s,ἀγλαός,adjective,h(/rws,ἥρως,noun,e)ktele/sas,ἐκτελέω,verb,me/ga,μέγας,adverb,e)/rgon,ἔργον,noun,a)fi/keto,ἀφικνέομαι,verb,o(/nde,ὅς,pronoun,do/monde,δόμονδε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,o(/,ὅς,pronoun,g',γε,particle,e)pi\,ἐπί,preposition,dmw=as,δμώς,noun,kai\,καί,conjunction,poime/nas,ποιμήν,noun,a)groiw/tas,ἀγροιώτης,noun,w)=rt',ὄρνυμι,verb,i)e/nai,εἶμι,verb,pri/n,πρίν,adverb,g',γε,particle,h(=s,ὅς,pronoun,a)lo/xou,ἄλοχος,adjective,e)pibh/menai,ἐπιβαίνω,verb,eu)nh=s,εὐνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=os,τοῖος,adjective,ga\r,γάρ,particle,kradi/hn,καρδία,noun,po/qos,πόθος,noun,ai)/nuto,αἴνυμαι,verb,poime/na,ποιμήν,noun,law=n,λαός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,o(/t',ὅτε,conjunction,a)nh\r,ἀνήρ,noun,a)spasto\n,ἀσπαστός,adverb,u(pekprofu/gh|,ὑπεκπροφεύγω,verb,kako/thta,κακότης,noun,nou/sou,νόσος,noun,u(/p',ὑπό,preposition,a)rgale/hs,ἀργαλέος,adjective,h)\,ἠέ,conjunction,kai\,καί,conjunction,kraterou=,κρατερός,adjective,u(po\,ὑπό,preposition,desmou=,δεσμός,noun,w(/s,ὅς,pronoun,r(a,ἄρα,particle,to/t',τότε,adverb,*)amfitru/wn,Ἀμφιτρύων,proper,xalepo\n,χαλεπός,adjective,po/non,πόνος,noun,e)ktolupeu/sas,ἐκτολυπεύω,verb,a)spasi/ws,ἀσπάσιος,adjective,te,τε,particle,fi/lws,φίλος,adjective,te,τε,particle,e(o\n,ἑός,adjective,do/mon,δόμος,noun,ei)safi/kanen,εἰσαφικάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pannu/xios,παννύχιος,adjective,d',δέ,particle,a)/r',ἄρα,particle,e)/lekto,λέγω,verb,su\n,σύν,preposition,ai)doi/h|,αἰδοῖος,adjective,parakoi/ti,παράκοιτις,noun,terpo/menos,τέρπω,verb,dw/roisi,δῶρον,noun,poluxru/sou,πολύχρυσος,adjective,*)afrodi/ths,Ἀφροδίτη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,de\,δέ,particle,qew=|,θεός,noun,dmhqei=sa,δαμάζω,verb,kai\,καί,conjunction,a)ne/ri,ἀνήρ,noun,pollo\n,πολύς,adjective,a)ri/stw|,ἄριστος,adjective,*qh/bh|,Θήβη,proper,e)n,ἐν,preposition,e(ptapu/lw|,ἑπτάπυλος,adjective,diduma/one,διδυμάων,adjective,gei/nato,γείνομαι,verb,pai=de,παῖς,adjective,ou),οὐ,adverb,kaq',κατά,preposition,o(ma\,ὁμός,adjective,frone/onte,φρονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kasignh/tw,κασίγνητος,noun,ge,γε,particle,me\n,μέν,particle,h)/sthn,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,me\n,μέν,particle,xeiro/teron,χειρότερος,adjective,to\n,ὁ,article,d',δέ,particle,au)=,αὖ,interjection,me/g',μέγας,adverb,a)mei/nona,ἀμείνων,adjective,fw=ta,φάος,adjective,deino/n,δεινός,adjective,te,τε,particle,kratero/n,κρατερός,adjective,te,τε,particle,bi/hn,βία,adjective,*(hraklhei/hn,Ἡράκλειος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,me\n,μέν,particle,u(podmhqei=sa,ὑποδαμάζω,verb,kelainefe/i,κελαινεφής,adjective,*kroni/wni,Κρονίων,proper,to\n,ὁ,article,d',δέ,particle,a)/ra,ἄρα,particle,*)ifiklh=a,Ἰφικλέης,proper,dorusso/w|,δορυσσόος,adjective,*)amfitru/wni,Ἀμφιτρύων,proper,kekrime/nhn,κρίνω,verb,geneh/n,γενεά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,me\n,μέν,particle,brotw=|,βροτός,noun,a)ndri\,ἀνδρίς,noun,migei=sa,μίγνυμι,verb,to\n,ὁ,article,de\,δέ,particle,*dii\,Ζεύς,proper,*kroni/wni,Κρονίων,proper,qew=n,θέα,noun,shma/ntori,σημάντωρ,noun,pa/ntwn,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,ὅς,pronoun,kai\,καί,conjunction,*ku/knon,Κύκνος,proper,e)/pefnen,θείνω,verb,*)arhtia/dhn,Ἀρητιάδης,proper,mega/qumon,μεγάθυμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu(=re,εὑρίσκω,verb,ga\r,γάρ,particle,e)n,ἐν,preposition,teme/nei,τέμενος,noun,e(kathbo/lou,ἑκατηβόλος,adjective,*)apo/llwnos,Ἀπόλλων,proper,au)to\n,αὐτός,pronoun,kai\,καί,conjunction,pate/ra,πατήρ,noun,o(/n,ὅς,pronoun,*)/arhn,Ἄρης,proper,a)/aton,ἄατος,adjective,pole/moio,πόλεμος,noun,teu/xesi,τεῦχος,noun,lampome/nous,λάμπω,verb,se/las,σέλας,adjective,w(\s,ὅς,pronoun,puro\s,πῦρ,noun,ai)qome/noio,αἴθω,verb,e(stao/t',ἵστημι,verb,e)n,ἐν,preposition,di/frw|,δίφρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
