word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS
u(po\,ὑπό,preposition,de\,δέ,particle,tou=,ὁ,article,pollou=,πολύς,adjective,kai\,καί,conjunction,puknou=,πυκνός,adjective,pneu/matos,πνεῦμα,noun,w(s,ὡς,conjunction,h)/dh,ἤδη,adverb,ei)/rhtai,ἔρομαι,verb,kataglisxraino/menon,,,to\,ὁ,article,ptu/elon,πτύελον,noun,a)pe/ptws,ἄπεπτος,adjective,kwlu/ei,th\n,ὁ,article,e)pa/nodon,ἐπάνω,verb,gi/gnesqai,γίγνομαι,verb,a)lla\,ἀλλά,adverb,th\n,ὁ,article,*re/gcin,,,poie/ei,ποιέω,verb,κωλύω,verb,e)nisxo/menon,ἐνέχω,verb,e)n,ἐν,preposition,toi=si,ὁ,article,brogxi/oisi,,,tou=,ὁ,article,pleu/monos,πλεύμων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,o(ko/tan,,,e)s,εἰς,preposition,tau)to\,αὐτός,pronoun,e)/lqh|,ἔρχομαι,verb,qanatw=des,θανατώδης,adjective,h)/dh,ἤδη,adverb,w(s,ὡς,conjunction,e)pitopoulu\,,,e)sti/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,au)to\,αὐτός,pronoun,to\,ὁ,article,ptu/elon,πτύελον,noun,e)nisxo/menon,ἐνέχω,verb,kwlu/ei,κωλύω,verb,me\n,μέν,particle,to\,ὁ,article,pneu=ma,πνεῦμα,noun,e)/sw,ἔσω,adjective,fe/resqai,φέρω,verb,a)nagka/zei,ἀναγκάζω,verb,de\,δέ,particle,taxe/ws,e)/cw,ἔξω,adverb,fe/resqai,φέρω,verb,,,,,,,,,,,,,,,,ταχέως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou(/tws,οὕτως,adverb,e)s,εἰς,preposition,to\,ὁ,article,kako\n,κακός,adjective,a)llh/loisi,ἀλλήλων,pronoun,timwre/ousi,τιμωρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to/,ὁ,article,te,τε,particle,ga\r,γάρ,particle,ptu/elon,πτύελον,noun,e)nisxo/menon,ἐνέχω,verb,pukno\n,πυκνός,adjective,to\,ὁ,article,pneu=ma,πνεῦμα,noun,poie/ei,ποιέω,verb,to/,ὁ,article,te,τε,particle,pneu=ma,πνεῦμα,noun,pukno\n,πυκνός,adjective,e)o\n,εἰμί,verb,e)piglisxrai/nei,to\,ὁ,article,ptu/elon,πτύελον,noun,kai\,καί,conjunction,kwlu/ei,κωλύω,verb,a)polisqai/nein,ἀπολισθάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katalamba/nei,καταλαμβάνω,verb,de\,δέ,particle,tau=ta,οὗτος,pronoun,ou),οὐ,adverb,mou=non,μόνος,adjective,h)\n,ἐάν,conjunction,ptisa/nh|,πτισάνης,noun,a)kai/rws,ἄκαιρος,adjective,xre/wntai,χράω,verb,a)lla\,ἀλλά,adverb,poulu\,πολύς,adjective,ma=llon,μᾶλλον,adverb,h)/n,ἐάν,conjunction,ti,τις,pronoun,a)/llo,fa/gwsin,ἐσθίω,verb,h)\,ἠέ,conjunction,pi/wsi,πίνω,verb,ptisa/nhs,πτισάνης,noun,a)nepithdeio/teron,ἀνεπιτήδειος,adjective,,,,,,,ἄλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ma/la,μάλα,adverb,me\n,μέν,particle,ou)=n,οὖν,particle,ta\,ὁ,article,plei=sta,πλεῖστος,adjective,paraplh/siai/,παραπλήσιος,adjective,ei)sin,εἰμί,verb,ai(,ὁ,article,timwri/ai,τιμωρία,noun,toi=si/,τίς,pronoun,te,τε,particle,o(/lh|si,ὅλος,adjective,th=|si,ὁ,article,ptisa/nh|si,πτισάνης,noun,xreome/noisi,toi=si/,τίς,pronoun,te,τε,particle,tw=|,ὁ,article,xulw=|,χυλός,noun,au)te/w|,,,,,,,,,χράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=si,ὁ,article,de\,δέ,particle,mhdete/rw|,μηδέτερος,adjective,toute/wn,οὗτος,pronoun,a)lla\,ἀλλά,adverb,potw=|,ποτός,adjective,mou=non,μόνος,adjective,e)/stin,εἰμί,verb,o(/ph,ὅπη,adverb,kai\,καί,conjunction,diafero/ntws,διαφερόντως,adverb,timwrhte/on,τιμωρητέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrh\,χρή,verb,de\,δέ,particle,to/,ὁ,article,ge,γε,particle,pa/mpan,πάμπαν,adverb,ou(/tw,οὕτως,adverb,poie/ein,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,neobrw=ti,,,e)o/nti,εἰμί,verb,au)te/w|,,,kai\,καί,conjunction,koili/hs,κοιλία,noun,mh/pw,μήπω,adverb,u(pokexwrhkui/hs,ὑποχωρέω,verb,a)/rchtai,ἄρχω,verb,o(,ὁ,article,pureto\s,πυρετός,noun,h)/n,ἐάν,conjunction,te,τε,particle,cu\n,σύν,preposition,o)du/nh|,h)/n,ἐάν,conjunction,te,τε,particle,a)/neu,ἄνευ,preposition,o)du/nhs,ὀδύνη,noun,e)pisxei=n,ἐπέχω,verb,th\n,ὁ,article,do/sin,δόσις,noun,ὀδύνη,noun,tou=,ὁ,article,*rofh/matos,,,e)/st',εἰμί,verb,a)\n,ἄν,particle,oi)/htai,οἴομαι,verb,kexwrhke/nai,χωρέω,verb,e)s,εἰς,preposition,to\,ὁ,article,ka/tw,κάτος,adjective,me/ros,μέρος,noun,tou=,ὁ,article,e)nte/rou,ἔντερον,noun,to\,ὁ,article,siti/on,σιτίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xre/esqai,χράομαι,verb,de\,δέ,particle,potw=|,ποτός,adjective,h)\n,ἐάν,conjunction,me\n,μέν,particle,a)/lghma/,ἄλγημα,noun,ti,τις,pronoun,e)/xh|,ἔχω,verb,o)cume/liti,,,xeimw=nos,χειμών,noun,me\n,μέν,particle,qermw=|,θερμός,adjective,qe/reos,θέρος,noun,de\,δέ,particle,yuxrw=|,,,,,,,,,,,,,,,,,,,,,,ψυχρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,pollh\,πολύς,adjective,di/ya,δίψα,noun,h)=|,εἰμί,verb,melikrh/tw|,μελίκρητον,noun,kai\,καί,conjunction,u(/dati,ὕδωρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,h)\n,ἐάν,conjunction,me\n,μέν,particle,a)/lghma/,ἄλγημα,noun,ti,τις,pronoun,e)nh=|,ἐνίημι,verb,h)\,ἠέ,conjunction,tw=n,ὁ,article,e)pikindu/nwn,ἐπικίνδυνος,adjective,ti,τις,pronoun,e)mfai/nhtai,ἐμφαίνω,verb,dido/nai,δίδωμι,verb,to\,ὁ,article,*ro/fhma,,,mh/te,poulu\,πολύς,adjective,mh/te,μήτε,particle,paxu\,παχύς,adjective,meta\,μετά,preposition,de\,δέ,particle,th\n,ὁ,article,e(bdo/mhn,ἕβδομος,adjective,μήτε,particle,h)\n,ἐάν,conjunction,i)sxu/h|,ἰσχύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/n,ἐάν,conjunction,de\,δέ,particle,mh\,μή,conjunction,u(pelhlu/qh|,ὑπέρχομαι,verb,o(,ὁ,article,palaio/teros,παλαιός,adjective,si=tos,σῖτος,noun,neobrw=ti,,,e)o/nti,εἰμί,verb,h)\n,ἐάν,conjunction,me\n,μέν,particle,i)sxu/h|,ἰσχύω,verb,te,τε,particle,kai\,καί,conjunction,a)kma/zh|,th=|,ὁ,article,h(liki/h|,ἡλικία,noun,klu/sai,κλύζω,verb,,,,,,,,,,,,,ἀκμάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,a)sqene/steros,ἀσθενής,adjective,h)=|,εἰμί,verb,bala/nw|,βάλανος,adjective,prosxrh/sasqai,προσχράομαι,verb,h)\n,ἐάν,conjunction,mh\,μή,conjunction,au)to/mata,αὐτόματος,adjective,dieci/h|,διέξειμι,verb,kalw=s,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kairo\n,καιρός,noun,de\,δέ,particle,th=s,ὁ,article,do/sios,δόσις,noun,tou=,ὁ,article,*rofh/matos,,,to/nde,ὅδε,pronoun,ma/lista,μάλιστα,adverb,fula/ssesqai,φυλάσσω,verb,kat',κατά,preposition,a)rxa\s,ἀρχή,noun,kai\,καί,conjunction,dia\,διά,preposition,panto\s,πᾶς,adjective,tou=,noush/matos,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tan,ὅταν,conjunction,me\n,μέν,particle,oi(,ὁ,article,po/des,πούς,noun,yuxroi\,ψυχρός,adjective,e)/wsin,εἰμί,verb,e)pisxei=n,ἐπέχω,verb,xrh\,χρή,verb,tou=,ὁ,article,*rofh/matos,,,th\n,ὁ,article,do/sin,δόσις,noun,ma/lista,μάλιστα,adverb,de\,δέ,particle,kai\,tou=,ὁ,article,potou=,ποτός,adjective,a)pe/xesqai,ἀπέχω,verb,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/tan,,,de\,δέ,particle,h(,ὁ,article,qe/rmh,θέρμη,noun,katabh=|,καθάπτω,verb,e)s,εἰς,preposition,tou\s,ὁ,article,po/das,πούς,noun,to/te,τότε,adverb,dido/nai,δίδωμι,verb,kai\,καί,conjunction,nomi/zein,νομίζω,verb,me/ga,μέγας,adverb,du/nasqai,δύναμαι,verb,to\n,kairo\n,καιρός,noun,tou=ton,οὗτος,pronoun,e)n,ἐν,preposition,pa/sh|si,πᾶς,adjective,th=|si,ὁ,article,nou/soisin,νόσος,noun,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)x,οὐ,adverb,h(/kista,ἥκιστος,adjective,de\,δέ,particle,e)n,ἐν,preposition,th=|sin,ὁ,article,o)cei/h|si,ὀξύς,adjective,ma/lista,μάλιστα,adverb,de\,δέ,particle,e)n,ἐν,preposition,th=|si,ὁ,article,ma=llon,μᾶλλον,adverb,puretw/desi,πυρετώδης,adverb,kai\,καί,conjunction,e)pikindunota/th|sin,ἐπικίνδυνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xre/esqai,χράομαι,verb,de\,δέ,particle,prw=ton,πρότερος,adjective,ma/lista,μάλιστα,adverb,me\n,μέν,particle,xulw=|,χυλός,noun,e)/peita,ἔπειτα,adverb,de\,δέ,particle,ptisa/nh|,πτισάνης,noun,kata\,κατά,preposition,ta\,ὁ,article,tekmh/ria,τεκμήριον,noun,ta\,ὁ,article,progegramme/na,προγράφω,verb,a)kribe/ws,qewre/wn,θεωρέω,verb,,,,,,,,,,,,,,,,,,,ἀκριβής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)du/nh,ὀδύνη,noun,de\,δέ,particle,pleurou=,πλευρόν,noun,h)/n,ἐάν,conjunction,te,τε,particle,kat',κατά,preposition,a)rxa\s,ἀρχή,noun,ge/nhtai,γίγνομαι,verb,h)/n,ἐάν,conjunction,te,τε,particle,e)s,εἰς,preposition,u(/steron,ὕστερος,adjective,qerma/smasi,θέρμασμα,noun,me\n,μέν,particle,prw=ton,ou)k,οὐ,adverb,a)po\,ἀπό,preposition,tro/pou,τρόπος,noun,e)sti\,εἰμί,verb,xrhsa/menon,χράω,verb,peirhqh=nai,πειράω,verb,dialu=sai,διαλύω,verb,πρότερος,adjective,th\n,ὁ,article,o)du/nhn,ὀδύνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*qermasma/twn,θέρμασμα,noun,de\,δέ,particle,kra/tiston,κράτιστος,adjective,me\n,μέν,particle,u(/dwr,ὕδωρ,noun,qermo\n,θερμός,adjective,e)n,ἐν,preposition,a)skw=|,ἀσκός,noun,h)\,ἠέ,conjunction,e)n,ἐν,preposition,ku/stei,κύστις,noun,h)\,ἠέ,conjunction,e)n,ἐν,preposition,xalkw=|,χαλκός,noun,a)ggei/w|,h)\,ἠέ,conjunction,e)n,ἐν,preposition,o)straki/nw|,ὀστράκινος,adjective,,,,,,,,,,,,,ἀγγεῖον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prou+potiqe/nai,προυποτίθημι,verb,de\,δέ,particle,xrh\,χρή,verb,malqako/n,μαλθακός,adjective,ti,τις,pronoun,pro\s,πρός,preposition,th\n,ὁ,article,pleurh\n,πλευρά,noun,proshnei/hs,προσήνεια,noun,ei(/neken,ἕνεκα,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'*agaqo\n,,,de\,δέ,particle,kai\,καί,conjunction,spo/ggos,σπόγγος,noun,malqako\s,μαλθακός,adjective,me/gas,μέγας,adverb,e)c,ἐκ,preposition,u(/datos,ὕδωρ,noun,qermou=,θερμός,adjective,e)kpepiesme/nos,ἐκπιέζω,verb,prosti/qesqai,προστίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
periste/gein,περιστέγω,verb,te,τε,particle,a)/nw,ἄνω,adverb,th\n,ὁ,article,qa/lyin,θάλψις,noun,xrh/,χρή,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
