word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/63/lemma/@_entry,word/63/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS
pareisth/kei,παρίστημι,verb,de\,δέ,particle,o(,ὁ,article,*pa\n,Πάν,proper,ganu/menos,γάνυμαι,verb,th=|,ὁ,article,au)lhtikh=|,αὐλητικός,adjective,kai\,καί,conjunction,e)nhgkalisme/nos,,,th\n,ὁ,article,*)hxw/,Ἠχώ,proper,w(/sper,ὥσπερ,adverb,oi)=mai,οἴομαι,verb,dediw/s,δείδω,verb,mh/,μή,conjunction,tina,τις,pronoun,fqo/ggon,φθόγγος,noun,e)/mmouson,ἔμμουσος,adjective,o(,ὁ,article,au)lo\s,αὐλός,noun,kinh/sas,κινέω,verb,a)nthxei=n,ἀντηχέω,verb,a)napei/sh|,ἀνάπτω,verb,tw=|,ὁ,article,*satu/rw|,Σάτυρος,proper,th\n,ὁ,article,*nu/mfhn,Νύμφης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,qeasa/menoi,θεάομαι,verb,to\,ὁ,article,ei)/dwlon,εἴδωλον,noun,kai\,καί,conjunction,to\n,ὁ,article,*ai)qio/pwn,Αἰθίοψ,proper,li/qon,λίθος,adjective,e)/mfwnon,ἔμφωνος,adjective,e)pisteu/omen,πιστεύω,verb,gene/sqai,γίγνομαι,verb,o(\s,ὅς,pronoun,prosiou/shs,πρόσειμι,verb,me\n,μέν,particle,th=s,ὁ,article,*(hme/ras,ἡμέρα,noun,e)pi\,ἐπί,preposition,tai=s,ὁ,article,parousi/ais,παρουσία,noun,e)faidru/neto,φαιδρύνω,verb,a)piou/shs,ἄπειμι,verb,de\,δέ,particle,a)ni/a|,ἀνία,noun,ballo/menos,βάλλω,verb,pe/nqimon,πένθιμος,adjective,e)pe/stene,ἐπιστένω,verb,kai\,καί,conjunction,mo/nos,μόνος,adjective,e)k,ἐκ,preposition,li/qwn,λίθος,adjective,h(donh=s,ἡδονά,noun,kai\,καί,conjunction,lu/phs,λύπη,noun,parousi/a|,παρουσία,noun,dioikou/menos,διοικέω,verb,th=s,ὁ,article,oi)kei/as,οἰκεῖος,adjective,a)pe/sth,ἀφίστημι,verb,kwfo/thtos,κωφότης,noun,ei)s,εἰς,preposition,e)cousi/an,ἐξουσία,noun,fwnh=s,φωνή,noun,th\n,ὁ,article,a)naisqhsi/an,ἀναισθησία,noun,e)knikh/sas,ἐκνικάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,poihtw=n,ποιητής,noun,kai\,καί,conjunction,logopoiw=n,λογοποιός,noun,mo/non,μόνος,adjective,e)pipne/ontai,ἐπιπνέω,verb,te/xnai,τέχνη,noun,e)pi\,ἐπί,preposition,ta\s,ὁ,article,glw/ttas,γλῶσσα,noun,e)k,ἐκ,preposition,qew=n,θέα,noun,qeiasmou=,θειασμός,noun,peso/ntos,πίπτω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,tw=n,ὁ,article,dhmiourgw=n,δημιουργός,noun,ai(,ὁ,article,xei=res,χείρ,noun,qeiote/rwn,θεῖος,adjective,pneuma/twn,πνεῦμα,noun,e)ra/nois,ἔρανος,noun,lhfqei=sai,λαμβάνω,verb,ka/toxa,κάτοχος,adjective,kai\,καί,conjunction,mesta\,μεστός,adjective,mani/as,μανία,noun,profhteu/ousi,προφητεύω,verb,ta\,ὁ,article,poih/mata,ποίημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,dh\,δή,particle,*sko/pas,Σκόπη,proper,w(/sper,ὥσπερ,adverb,e)/k,ἐκ,preposition,tinos,τις,pronoun,e)pipnoi/as,ἐπίπνοια,noun,kinhqei\s,κινέω,verb,ei)s,εἰς,preposition,th\n,ὁ,article,tou=,ὁ,article,a)ga/lmatos,ἄγαλμα,noun,dhmiourgi/an,δημιουργία,noun,th\n,ὁ,article,qeofori/an,θεοφορία,noun,e)fh=ke,ἐφήκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,de\,δέ,particle,u(mi=n,σύ,pronoun,ou)k,οὐ,adverb,a)/nwqen,ἄνωθεν,adverb,to\n,ὁ,article,e)nqousiasmo\n,ἐνθουσιασμός,noun,th=s,ὁ,article,te/xnhs,τέχνη,noun,dihgou=mai,διηγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,ba/kxhs,Βακχάω,verb,a)/galma,ἄγαλμα,noun,e)k,ἐκ,preposition,li/qou,λίθος,adjective,*pari/ou,Πάριος,proper,pepoihme/non,ποιέω,verb,a)llatto/menon,ἀλλάσσω,verb,pro\s,πρός,preposition,th\n,ὁ,article,o)/ntws,ὄντως,adverb,ba/kxhn,Βακχάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,ga\r,γάρ,particle,th=|,ὁ,article,oi)kei/a|,οἰκεῖος,adjective,ta/cei,τάξις,noun,me/nwn,μένω,verb,o(,ὁ,article,li/qos,λίθος,adjective,to\n,ὁ,article,e)n,ἐν,preposition,li/qois,λίθος,adjective,no/mon,νόμος,noun,e)kbai/nein,ἐκβαίνω,verb,e)do/kei,δοκέω,verb,to\,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,faino/menon,φαίνω,verb,o)/ntws,ὄντως,adverb,h)=n,εἰμί,verb,ei)/dwlon,εἴδωλον,noun,h(,ὁ,article,te/xnh,τέχνη,noun,d',δέ,particle,ei)s,εἰς,preposition,to\,ὁ,article,o)/ntws,ὄντως,adverb,o)/n,εἰμί,verb,a)ph/gage,ἀπάγω,verb,th\n,ὁ,article,mi/mhsin,μίμησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=des,εἶδον,verb,a)/n,ἄν,particle,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,stereo\s,στερεός,adjective,w)\n,εἰμί,verb,ei)s,εἰς,preposition,th\n,ὁ,article,tou=,ὁ,article,qh/leos,θῆλυς,adjective,ei)kasi/an,εἰκασία,noun,e)mala/tteto,μαλάσσω,verb,gorgo/thtos,γοργότης,noun,diorqoume/nhs,διορθόω,verb,to\,ὁ,article,qh=lu,θῆλυς,adjective,kai\,καί,conjunction,ei)s,εἰς,preposition,e)cousi/an,ἐξουσία,noun,a)moirw=n,ἀμοιρέω,verb,kinh/sews,κίνησις,adjective,h)/|dei,οἶδα,verb,bakxeu/esqai,Βακχεύω,verb,kai\,καί,conjunction,tw=|,ὁ,article,qew=|,θεός,noun,ei)sio/nti,εἴσειμι,verb,ta\,ὁ,article,e)/ndon,ἔνδον,adverb,u(ph/xei,ὑπάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro/swpo/n,πρόσωπον,noun,ge,γε,particle,mh\n,μήν,particle,i)do/ntes,εἶδον,verb,u(po\,ὑπό,preposition,a)fasi/as,ἀφασία,noun,e)/sthmen,ἵστημι,verb,ou(/tw,οὕτως,adverb,dh\,δή,particle,kai\,καί,conjunction,ai)sqh/sews,αἴσθησις,noun,sunei/peto,συνέπομαι,verb,dh/lwma,δήλωμα,noun,mh\,μή,conjunction,parou/shs,πάρειμι,verb,ai)sqh/sews,αἴσθησις,noun,kai\,καί,conjunction,ba/kxhs,Βακχάω,verb,e)kbakxeu/wn,ἐκβακχεύω,verb,qeiasmo\s,θειασμός,noun,e)mhnu/eto,μηνύω,verb,qeiasmou=,θειασμός,noun,mh\,μή,conjunction,plh/ttontos,πλήσσω,verb,kai\,καί,conjunction,o(/sa,ὅσος,adjective,fe/rei,φέρω,verb,mani/a|,μανία,noun,oi)strw=sa,οἰστράω,verb,yuxh/,ψυχή,noun,tosau=ta,τοσοῦτος,adjective,pa/qous,πάθος,adjective,die/lampe,διαλάμπω,verb,ta\,ὁ,article,tekmh/ria,τεκμήριον,noun,u(po\,ὑπό,preposition,th=s,ὁ,article,te/xnhs,τέχνη,noun,a)rrh/tw|,ἄρρητος,adjective,lo/gw|,λόγος,noun,kraqe/nta,κεράννυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nei=to,ἀνέω,verb,de\,δέ,particle,h(,ὁ,article,ko/mh,κόμη,noun,zefu/rw|,Ζέφυρος,proper,sobei=n,σοβέω,verb,kai\,καί,conjunction,ei)s,εἰς,preposition,trixo\s,θρίξ,noun,a)/nqhn,ἄνθη,noun,u(pesxi/zeto,ὑποσχίζω,verb,o(\,ὅς,pronoun,dh\,δή,particle,kai\,καί,conjunction,ma/lista,μάλιστα,adverb,to\n,ὁ,article,logismo\n,λογισμός,noun,u(peci/sth,ὑπεξίσταμαι,verb,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,trixo\s,θρίξ,noun,lepto/thti,λεπτότης,noun,li/qos,λίθος,adjective,w)\n,εἰμί,verb,e)pei/qeto,πείθω,verb,kai\,καί,conjunction,ploka/mwn,πλόκαμος,noun,u(ph/koue,ὑπακούω,verb,toi=s,ὁ,article,mimh/masi,μίμημα,noun,kai\,καί,conjunction,th=s,ὁ,article,zwtikh=s,ζωτικός,adjective,e(/cews,ἕξις,noun,gegumnwme/nos,γυμνόω,verb,to\,ὁ,article,zwtiko\n,ζωτικός,adjective,ei)=xen,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/fhs,φημί,verb,a)/n,ἄν,particle,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,au)ch/sews,αὔξησις,noun,a)forma\s,ἀφορμή,noun,h(,ὁ,article,te/xnh,τέχνη,noun,suneish/gagen,συνεισάγω,verb,ou(/tw,οὕτως,adverb,kai\,καί,conjunction,to\,ὁ,article,o(rw/menon,ὁράω,verb,a)/piston,ἄπιστος,adjective,kai\,καί,conjunction,to\,ὁ,article,mh\,μή,conjunction,pisto\n,πιστός,adjective,o(rw/menon,ὁράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,xei=ras,χείρ,noun,e)nergou\s,ἐνεργός,adjective,e)pedei/knuto,ἐπιδείκνυμι,verb,ou),οὐ,adverb,ga\r,γάρ,particle,to\n,ὁ,article,bakxiko\n,,,e)ti/nasse,τινάσσω,verb,qu/rson,θύρσος,noun,a)lla/,ἀλλά,adverb,ti,τις,pronoun,sfa/gion,σφάγιος,adjective,e)/feren,φέρω,verb,w(/sper,ὥσπερ,adverb,eu)a/zousa,εὐάζω,verb,pikrote/ras,πικρός,adjective,mani/as,μανία,noun,su/mbolon,σύμβολον,noun,to\,ὁ,article,de\,δέ,particle,h)=n,εἰμί,verb,ximai/ras,χίμαιρα,noun,ti,τις,pronoun,pla/sma,πλάσμα,noun,pelidno\n,πελιδνός,adjective,th\n,ὁ,article,xro/an,χροιά,adjective,kai\,καί,conjunction,ga\r,γάρ,particle,'kai)\,αἴ,interjection,to\,ὁ,article,teqnhko\s,θνήσκω,verb,o(,ὁ,article,li/qos,λίθος,adjective,u(pedu/eto,ὑποδύομαι,verb,kai\,καί,conjunction,mi/an,εἷς,adjective,ou)=san,εἰμί,verb,th\n,ὁ,article,u(/lhn,ὕλη,noun,ei)s,εἰς,preposition,qana/tou,θάνατος,adjective,kai\,καί,conjunction,zwh=s,ζωή,noun,dih/|rei,διαιρέω,verb,th\n,ὁ,article,mi/mhsin,μίμησις,noun,th\n,ὁ,article,me\n,μέν,particle,e)/mpnoun,ἔμπνους,adjective,sth/sasa,ἵστημι,verb,kai\,καί,conjunction,oi(=on,οἷος,adjective,o)regome/nhn,ὀρέγω,verb,*kiqairw=nos,Κιθαιρών,proper,th\n,ὁ,article,de\,δέ,particle,e)k,ἐκ,preposition,tou=,ὁ,article,bakxikou=,qanatwqei=san,θανατόω,verb,oi)/strou,οἶστρος,noun,kai\,καί,conjunction,tw=n,ὁ,article,ai)sqh/sewn,αἴσθησις,noun,a)pomarai/nousan,ἀπομαραίνομαι,verb,th\n,ὁ,article,a)kmh/n,ἀκμή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,*sko/pas,Σκόπη,proper,kai\,καί,conjunction,ta\s,ὁ,article,a)yu/xous,ἄψυχος,adjective,ei)dwlopoiw=n,εἰδωλοποιός,noun,gene/seis,γένεσις,noun,dhmiourgo\s,δημιουργός,noun,a)lhqei/as,ἀλήθεια,adjective,h)=n,εἰμί,verb,kai\,καί,conjunction,'e)n',ἐν,preposition,toi=s,ὁ,article,sw/masi,σῶμα,adjective,th=s,ὁ,article,yuxh=s,ψυχή,noun,a)netupou=to,ἀνατυπόω,verb,ta\,ὁ,article,qau/mata,θαῦμα,noun,o(,ὁ,article,de\,δέ,particle,ta\,ὁ,article,e)n,ἐν,preposition,lo/gois,λόγος,noun,diapla/ttwn,διαπλάσσω,verb,*dhmosqe/nhs,Δημοσθένης,proper,a)ga/lmata,ἄγαλμα,noun,mikrou=,μικρός,adjective,kai\,καί,conjunction,lo/gwn,λόγος,noun,e)/deicen,δείκνυμι,verb,ei)=dos,εἶδος,noun,ai)sqhto\n,αἰσθητός,adjective,toi=s,ὁ,article,nou=,νόος,adjective,kai\,καί,conjunction,fronh/sews,φρόνησις,noun,gennh/masi,γέννημα,noun,sugkerannu\s,συγκεράννυμι,verb,ta\,ὁ,article,th=s,ὁ,article,te/xnhs,τέχνη,noun,fa/rmaka,φάρμακον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,gnw/sesqe,γιγνώσκω,verb,de\,δέ,particle,au)ti/ka,αὐτίκα,adverb,w(s,ὡς,conjunction,ou)de\,οὐδέ,particle,th=s,ὁ,article,oi)/koqen,οἴκοθεν,adverb,kinh/sews,κίνησις,adjective,e)ste/rhtai,στερέω,verb,to\,ὁ,article,ei)s,εἰς,preposition,qewri/an,θεωρία,noun,prokei/menon,πρόκειμαι,verb,a)/galma,ἄγαλμα,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,o(mou=,ὁμοῦ,adverb,despo/zei,δεσπόζω,verb,kai\,καί,conjunction,e)n,ἐν,preposition,tw=|,ὁ,article,xarakth=ri,χαρακτήρ,noun,sw/zei,σώζω,verb,to\n,ὁ,article,oi)kei=on,οἰκεῖος,adjective,gennh/tora,γενέτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e(/tera,ἕτερος,adjective,i(era\,ἱερά,noun,te/xnhs,τέχνη,noun,oi(,ὁ,article,lo/goi,λόγος,noun,profhteu=sai,προφητεύω,verb,bou/lontai,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga/r,γάρ,particle,moi,ἐγώ,pronoun,qemito\n,θεμιτός,adverb,mh\,μή,conjunction,kalei=n,καλέω,verb,i(era\,ἱερά,noun,ta\,ὁ,article,th=s,ὁ,article,te/xnhs,τέχνη,noun,gennh/mata,γέννημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
