word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/27/lemma/@_entry,word/27/lemma/@_POS
tau=ta,οὗτος,pronoun,de\,δέ,particle,penta/kis,πεντάκις,adverb,trigwnisqe/nta,τριγωνίζω,verb,to\n,ὁ,article,e)kkei/menon,ἔκκειμαι,verb,a)riqmo\n,pare/sxen,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀριθμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,peri\,περί,preposition,me\n,μέν,particle,tou/twn,οὗτος,pronoun,ou)k,οὐ,adverb,a)nagkai=on,ἀναγκαῖος,adjective,h(ma=s,*dhmhtri/w|,Δημήτριος,proper,diafe/resqai,διαφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,ka)\n,κἀν,conjunction,plei/wn,πλέως,adjective,o(,ὁ,article,xro/nos,χρόνος,noun,ka)\n,e)la/ttwn,ἐλάσσων,adjective,ka)/n,κἀν,conjunction,tetagme/nos,τάσσω,verb,ka)\n,κἀν,conjunction,a)/taktos,ἄτακτος,adjective,e)n,ἐν,preposition,w(=|,ὅς,pronoun,metalla/ttei,μεταλλάσσω,verb,dai/monos,δαίμων,adjective,yuxh\,ψυχή,noun,kai\,καί,conjunction,h(/rwos,ἥρως,noun,bi/os,βίος,adjective,ou)de\n,οὐδείς,pronoun,h(=tton,ἥσσων,adverb,e)f',ἐπί,preposition,w(=|,ὅς,pronoun,bou/letai,βούλομαι,verb,κἀν,conjunction,dedei/cetai,δείκνυμι,verb,meta\,μετά,preposition,martu/rwn,sofw=n,σοφός,adjective,kai\,καί,conjunction,palaiw=n,παλαιός,adjective,o(/ti,ὅστις,pronoun,fu/seis,φύσις,noun,ei)si/,εἰμί,verb,tine/s,τις,pronoun,w(/sper,ὥσπερ,adverb,e)n,ἐν,preposition,meqori/w|,μεθόριος,adjective,qew=n,θέα,noun,kai\,καί,conjunction,a)nqrw/pwn,ἄνθρωπος,noun,dexo/menai,δέχομαι,verb,pa/qh,πάθη,noun,qnhta\,θνητός,adjective,kai\,καί,conjunction,metabola\s,μεταβολή,noun,a)nagkai/as,ἀναγκαῖος,adjective,ou(\s,ὅς,pronoun,dai/monas,δαίμων,adjective,o)rqw=s,ὀρθός,adjective,e)/xei,ἔχω,verb,kata\,κατά,preposition,no/mon,νόμος,noun,pate/rwn,πατήρ,noun,h(goume/nous,ἡγέομαι,verb,kai\,καί,conjunction,o)noma/zontas,ὀνομάζω,verb,se/besqai,σέβομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μάρτυρος,noun
para/deigma,παράδειγμα,noun,de\,δέ,particle,tw=|,ὁ,article,lo/gw|,λόγος,noun,*cenokra/ths,Ξενοκράτης,proper,me\n,μέν,particle,o(,*pla/twnos,Πλάτων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(tai=ros,ἑταῖρος,noun,e)poih/sato,ποιέω,verb,to\,ὁ,article,tw=n,ὁ,article,trigw/nwn,τρίγων,noun,qei/w|,θεῖος,noun,me\n,a)peika/sas,ἀπεικάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,i)so/pleuron,ἰσόπλευρος,adjective,qnhtw=|,θνητός,adjective,de\,δέ,particle,to\,ὁ,article,skalhno\n,σκαληνός,adjective,to\,d',δέ,particle,i)soskele\s,ἰσοσκελής,adjective,daimoni/w|,δαιμόνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,i)/son,ἴσος,adjective,pa/nth|,πάντῃ,adverb,to\,ὁ,article,d',a)/nison,ἄνισος,adverb,pa/nth|,πάντῃ,adverb,to\,ὁ,article,de\,δέ,particle,ph=,πη,particle,me\n,μέν,particle,i)/son,ἴσος,adjective,ph=,πη,particle,d',δέ,particle,a)/nison,ἄνισος,adverb,w(/sper,ὥσπερ,adverb,h(,ὁ,article,daimo/nwn,δαίμων,adjective,fu/sis,φύσις,noun,e)/xousa,ἔχω,verb,kai\,καί,conjunction,pa/qos,πάθος,adjective,qnhtou=,θνητός,adjective,δέ,particle,kai\,καί,conjunction,qeou=,θεός,noun,du/namin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δύναμις,adjective
h(,ὁ,article,de\,δέ,particle,fu/sis,φύσις,noun,ai)sqhta\s,αἰσθητός,adjective,ei)ko/nas,εἰκών,noun,e)ce/qhke,ἐκτίθημι,verb,kai\,o(moio/thtas,ὁμοιότης,noun,o(rwme/nas,ὁράω,verb,qew=n,θέα,noun,me\n,μέν,particle,h(/lion,ἥλιος,noun,kai\,καί,conjunction,a)/stra,ἄστρον,noun,qnhtw=n,θνητός,adjective,de\,δέ,particle,se/la,σέλας,adjective,kai\,καί,conjunction,komh/tas,κομήτης,noun,kai\,καί,conjunction,dia/|ttontas,διαίσσω,verb,w(s,ὡς,conjunction,*eu)ripi/dhs,Εὐριπίδης,proper,ei)/kasen,εἰκάζω,verb,e)n,ἐν,preposition,καί,conjunction,oi(=s,ὅς,pronoun,ei)=pen,εἶπον,verb,o(,d',δέ,particle,a)/rti,ἄρτι,adverb,qa/llwn,θάλλω,verb,sa/rka,σάρξ,adjective,diopeth\s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article
o(/pws,ὅπως,conjunction,a)sth\r,ἀστήρ,noun,a)pe/sbh,ἀποσβέννυμι,verb,pneu=m',πνεῦμα,noun,a)fei\s,ἀφίημι,verb,e)s,εἰς,preposition,ai)qe/ra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αἰθήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mikto\n,μικτός,adjective,de\,δέ,particle,sw=ma,σῶμα,adjective,kai\,καί,conjunction,mi/mhma,μίμημα,noun,daimo/nion,δαιμόνιον,noun,o)/ntws,th\n,ὁ,article,selh/nhn,σελήνη,noun,tw=|,ὁ,article,th=|,τῇ,adverb,tou/tou,οὗτος,pronoun,tou=,ὁ,article,ge/nous,γένος,noun,suna/|dein,συνᾴδω,verb,perifora=|,περιφορά,noun,fqi/seis,φθίσις,noun,fainome/nas,φαίνω,verb,dexome/nhn,δέχομαι,verb,kai\,καί,conjunction,au)ch/seis,αὐξάνω,verb,kai\,καί,conjunction,metabola\s,μεταβολή,noun,o(rw=ntes,ὁράω,verb,oi(,ἕ,pronoun,ὄντως,adverb,me\n,μέν,particle,a)/stron,ἄστρον,noun,gew=des,oi(,ὁ,article,d',δέ,particle,o)lumpi/an,Ὀλυμπίας,proper,gh=n,γῆ,noun,oi(,ὁ,article,de\,δέ,particle,xqoni/as,χθόνιος,adjective,o(mou=,ὁμοῦ,adverb,kai\,καί,conjunction,ou)rani/as,οὐράνιος,adjective,klh=ron,κλῆρος,adjective,*(eka/ths,Ἑκάτη,proper,prosei=pon,προσεῖπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γεώδης,adverb
w(/sper,ὥσπερ,adverb,ou)=n,οὖν,particle,ei),εἰ,conjunction,to\n,ὁ,article,a)e/ra,ἀήρ,adjective,tis,τις,pronoun,a)ne/loi,kai\,καί,conjunction,u(pospa/seie,ὑποσπάω,verb,to\n,ὁ,article,metacu\,μεταξύ,adverb,gh=s,γῆ,noun,kai\,καί,conjunction,selh/nhs,σελήνη,noun,e)n,ἐν,preposition,me/sw|,μέσος,adjective,kenh=s,κενός,adjective,kai\,καί,conjunction,a)sunde/tou,ἀσύνδετος,adjective,xw/ras,χώρα,noun,genome/nhs,γίγνομαι,verb,th\n,ὁ,article,e(no/thta,ἑνότης,noun,dialu/sei,διαλύω,verb,kai\,καί,conjunction,ἀναιρέω,verb,th\n,ὁ,article,koinwni/an,κοινωνία,noun,tou=,panto/s,πᾶς,adjective,ou(/tws,οὕτως,adverb,oi(,ὁ,article,daimo/nwn,δαίμων,adjective,ge/nos,γένος,noun,mh\,μή,conjunction,a)polei/pontes,ἀπολείπω,verb,a)nepi/mikta,ἀνεπίμικτος,adjective,ta\,τίς,pronoun,tw=n,ὁ,article,qew=n,θέα,noun,kai\,καί,conjunction,a)nqrw/pwn,ἄνθρωπος,noun,poiou=si,ποιέω,verb,kai\,καί,conjunction,a)suna/llakta,ἀσυνάλλακτος,adjective,th\n,ὁ,article,e(rmhneutikh\n,ἑρμηνευτικός,adjective,w(s,ὡς,conjunction,*pla/twn,Πλάτων,proper,e)/legen,λέγω,verb,kai\,καί,conjunction,diakonikh\n,διακονικός,adjective,a)nairou=ntes,ἀναιρέω,verb,fu/sin,φύσις,noun,h)\,ἠέ,conjunction,pa/nta,πᾶς,adjective,fu/rein,φύρω,verb,a(/ma,ἅμα,adverb,kai\,καί,conjunction,tara/ttein,ταράσσω,verb,a)nagka/zousin,ἀναγκάζω,verb,h(ma=s,ἐγώ,pronoun,toi=s,ὁ,article,a)nqrwpi/nois,ἀνθρώπινος,adjective,pa/qesi,πάθος,adjective,kai\,καί,conjunction,pra/gmasi,πρᾶγμα,noun,to\n,ὁ,article,qeo\n,θεός,noun,e)mbiba/zontas,ἐμβιβάζω,verb,kai\,καί,conjunction,kataspw=ntas,κατασπάω,verb,e)pi\,ἐπί,preposition,ta\s,ὁ,article,xrei/as,χρεία,noun,w(/sper,ὥσπερ,adverb,ai(,ὁ,article,*qettalai\,Θεσσαλός,proper,le/gontai,λέγω,verb,th\n,ὁ,article,selh/nhn,σελήνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article
a)ll',ἀλλά,adverb,e)kei/nwn,ἐκεῖνος,pronoun,me\n,μέν,particle,e)n,ἐν,preposition,gunaici\,γυνή,noun,to\,ὁ,article,panou=rgon,e)/sxe,ἔχω,verb,pi/stin,πίστις,noun,*)aglaoni/khs,,,th=s,ὁ,article,*(hgh/toros,Ἡγήτωρ,proper,w(/s,ὡς,conjunction,fasin,φημί,verb,a)strologikh=s,ἀστρολογικός,adjective,gunaiko/s,γυνή,noun,e)n,ἐν,preposition,e)klei/yei,ἔκλειψις,noun,selh/nhs,σελήνη,noun,a)ei\,ἀεί,adverb,prospoioume/nhs,προσποιέω,verb,gohteu/ein,γοητεύω,verb,kai\,καί,conjunction,kaqairei=n,καθαιρέω,verb,au)th/n,αὐτός,pronoun,πανοῦργος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mei=s,ἐγώ,pronoun,de\,δέ,particle,mh/te,μήτε,particle,mantei/as,μαντεία,noun,tina\s,τις,pronoun,a)qeia/stous,ἀθείαστος,adjective,ei)=nai,le/gontas,λέγω,verb,h)\,ἠέ,conjunction,teleta\s,τελετή,noun,kai\,καί,conjunction,o)rgiasmou\s,ὀργιασμός,noun,a)meloume/nous,ἀμελέω,verb,u(po\,ὑπό,preposition,qew=n,θέα,noun,a)kou/wmen,ἀκούω,verb,mh/t',μήτε,particle,au)=,αὖ,interjection,pa/lin,πάλιν,adverb,to\n,ὁ,article,qeo\n,θεός,noun,e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,a)nastre/fesqai,ἀναστρέφω,verb,kai\,καί,conjunction,εἰμί,verb,parei=nai,πάρειμι,verb,kai\,καί,conjunction,sumpragmateu/esqai,doca/zwmen,δοξάζω,verb,a)ll',ἀλλά,adverb,oi(=s,ὅς,pronoun,di/kaio/n,δίκαιος,adjective,e)sti,εἰμί,verb,tau=ta,οὗτος,pronoun,leitourgoi=s,λειτουργέω,verb,qew=n,θέα,noun,a)natiqe/ntes,ἀνατίθημι,verb,w(/sper,ὥσπερ,adverb,u(phre/tais,ὑπηρέτης,noun,kai\,καί,conjunction,grammateu=si,γραμματεύς,noun,dai/monas,δαίμων,adjective,nomi/zwmen,νομίζω,verb,e)pisko/pous,ἐπίσκοπος,noun,qei/wn,θεῖος,adjective,i(erw=n,ἱερά,noun,kai\,καί,conjunction,musthri/wn,μυστήριον,noun,o)rgiasta/s,ὀργιαστής,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,συμπραγματεύομαι,verb
a)/llous,ἄλλος,adjective,de\,δέ,particle,tw=n,ὁ,article,u(perhfa/nwn,ὑπερήφανος,adjective,kai\,καί,conjunction,mega/lwn,μέγας,adverb,timwrou\s,a)dikiw=n,ἀδικία,noun,peripolei=n,περιπολέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τιμωρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
