word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/5/lemma/@_entry,word/5/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/lemma/@_entry,word/12/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/34/lemma/@_entry,word/34/lemma/@_POS,word/36/lemma/@_entry,word/36/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/45/lemma/@_entry,word/45/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS
summei/cas,συμμίγνυμι,verb,de\,δέ,particle,o(,ὁ,article,*)apollw/nios,Ἀπολλώνιος,proper,tw=|,ὁ,article,basilei=,peri\,περί,preposition,tw=n,ὁ,article,mhnuqe/ntwn,μηνύω,verb,au)tw=|,αὐτός,pronoun,xrhma/twn,χρῆμα,adjective,e)nefa/nisen,o(,de\,δέ,particle,proxeirisa/menos,προχειρίζω,verb,*(hlio/dwron,Ἡλιόδωρος,proper,to\n,ὁ,article,e)pi\,ἐπί,preposition,tw=n,ὁ,article,pragma/twn,a)pe/steilen,ἀποστέλλω,verb,dou\s,δίδωμι,verb,e)ntola\s,ἐντολή,noun,th\n,ὁ,article,tw=n,ὁ,article,proeirhme/nwn,προερέω,verb,xrhma/twn,χρῆμα,adjective,e)kkomidh\n,ἐκκομιδή,noun,poih/sasqai,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,βασιλεύς,noun,ἐμφανίζω,verb,ὁ,article,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)qe/ws,εὐθύς,adverb,de\,δέ,particle,o(,ὁ,article,*(hlio/dwros,Ἡλιόδωρος,proper,e)poiei=to,ποιέω,verb,th\n,porei/an,πορεία,noun,th=|,ὁ,article,me\n,μέν,particle,e)mfa/sei,ἔμφασις,noun,w(s,ὡς,conjunction,ta\s,kata\,*koi/lhn,Κοίλη,proper,*suri/an,Σύριος,proper,kai\,καί,conjunction,*foini/khn,Φοινίκη,proper,po/leis,πόλις,adjective,e)fodeu=sai,ἐφοδεύω,verb,tw=|,pra/gmati,πρᾶγμα,noun,de\,δέ,particle,th\n,ὁ,article,tou=,ὁ,article,basile/ws,βασιλεύς,noun,pro/qesin,πρόθεσις,noun,e)pitelei=n,ἐπιτέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ὁ,article,κατά,preposition,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,
paragenhqei\s,παραγίγνομαι,verb,de\,δέ,particle,ei)s,εἰς,preposition,*ieroso/luma,,,kai\,καί,conjunction,filofro/nws,u(po\,ὑπό,preposition,tou=,ὁ,article,a)rxiere/ws,ἀρχιερεύς,adjective,th=s,ὁ,article,po/lews,πόλις,adjective,a)podexqei\s,a)ne/qeto,peri\,περί,preposition,tou=,ὁ,article,gegono/tos,γίγνομαι,verb,e)mfanismou=,ἐμφανισμός,noun,kai\,καί,conjunction,ti/nos,τίς,pronoun,e(/neken,pa/restin,πάρειμι,verb,diesa/fhsen,διασαφέω,verb,e)punqa/neto,πυνθάνομαι,verb,de\,δέ,particle,ei),εἰ,conjunction,tai=s,ὁ,article,a)lhqei/ais,ἀλήθεια,adjective,tau=ta,οὗτος,pronoun,ou(/tws,οὕτως,adverb,e)/xonta,ἔχω,verb,tugxa/nei,τυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,φιλόφρων,adjective,ἀποδέχομαι,verb,ἀνατίθημι,verb,ἕνεκα,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,de\,δέ,particle,a)rxiere/ws,ἀρχιερεύς,adjective,u(podei/cantos,ὑποδείκνυμι,verb,parakataqh/kas,παρακαταθήκη,noun,ei)=nai,xhrw=n,χήρα,noun,te,τε,particle,kai\,καί,conjunction,o)rfanw=n,ὀρφανός,adjective,tina\,τις,pronoun,de\,kai\,*(urkanou=,Ὑρκανός,proper,tou=,ὁ,article,*twbiou,,,sfo/dra,σφόδρα,adverb,a)ndro\s,ἀνήρ,noun,e)n,ἐν,preposition,u(peroxh=|,keime/nou,κεῖμαι,verb,ou(/tws,οὕτως,adverb,h)=n,εἰμί,verb,diaba/llwn,διαβάλλω,verb,o(,ὁ,article,dussebh\s,δυσσεβής,adverb,*simwn,,,ta\,ὁ,article,de\,δέ,particle,pa/nta,πᾶς,adjective,a)rguri/ou,ἀργύριον,adjective,tetrako/sia,τετρακόσιοι,adjective,ta/lanta,τάλαντον,noun,xrusi/ou,χρυσίον,noun,de\,diako/sia,διακόσιοι,adjective,a)dikhqh=nai,de\,δέ,particle,tou\s,pepisteuko/tas,πιστεύω,verb,th=|,ὁ,article,tou=,ὁ,article,to/pou,τόπος,noun,a(giwsu/nh|,ἁγιωσύνη,noun,kai\,καί,conjunction,th=|,tou=,ὁ,article,tetimhme/nou,τιμάω,verb,kata\,κατά,preposition,to\n,ὁ,article,su/mpanta,σύμπας,adjective,ko/smon,κόσμος,noun,i(erou=,ἱερόν,noun,semno/thti,σεμνότης,noun,kai\,καί,conjunction,a)suli/a|,ἀσυλία,noun,pantelw=s,παντελής,adverb,a)mh/xanon,ἀμήχανος,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,δέ,particle,καί,conjunction,ὑπεροχή,noun,δέ,particle,ἀδικέω,verb,ὁ,article,ὁ,article,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,*(hlio/dwros,Ἡλιόδωρος,proper,di',διά,preposition,a(\s,ὅς,pronoun,ei)=xen,basilika\s,βασιλικός,adjective,e)ntola/s,ἐντολή,noun,pa/ntws,πάντως,adverb,e)/legen,λέγω,verb,ei)s,εἰς,preposition,to\,basiliko\n,a)nalhmpte/a,,,tau=ta,οὗτος,pronoun,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔχω,verb,ὁ,article,βασιλικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taca/menos,τάσσω,verb,de\,δέ,particle,h(me/ran,ἡμέρα,noun,ei)sh/|ei,εἴσειμι,verb,th\n,ὁ,article,peri\,tou/twn,οὗτος,pronoun,e)pi/skeyin,ἐπίσκεψις,noun,oi)konomh/swn,οἰκονομέω,verb,h)=n,εἰμί,verb,de\,δέ,particle,ou),mikra\,kaq',κατά,preposition,o(/lhn,ὅλος,adjective,th\n,ὁ,article,po/lin,πόλις,adjective,a)gwni/a,ἀγωνιάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,περί,preposition,οὐ,adverb,μικρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,i(erei=s,ἱερεύς,adjective,pro\,πρό,preposition,tou=,ὁ,article,qusiasthri/ou,e)n,ἐν,preposition,tai=s,ὁ,article,i(eratikai=s,ἱερατικός,adjective,stolai=s,στολή,noun,r(i/yantes,ῥίπτω,verb,e(autou\s,e)pekalou=nto,ei)s,εἰς,preposition,ou)rano\n,οὐρανός,noun,to\n,ὁ,article,peri\,περί,preposition,parakataqh/khs,παρακαταθήκη,noun,nomoqeth/santa,νομοθετέω,verb,toi=s,parakataqeme/nois,παρακατατίθεμαι,verb,tau=ta,οὗτος,pronoun,sw=a,σῶς,noun,diafula/cai,διαφυλάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θυσιαστήριον,noun,ἑαυτοῦ,pronoun,ἐπικαλέω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,de\,δέ,particle,o(rw=nta,ὁράω,verb,th\n,ὁ,article,tou=,ὁ,article,a)rxiere/ws,i)de/an,ἰδέα,noun,titrw/skesqai,τιτρώσκω,verb,th\n,ὁ,article,dia/noian,διάνοια,noun,h(,ὁ,article,ga\r,o)/yis,kai\,καί,conjunction,to\,ὁ,article,th=s,ὁ,article,xro/as,χροιά,adjective,parhllagme/non,παραλλάσσω,verb,e)ne/fainen,ἐμφαίνω,verb,th\n,kata\,κατά,preposition,yuxh\n,ψυχή,noun,a)gwni/an,ἀγωνία,noun,perieke/xuto,περιχέω,verb,ga\r,γάρ,particle,peri\,περί,preposition,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,de/os,δέος,noun,ti,τις,pronoun,kai\,καί,conjunction,frikasmo\s,φρικασμός,noun,sw/matos,σῶμα,adjective,di',διά,preposition,w(=n,pro/dhlon,πρόδηλος,adjective,e)gi/neto,toi=s,ὁ,article,qewrou=sin,to\,ὁ,article,kata\,κατά,preposition,kardi/an,καρδία,noun,e)nesto\s,ἐνίστημι,verb,a)/lgos,ἄλγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀρχιερεύς,adjective,γάρ,particle,ὄψις,noun,ὁ,article,ὅς,pronoun,γίγνομαι,verb,θεωρέω,verb,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,de\,δέ,particle,e)k,ἐκ,preposition,tw=n,ὁ,article,oi)kiw=n,οἰκία,noun,a)gelhdo\n,e)ceph/dwn,ἐκπηδάω,verb,e)pi\,ἐπί,preposition,pa/ndhmon,πάνδημος,adjective,i(ketei/an,ἱκετεία,adjective,dia\,διά,preposition,to\,me/llein,ei)s,εἰς,preposition,katafro/nhsin,καταφρόνησις,noun,e)/rxesqai,ἔρχομαι,verb,to\n,ὁ,article,to/pon,τόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀγεληδόν,adverb,ὁ,article,μέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(pezwsme/nai,ὑποζώννυμι,verb,de\,δέ,particle,u(po\,ὑπό,preposition,tou\s,ὁ,article,mastou\s,μαστός,noun,ai(,gunai=kes,γυνή,noun,sa/kkous,σάκκος,noun,kata\,κατά,preposition,ta\s,ὁ,article,o(dou\s,ὁδός,adjective,e)plh/qunon,ai(,de\,δέ,particle,kata/kleistoi,κατάκλειστος,adjective,tw=n,ὁ,article,parqe/nwn,παρθένος,noun,ai(,ὁ,article,me\n,μέν,particle,sune/trexon,e)pi\,ἐπί,preposition,tou\s,ὁ,article,pulw=nas,πυλών,noun,ai(,ὁ,article,de\,δέ,particle,e)pi\,ἐπί,preposition,ta\,ὁ,article,tei/xh,τεῖχος,noun,tine\s,τις,pronoun,de\,δέ,particle,dia\,διά,preposition,tw=n,ὁ,article,quri/dwn,θυρίς,noun,diece/kupton,διεκκύπτω,verb,pa=sai,de\,δέ,particle,protei/nousai,ta\s,ὁ,article,xei=ras,ei)s,εἰς,preposition,to\n,ὁ,article,ou)rano\n,οὐρανός,noun,e)poiou=nto,ποιέω,verb,th\n,ὁ,article,litanei/an,λιτανεία,noun,e)leei=n,d',δέ,particle,h)=n,εἰμί,verb,th\n,ὁ,article,tou=,ὁ,article,plh/qous,πλῆθος,noun,pammigh=,παμμιγής,adverb,pro/ptwsin,πρόπτωσις,noun,th/n,ὁ,article,te,τε,particle,tou=,ὁ,article,mega/lws,μέγας,adverb,a)gwniw=ntos,ἀγωνιάω,verb,a)rxiere/ws,ἀρχιερεύς,adjective,prosdoki/an,προσδοκία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,πληθύνω,verb,ὁ,article,συντρέχω,verb,πᾶς,adjective,προτείνω,verb,χείρ,noun,ἐλεάω,verb,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,e)pekalou=nto,ἐπικαλέω,verb,to\n,ὁ,article,pagkrath=,ku/rion,κύριος,adjective,ta\,ὁ,article,pepisteume/na,πιστεύω,verb,toi=s,ὁ,article,pepisteuko/sin,πιστεύω,verb,sw=a,diafula/ssein,meta\,μετά,preposition,pa/shs,πᾶς,adjective,a)sfalei/as,ἀσφάλεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,παγκρατής,adjective,σῶς,noun,διαφυλάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,*(hlio/dwros,Ἡλιόδωρος,proper,to\,ὁ,article,diegnwsme/non,διαγιγνώσκω,verb,e)pete/lei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπιτελέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to/qi,αὐτόθι,adverb,de\,δέ,particle,au)tou=,αὐτός,pronoun,su\n,σύν,preposition,toi=s,ὁ,article,dorufo/rois,kata\,κατά,preposition,to\,ὁ,article,gazofula/kion,γαζοφυλάκιον,adjective,h)/dh,ἤδη,adverb,paro/ntos,πάρειμι,verb,o(,tw=n,pneuma/twn,πνεῦμα,noun,kai\,καί,conjunction,pa/shs,πᾶς,adjective,e)cousi/as,ἐξουσία,noun,duna/sths,δυνάστης,noun,e)pifa/neian,ἐπιφάνεια,noun,mega/lhn,e)poi/hsen,ποιέω,verb,w(/ste,ὥστε,conjunction,pa/ntas,πᾶς,adjective,tou\s,ὁ,article,katatolmh/santas,κατατολμάω,verb,sunelqei=n,συνέρχομαι,verb,kataplage/ntas,καταπλάσσω,verb,th\n,ὁ,article,tou=,ὁ,article,qeou=,θεός,noun,du/namin,δύναμις,adjective,ei)s,εἰς,preposition,e)/klusin,ἔκλυσις,noun,kai\,καί,conjunction,deili/an,traph=nai,τέρπω,verb,w)/fqh,ga/r,γάρ,particle,tis,i(/ppos,ἵππος,noun,au)toi=s,αὐτός,pronoun,fobero\n,φοβερός,adjective,e)/xwn,ἔχω,verb,to\n,ὁ,article,e)piba/thn,ἐπιβάτης,noun,kai\,kalli/sth|,καλός,noun,sagh=|,σαγή,noun,diakekosmhme/nos,διακοσμέω,verb,fero/menos,φέρω,verb,de\,δέ,particle,r(u/dhn,ῥύδην,adverb,e)ne/seisen,ἐνσείω,verb,tw=|,ὁ,article,*(hliodw/rw|,Ἡλιόδωρος,proper,ta\s,ὁ,article,e)mprosqi/ous,ἐμπρόσθιος,adjective,o(pla/s,ὁπλή,noun,o(,ὁ,article,de\,δέ,particle,e)pikaqh/menos,ἐπικάθημαι,verb,e)fai/neto,φαίνω,verb,xrush=n,χρύσεος,adjective,panopli/an,πανοπλία,noun,e)/xwn,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δορύφορος,adjective,ὁ,article,ὁ,article,μέγας,adverb,δειλία,noun,ὁράω,verb,τις,pronoun,καί,conjunction,,,,,,,,,,,,,,,,,,
e(/teroi,ἕτερος,adjective,de\,δέ,particle,du/o,δύο,adjective,prosefa/nhsan,προσφαίνομαι,verb,au)tw=|,αὐτός,pronoun,neani/ai,th=|,ὁ,article,r(w/mh|,ῥώμη,noun,me\n,μέν,particle,e)kprepei=s,ἐκπρεπής,adverb,ka/llistoi,καλός,noun,de\,th\n,do/can,δόξα,noun,diaprepei=s,διαπρεπής,adverb,de\,δέ,particle,th\n,ὁ,article,peribolh/n,περιβολή,noun,oi(\,ἕ,pronoun,kai\,perista/ntes,περιίστημι,verb,e)c,ἐκ,preposition,e(kate/rou,ἑκάτερος,adjective,me/rous,μέρος,noun,e)masti/goun,μαστιγόω,verb,au)to\n,αὐτός,pronoun,a)dialei/ptws,ἀδιάλειπτος,adjective,polla\s,πολύς,adjective,e)pirriptou=ntes,ἐπιρριπτέω,verb,au)tw=|,αὐτός,pronoun,plhga/s,πληγάς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,νεανίης,noun,δέ,particle,ὁ,article,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/fnw,ἄφνω,adverb,de\,δέ,particle,peso/nta,πίπτω,verb,pro\s,πρός,preposition,th\n,ὁ,article,gh=n,kai\,καί,conjunction,pollw=|,πολύς,adjective,sko/tei,σκότος,noun,perixuqe/nta,περιχέω,verb,sunarpa/santes,συναρπάζω,verb,kai\,ei)s,forei=on,φορεῖον,noun,e)nqe/ntes,ἐντίθημι,verb,to\n,ὁ,article,a)/rti,ἄρτι,adverb,meta\,μετά,preposition,pollh=s,πολύς,adjective,paradromh=s,kai\,καί,conjunction,pa/shs,πᾶς,adjective,dorufori/as,δορυφορία,noun,ei)s,εἰς,preposition,to\,ὁ,article,proeirhme/non,προερέω,verb,ei)selqo/nta,εἰσέρχομαι,verb,gazofula/kion,γαζοφυλάκιον,adjective,e)/feron,φέρω,verb,a)boh/qhton,ἀβοήθητος,adjective,e(autw=|,ἑαυτοῦ,pronoun,kaqestw=ta,καθίστημι,verb,fanerw=s,φανερός,adjective,th\n,ὁ,article,tou=,qeou=,θεός,noun,dunastei/an,e)pegnwko/tes,ἐπιγιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γῆ,noun,καί,conjunction,εἰς,preposition,παραδρομή,noun,ὁ,article,δυναστεία,noun,,,,,,,,,,,,,,,,,,,,,,
