word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/4/lemma/@_entry,word/4/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS
*qrasumh/dhs,Θρασυμήδης,proper,d',δέ,particle,o(,ὁ,article,*diofa/ntou,Διόφαντος,proper,ui(o/s,e)kei/nou,ἐκεῖνος,pronoun,tou=,ὁ,article,*sfhtti/ou,Σφήττιος,proper,kai\,καί,conjunction,*mela/nwpos,Μελάνωπος,proper,o(,ὁ,article,υἱός,noun,a)delfo\s,ἀδελφός,adjective,au)tou=,αὐτός,pronoun,e)pith/deioi/,ἐπιτήδειος,adjective,moi/,ἐγώ,pronoun,ei)sin,εἰμί,verb,kai\,καί,conjunction,xrw/meqa,χράομαι,verb,a)llh/lois,ἀλλήλων,pronoun,w(s,ὡς,conjunction,oi(=o/n,οἷος,adjective,te,τε,particle,ma/lista,μάλιστα,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,οὗτος,pronoun,prosh=lqo/n,προσέρχομαι,verb,moi,ἐγώ,pronoun,meta\,μετά,preposition,*lakri/tou,toutoui/,οὗτος,pronoun,o(po/qen,ὁπόθεν,adverb,dh/pote,δήποτε,particle,e)gnwrisme/noi,γνωρίζω,verb,tou/tw|,οὗτος,pronoun,ou),οὐ,adverb,Λάκριτος,proper,ga\r,γάρ,particle,oi)=da),οἶδα,verb,kai\,καί,conjunction,e)de/onto/,δέομαι,verb,mou,ἐγώ,pronoun,danei=sai,δανείζω,verb,xrh/mata,χρῆμα,adjective,ei)s,εἰς,preposition,to\n,ὁ,article,*po/nton,Πόντος,proper,*)arte/mwni,Ἀρτέμων,proper,tw=|,ὁ,article,tou/tou,οὗτος,pronoun,a)delfw=|,ἀδελφός,adjective,kai\,καί,conjunction,*)apollodw/rw|,Ἀπολλόδωρος,proper,o(/pws,ὅπως,conjunction,a)\n,ἄν,particle,e)nergoi\,ἐνεργός,adjective,w)=sin,εἰμί,verb,ou)de\n,οὐδείς,pronoun,ei)dw/s,οἶδα,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,ou)d',οὐδέ,particle,o(,ὁ,article,*qrasumh/dhs,Θρασυμήδης,proper,th\n,ὁ,article,tou/twn,οὗτος,pronoun,ponhri/an,πονηρία,noun,a)ll',ἀλλά,adverb,oi)o/menos,οἴομαι,verb,ei)=nai,εἰμί,verb,e)pieikei=s,ἐπιεικής,adjective,a)nqrw/pous,ἄνθρωπος,noun,kai\,καί,conjunction,oi(=oi/per,οἷος,adjective,prosepoiou=nto,προσποιέω,verb,kai\,καί,conjunction,e)/fasan,φημί,verb,ei)=nai,εἰμί,verb,kai\,καί,conjunction,h(gou/menos,ἡγέομαι,verb,poih/sein,ποιέω,verb,au)tou\s,αὐτός,pronoun,pa/nta,πᾶς,adjective,o(/saper,ὅσος,adjective,u(pisxnei=to,ὑποσχέθω,verb,kai\,καί,conjunction,a)nede/xeto,ἀναδέχομαι,verb,*la/kritos,Λάκριτος,proper,ou(tosi/,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plei=ston,πλεῖστος,adjective,d',δέ,particle,a)/ra,ἄρα,particle,h)=n,εἰμί,verb,e)yeusme/nos,kai\,καί,conjunction,ou)de\n,οὐδείς,pronoun,h)/|dei,οἶδα,verb,oi(/ois,οἷος,adjective,qhri/ois,θηρίον,noun,e)plhsi/aze,πλησιάζω,verb,ψεύδω,verb,toi=s,ὁ,article,a)nqrw/pois,ἄνθρωπος,noun,tou/tois,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)gw\,ἐγώ,pronoun,peisqei\s,πείθω,verb,u(po\,ὑπό,preposition,tou=,ὁ,article,*qrasumh/dous,kai\,καί,conjunction,tou=,ὁ,article,a)delfou=,ἀδελφός,adjective,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,*lakri/tou,Λάκριτος,proper,Θρασυμήδης,proper,toutoui\,οὗτος,pronoun,a)nadexome/nou,ἀναδέχομαι,verb,moi,ἐγώ,pronoun,pa/nt',πᾶς,adjective,e)/sesqai,εἰμί,verb,ta\,ὁ,article,di/kaia,δίκαιος,adjective,para\,παρά,preposition,tw=n,ὁ,article,a)delfw=n,ἀδελφή,noun,tw=n,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,e)da/neisa,δανείζω,verb,meta\,μετά,preposition,ce/nou,ξένος,noun,tino\s,τις,pronoun,h(mete/rou,ἡμέτερος,adjective,*karusti/ou,Καρύστιος,proper,tria/konta,τριάκοντα,noun,mna=s,μνᾶ,noun,a)rguri/ou,ἀργύριον,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bou/lomai,βούλομαι,verb,ou)=n,οὖν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,th=s,ὁ,article,suggrafh=s,συγγραφεύς,noun,a)kou=sai,ἀκέω,verb,u(ma=s,σύ,pronoun,prw=ton,πρότερος,adjective,kaq',κατά,preposition,δικαστής,noun,h(\n,ὅς,pronoun,e)danei/samen,δανείζω,verb,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,kai\,καί,conjunction,tw=n,ὁ,article,martu/rwn,μάρτυρος,noun,tw=n,ὁ,article,paragenome/nwn,παραγίγνομαι,verb,tw=|,ὁ,article,danei/smati,δάνεισμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,peri\,περί,preposition,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,e)pidei/comen,oi(=a,οἷος,adjective,e)toixwru/xhsan,τοιχωρυχέω,verb,ou(=toi,οὗτος,pronoun,peri\,περί,preposition,to\,ὁ,article,da/neion,δάνειον,noun,ἐπιδείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/ge,λέγω,verb,th\n,ὁ,article,suggrafh/n,συγγραφή,noun,ei)=ta,εἶτα,adverb,ta\s,marturi/as,μαρτυρία,noun,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)da/neisan,δανείζω,verb,*)androklh=s,Ἀνδροκλέης,proper,*sfh/ttios,Σφήττιος,proper,kai\,καί,conjunction,*nausikra/ths,*karu/stios,Καρύστιος,proper,*)arte/mwni,Ἀρτέμων,proper,kai\,καί,conjunction,*)apollodw/rw|,Ἀπολλόδωρος,proper,*fashli/tais,,,a)rguri/ou,ἀργύριον,adjective,Ναυσικράτης,proper,draxma\s,δραχμή,noun,trisxili/as,τρισχίλιοι,adjective,*)aqh/nhqen,Ἀθήνηθεν,adverb,ei)s,εἰς,preposition,*me/ndhn,Μένδη,proper,h)\,ἠέ,conjunction,*skiw/nhn,Σκιώνη,proper,kai\,καί,conjunction,e)nteu=qen,ἐντεῦθεν,adverb,ei)s,εἰς,preposition,*bo/sporon,Βόσπορος,proper,e)a\n,ἐάν,conjunction,de\,δέ,particle,bou/lwntai,βούλομαι,verb,th=s,ὁ,article,e)p',ἐπί,preposition,a)ristera\,ἀριστερός,adjective,me/xri,μέχρι,preposition,*borusqe/nous,Βορυσθένης,proper,kai\,καί,conjunction,pa/lin,πάλιν,adverb,*)aqh/naze,Ἀθήναζε,adverb,e)pi\,ἐπί,preposition,diakosi/ais,διακόσιοι,adjective,ei)/kosi,εἴκοσι,verb,pe/nte,πέντε,adverb,ta\s,ὁ,article,xili/as,χίλιοι,adjective,e)a\n,ἐάν,conjunction,de\,δέ,particle,met',μετά,preposition,*)arktou=ron,Ἀρκτοῦρος,proper,e)kpleu/swsin,ἐκπλέω,verb,e)k,ἐκ,preposition,tou=,ὁ,article,*po/ntou,Πόντος,proper,e)f',ἐπί,preposition,*(iero/n,ἱερόν,noun,e)pi\,ἐπί,preposition,triakosi/ais,τριακόσιοι,adjective,ta\s,ὁ,article,xili/as,χίλιοι,adjective,e)pi\,ἐπί,preposition,oi)/nou,οἶνον,noun,kerami/ois,κεράμιον,noun,*mendai/ois,,,trisxili/ois,τρισχίλιοι,adjective,o(\s,ὅς,pronoun,pleu/setai,πλέω,verb,e)k,ἐκ,preposition,*me/ndhs,Μένδη,proper,h)\,ἠέ,conjunction,*skiw/nhs,Σκιώνη,proper,e)n,ἐν,preposition,th=|,ὁ,article,ei)koso/rw|,εἰκόσορος,adjective,h(\n,ὅς,pronoun,*(ublh/sios,,,nauklhrei=,ναυκληρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(potiqe/asi,ὑποτίθημι,verb,de\,δέ,particle,tau=ta,οὗτος,pronoun,ou)k,οὐ,adverb,o)fei/lontes,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,a)/llw|,ἄλλος,adjective,ou)deni\,οὐδείς,pronoun,ou)de\n,οὐδείς,pronoun,a)rgu/rion,ἀργύριον,adjective,ὀφείλω,verb,ou)d',οὐδέ,particle,e)pidanei/sontai,ἐπιδανείζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,a)pa/cousi,ἀπάγω,verb,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,ta\,e)k,ἐκ,preposition,tou=,ὁ,article,*po/ntou,Πόντος,proper,a)ntifortisqe/nta,ἀντιφορτίζομαι,verb,*)aqh/naze,Ἀθήναζε,adverb,pa/lin,πάλιν,adverb,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,au)tw=|,αὐτός,pronoun,ploi/w|,πλοῖον,noun,a(/panta,ἅπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swqe/ntwn,σώζω,verb,de\,δέ,particle,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,*)aqh/naze,a)podw/sousin,ἀποδίδωμι,verb,oi(,ἕ,pronoun,daneisa/menoi,δανείζω,verb,toi=s,ὁ,article,danei/sasi,δανείζω,verb,to\,ὁ,article,Ἀθήναζε,adverb,gigno/menon,γίγνομαι,verb,a)rgu/rion,ἀργύριον,adjective,kata\,κατά,preposition,th\n,ὁ,article,suggrafh\n,συγγραφή,noun,h(merw=n,ἡμέρα,noun,ei)/kosin,εἴκοσι,verb,a)f',ἀπό,preposition,h(=s,ὅς,pronoun,a)\n,ἄν,particle,e)/lqwsin,ἔρχομαι,verb,*)aqh/naze,Ἀθήναζε,adverb,e)ntele\s,ἐντελής,adverb,plh\n,πλήν,preposition,e)kbolh=s,ἐκβολεύς,noun,h(\n,ὅς,pronoun,a)\n,ἄν,particle,oi(,ὁ,article,su/mploi,σύμπλους,adjective,yhfisa/menoi,ψηφίζομαι,verb,koinh=|,κοινῇ,adverb,e)kba/lwntai,ἐκβάλλω,verb,kai\,καί,conjunction,a)/n,ἄν,particle,ti,τις,pronoun,polemi/ois,πολέμιος,adjective,a)potei/swsin,ἀποτίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,d',δέ,particle,a)/llwn,ἄλλος,adjective,a(pa/ntwn,ἅπας,adjective,e)ntele/s,,,,,,,,,,,,,,,,,,,ἐντελής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pare/cousi,παρέχω,verb,toi=s,ὁ,article,danei/sasi,δανείζω,verb,th\n,u(poqh/khn,ὑποθήκη,noun,a)ne/pafon,ἀνέπειμι,verb,kratei=n,κρατέω,verb,e(/ws,ἕως,conjunction,a)\n,ἄν,particle,a)podw=si,ἀποδέω,verb,ὁ,article,to\,ὁ,article,gigno/menon,γίγνομαι,verb,a)rgu/rion,ἀργύριον,adjective,kata\,κατά,preposition,th\n,ὁ,article,suggrafh/n,συγγραφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,de\,δέ,particle,mh\,μή,conjunction,a)podw=sin,ἀποδέω,verb,e)n,tw=|,ὁ,article,sugkeime/nw|,σύγκειμαι,verb,xro/nw|,χρόνος,noun,ta\,ὁ,article,u(pokei/mena,ὑπόκειμαι,verb,toi=s,ὁ,article,ἐν,preposition,danei/sasin,δανείζω,verb,e)ce/stw,ἔξεστι,verb,u(poqei=nai,ὑποτίθημι,verb,kai\,καί,conjunction,a)podo/sqai,ἀποδίδωμι,verb,th=s,ὁ,article,u(parxou/shs,ὑπάρχω,verb,timh=s,τιμή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)a/n,ἐάν,conjunction,ti,τις,pronoun,e)llei/ph|,ἐλλείπω,verb,tou=,a)rguri/ou,ἀργύριον,adjective,o(\,ὅς,pronoun,dei=,δέομαι,verb,gene/sqai,γίγνομαι,verb,toi=s,ὁ,article,danei/sasi,δανείζω,verb,ὁ,article,kata\,κατά,preposition,th\n,ὁ,article,suggrafh/n,συγγραφή,noun,para\,παρά,preposition,*)arte/mwnos,Ἀρτέμων,proper,kai\,καί,conjunction,*)apollodw/rou,Ἀπολλόδωρος,proper,e)/stw,εἰμί,verb,h(,ὁ,article,pra=cis,πρᾶξις,adjective,toi=s,ὁ,article,danei/sasi,δανείζω,verb,kai\,καί,conjunction,e)k,ἐκ,preposition,tw=n,ὁ,article,tou/twn,οὗτος,pronoun,a(pa/ntwn,ἅπας,adjective,kai\,καί,conjunction,e)ggei/wn,ἔγγαιος,adjective,kai\,καί,conjunction,nautikw=n,ναυτικός,adjective,pantaxou=,πανταχοῦ,adverb,o(/pou,ὅπου,adverb,a)\n,ἄν,particle,w)=si,εἰμί,verb,kaqa/per,καθά,adverb,di/khn,δίκη,adjective,w)flhko/twn,ὀφλέω,verb,kai\,καί,conjunction,u(perhme/rwn,ὑπερήμερος,adjective,o)/ntwn,εἰμί,verb,kai\,καί,conjunction,e(ni\,εἷς,adjective,e(kate/rw|,ἑκάτερος,adjective,tw=n,ὁ,article,daneisa/ntwn,δανείζω,verb,kai\,καί,conjunction,a)mfote/rois,ἀμφότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
