word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/21/lemma/@_entry,word/21/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS
au)tw=n,αὐτός,pronoun,d',δέ,particle,o(,ὁ,article,me\n,μέν,particle,*(armo/dios,Ἁρμόδιος,proper,eu)qe/ws,εὐθύς,adverb,e)teleu/thsen,τελευτάω,verb,u(po\,ὑπό,preposition,tw=n,ὁ,article,dorufo/rwn,δορύφορος,adjective,o(,ὁ,article,d',δέ,particle,*)aristogei/twn,Ἀριστογείτων,proper,u(/steron,ὕστερος,adjective,sullhfqei\s,συλλαμβάνω,verb,kai\,καί,conjunction,polu\n,πολύς,adjective,xro/non,χρόνος,noun,ai)kisqei/s,αἰκίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kathgo/rhsen,κατηγορέω,verb,d',δέ,particle,e)n,ἐν,preposition,tai=s,ὁ,article,a)na/gkais,ἀνάγκη,noun,pollw=n,πολύς,adjective,oi(\,ἕ,pronoun,kai\,καί,conjunction,th=|,ὁ,article,fu/sei,φύσις,noun,tw=n,ὁ,article,e)pifanw=n,ἐπιφαίνω,verb,kai\,καί,conjunction,fi/loi,φίλος,adjective,toi=s,ὁ,article,tura/nnois,τύραννος,noun,h)=san,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,e)du/nanto,δύναμαι,verb,paraxrh=ma,παραχρῆμα,adverb,labei=n,λαμβάνω,verb,ou)de\n,οὐδείς,pronoun,i)/xnos,ἴχνος,noun,th=s,ὁ,article,pra/cews,πρᾶξις,adjective,a)ll',ἀλλά,adverb,o(,ὁ,article,lego/menos,λέγω,verb,lo/gos,λόγος,noun,w(s,ὡς,conjunction,o(,ὁ,article,*(ippi/as,Ἱππίης,proper,a)posth/sas,ἀφίστημι,verb,a)po\,ἀπό,preposition,tw=n,ὁ,article,o(/plwn,ὅπλον,noun,tou\s,ὁ,article,pompeu/ontas,e)fw/rase,φωράω,verb,tou\s,ὁ,article,ta\,ὁ,article,e)gxeiri/dia,ἐγχειρίδιον,noun,e)/xontas,ἔχω,verb,ou)k,οὐ,adverb,a)lhqh/s,ἀληθής,adjective,e)stin,εἰμί,verb,πομπεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,e)/pempon,πέμπω,verb,to/,ὁ,article,te,τε,particle,meq',μετά,preposition,o(/plwn,ὅπλον,noun,a)ll',ἀλλά,adverb,u(/steron,ὕστερος,adjective,tou=to,οὗτος,pronoun,kateskeu/asen,κατασκευάζω,verb,o(,ὁ,article,dh=mos,δῆμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kathgo/rei,κατηγορέω,verb,de\,δέ,particle,tw=n,ὁ,article,tou=,ὁ,article,tura/nnou,τύραννος,noun,fi/lwn,φίλος,adjective,w(s,ὡς,conjunction,me\n,μέν,particle,oi(,ὁ,article,dhmotikoi/,δημοτικός,adjective,fasin,φημί,verb,e)pi/thdes,ἐπίτηδες,adverb,i(/na,ἵνα,conjunction,a)sebh/saien,ἀσεβέω,verb,a(/ma,ἅμα,adverb,kai\,καί,conjunction,ge/nointo,γίγνομαι,verb,a)sqenei=s,ἀσθενής,adjective,a)nelo/ntes,ἀναιρέω,verb,tou\s,ὁ,article,a)naiti/ous,ἀναίω,verb,kai\,fi/lous,φίλος,adjective,e(autw=n,ἑαυτοῦ,pronoun,w(s,ὡς,conjunction,d',δέ,particle,e)/nioi,ἔνιοι,adjective,le/gousin,λέγω,verb,ou)xi\,οὐ,adverb,platto/menos,πλάσσω,verb,καί,conjunction,a)lla\,ἀλλά,adverb,tou\s,ὁ,article,suneido/tas,σύνοιδα,verb,e)mh/nuen,μηνύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,te/los,τέλος,noun,w(s,ὡς,conjunction,ou)k,οὐ,adverb,e)du/nato,δύναμαι,verb,pa/nta,πᾶς,adjective,poiw=n,ποιέω,verb,a)poqanei=n,ἀποθνήσκω,verb,e)paggeila/menos,ἐπαγγέλλω,verb,w(s,ὡς,conjunction,a)/llous,ἄλλος,adjective,mhnu/swn,μηνύω,verb,pollou/s,πολύς,adjective,kai\,καί,conjunction,pei/sas,πείθω,verb,au(tw=|,ἑαυτοῦ,pronoun,to\n,ὁ,article,*(ippi/an,Ἱππίης,proper,dou=nai,δίδωμι,verb,th\n,ὁ,article,decia\n,δεξιός,adjective,pi/stews,xa/rin,χάρις,noun,w(s,ὡς,conjunction,e)/laben,λάπτω,verb,o)neidi/sas,ὀνειδίζω,verb,o(/ti,ὅστις,pronoun,tw=|,ὁ,article,fonei=,φονεύς,noun,ta)delfou=,ἀδελφός,adjective,πίστις,noun,th\n,ὁ,article,decia\n,δεξιός,adjective,de/dwke,δίδωμι,verb,ou(/tw,οὕτως,adverb,parw/cune,παροξύνω,verb,to\n,ὁ,article,*(ippi/an,Ἱππίης,proper,w(/sq',ὥστε,conjunction,u(po\,ὑπό,preposition,th=s,ὁ,article,o)rgh=s,ὀργή,noun,ou),οὐ,adverb,kate/sxen,κατέχω,verb,e(auto/n,ἑαυτοῦ,pronoun,a)lla\,ἀλλά,adverb,spasa/menos,σπάω,verb,th\n,ὁ,article,ma/xairan,μάχαιρα,noun,die/fqeiren,διαφθείρω,verb,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,μετά,preposition,de\,δέ,particle,tau=ta,οὗτος,pronoun,sune/bainen,συμβαίνω,verb,pollw=|,πολύς,adjective,traxute/ran,τραχύς,adjective,ei)=nai,εἰμί,verb,th\n,ὁ,article,turanni/da,τυραννίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,dia\,διά,preposition,to\,ὁ,article,timwrei=n,τιμωρέω,verb,ta)delfw=|,ἀδελφός,adjective,kai\,καί,conjunction,dia\,διά,preposition,to\,ὁ,article,pollou\s,πολύς,adjective,a)nh|rhke/nai,ἀναιρέω,verb,kai\,καί,conjunction,e)kbeblhke/nai,ἐκβάλλω,verb,pa=sin,πᾶς,adjective,h)=n,εἰμί,verb,a)/pistos,ἄπιστος,adjective,kai\,καί,conjunction,pikro/s,πικρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/tei,ἔτος,noun,de\,δέ,particle,teta/rtw|,τέταρτος,adjective,ma/lista,μάλιστα,adverb,meta\,μετά,preposition,to\n,ὁ,article,*(ippa/rxou,Ἵππαρχος,proper,qa/naton,θάνατος,adjective,e)pei\,ἐπεί,conjunction,kakw=s,κακός,adjective,ei)=xen,ἔχω,verb,ta\,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,a)/stei,ἄστυ,noun,th\n,ὁ,article,*mounixi/an,Μουνιχίη,proper,e)pexei/rhse,ἐπιχειρέω,verb,teixi/zein,τειχίζω,verb,w(s,ὡς,conjunction,e)kei=,ἐκεῖ,adverb,meqidruso/menos,,,,,,,,,,,,,,,,,,,,,,,,,μεθιδρύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,d',δέ,particle,w)\n,εἰμί,verb,e)ce/pesen,ἐκπίτνω,verb,u(po\,ὑπό,preposition,*kleome/nous,Κλεομένης,proper,tou=,ὁ,article,*lakedaimoni/wn,Λακεδαιμόνιος,proper,basile/ws,βασιλεύς,noun,xrhsmw=n,χρησμός,noun,gignome/nwn,γίγνομαι,verb,a)ei\,ἀεί,adverb,toi=s,ὁ,article,*la/kwsi,Λάκων,proper,katalu/ein,καταλύω,verb,th\n,ὁ,article,turanni/da,τυραννίς,noun,dia\,διά,preposition,toia/nd',τοιόσδε,adjective,ai)ti/an,αἰτία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,fuga/des,φυγάς,noun,w(=n,ὅς,pronoun,oi(,ὁ,article,*)alkmewni/dai,Ἀλκμαιωνίδαι,proper,proeisth/kesan,προίστημι,verb,au)toi\,αὐτός,pronoun,me\n,μέν,particle,di',διά,preposition,au(tw=n,ἑαυτοῦ,pronoun,ou)k,οὐ,adverb,e)du/nanto,δύναμαι,verb,poih/sasqai,ποιέω,verb,th\n,ὁ,article,ka/qodon,κάθοδος,noun,a)ll',ἀλλά,adverb,ai)ei\,ἀεί,adverb,prose/ptaion,προσπταίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/n,ἐν,preposition,te,τε,particle,ga\r,γάρ,particle,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,oi(=s,ὅς,pronoun,e)/pratton,πράσσω,verb,diesfa/llonto,διασφάλλω,verb,kai\,καί,conjunction,teixi/santes,τειχίζω,verb,e)n,ἐν,preposition,th=|,ὁ,article,xw/ra|,χώρα,noun,*leiyu/drion,Λειψύδριον,proper,to\,ὁ,article,u(pe\r,ὑπέρ,preposition,*pa/rnhqos,Πάρνης,proper,ei)s,εἰς,preposition,o(\,ὅς,pronoun,sunech=lqo/n,συνεξέρχομαι,verb,tines,τις,pronoun,tw=n,e)k,ἐκ,preposition,tou=,ὁ,article,a)/stews,ἄστυ,noun,e)cepoliorkh/qhsan,ἐκπολιορκέω,verb,u(po\,ὑπό,preposition,tw=n,ὁ,article,tura/nnwn,τύραννος,noun,o(/qen,ὅθεν,adverb,ὁ,article,u(/steron,ὕστερος,adjective,meta\,μετά,preposition,tau/thn,οὗτος,pronoun,th\n,ὁ,article,sumfora\n,συμφορά,noun,h)=|don,ἀείδω,verb,e)n,ἐν,preposition,toi=s,ὁ,article,skolioi=s,σκολιός,adjective,ai)ei/,ἀεί,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)ai=,αἰαῖ,interjection,*leiyu/drion,Λειψύδριον,proper,prodwse/tairon,προδωσέταιρος,adjective,oi(/ous,οἷος,adjective,a)/ndras,ἀνήρ,noun,a)pw/lesas,ἀπόλλυμι,verb,ma/xesqai,μάχομαι,verb,a)gaqou/s,ἀγαθός,adjective,te,τε,particle,kai\,καί,conjunction,eu)patri/das,εὐπατρίδης,noun,oi(\,ἕ,pronoun,to/t',τότε,adverb,e)/deican,δείκνυμι,verb,oi(/wn,οἷος,adjective,pate/rwn,πατήρ,noun,e)/san,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)potugxa/nontes,ἀποτυγχάνω,verb,ou)=n,οὖν,particle,e)n,ἐν,preposition,a(/pasi,ἅπας,adjective,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,e)misqw/santo,μισθόω,verb,to\n,ὁ,article,e)n,ἐν,preposition,*delfoi=s,Δελφοί,proper,new\n,ναός,noun,oi)kodomei=n,οἰκοδομέω,verb,o(/qen,ὅθεν,adverb,eu)po/rhsan,εὐπορέω,verb,xrhma/twn,χρῆμα,adjective,pro\s,πρός,preposition,th\n,ὁ,article,tw=n,ὁ,article,*lakw/nwn,Λάκων,proper,boh/qeian,βοήθεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,δέ,particle,*puqi/a,Πύθιος,proper,proe/feren,προφέρω,verb,ai)ei\,ἀεί,adverb,toi=s,ὁ,article,*lakedaimoni/ois,Λακεδαιμόνιος,proper,xrhsthriazome/nois,χρηστηριάζω,verb,e)leuqerou=n,ἐλευθερόω,verb,ta\s,ὁ,article,*)aqh/nas,Ἀθήνευς,proper,ei)s,εἰς,preposition,tou=q',οὗτος,pronoun,e(/ws,ἕως,conjunction,prou/treye,προτρέπω,verb,tou\s,ὁ,article,*spartia/tas,Σπαρτιάτης,proper,kai/per,καίπερ,particle,o)/ntwn,εἰμί,verb,ce/nwn,ξένος,noun,au)toi=s,αὐτός,pronoun,tw=n,*peisistratidw=n,Πεισιστρατίδης,proper,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suneba/lleto,συμβάλλω,verb,de\,δέ,particle,ou)k,οὐ,adverb,e)la/ttw,ἐλάσσων,adjective,moi=ran,μοῖρα,adjective,th=s,ὁ,article,o(rmh=s,ὁρμή,noun,toi=s,ὁ,article,*la/kwsin,Λάκων,proper,h(,ὁ,article,pro\s,πρός,preposition,tou\s,ὁ,article,*)argei/ous,Ἀργεῖος,proper,toi=s,ὁ,article,*peisistrati/dais,Πεισιστρατίδης,proper,u(pa/rxousa,ὑπάρχω,verb,fili/a,φίλιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,prw=ton,πρότερος,adjective,*)agxi/molon,ἀγχίμολος,adjective,a)pe/steilan,ἀποστέλλω,verb,kata\,κατά,preposition,qa/lattan,θάλασσα,noun,e)/xonta,ἔχω,verb,stratia/n,στρατία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(tthqe/ntos,ἡσσάομαι,verb,d',δέ,particle,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,teleuth/santos,τελευτάω,verb,dia\,διά,preposition,to\,ὁ,article,*kine/an,Κινέης,proper,bohqh=sai,βοηθέω,verb,to\n,ὁ,article,*qettalo\n,Θεσσαλός,proper,e)/xonta,ἔχω,verb,xili/ous,χίλιοι,adjective,i(ppei=s,ἱππεύς,noun,prosorgisqe/ntes,προσοργίζομαι,verb,tw=|,τίς,pronoun,genome/nw|,γίγνομαι,verb,*kleome/nhn,Κλεομένης,proper,e)ce/pemyan,ἐκπέμπω,verb,to\n,ὁ,article,basile/a,βασιλεύς,noun,sto/lon,e)/xonta,ἔχω,verb,mei/zw,μέγας,adverb,kata\,κατά,preposition,gh=n,γῆ,noun,o(\s,ὅς,pronoun,e)pei\,ἐπεί,conjunction,tou\s,ὁ,article,tw=n,ὁ,article,στόλος,noun,*qettalw=n,Θεσσαλός,proper,i(ppei=s,ἱππεύς,noun,e)ni/khsen,νικάω,verb,kwlu/ontas,κωλύω,verb,au)to\n,αὐτός,pronoun,ei)s,εἰς,preposition,th\n,ὁ,article,*)attikh\n,Ἀττικός,adjective,parie/nai,πάρειμι,verb,kataklei/sas,κατακλείω,verb,to\n,ὁ,article,*(ippi/an,Ἱππίης,proper,ei)s,εἰς,preposition,to\,ὁ,article,kalou/menon,καλέω,verb,*pelargiko\n,Πελαργικός,adjective,tei=xos,τεῖχος,noun,e)polio/rkei,πολιορκέω,verb,meta\,μετά,preposition,tw=n,ὁ,article,*)aqhnai/wn,Ἀθήναια,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proskaqhme/nou,προσκάθημαι,verb,d',δέ,particle,au)tou=,αὐτός,pronoun,sune/pesen,συμπίτνω,verb,u(pecio/ntas,ὑπέξειμι,verb,a(lw=nai,ἁλίσκομαι,verb,tou\s,ὁ,article,tw=n,ὁ,article,*peisistratidw=n,Πεισιστρατίδης,proper,ui(ei=s,υἱός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
