word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/8/lemma/@_entry,word/8/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS
i)xw/r,ἰχώρ,adjective,oi(=o/spe/r,,,te,τε,particle,r(e/ei,ῥέομαι,verb,maka/ressi,μάκαρ,noun,qeoi=sin,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)painou/ntwn,ἐπαινέω,verb,de\,δέ,particle,e)ni/wn,ἔνιοι,adjective,tou=,ὁ,article,*)antipa/trou,Ἀντίπατρος,proper,th\n,ὁ,article,eu)te/leian,w(s,ὡς,conjunction,a)qru/ptws,diaitwme/nou,διαιτάω,verb,kai\,καί,conjunction,au)sthrw=s,αὐστηρός,adjective,e)/cwqen,ἔξωθεν,adverb,ei)=pen,εἶπον,verb,*)anti/patros,Ἀντίπατρος,proper,leukopa/rufo/s,λευκοπάρυφος,adjective,e)sti,εἰμί,verb,ta\,ὁ,article,de\,δέ,particle,e)/ndon,ἔνδον,adverb,o(lopo/rfuros,ὁλοπόρφυρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εὐτέλεια,noun,ἄθρυπτος,adjective,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,de\,δέ,particle,xeimw=ni,χειμών,noun,kai\,καί,conjunction,yu/xei,ψῦχος,noun,tw=n,ὁ,article,fi/lwn,tino\s,τις,pronoun,e(stiw=ntos,au)to/n,αὐτός,pronoun,e)sxa/ran,ἐσχάρα,noun,de\,δέ,particle,mikra\n,μικρός,adjective,kai\,καί,conjunction,pu=r,πῦρ,noun,o)li/gon,ὀλίγος,adjective,ei)sene/gkantos,εἰσφέρω,verb,h)\,ἠέ,conjunction,cu/la,ξύλον,adjective,h)\,ἠέ,conjunction,libanwto\n,λιβανωτός,noun,ei)senegkei=n,εἰσφέρω,verb,e)ke/leusen,κελεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,φίλων,noun,ἑστιάω,verb,,,,,,,,,,,,,,,,,,,,,
*)antipatri/dou,,,de\,δέ,particle,kalh\n,καλός,noun,ya/ltrian,ψάλτρια,noun,e)pi\,ἐπί,preposition,to\,ὁ,article,dei=pnon,a)gago/ntos,ἄγω,verb,kinhqei\s,th=|,ὁ,article,o)/yei,ὄψις,noun,pro\s,πρός,preposition,au)th\n,αὐτός,pronoun,o(,ὁ,article,*)ale/candros,Ἀλέξανδρος,proper,h)rw/thse,ἐρωτάω,verb,to\n,ὁ,article,*)antipatri/dhn,,,mh/,μή,conjunction,ti,τις,pronoun,tugxa/noi,τυγχάνω,verb,th=s,ὁ,article,gunaiko\s,γυνή,noun,e)rw=n,ἐράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δεῖπνον,noun,κινέω,verb,,,,,,,,,,,,,,,,,,,,,
e)kei/nou,ἐκεῖνος,pronoun,de\,δέ,particle,o(mologh/santos,ὁμολογέω,verb,w)=,ὦ,interjection,miare/,μιαρός,adjective,ei)=pen,εἶπον,verb,ou)k,a)pa/ceis,ἀπάγω,verb,eu)qu\s,e)k,ἐκ,preposition,tou=,ὁ,article,sumposi/ou,συμπόσιον,noun,th\n,ὁ,article,gunai=ka,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐ,adverb,εὐθύς,adverb,,,,,,,,,,,,,,,,,,,,,
pa/lin,πάλιν,adverb,de\,δέ,particle,*pu/qwna,Πύθων,proper,to\n,ὁ,article,*eu)i/ou,Εὔιος,proper,tou=,ὁ,article,au)lhtou=,e)rw/menon,ἐράομαι,verb,*ka/sandros,e)bia/zeto,βιάζω,verb,filh=sai,φιλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐλητής,noun,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,ou)=n,οὖν,particle,*eu)/ion,Εὔιος,proper,o(rw=n,ὁράω,verb,a)xqo/menon,ἄχθομαι,verb,a)neph/dhse,ἀναπηδάω,verb,met',o)rgh=s,ὀργή,noun,e)pi\,to\n,ὁ,article,*ka/sandron,,,kekragw/s,κράζω,verb,a)ll',ἀλλά,adverb,ou)d',οὐδέ,particle,e)rasqh=nai/,ἔραμαι,verb,tinos,τις,pronoun,e)/cesti,ἔξεστι,verb,di',διά,preposition,u(ma=s,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μετά,preposition,ἐπί,preposition,,,,,,,,,,,,,,,,,,,,,
a)poste/llontos,ἀποστέλλω,verb,de\,δέ,particle,au)tou=,αὐτός,pronoun,tw=n,ὁ,article,*makedo/nwn,Μακεδών,proper,tou\s,ὁ,article,nosw/deis,kai\,καί,conjunction,a)naph/rous,e)pi\,ἐπί,preposition,qa/lattan,θάλασσα,noun,e)nedei/xqh,ἐνδείκνυμι,verb,tis,τις,pronoun,ei)s,εἰς,preposition,tou\s,ὁ,article,nosou=ntas,νοσέω,verb,a)pogegramme/nos,ἀπογράφω,verb,e(auto\n,ἑαυτοῦ,pronoun,ou),οὐ,adverb,nosw=n,νοσάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,νοσώδης,adverb,ἀνάπηρος,adjective,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,ou)=n,οὖν,particle,ei)s,εἰς,preposition,o)/yin,ὄψις,noun,a)xqei\s,ἄγω,verb,kai\,καί,conjunction,a)nakrino/menos,w(molo/ghse,ὁμολογέω,verb,profasi/zesqai,di',διά,preposition,e)/rwta,ἔρως,noun,*telesi/ppas,Τελέσιππα,proper,a)piou/shs,ἄπειμι,verb,e)pi\,ἐπί,preposition,qa/lattan,θάλασσα,noun,h)rw/thsen,ἐρωτάω,verb,o(,ὁ,article,*)ale/candros,Ἀλέξανδρος,proper,pro\s,πρός,preposition,ti/na,τίς,pronoun,dei=,δέομαι,verb,peri\,περί,preposition,th=s,ὁ,article,*telesi/ppas,Τελέσιππα,proper,diale/gesqai,διαλέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνακρίνω,verb,προφασίζομαι,verb,,,,,,,,,,,,,,,,,,,,,
puqo/menos,πύθω,verb,de\,δέ,particle,e)leuqe/ran,ἐλεύθερος,adjective,ou)=san,εἰμί,verb,ou)kou=n,οὐκοῦν,adverb,e)/fh,φημί,verb,w)=,*)antige/nh,Ἀντιγένης,proper,pei/qwmen,th\n,ὁ,article,*telesi/ppan,,,i(/na,ἵνα,conjunction,mei/nh|,μένω,verb,meq',μετά,preposition,h(mw=n,ἐγώ,pronoun,bia/zesqai,βιάζω,verb,ga\r,γάρ,particle,e)leuqe/ran,ἐλεύθερος,adjective,ou)=san,εἰμί,verb,ou)x,οὐ,adverb,h(me/teron,ἡμέτερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὦ,interjection,πείθω,verb,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,de\,δέ,particle,misqoforou/ntwn,μισθοφορέω,verb,*(ellh/nwn,Ἕλλην,proper,para\,παρά,preposition,toi=s,ὁ,article,polemi/ois,u(poxeiri/wn,ὑποχείριος,adjective,genome/nwn,tou\s,ὁ,article,me\n,μέν,particle,*)aqhnai/ous,Ἀθήναιος,proper,e)ke/leusen,κελεύω,verb,e)n,ἐν,preposition,pe/dais,πέδη,noun,fula/ttein,φυλάσσω,verb,o(/ti,ὅστις,pronoun,trofh\n,τροφή,noun,e)/xontes,ἔχω,verb,e)k,ἐκ,preposition,dhmosi/ou,δημόσιος,adjective,misqoforou=si,μισθοφορέω,verb,kai\,καί,conjunction,tou\s,ὁ,article,*qettalou\s,Θεσσαλός,proper,o(/ti,ὅστις,pronoun,gh=n,γῆ,noun,a)ri/sthn,ἄριστος,adjective,kekthme/noi,κτάομαι,verb,ou),οὐ,adverb,gewrgou=si,γεωργέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πολέμιος,adjective,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,de\,δέ,particle,*qhbai/ous,Θηβαῖος,proper,a)fh=ken,ἀφήκω,verb,ei)pw\n,εἶπον,verb,o(/ti,ὅστις,pronoun,mo/nois,tou/tois,οὗτος,pronoun,ou)/te,po/lis,πόλις,adjective,ou)/te,οὔτε,adverb,xw/ra,χώρα,noun,di',διά,preposition,h(ma=s,ἐγώ,pronoun,a)pole/leiptai,ἀπολείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μόνος,adjective,οὔτε,adverb,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,de\,δέ,particle,*)indw=n,Ἰνδή,proper,to\n,ὁ,article,a)/rista,ἄριστος,adjective,toceu/ein,τοξεύω,verb,dokou=nta,kai\,καί,conjunction,lego/menon,dia\,διά,preposition,daktuli/ou,δακτύλιον,noun,to\n,ὁ,article,o)isto\n,ὀιστός,adjective,a)fie/nai,ἀφίημι,verb,labw\n,λαμβάνω,verb,ai)xma/lwton,αἰχμάλωτος,adjective,e)ke/leusen,κελεύω,verb,e)pidei/casqai,ἐπιδείκνυμι,verb,kai\,καί,conjunction,mh\,μή,conjunction,boulo/menon,βούλομαι,verb,o)rgisqei\s,ὀργίζω,verb,a)nelei=n,ἀναιρέω,verb,prose/tace,προστάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δοκέω,verb,λέγω,verb,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,de\,δέ,particle,a)go/menos,ἄγω,verb,o(,ὁ,article,a)/nqrwpos,ἄνθρωπος,noun,e)/lege,λέγω,verb,pro\s,tou\s,ὁ,article,a)/gontas,o(/ti,ὅστις,pronoun,pollw=n,πολύς,adjective,h(merw=n,ἡμέρα,noun,ou),οὐ,adverb,memele/thke,μελετάω,verb,kai\,καί,conjunction,e)fobh/qh,φοβέω,verb,diapesei=n,διαπίπτω,verb,a)kou/sas,ἀκέω,verb,o(,ὁ,article,*)ale/candros,Ἀλέξανδρος,proper,e)qau/mase,θαυμάζω,verb,kai\,καί,conjunction,a)pe/luse,ἀπολύω,verb,meta\,μετά,preposition,dw/rwn,δῶρον,noun,au)to/n,αὐτός,pronoun,o(/ti,ὅστις,pronoun,ma=llon,μᾶλλον,adverb,a)poqanei=n,ἀποθνήσκω,verb,u(pe/meinen,ὑπομένω,verb,h)\,ἠέ,conjunction,th=s,ὁ,article,do/chs,δόξα,noun,a)na/cios,ἄναξις,noun,fanh=nai,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρός,preposition,ἄγω,verb,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,de\,δέ,particle,*taci/lhs,Ταξίλης,proper,ei(=s,εἷς,adjective,tw=n,ὁ,article,*)indw=n,Ἰνδή,proper,basileu\s,w)/n,εἰμί,verb,a)panth/sas,proekalei=to,προκαλέω,verb,mh\,μή,conjunction,ma/xesqai,μάχομαι,verb,mhde\,μηδέ,particle,polemei=n,πολεμέω,verb,*)ale/candron,Ἀλέξανδρος,proper,a)ll',ἀλλά,adverb,ei),εἰ,conjunction,me/n,μέν,particle,e)stin,εἰμί,verb,h(/ttwn,ἡττάω,verb,eu)=,εὖ,adverb,pa/sxein,πάσχω,verb,ei),εἰ,conjunction,de\,δέ,particle,belti/wn,βελτίων,adverb,eu)=,εὖ,adverb,poiei=n,ποιέω,verb,a)pekri/nato,ἀποκρίνω,verb,peri\,περί,preposition,au)tou=,αὐτός,pronoun,tou/tou,οὗτος,pronoun,maxhte/on,μαχητέον,adjective,ei)=nai,εἰμί,verb,po/teros,πότερος,adjective,eu)=,εὖ,adverb,poiw=n,ποιέω,verb,perige/nhtai,περιγίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,βασιλεύς,noun,ἀπαντάω,verb,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,de\,δέ,particle,th=s,ὁ,article,legome/nhs,λέγω,verb,*)ao/rnou,Ἄορνον,proper,pe/tras,πέτρα,noun,e)n,*)indoi=s,Ἰνδός,proper,a)kou/sas,o(/ti,ὅστις,pronoun,to\,ὁ,article,me\n,μέν,particle,xwri/on,χωρίον,noun,dusa/lwto\n,δυσάλωτος,adjective,e)stin,εἰμί,verb,o(,ὁ,article,de\,δέ,particle,e)/xwn,ἔχω,verb,au)to\,αὐτός,pronoun,deilo/s,δειλός,adjective,e)sti,εἰμί,verb,nu=n,νῦν,adverb,e)/fh,φημί,verb,to\,ὁ,article,xwri/on,χωρίον,noun,eu)a/lwto/n,εὐάλωτος,adjective,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐν,preposition,ἀκέω,verb,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,de\,δέ,particle,a)/llos,ἄλλος,adjective,e)/xwn,ἔχω,verb,pe/tran,πέτρα,noun,a)/lhpton,ἄληπτος,adjective,dokou=san,ei)=nai,εἰμί,verb,e)nexei/risen,e(auto\n,ἑαυτοῦ,pronoun,meta\,μετά,preposition,th=s,ὁ,article,pe/tras,πέτρα,noun,tw=|,ὁ,article,*)aleca/ndrw|,Ἀλέξανδρος,proper,kai\,καί,conjunction,th=s,ὁ,article,duna/mews,δύναμις,adjective,e)ke/leusen,κελεύω,verb,a)/rxein,ἄρχω,verb,kai\,καί,conjunction,prose/qhke,προστίθημι,verb,xw/ran,χώρα,noun,ei)pw\n,εἶπον,verb,o(/ti,ὅστις,pronoun,fronei=n,φρονέω,verb,moi,ἐγώ,pronoun,dokei=,δοκέω,verb,o(,ὁ,article,a)/nqrwpos,ἄνθρωπος,noun,a)ndri\,ἀνδρίς,noun,ma=llon,μᾶλλον,adverb,a)gaqw=|,ἀγαθός,adjective,pisteu/sas,πιστεύω,verb,e(auto\n,ἑαυτοῦ,pronoun,h)\,ἠέ,conjunction,o)xurw=|,ὀχυρός,adjective,to/pw|,τόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δοκέω,verb,ἐγχειρίζω,verb,,,,,,,,,,,,,,,,,,,,,
meta\,μετά,preposition,de\,δέ,particle,th\n,ὁ,article,th=s,ὁ,article,pe/tras,πέτρα,noun,a(/lwsin,ἅλων,noun,tw=n,fi/lwn,φίλος,adjective,lego/ntwn,u(perbeblhke/nai,ὑπερβάλλω,verb,to\n,ὁ,article,*(hrakle/a,Ἡράκλεα,proper,tai=s,ὁ,article,pra/cesin,πρᾶξις,adjective,a)ll',ἀλλά,adverb,e)gw/,ἐγώ,pronoun,ei)=pe,εἶπον,verb,ta\s,ὁ,article,e)ma\s,ἐμός,adjective,pra/ceis,πρᾶξις,adjective,meta\,μετά,preposition,th=s,ὁ,article,h(gemoni/as,ἡγεμονία,noun,e(no\s,εἷς,adjective,ou),οὐ,adverb,nomi/zw,νομίζω,verb,r(h/matos,ῥῆμα,noun,a)ntaci/as,ἀντάξιος,adjective,ei)=nai,εἰμί,verb,tou=,ὁ,article,*(hrakle/ous,Ἡρακλέης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,λέγω,verb,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,de\,δέ,particle,fi/lwn,φίλος,adjective,tina\s,τις,pronoun,ai)sqo/menos,αἰσθάνομαι,verb,e)n,ἐν,preposition,tw=|,kubeu/ein,κυβεύω,verb,ou),pai/zontas,παίω,verb,e)zhmi/wse,ζημιόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,de\,δέ,particle,prw/twn,πρότερος,adjective,fi/lwn,φίλος,adjective,kai\,καί,conjunction,krati/stwn,κράτιστος,adjective,tima=n,me\n,μέν,particle,e)do/kei,*kratero\n,Κρατερός,proper,ma/lista,μάλιστα,adverb,pa/ntwn,πᾶς,adjective,filei=n,φιλέω,verb,de\,δέ,particle,*(hfaisti/wna,Ἡφαιστίων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τιμάω,verb,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,
kratero\s,κρατερός,adjective,me\n,μέν,particle,ga/r,γάρ,particle,e)/fh,φημί,verb,filobasileu/s,φιλοβασιλεύς,noun,e)stin,εἰμί,verb,*(hfaisti/wn,de\,δέ,particle,filale/candros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ἡφαίστια,proper,φιλαλέξανδρος,adjective,,,,,,,,,,,,,,,,,,,,,
*cenokra/tei,Ξενοκράτης,proper,de\,δέ,particle,tw=|,ὁ,article,filoso/fw|,φιλόσοφος,noun,penth/konta,πεντήκοντα,verb,ta/lanta,τάλαντον,noun,pe/myas,w(s,ὡς,conjunction,ou)k,e)de/cato,δέχομαι,verb,mh\,μή,conjunction,dei=sqai,δέομαι,verb,fh/sas,φημί,verb,h)rw/thsen,ἐρωτάω,verb,ei),εἰ,conjunction,mhde\,μηδέ,particle,fi/lon,φίλος,adjective,e)/xei,ἔχω,verb,*cenokra/ths,Ξενοκράτης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πέμπω,verb,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,me\n,μέν,particle,ga/r,γάρ,particle,e)/fh,φημί,verb,mo/lis,μόλις,adverb,o(,ὁ,article,*darei/ou,plou=tos,πλοῦτος,noun,ei)s,tou\s,ὁ,article,fi/lous,φῖλος,noun,h)/rkesen,ἀρκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Δαρεῖος,proper,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,de\,δέ,particle,*pw=ros,Πῶρος,proper,e)rwthqei\s,ἐρωτάω,verb,u(p',ὑπό,preposition,au)tou=,αὐτός,pronoun,meta\,th\n,ὁ,article,ma/xhn,pw=s,πῶς,adverb,soi,σύ,pronoun,xrh/swmai,χράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μετά,preposition,μάχη,noun,,,,,,,,,,,,,,,,,,,,,
basilikw=s,βασιλικός,adjective,ei)=pe,εἶπον,verb,kai\,καί,conjunction,proserwthqei/s,προσερωτάω,verb,kai\,καί,conjunction,mh/,μή,conjunction,ti,a)/llo,ἄλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,
