word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/15/lemma/@_entry,word/15/lemma/@_POS,word/44/lemma/@_entry,word/44/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/52/lemma/@_entry,word/52/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS
e)/sti,εἰμί,verb,de\,δέ,particle,diwrisme/non,διορίζω,verb,me\n,μέν,particle,oi(=on,οἷος,adjective,a)riqmo\s,ἀριθμός,adjective,kai\,καί,conjunction,lo/gos,λόγος,noun,sunexe\s,συνεχής,adverb,de\,δέ,particle,grammh/,γραμμή,noun,e)pifa/neia,ἐπιφάνεια,noun,sw=ma,σῶμα,adjective,e)/ti,ἔτι,adverb,de\,δέ,particle,para\,tau=ta,οὗτος,pronoun,xro/nos,χρόνος,noun,kai\,καί,conjunction,to/pos,τόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,παρά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tw=n,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,tou=,ὁ,article,a)riqmou=,ἀριθμός,adjective,mori/wn,μορέω,verb,ou)dei/s,οὐδείς,pronoun,e)sti,εἰμί,verb,koino\s,κοινός,adjective,o(/ros,ὅρος,adjective,pro\s,πρός,preposition,o(\n,ὅς,pronoun,suna/ptei,συνάπτω,verb,ta\,ὁ,article,mo/ria,μόριον,noun,au)tou=,oi(=on,οἷος,adjective,ta\,ὁ,article,pe/nte,πέντε,adverb,ei),εἰ,conjunction,e)/sti,εἰμί,verb,tw=n,ὁ,article,de/ka,δέκα,verb,mo/rion,μόριον,noun,pro\s,πρός,preposition,ou)de/na,οὐδείς,pronoun,koino\n,κοινός,adjective,o(/ron,ὅρος,adjective,suna/ptei,συνάπτω,verb,ta\,ὁ,article,pe/nte,πέντε,adverb,kai\,καί,conjunction,ta\,ὁ,article,pe/nte,πέντε,adverb,a)lla\,ἀλλά,adverb,diw/ristai,διορίζω,verb,kai\,καί,conjunction,ta\,ὁ,article,tri/a,τρεῖς,noun,ge,γε,particle,kai\,καί,conjunction,ta\,ὁ,article,e(pta\,ἑπτά,noun,pro\s,πρός,preposition,ou)de/na,koino\n,κοινός,adjective,o(/ron,ὅρος,adjective,suna/ptei,συνάπτω,verb,ou)d',οὐδέ,particle,o(/lws,ὅλος,adjective,αὐτός,pronoun,οὐδείς,pronoun,a)\n,ἄν,particle,e)/xois,ἔχω,verb,e)p',a)riqmou=,ἀριθμός,adjective,labei=n,λαμβάνω,verb,koino\n,κοινός,adjective,o(/ron,ὅρος,adjective,tw=n,ὁ,article,ἐπί,preposition,mori/wn,μόριον,noun,a)ll',ἀλλά,adverb,a)ei\,ἀεί,adverb,diw/ristai,διορίζω,verb,w(/ste,ὥστε,conjunction,o(,ὁ,article,me\n,μέν,particle,a)riqmo\s,ἀριθμός,adjective,tw=n,ὁ,article,diwrisme/nwn,διορίζω,verb,e)sti/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(sau/tws,ὡσαύτως,adverb,de\,δέ,particle,kai\,καί,conjunction,o(,ὁ,article,lo/gos,λόγος,noun,tw=n,ὁ,article,diwrisme/nwn,διορίζω,verb,e)sti/n,εἰμί,verb,o(/ti,ὅστις,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,poso/n,ποσός,adjective,e)stin,εἰμί,verb,o(,ὁ,article,lo/gos,λόγος,noun,fanero/n,katametrei=tai,καταμετρέω,verb,ga\r,γάρ,particle,sullabh=i,,,makra=i,μακρός,adjective,kai\,καί,conjunction,braxei/ai,βραχύς,adjective,le/gw,λέγω,verb,de\,δέ,particle,au)to\n,αὐτός,pronoun,to\n,ὁ,article,meta\,μετά,preposition,fwnh=s,φωνή,noun,lo/gon,λόγος,noun,gigno/menon),γίγνομαι,verb,pro\s,πρός,preposition,ou)de/na,οὐδείς,pronoun,ga\r,γάρ,particle,koino\n,κοινός,adjective,o(/ron,ὅρος,adjective,au)tou=,αὐτός,pronoun,ta\,ὁ,article,mo/ria,μόριον,noun,suna/ptei,συνάπτω,verb,ou),οὐ,adverb,ga\r,γάρ,particle,e)/sti,εἰμί,verb,koino\s,κοινός,adjective,o(/ros,ὅρος,adjective,pro\s,o(\n,ὅς,pronoun,ai(,ὁ,article,sullabai\,συλλαβή,noun,suna/ptousin,συνάπτω,verb,a)ll',ἀλλά,adverb,φανερός,adjective,πρός,preposition,e(ka/sth,ἕκαστος,adjective,diw/ristai,διορίζω,verb,au)th\,kaq',κατά,preposition,au(th/n,ἑαυτοῦ,pronoun,,,,,,,,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(h,ὁ,article,de\,δέ,particle,grammh\,γραμμή,noun,sunexe/s,συνεχής,adverb,e)stin,εἰμί,verb,e)/sti,εἰμί,verb,ga\r,γάρ,particle,labei=n,λαμβάνω,verb,koino\n,κοινός,adjective,o(/ron,ὅρος,adjective,pro\s,πρός,preposition,o(\n,ὅς,pronoun,ta\,ὁ,article,mo/ria,μόριον,noun,au)th=s,αὐτός,pronoun,suna/ptei,stigmh/n,στιγμή,noun,kai\,καί,conjunction,th=s,ὁ,article,e)pifanei/as,ἐπιφάνεια,noun,grammh/n,γραμμή,noun,ta\,ὁ,article,ga\r,γάρ,particle,tou=,ὁ,article,e)pipe/dou,ἐπίπεδος,adjective,mo/ria,μόριον,noun,pro/s,πρός,preposition,tina,τις,pronoun,koino\n,κοινός,adjective,o(/ron,ὅρος,adjective,suna/ptei,συνάπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,συνάπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(sau/tws,ὡσαύτως,adverb,de\,δέ,particle,kai\,καί,conjunction,e)pi\,ἐπί,preposition,tou=,ὁ,article,sw/matos,σῶμα,adjective,e)/xois,ἔχω,verb,a)\n,ἄν,particle,labei=n,λαμβάνω,verb,koino\n,κοινός,adjective,o(/ron,ὅρος,adjective,grammh\n,γραμμή,noun,h)\,ἠέ,conjunction,e)pifa/neian,ἐπιφάνεια,noun,pro\s,πρός,preposition,h(\n,ta\,ὁ,article,tou=,ὁ,article,sw/matos,σῶμα,adjective,mo/ria,μόριον,noun,suna/ptei,συνάπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,de\,δέ,particle,kai\,καί,conjunction,o(,ὁ,article,xro/nos,χρόνος,noun,kai\,καί,conjunction,o(,ὁ,article,to/pos,τόπος,noun,tw=n,ὁ,article,toiou/twn,τοιοῦτος,adjective,o(,ὁ,article,ga\r,γάρ,particle,nu=n,νῦν,adverb,xro/nos,χρόνος,noun,suna/ptei,συνάπτω,verb,pro/s,te,τε,particle,to\n,ὁ,article,parelhluqo/ta,παρέρχομαι,verb,kai\,καί,conjunction,to\n,ὁ,article,me/llonta,μέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρός,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/lin,πάλιν,adverb,o(,ὁ,article,to/pos,τόπος,noun,tw=n,ὁ,article,sunexw=n,συνεχής,adverb,e)stin,εἰμί,verb,to/pon,τόπος,noun,ga/r,γάρ,particle,tina,τις,pronoun,ta\,ὁ,article,tou=,ὁ,article,sw/matos,σῶμα,adjective,mo/ria,μόριον,noun,kate/xei,καταχέω,verb,a(\,ὅς,pronoun,pro/s,tina,τις,pronoun,koino\n,κοινός,adjective,o(/ron,ὅρος,adjective,suna/ptei,συνάπτω,verb,ou)kou=n,οὐκοῦν,adverb,kai\,καί,conjunction,ta\,ὁ,article,tou=,ὁ,article,to/pou,τόπος,noun,mo/ria,μόριον,noun,a(\,ὅς,pronoun,kate/xei,καταχέω,verb,e(/kaston,ἕκαστος,adjective,tw=n,ὁ,article,tou=,ὁ,article,sw/matos,σῶμα,adjective,mori/wn,μόριον,noun,pro\s,πρός,preposition,to\n,ὁ,article,au)to\n,αὐτός,pronoun,o(/ron,ὅρος,adjective,suna/ptei,συνάπτω,verb,pro\s,πρός,preposition,o(\n,ὅς,pronoun,kai\,καί,conjunction,ta\,ὁ,article,tou=,ὁ,article,sw/matos,σῶμα,adjective,mo/ria,w(/ste,ὥστε,conjunction,sunexe\s,συνεχής,adverb,a)\n,ἄν,particle,ei)/h,ἀίω,verb,kai\,καί,conjunction,πρός,preposition,μόριον,noun,o(,ὁ,article,to/pos,τόπος,noun,pro\s,ga\r,γάρ,particle,e(/na,ἕνος,adjective,koino\n,κοινός,adjective,o(/ron,ὅρος,adjective,au)tou=,αὐτός,pronoun,πρός,preposition,ta\,ὁ,article,mo/ria,μόριον,noun,suna/ptei,συνάπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/eti,ἔτι,adverb,ta\,ὁ,article,me\n,μέν,particle,e)k,ἐκ,preposition,qe/sin,θέσις,noun,e)xo/ntwn,ἔχω,verb,pro\s,πρός,preposition,a)/llhla,ἀλλήλων,pronoun,tw=n,ὁ,article,e)n,ἐν,preposition,au)toi=s,αὐτός,pronoun,mori/wn,μόριον,noun,sune/sthken,συνίστημι,verb,ta\,ὁ,article,de\,δέ,particle,ou)k,e)c,ἐκ,preposition,e)xo/ntwn,ἔχω,verb,qe/sin,θέσις,noun,oi(=on,οἷος,adjective,ta\,ὁ,article,me\n,μέν,particle,th=s,ὁ,article,grammh=s,γραμμή,noun,mo/ria,μόριον,noun,qe/sin,θέσις,noun,e)/xei,ἔχω,verb,pro\s,πρός,preposition,a)/llhla,ἀλλήλων,pronoun,e(/kaston,ἕκαστος,adjective,ga\r,γάρ,particle,au)tw=n,αὐτός,pronoun,kei=tai/,κέω,verb,pou,πού,adverb,kai\,καί,conjunction,e)/xois,ἔχω,verb,a)\n,ἄν,particle,dialabei=n,διαλαμβάνω,verb,kai\,καί,conjunction,a)podou=nai,ἀποδίδωμι,verb,ou(=,ἕ,pronoun,e(/kaston,ἕκαστος,adjective,kei=tai,κέω,verb,e)n,ἐν,preposition,tw=i,e)pipe/dwi,ἐπίπεδος,adjective,kai\,καί,conjunction,pro\s,πρός,preposition,poi=on,ποῖος,adjective,mo/rion,μόριον,noun,οὐ,adverb,ὁ,article,tw=n,ὁ,article,loipw=n,λοιπός,adjective,suna/ptei,w(sau/tws,ὡσαύτως,adverb,de\,δέ,particle,kai\,καί,conjunction,ta\,ὁ,article,tou=,ὁ,article,συνάπτω,verb,e)pipe/dou,ἐπίπεδος,adjective,mo/ria,μόριον,noun,qe/sin,θέσις,noun,e)/xei,ἔχω,verb,tina/,τις,pronoun,o(moi/ws,ὅμοιος,adjective,ga\r,γάρ,particle,a)\n,ἄν,particle,a)podoqei/h,ἀποδίδωμι,verb,e(/kaston,ἕκαστος,adjective,ou(=,ἕ,pronoun,kei=tai,κέω,verb,kai\,καί,conjunction,poi=a,ποῖος,adjective,suna/ptei,συνάπτω,verb,pro\s,πρός,preposition,a)/llhla,ἀλλήλων,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ta\,τίς,pronoun,tou=,ὁ,article,stereou=,στερεός,adjective,de\,δέ,particle,w(sau/tws,ὡσαύτως,adverb,kai\,καί,conjunction,ta\,ὁ,article,tou=,ὁ,article,to/pou,τόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)epi\,ἐπί,preposition,de/,δέ,particle,ge,γε,particle,tou=,ὁ,article,a)riqmou=,ἀριθμός,adjective,ou)k,οὐ,adverb,a)\n,ἄν,particle,e)/xoi,ἔχω,verb,tis,τις,pronoun,e)pible/yai,ἐπιβλέπω,verb,w(s,ὡς,conjunction,ta\,ὁ,article,mo/ria,μόριον,noun,qe/sin,θέσις,noun,tina\,τις,pronoun,e)/xei,pro\s,πρός,preposition,a)/llhla,ἀλλήλων,pronoun,h)\,ἠέ,conjunction,kei=tai/,κέω,verb,pou,πού,adverb,h)\,ἠέ,conjunction,poi=a/,ποῖος,adjective,ge,γε,particle,pro\s,πρός,preposition,a)/llhla,ἀλλήλων,pronoun,suna/ptei,συνάπτω,verb,tw=n,ὁ,article,mori/wn,μόριον,noun,ou)de\,οὐδέ,particle,ta\,ὁ,article,tou=,ὁ,article,xro/nou,χρόνος,noun,u(pome/nei,ὑπομένω,verb,ga\r,γάρ,particle,ou)de\n,οὐδείς,pronoun,tw=n,ὁ,article,tou=,ὁ,article,xro/nou,χρόνος,noun,mori/wn,μόριον,noun,o(\,ὅς,pronoun,de\,δέ,particle,mh/,μή,conjunction,e)stin,εἰμί,verb,u(pome/non,pw=s,πῶς,adverb,a)\n,ἄν,particle,tou=to,οὗτος,pronoun,qe/sin,θέσις,noun,tina\,τις,pronoun,ἔχω,verb,ὑπομένω,verb,e)/xoi,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,ma=llon,μᾶλλον,adverb,ta/cin,τάξις,noun,tina\,τις,pronoun,ei)/pois,εἶπον,verb,a)\n,ἄν,particle,e)/xein,ἔχω,verb,tw=i,τίς,pronoun,to\,ὁ,article,me\n,μέν,particle,pro/teron,πρότερος,adjective,ei)=nai,εἰμί,verb,tou=,ὁ,article,xro/nou,χρόνος,noun,to\,ὁ,article,d',u(/steron,ὕστερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)pi\,ἐπί,preposition,tou=,ὁ,article,a)riqmou=,ἀριθμός,adjective,de\,δέ,particle,w(sau/tws,ὡσαύτως,adverb,tw=i,τίς,pronoun,pro/teron,πρότερος,adjective,a)riqmei=sqai,ἀριθμέω,verb,to\,ὁ,article,e(\n,εἷς,adjective,tw=n,ὁ,article,du/o,δύο,adjective,kai\,καί,conjunction,ta\,ὁ,article,du/o,tw=n,ὁ,article,triw=n,τρεῖς,noun,kai\,καί,conjunction,ou(/tw,οὕτως,adverb,ta/cin,τάξις,noun,a)/n,ἄν,particle,tina,τις,pronoun,e)/xoi,ἔχω,verb,qe/sin,θέσις,noun,de\,δέ,particle,ou),οὐ,adverb,pa/nu,πάνυ,adverb,la/bois,λαμβάνω,verb,a)/n,ἄν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δύο,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
