word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS
w)/imhn,οἴομαι,verb,me/n,μέν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,prosh/kein,προσήκω,verb,ou),οὐ,adverb,ta\s,ὁ,article,toiau/tas,τοιοῦτος,adjective,a)mfisbhtei=sqai,ἀμφισβητέω,verb,poih/seis,ποιέω,verb,ei)/,εἰ,conjunction,tis,τις,pronoun,au)to\s,αὐτός,pronoun,zw=n,ζάω,verb,kai\,καί,conjunction,eu)=,εὖ,adverb,fronw=n,φρονέω,verb,e)poih/sato,ποιέω,verb,kai\,καί,conjunction,e)pi\,ἐπί,preposition,ta\,ὁ,article,i(era\,ἱερά,noun,a)gagw\n,ἄγω,verb,ei)s,εἰς,preposition,tou\s,ὁ,article,suggenei=s,συγγενεύς,noun,a)pe/deice,ἀποδείκνυμι,verb,kai\,καί,conjunction,ei)s,εἰς,preposition,ta\,ὁ,article,koina\,κοινός,adjective,grammatei=a,γραμματεῖον,noun,e)ne/grayen,ἐγγράφω,verb,a(/panq',ἅπας,adjective,o(/sa,ὅσος,adjective,prosh=ken,προσήκω,verb,au)to\s,αὐτός,pronoun,poih/sas,ποιέω,verb,a)ll',ei)/,εἰ,conjunction,tis,τις,pronoun,teleuth/sein,τελευτάω,verb,me/llwn,μέλλω,verb,die/qeto,διατίθημι,verb,ἀλλά,adverb,ei)/,εἰ,conjunction,ti,τις,pronoun,pa/qoi,πάσχω,verb,th\n,ὁ,article,ou)si/an,οὐσία,adjective,e(te/rw|,ἕτερος,adjective,kai\,καί,conjunction,tau=t',οὗτος,pronoun,e)n,ἐν,preposition,gra/mmasi,γράμμα,noun,kate/qeto,κατατίθημι,verb,para/,παρά,preposition,tisi,τις,pronoun,shmhna/menos,σημαίνω,verb,,,,,,
e)kei=non,ἐκεῖνος,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,to\n,ὁ,article,tro/pon,τρόπος,noun,poihsa/menos,ποιέω,verb,fanera\s,φανερός,adjective,kate/sthse,καθίστημι,verb,ta\s,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,boulh/seis,βούλησις,noun,o(/lon,ὅλος,adjective,to\,ὁ,article,pra=gma,πρᾶγμα,noun,e)pikurw/sas,ἐπικυρόω,verb,do/ntwn,δίδωμι,verb,au)tw=|,αὐτός,pronoun,tw=n,ὁ,article,no/mwn,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,d',δέ,particle,e)n,ἐν,preposition,diaqh/kais,διαθήκη,noun,shmhna/menos,σημαίνω,verb,a)dh/lous,ἄδηλος,adjective,e)poi/hse,ποιέω,verb,dio\,διό,conjunction,polloi\,πολύς,adjective,pepla/sqai,πλάσσω,verb,fa/skontes,φάσκω,verb,au)ta\s,αὐτός,pronoun,a)mfisbhtei=n,ἀμφισβητέω,verb,a)ciou=si,ἀξιόω,verb,pro\s,πρός,preposition,tou\s,ὁ,article,poihqe/ntas,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/oike,ἔοικα,verb,d',δέ,particle,ou)de\n,οὐδείς,pronoun,prou)/rgou,προύργου,adjective,tou=to,οὗτος,pronoun,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,ou(/tws,οὕτως,adverb,au)tw=n,αὐτός,pronoun,fanerw=s,φανερός,adjective,pepragme/nwn,πράσσω,verb,o(/mws,ὅμως,conjunction,u(pe\r,ὑπέρ,preposition,th=s,ὁ,article,qugatro\s,θυγάτηρ,adjective,th=s,ὁ,article,*eu)po/lidos,Εὔπολις,proper,h(/kousi,ἥκω,verb,peri\,περί,preposition,tw=n,ὁ,article,*)apollodw/rou,Ἀπολλόδωρος,proper,xrhma/twn,χρῆμα,adjective,pro\s,πρός,preposition,e)me\,ἐγώ,pronoun,a)mfisbhth/sontes,ἀμφισβητέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,ei),εἰ,conjunction,me\n,μέν,particle,e(w/rwn,ὁράω,verb,u(ma=s,σύ,pronoun,ma=llon,μᾶλλον,adverb,a)podexome/nous,ἀποδέχομαι,verb,ta\s,ὁ,article,diamarturi/as,διαμαρτυρία,noun,h)\,ἠέ,conjunction,ta\s,ὁ,article,eu)qudiki/as,εὐθυδικία,noun,ka)\n,κἀν,conjunction,ma/rturas,μάρτυς,noun,prou)balo/mhn,προβάλλω,verb,mh\,μή,conjunction,e)pi/dikon,ἐπίδικος,adjective,ei)=nai,εἰμί,verb,to\n,ὁ,article,klh=ron,κλῆρος,adjective,w(s,ὡς,conjunction,poihsame/nou,ποιέω,verb,me,ἐγώ,pronoun,u(o\n,υἱός,noun,*)apollodw/rou,Ἀπολλόδωρος,proper,kata\,κατά,preposition,tou\s,ὁ,article,no/mous,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,d',δέ,particle,ou),οὐ,adverb,diafeu/gei,διαφεύγω,verb,ta\,ὁ,article,di/kaia,δίκαιος,adjective,mh\,μή,conjunction,ou),οὐ,adverb,kata\,κατά,preposition,tou=ton,οὗτος,pronoun,gignw/skesqai,γιγνώσκω,verb,to\n,ὁ,article,tro/pon,τρόπος,noun,kai\,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
par',παρά,preposition,u(mi=n,σύ,pronoun,au)to\s,αὐτός,pronoun,h(/kw,ἥκω,verb,dialeco/menos,διαλέγω,verb,peri\,περί,preposition,tw=n,ὁ,article,pepragme/nwn,πράσσω,verb,i(/na,ἵνα,conjunction,mhdemi/an,μηδείς,pronoun,h(mi=n,ἐγώ,pronoun,ai)ti/an,αἰτία,noun,peri\,περί,preposition,tou=,ὁ,article,mh\,μή,conjunction,bou/lesqai,βούλομαι,verb,dou=nai,δίδωμι,verb,di/khn,δίκη,adjective,toiau/thn,τοιοῦτος,adjective,e)pife/rwsin,ἐπιφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)podei/cw,ἀποδείκνυμι,verb,de\,δέ,particle,w(s,ὡς,conjunction,ou),οὐ,adverb,mo/non,μόνος,adjective,e)pi\,ἐπί,preposition,toi=s,ὁ,article,e)gguta/tw,ἐγγύτατος,adjective,ge/nous,γένος,noun,to\n,ὁ,article,klh=ron,κλῆρος,adjective,*)apollo/dwros,Ἀπολλόδωρος,proper,ou),οὐ,adverb,katale/loipe,καταλιμπάνω,verb,polla\,πολύς,adjective,kai\,καί,conjunction,deina\,δεινός,adjective,u(po\,ὑπό,preposition,tou/twn,οὗτος,pronoun,a)dikhqei/s,ἀδικέω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,w(s,ὡς,conjunction,e)me\,ἐγώ,pronoun,e)poih/sato,ποιέω,verb,dikai/ws,δίκαιος,adjective,o)/nta,εἰμί,verb,a)delfidou=n,ἀδελφιδέος,noun,kai\,καί,conjunction,mega/la,μέγας,adverb,eu)ergethme/nos,εὐεργετέω,verb,u(f',ὑπό,preposition,h(mw=n,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de/omai,δέομαι,verb,de\,δέ,particle,u(mw=n,σύ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,pa/ntwn,πᾶς,adjective,o(moi/ws,ὅμοιος,adjective,eu)/noia/n,εὔνοια,noun,te/,τε,particle,moi,ἐγώ,pronoun,parasxei=n,παρέχω,verb,ka)\n,κἀν,conjunction,e)pi\,ἐπί,preposition,to\n,ὁ,article,klh=ron,κλῆρος,adjective,a)naidw=s,ἀναιδής,adjective,au)tou\s,αὐτός,pronoun,i)o/ntas,εἶμι,verb,e)cele/gxw,ἐξελέγχω,verb,bohqei=n,βοηθέω,verb,moi,ἐγώ,pronoun,ta\,ὁ,article,di/kaia,δίκαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poih/somai,ποιέω,verb,d',δέ,particle,w(s,ὡς,conjunction,a)\n,ἄν,particle,ka)gw\,ἐγώ,pronoun,du/nwmai,δύναμαι,verb,dia\,διά,preposition,braxuta/twn,βραχύς,adjective,tou\s,ὁ,article,lo/gous,λόγος,noun,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,w(s,ὡς,conjunction,e)/xei,ἔχω,verb,ta\,ὁ,article,geno/mena,γίγνομαι,verb,dida/skwn,διδάσκω,verb,u(ma=s,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*eu)/polis,Εὔπολις,proper,ga/r,γάρ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,kai\,καί,conjunction,*qra/sullos,Θράσυλλος,proper,kai\,καί,conjunction,*mnh/swn,Μνῆσος,proper,a)delfoi\,ἀδελφός,adjective,h)=san,εἰμί,verb,o(momh/trioi,ὁμομήτριος,adjective,kai\,καί,conjunction,o(mopa/trioi,ὁμοπάτριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
