word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/51/@_form,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/lemma/@_entry,word/51/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS
ou(=tos,ἕ,pronoun,proskalei=tai,προσκαλέω,verb,me\n,μέν,particle,periw\n,περίειμι,verb,pa/ntas,πᾶς,adjective,a)nqrw/pous,ἄνθρωπος,noun,tw=n,ὁ,article,d',δέ,particle,o(/soi,ὅσος,adjective,me\n,μέν,particle,a)\n,ἄν,particle,mh\,μή,conjunction,didw=sin,δίδημι,verb,au)tw=|,αὐτός,pronoun,a)rgu/rion,ἀργύριον,adjective,kri/nei,κρίνω,verb,kai\,καί,conjunction,kathgorei=,κατηγορέω,verb,o(po/soi,ὁπόσος,adjective,d',δέ,particle,a)\n,ἄν,particle,e)qe/lwsin,ἐθέλω,verb,a)poti/nein,ἀποτίνω,verb,a)fi/hsin,ἀφίημι,verb,to\,ὁ,article,d',δέ,particle,a)rgu/rion,ἀργύριον,adjective,*qeomnh/stw|,Θεόμνηστος,proper,di/dwsin,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,ei=,εἶμι,verb,nos,,,de\,δέ,particle,lamba/nwn,λαμβάνω,verb,a)ndra/poda,ἀνδράποδον,noun,a)gora/zei,ἀγοράζω,verb,kai\,καί,conjunction,pare/xei,παραχέω,verb,w(/sper,ὥσπερ,adverb,toi=s,ὁ,article,lh|stai=s,ληιστής,noun,e)pisitismo/n,ἐπισιτισμός,noun,kai\,καί,conjunction,di/dwsi,δίδωμι,verb,tou/tw|,οὗτος,pronoun,u(pe\r,ὑπέρ,preposition,e(ka/stou,ἕκαστος,adjective,tou=,ὁ,article,a)ndrapo/dou,ἀνδράποδον,noun,o)bolo\n,ὀβολός,noun,th=s,ὁ,article,h(me/ras,ἡμέρα,noun,o(/pws,ὅπως,conjunction,a)\n,ἄν,particle,h)=|,εἰμί,verb,a)qa/natos,ἀθάνατος,adjective,sukofa/nths,συκοφάντης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/cion,ἄξιος,adjective,d',δέ,particle,e)sti/n,εἰμί,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,ka)kei=qen,ἐκεῖθεν,adverb,e)ceta/sai,ἐξετάζω,verb,to\,ὁ,article,pra=gma,πρᾶγμα,noun,a)f',ἀπό,preposition,w(=n,ὅς,pronoun,e)n,ἐν,preposition,tw=|,ὁ,article,dh/mw|,δῆμος,noun,to\,ὁ,article,prw=ton,πρότερος,adjective,au)toi\,αὐτός,pronoun,eu)qu\s,εὐθύς,adverb,h)|tia/santo,αἰτιάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,ga\r,γάρ,particle,oi(,ὁ,article,oi)kei=oi,οἰκεῖος,adjective,a)pe/steilan,ἀποστέλλω,verb,gra/yantes,γράφω,verb,th/n,ὁ,article,te,τε,particle,ei)saggeli/an,εἰσαγγελία,noun,kai\,καί,conjunction,ta\s,ὁ,article,ai)ti/as,αἰτία,noun,a(\s,ὅς,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,e)kklhsi/a|,ἐκκλησία,noun,h)|tia/santo/,αἰτιάομαι,verb,me,ἐγώ,pronoun,o(/te,ὅτε,conjunction,th\n,ὁ,article,ei)saggeli/an,εἰσαγγελία,noun,e)di/dosan,δίδωμι,verb,e)n,ἐν,preposition,ai(=s,ὅς,pronoun,h)=n,εἰμί,verb,gegramme/non,γράφω,verb,o(/ti,ὅστις,pronoun,*lukou=rgos,Λυκοῦργος,proper,le/gei,λέγω,verb,fa/skwn,φάσκω,verb,tw=n,ὁ,article,oi)kei/wn,οἰκεῖος,adjective,a)khkoe/nai,ἀκούω,verb,w(s,ὡς,conjunction,e)gw\,ἐγώ,pronoun,parakolouqw=n,παρακολουθέω,verb,o(/te,ὅτε,conjunction,*xa/rippos,Χάριππος,proper,e)ga/mei,γαμέω,verb,th\n,ὁ,article,gunai=ka,γυνή,noun,parekeleuo/mhn,παρακελεύομαι,verb,au)th=|,αὐτός,pronoun,o(/pws,ὅπως,conjunction,mh\,μή,conjunction,plhsia/sei,πλησιάζω,verb,*xari/ppw|,Χάριππος,proper,a)lla\,ἀλλά,adverb,diafula/cei,διαφυλάσσω,verb,au(th/n,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,a(\,ὅς,pronoun,kai\,καί,conjunction,pro\s,πρός,preposition,tou\s,ὁ,article,e)pithdei/ous,ἐπιτήδειος,adjective,kai\,καί,conjunction,pro\s,πρός,preposition,tou\s,ὁ,article,oi)kei/ous,οἰκεῖος,adjective,tou\s,ὁ,article,e)mautou=,ἐμαυτοῦ,pronoun,eu)qu\s,εὐθύς,adverb,h(/kwn,ἥκω,verb,e)/legon,λέγω,verb,kai\,καί,conjunction,nu=n,νῦν,adverb,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,le/gw,λέγω,verb,o(/ti,ὅστις,pronoun,ei),εἰ,conjunction,e)/stin,εἰμί,verb,tau=ta,οὗτος,pronoun,a)lhqh=,ἀληθής,adjective,o(mologw=,ὁμολογέω,verb,kai\,καί,conjunction,ta)=lla,ἄλλος,adjective,pa/nta,πᾶς,adjective,pepoihke/nai,ποιέω,verb,ta\,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,ei)saggeli/a|,εἰσαγγελία,noun,gegramme/na,γράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,de\,δέ,particle,yeudh=,ψευδής,adverb,e)stin,εἰμί,verb,r(a/|dion,ῥαίδιον,noun,oi)=mai,οἴομαι,verb,ei)=nai,εἰμί,verb,a(/pasin,ἅπας,adjective,i)dei=n,εἶδον,verb,ti/s,τίς,pronoun,ga\r,γάρ,particle,ou(/tws,οὕτως,adverb,e)sti\,εἰμί,verb,tw=n,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,a)lo/gistos,ἀλόγιστος,adjective,o(/s,ὅς,pronoun,tis,τις,pronoun,a)\n,ἄν,particle,pisteu/sai,πιστεύω,verb,tou/tois,τις,pronoun,toi=s,ὁ,article,lo/gois,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)na/gkh,ἀνάγκη,noun,ga/r,γάρ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,prw=ton,πρότερος,adjective,me\n,μέν,particle,o)rewko/mon,ὀρεωκόμος,noun,kai\,καί,conjunction,prohghth\n,προηγητής,noun,a)kolouqei=n,ἀκολουθέω,verb,tw=|,ὁ,article,zeu/gei,ζεῦγος,noun,o(\,ὅς,pronoun,h)=gen,ἄγω,verb,th\n,ὁ,article,gunai=ka,γυνή,noun,e)/peita,ἔπειτα,adverb,de\,δέ,particle,pai=das,παῖς,adjective,tou\s,ὁ,article,prope/mpontas,προπέμπω,verb,au)th\n,αὐτός,pronoun,a)kolouqei=n,ἀκολουθέω,verb,kai\,καί,conjunction,*diw/cippon,Διώξιππος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,ou(=tos,οὗτος,pronoun,h)kolou/qei,ἀκολουθέω,verb,dia\,διά,preposition,to\,ὁ,article,xh/ran,χήρα,noun,e)kdi/dosqai,ἐκδίδωμι,verb,au)th/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=t',εἶτα,adverb,e)gw\,ἐγώ,pronoun,ei)s,εἰς,preposition,tou=to,οὗτος,pronoun,a)ponoi/as,ἀπόνοια,noun,h)=lqon,ἔρχομαι,verb,w(/ste,ὥστε,conjunction,a)/llwn,ἄλλος,adjective,te,τε,particle,tosou/twn,τοσοῦτος,adjective,a)nqrw/pwn,ἄνθρωπος,noun,sunakolouqou/ntwn,συνακολουθέω,verb,kai\,καί,conjunction,*diwci/ppou,Διώξιππος,proper,kai\,καί,conjunction,*eu)frai/ou,,,tou=,ὁ,article,prosgumnastou=,προσγυμναστής,noun,au)tou=,αὐτός,pronoun,oi(\,ἕ,pronoun,tw=n,ὁ,article,*(ellh/nwn,Ἕλλην,proper,o(mologoume/nws,ὁμολογουμένως,adverb,i)sxuro/tatoi/,ἰσχυρός,adjective,ei)sin,εἰμί,verb,ou)/,οὐ,adverb,t,,,h)|sxuno/mhn,αἰσχύνω,verb,toiou/tous,τοιοῦτος,adjective,lo/gous,λόγος,noun,le/gwn,λέγω,verb,peri\,περί,preposition,gunaiko\s,γυνή,noun,e)leuqe/ras,ἐλεύθερος,adjective,pa/ntwn,πᾶς,adjective,a)kouo/ntwn,ἀκούω,verb,ou)/t',οὔτε,adverb,e)dedi/ein,δείδω,verb,mh\,μή,conjunction,paraxrh=ma,παραχρῆμα,adverb,a)po/lwmai,ἀπόλλυμι,verb,pnigo/menos,πνίγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,ga\r,γάρ,particle,a)\n,ἄν,particle,h)ne/sxeto,ἀνέχω,verb,toiau=ta,σύ,pronoun,peri\,περί,preposition,th=s,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,a)delfh=s,ἀδελφή,noun,a)kou/wn,ἀκούω,verb,oi(=a/,οἷος,adjective,me,ἐγώ,pronoun,ou(=toi,οὗτος,pronoun,ai)tiw=ntai,αἰτιάομαι,verb,ei)rhke/nai,ἐρῶ,verb,kai\,καί,conjunction,ou)k,οὐ,adverb,a)\n,ἄν,particle,a)pe/kteine,ἀποκτείνω,verb,to\n,ὁ,article,le/gonta,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,kefa/laion,κεφάλαιος,adjective,a(pa/ntwn,ἅπας,adjective,w(s,ὡς,conjunction,kai\,καί,conjunction,mikrw=|,μικρός,adjective,pro/teron,πρότερος,adjective,ei)=pon,εἶπον,verb,ei)s,εἰς,preposition,tou=to,οὗτος,pronoun,a)naisqhsi/as,ἀναισθησία,noun,o(,ὁ,article,*xa/rippos,Χάριππος,proper,w(s,ὡς,conjunction,e)/oiken,ἔοικα,verb,h)=lqen,ἔρχομαι,verb,w(/ste,ὥστε,conjunction,pro/teron,πρότερος,adjective,me/n,μέν,particle,w(/s,ὡς,conjunction,fasin,φημί,verb,th=s,ὁ,article,gunaiko\s,γυνή,noun,prolegou/shs,προλέγω,verb,o(/ti,ὅστις,pronoun,sunomwmokui=a,συνόμνυμι,verb,ei)/h,ἀίω,verb,pro\s,πρός,preposition,e)me/,ἐγώ,pronoun,pa/lin,πάλιν,adverb,de\e\,δέ,particle,a)kou/wn,ἀκούω,verb,e)mou=,ἐγώ,pronoun,para,,,keleume/no,,,u,,,au)th=|,αὐτός,pronoun,o(/pws,ὅπως,conjunction,e)mmei/neien,ἐμμένω,verb,toi=s,ὁ,article,o(/rkois,ὅρκος,noun,oi(=s,ἕ,pronoun,w)/mosen,ὄμνυμι,verb,e)la/mbane,λαμβάνω,verb,th\n,ὁ,article,gunai=ka,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau=ta,οὗτος,pronoun,dokei=,δοκέω,verb,a)\n,ἄν,particle,u(mi=n,σύ,pronoun,h)\,ἠέ,conjunction,*)ore/sths,Ὀρέστης,proper,e)kei=nos,ἐκεῖνος,pronoun,o(,ὁ,article,maino/menos,μαίνομαι,verb,poih=sai,ποιέω,verb,h)\,ἠέ,conjunction,*margi/ths,Μαργίτης,proper,o(,ὁ,article,pa/ntwn,πᾶς,adjective,a)belterw/tatos,ἀβέλτερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,oi)=mai,οἴομαι,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,polla\,πολύς,adjective,pleonektou=sin,πλεονεκτέω,verb,e)n,ἐν,preposition,toi=s,ὁ,article,a)gw=sin,ἀγών,noun,oi(,ὁ,article,kath/goroi,κατήγορος,noun,tw=n,ὁ,article,feugo/ntwn,φεύγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,dia\,διά,preposition,to\,ὁ,article,a)ki/ndunon,ἀκίνδυνος,adjective,au)toi=s,αὐτός,pronoun,ei)=nai,εἰμί,verb,to\n,ὁ,article,a)gw=na,ἀγών,noun,r(a|di/ws,ῥᾴδιος,adjective,o(/,ὅς,pronoun,ti,τις,pronoun,a)\n,ἄν,particle,bou/lwntai,βούλομαι,verb,le/gousi,λέγω,verb,kai\,καί,conjunction,katayeu/dontai,καταψεύδομαι,verb,oi(,ὁ,article,de\,δέ,particle,krino/menoi,κρίνω,verb,dia\,διά,preposition,to\n,ὁ,article,fo/bon,φόβος,noun,polla\,πολύς,adjective,kai\,καί,conjunction,tw=n,ὁ,article,pepragme/nwn,πράσσω,verb,au)toi=s,αὐτός,pronoun,ei)pei=n,εἶπον,verb,e)pilanqa/nontai,ἐπιλανθάνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,oi(,ἕ,pronoun,me\n,μέν,particle,e)peida\n,ἐπειδάν,conjunction,pro/teron,πρότερος,adjective,lo/gon,λόγος,noun,la/bwsin,λαμβάνω,verb,ou),οὐ,adverb,mo/non,μόνος,adjective,a(\,ὅς,pronoun,e)/xousin,ἔχω,verb,au)toi\,αὐτός,pronoun,di/kaia,δίκαιος,adjective,peri\,περί,preposition,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,le/gousin,λέγω,verb,a)lla\,ἀλλά,adverb,suskeua/santes,συσκευάζω,verb,loidori/as,λοιδορία,noun,yeudei=s,ψευδής,adverb,kata\,κατά,preposition,tw=n,ὁ,article,krinome/nwn,κρίνω,verb,e)cista=sin,ἐξίστημι,verb,th=s,ὁ,article,a)pologi/as,ἀπολογία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,sumbai/nein,συμβαίνω,verb,au)toi=s,αὐτός,pronoun,duoi=n,δύο,adjective,to\,ὁ,article,e(/teron,ἕτερος,adjective,h)\,ἠέ,conjunction,peri\,περί,preposition,tw=n,ὁ,article,e)/cwqen,ἔξωθεν,adverb,diabolw=n,διαβολή,noun,a)pologoume/nois,ἀπολογέομαι,verb,th=s,ὁ,article,peri\,περί,preposition,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,a)pologi/as,ἀπολογία,noun,a)polelei=fqai,ἀπολείπω,verb,h)\,ἠέ,conjunction,mh\,μή,conjunction,memnhme/nois,μιμνήσκω,verb,tw=n,ὁ,article,prokathgorhqe/ntwn,προκατηγορέω,verb,oi)/hsin,ὄις,noun,katalei/pein,καταλιμπάνω,verb,para\,παρά,preposition,toi=s,ὁ,article,dikastai=s,δικαστής,noun,o(/ti,ὅστις,pronoun,a)lhqh=,ἀληθής,adjective,e)stin,εἰμί,verb,ta\,ὁ,article,ei)rhme/na,ἐρῶ,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,de\e\,δέω,verb,tou/tois,τις,pronoun,tou/s,ὁ,article,te,τε,particle,me/llontas,μέλλω,verb,bohqei=n,βοηθέω,verb,toi=s,ὁ,article,feu/gousi,φεύγω,verb,prodiaba/llousi,προδιαβάλλω,verb,kai\,καί,conjunction,au)tou=,αὐτός,pronoun,tou=,ὁ,article,krinome/nou,κρίνω,verb,th\n,ὁ,article,a)pologi/an,ἀπολογία,noun,diastre/fousin,διαστρέφω,verb,oi(=on,οἷος,adjective,kai\,καί,conjunction,*)ari/stwn,Ἄριστος,proper,ou(tosi\,οὗτος,pronoun,e)nexei/rhse,ἐγχειρέω,verb,poih=sai,ποιέω,verb,e)n,ἐν,preposition,th=|,ὁ,article,kathgori/a|,κατηγορία,noun,o(\s,ὅς,pronoun,ou)d',οὐδέ,particle,a)polau/ein,ἀπολαύω,verb,di/dwsi,δίδωμι,verb,tw=n,ὁ,article,a)nabaino/ntwn,ἀναβαίνω,verb,u(pe\r,ὑπέρ,preposition,e)mou=,ἐγώ,pronoun,kai\,καί,conjunction,sunapologhsome/nwn,συναπολογέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,ti/,τίς,pronoun,d',δέ,particle,ou(=toi,οὗτος,pronoun,mh\,μή,conjunction,a)pologw=ntai,ἀπολογέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
