word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS
spa/nion,σπάνιος,adjective,d',δέ,particle,h)=n,εἰμί,verb,u(po\,ὑπό,preposition,tw=n,ὁ,article,peri\,περί,preposition,to\,ὁ,article,sw=ma,σῶμα,adjective,trikumiw=n,τρικυμία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=t',οὗτος,pronoun,ou)=n,οὖν,particle,e)nqumou/menos,ἐνθυμέομαι,verb,e)gnw/kein,γιγνώσκω,verb,pare/xein,παρέχω,verb,w(s,ὡς,conjunction,a)lhqw=s,ἀληθής,adjective,w(/sper,ὥσπερ,adverb,i)atrw=|,ἰατρός,noun,tw=|,ὁ,article,qew=|,θεός,noun,sigh=|,σιγή,noun,poiei=n,ποιέω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,bou/letai,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,w(s,ὡς,conjunction,e)/sxe,ἔχω,verb,to\,ὁ,article,tou=,ὁ,article,h)/trou,ἦτρον,noun,dhlw=sai,δηλόω,verb,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,bou/lomai,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logiou=mai,λογίζομαι,verb,de\,δέ,particle,e(/kasta,ἕκαστος,adjective,pro\s,πρός,preposition,h(me/ran,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,me\n,μέν,particle,ga\r,γάρ,particle,*poseidew\n,Ποσειδεών,proper,mh\n,μήν,particle,i)/ste,οἶδα,verb,oi(/ou,οἷος,adjective,xeimw=nos,χειμών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/kamne,κάμνω,verb,de\,δέ,particle,o(,ὁ,article,sto/maxos,στόμαχος,noun,ta\s,ὁ,article,nu/ktas,νύξ,adjective,kai\,καί,conjunction,a)grupni/ai,ἀγρυπνία,noun,h)=san,εἰμί,verb,u(perfuei=s,ὑπερφύομαι,verb,w(/ste,ὥστε,conjunction,ou)de\,οὐδέ,particle,ta\,ὁ,article,braxu/tata,βραχύς,adjective,pe/ttein,πέσσω,verb,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)ti/a,αἰτία,noun,d',δέ,particle,ou)x,οὐ,adverb,h(/kista,ἥκιστος,adjective,h(,ὁ,article,sune/xeia,συνέχεια,noun,tw=n,ὁ,article,xeimw/nwn,χειμών,noun,h(\n,ὅς,pronoun,ou)de\,οὐδέ,particle,ke/ramos,κέραμος,noun,ou)dei\s,οὐδείς,pronoun,e)ne/gkai,φέρω,verb,e)le/geto,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,kai\,καί,conjunction,o(,ὁ,article,i(drw\s,ἱδρώς,noun,e)/sth,ἵστημι,verb,pa/nta,πᾶς,adjective,tou=ton,οὗτος,pronoun,to\n,ὁ,article,xro/non,χρόνος,noun,plh\n,πλήν,preposition,o(/sa,ὅσος,adjective,loume/nw|,λόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dwdeka/th|,δωδέκατος,adjective,de\,δέ,particle,tou=,ὁ,article,mhno\s,μείς,adjective,a)lousi/an,ἀλουσία,noun,prosta/ttei,προστάσσω,verb,o(,ὁ,article,qeo\s,θεός,noun,kai\,καί,conjunction,th=|,ὁ,article,u(sterai/a|,ὑστεραῖος,adjective,to\,ὁ,article,au)to\,αὐτός,pronoun,tou=to,οὗτος,pronoun,kai\,καί,conjunction,th=|,ὁ,article,met',μετά,preposition,e)kei/nhn,ἐκεῖνος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau/tas,οὗτος,pronoun,trei=s,τρέω,verb,h(me/ras,ἡμέρα,noun,e(ch=s,ἑξῆς,adverb,dih/gagon,διάγω,verb,pantelw=s,παντελής,adverb,a)nidrwti\,ἀνιδρωτί,adverb,nu/kta,νύξ,adjective,kai\,καί,conjunction,h(me/ran,ἡμέρα,noun,w(/ste,ὥστε,conjunction,mhde\,μηδέ,particle,xitwni/skou,χιτωνίσκος,adjective,deh=sai,δέω,verb,metalabei=n,μεταλαμβάνω,verb,kai\,καί,conjunction,ou)/pw,οὔπω,adverb,pro/sqen,πρόσθεν,adverb,e)mautou=,ἐμαυτοῦ,pronoun,r(a/|onos,ῥᾴδιος,adjective,h)|sqo/mhn,ἀίσθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dih/gagon,διάγω,verb,de\,δέ,particle,peripa/tw|,περίπατος,noun,xrw/menos,χράομαι,verb,kat',κατά,preposition,oi)ki/an,οἰκία,noun,kai\,καί,conjunction,a(/ma,ἅμα,adverb,paidia=|,παιδιή,noun,oi(=a,οἷος,adjective,e(ortw=n,ἑορτή,adjective,ou)sw=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,h(,ὁ,article,tou=,ὁ,article,qeou=,θεός,noun,pannuxi\s,παννυχίς,noun,e)gkateilh/fei,ἐγκαταλαμβάνω,verb,th\n,ὁ,article,prote/ran,πρότερος,adjective,e(orth\n,ἑορτή,adjective,th\n,ὁ,article,tou=,ὁ,article,*poseidw=nos,Ποσειδῶν,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,μετά,preposition,de\,δέ,particle,tou=to,οὗτος,pronoun,o)/nar,ὄναρ,noun,gi/gnetai,γίγνομαι,verb,e)/xon,ἔχω,verb,me/n,μέν,particle,tina,τις,pronoun,e)/nnoian,ἔννοια,noun,loutrou=,λουτρόν,noun,ou),οὐ,adverb,me/ntoi,μέντοι,particle,xwri/s,χωρίς,adverb,ge,γε,particle,u(ponoi/as,ὑπόνοια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)do/koun,δοκέω,verb,ti,τις,pronoun,kai\,καί,conjunction,molunqh=nai,μολύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/mws,ὅμως,conjunction,de\,δέ,particle,e)/doce,δοκέω,verb,lou/sasqai,λούω,verb,pa/ntws,πάντως,adverb,d',δέ,particle,ei),εἰ,conjunction,kai\,καί,conjunction,tw=|,ὁ,article,o)/nti,εἰμί,verb,tou=t',οὗτος,pronoun,e)pepo/nqein,πάσχω,verb,u(/datos,ὕδωρ,noun,dei=n,δέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)qu/s,εὐθύς,adverb,te,τε,particle,ou)=n,οὖν,particle,ou)x,οὐ,adverb,w(s,ὡς,conjunction,h(/dista,ἡδύς,adjective,e)/sxon,ἔχω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,balanei/w|,βαλανεῖον,noun,kai\,καί,conjunction,e)peidh\,ἐπεί,conjunction,e)panh=lqon,ἐπανέρχομαι,verb,e)do/kei,δοκέω,verb,pa/nta,πᾶς,adjective,plh/rh,πλήρης,adverb,ei)=nai,εἰμί,verb,kai\,καί,conjunction,to\,ὁ,article,pneu=ma,πνεῦμα,noun,oi(=on,οἷος,adjective,a)sqmai/nontos,ἀσθμαίνω,verb,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,e)p',ἐπί,preposition,a)rxh=|,ἀρχή,noun,th=s,ὁ,article,trofh=s,τροφεύς,noun,eu)qu\s,εὐθύς,adverb,e)pausa/mhn,ἐπαύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diafqora\,διαφθορά,noun,meta\,μετά,preposition,tou=to,οὗτος,pronoun,e)k,ἐκ,preposition,nukto\s,νύξ,adjective,kai\,καί,conjunction,proh=lqen,προέρχομαι,verb,ei)s,εἰς,preposition,tou=to,οὗτος,pronoun,w(/ste,ὥστε,conjunction,mo/lis,μόλις,adverb,kate/sth,καθίστημι,verb,pro\,πρό,preposition,meshmbri/as,μεσημβρία,noun,mikro/n,μικρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)/yis,ὄψις,noun,de\,δέ,particle,o)nei/ratos,ὄνειρος,noun,ou(twsi/,οὑτωσί,adverb,pws,πως,particle,ei)=xen,ἔχω,verb,w(s,ὡς,conjunction,a)/ra,ἄρα,particle,ei)/hn,εἰμί,verb,e)n,ἐν,preposition,u(/dasi,ὕδωρ,noun,qermoi=s,θερμός,adjective,prokekufw\s,προκύπτω,verb,de\,δέ,particle,ei)s,εἰς,preposition,to\,ὁ,article,pro/sqen,πρόσθεν,adverb,o(rw/|hn,ὁράω,verb,ta\,ὁ,article,ka/tw,κάτος,adjective,th=s,ὁ,article,koili/as,κοιλία,noun,a)topw/teron,ἄτοπος,adjective,diakei/mena,διάκειμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)bouleusa/mhn,βουλεύω,verb,me\n,μέν,particle,dh\,δή,particle,mei=nai,μένω,verb,e)p',ἐπί,preposition,a)lousi/as,ἀλουσία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
