word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/20/lemma/@_entry,word/20/lemma/@_POS,word/22/lemma/@_entry,word/22/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/52/lemma/@_entry,word/52/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS
sunaspismo\s,συνασπισμός,noun,de\,δέ,particle,e)pa\n,ἐπάν,conjunction,e)s,εἰς,preposition,toso/nde,τοσόσδε,adjective,puknw/sh|s,πυκνάζω,verb,th\n,ὁ,article,fa/lagga,φάλαγξ,noun,w(/ste,ὥστε,conjunction,dia\,διά,preposition,th\n,ὁ,article,sune/xeian,συνέχεια,noun,mhde\,μηδέ,particle,kli/sin,κλίσις,adjective,th\n,ὁ,article,e)f',ἐπί,preposition,e(ka/tera,ἑκάτερος,adjective,e)/t',ἔτι,adverb,e)gxwrei=n,ἐγχωρέω,verb,th\n,ὁ,article,ta/cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τάξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,a)po\,ἀπό,preposition,tou=de,ὅδε,pronoun,tou=,ὁ,article,sunaspismou=,συνασπισμός,noun,th\n,ὁ,article,xelw/nhn,χελώνη,noun,*(rwmai=oi,,,poiou=ntai,ποιέω,verb,to\,ὁ,article,polu\,πολύς,adjective,me\n,μέν,particle,tetra/gwnon,τετράγωνος,adjective,e)/sti,εἰμί,verb,de\,δέ,particle,o(/pou,ὅπου,adverb,kai\,καί,conjunction,stroggu/lhn,στρογγύλος,adjective,h)\,ἠέ,conjunction,e(teromh/kh,ἑτερομήκης,adjective,h)\,o(/pws,ὅπως,conjunction,a)\n,proxwrh=|,προχωρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἠέ,conjunction,ἄν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,me\n,μέν,particle,e)n,ἐν,preposition,ku/klw|,κύκλος,noun,tou=,ὁ,article,plinqi/ou,πλινθίον,noun,h)\,ἠέ,conjunction,tou=,ὁ,article,ku/klou,κύκλος,noun,e(sthko/tes,ἵστημι,verb,tou\s,ὁ,article,qureou\s,θυρεός,noun,probe/blhntai,προβάλλω,verb,pro\,πρό,preposition,sfw=n,σφεῖς,pronoun,oi(,ἕ,pronoun,d',δέ,particle,e)festhko/tes,ἐφίστημι,verb,au)toi=s,αὐτός,pronoun,u(pe\r,ὑπέρ,preposition,tw=n,kefalw=n,κεφαλή,noun,a)/llos,u(pe\r,ὑπέρ,preposition,a)/llou,ἄλλος,adjective,u(peraiwrh/sas,ὑπεραιωρέομαι,verb,proba/lletai,προβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ἄλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\,ὁ,article,pa=n,πᾶς,adjective,ou(/tws,οὕτως,adverb,a)kribw=s,ἀκριβῶς,adverb,fra/ssetai,φράσσω,verb,w(/ste,ὥστε,conjunction,kai\,καί,conjunction,a)kontista\s,ἀκοντιστής,noun,a)/nwqen,ἄνωθεν,adverb,kaqa/per,καθά,adverb,e)pi\,ἐπί,preposition,ste/ghs,στέγη,noun,diaqe/ontas,διαθέω,verb,de/xesqai,δέχομαι,verb,kai\,καί,conjunction,li/qou,λίθος,adjective,a(maciai/ous,ἁμαξιαῖος,adjective,mh\,μή,conjunction,dialu/ein,διαλύω,verb,th\n,su/gkleisin,σύγκλεισις,adjective,a)lla\,katakuliome/nous,κατακυλίω,verb,th=|,ὁ,article,r(u/mh|,ῥύμη,adjective,u(perpi/ptein,ὑπερπίπτω,verb,e)s,εἰς,preposition,to\,ὁ,article,da/pedon,δάπεδον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ἀλλά,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)gaqo\n,ἀγαθός,adjective,de\,δέ,particle,ei)/per,εἴπερ,conjunction,ti,τις,pronoun,a)/llo,ἄλλος,adjective,kai\,καί,conjunction,to\,ὁ,article,tou\s,ὁ,article,loxagou\s,λοχαγός,adjective,tou\s,ὁ,article,megi/stous,μέγας,adverb,te,τε,particle,kai\,καί,conjunction,krati/stous,κράτιστος,adjective,ei)=nai,εἰμί,verb,kai\,καί,conjunction,tw=n,ὁ,article,kata\,κατά,preposition,po/lemon,πόλεμος,noun,dahmonesta/tous,δαήμων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,ga/r,γάρ,particle,toi,σύ,pronoun,to\,ὁ,article,zugo\n,ζυγόν,noun,sune/xei,συγχέω,verb,th\n,ὁ,article,pa=san,πᾶς,adjective,fa/lagga,φάλαγξ,noun,kai\,καί,conjunction,to\,ὁ,article,i)/son,ἴσος,adjective,pare/xetai,παρέχω,verb,e)n,ἐν,preposition,tai=s,ὁ,article,ma/xais,μάχη,noun,o(/,ὅς,pronoun,ti,τις,pronoun,per,πέρ,particle,to\,ὁ,article,sto/mwma,tw=|,ὁ,article,sidh/rw|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,στόμωμα,noun,σίδηρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(koi=on,ὁποῖος,adjective,ga\r,γάρ,particle,h(,ὁ,article,tomh\,τομή,noun,tou=,ὁ,article,sidh/rou,σίδηρον,noun,tau)to\,αὐτός,pronoun,tou=to,οὗτος,pronoun,kai\,καί,conjunction,o(,ὁ,article,pa=s,πᾶς,adjective,si/dhros,σίδηρος,noun,e)rga/zetai,ἐργάζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,me/n,μέν,particle,ge,γε,particle,tomh\,τομή,noun,au)tw=|,αὐτός,pronoun,kata\,κατά,preposition,to\,ὁ,article,sto/mwma,στόμωμα,noun,gi/gnetai,γίγνομαι,verb,to\,ὁ,article,de\,δέ,particle,u(po/loipon,ὑπόλοιπος,adjective,kai\,καί,conjunction,ei),εἰ,conjunction,malqako\n,μαλθακός,adjective,tu/xoi,τυγχάνω,verb,o)/n,εἰμί,verb,tw=|,ὁ,article,ba/rei,βάρος,noun,o(/mws,ὅμως,conjunction,suneperei/dei,tw=|,ὁ,article,te/mnonti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τέμνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,kai\,καί,conjunction,th=s,ὁ,article,fa/laggos,φάλαγξ,noun,sto/mwma,στόμωμα,noun,me\n,μέν,particle,qei/h,τίθημι,verb,tis,τις,pronoun,a)\n,ἄν,particle,to\,ὁ,article,e)k,ἐκ,preposition,tw=n,ὁ,article,loxagw=n,λοχαγός,adjective,su/ntagma,σύνταγμα,noun,o)/gkon,ὄγκος,noun,de\,δέ,particle,kai\,καί,conjunction,ba/ros,βάρος,noun,to\,ὁ,article,kato/pin,κατόπιν,adverb,tou/twn,plh=qos,πλῆθος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deute/rous,δεύτερος,adjective,d',δέ,particle,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,kat',κατά,preposition,a)reth\n,ἀρετή,noun,xrh\,χρή,verb,ei)=nai,εἰμί,verb,tou\s,ὁ,article,tw=n,ὁ,article,loxagw=n,λοχαγός,adjective,e)pista/tas,ἐπιστάτη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,to\,ὁ,article,tou/twn,οὗτος,pronoun,do/ru,δόρυ,noun,e)ciknei=tai,ἐξικνέομαι,verb,e)/ste,εἰμί,verb,e)pi\,ἐπί,preposition,tou\s,ὁ,article,polemi/ous,πολέμιος,adjective,kai\,καί,conjunction,tou\s,ὁ,article,w)qismou\s,ὠθισμός,noun,toi=s,ὁ,article,protetagme/nois,προτάσσω,verb,sfw=n,σφεῖς,pronoun,e)ggu/qen,ἐγγύθεν,adverb,sunerei/dousin,συνερείδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/dh,ἤδη,adverb,de/,δέ,particle,tis,τις,pronoun,kai\,καί,conjunction,maxai/ra|,μάχαιρα,noun,tou=,ὁ,article,e)nanti/ou,ἐναντίος,adjective,e)fike/sqai,ἐφικνέομαι,verb,e)dunh/qh,δύναμαι,verb,u(perenegkw\n,ὑπερφέρω,verb,u(pe\r,ὑπέρ,preposition,to\n,ὁ,article,e)/mprosqen,ἔμπροσθεν,adverb,tetagme/non,τάσσω,verb,th\n,ὁ,article,plhgh/n,πληγή,noun,kai\,καί,conjunction,peso/ntos,πίπτω,verb,h(gemo/nos,ἡγεμών,noun,h)\,ἠέ,conjunction,kai\,trwqe/ntos,τιτρώσκω,verb,w(s,a)po/maxon,ἀπόμαχος,adjective,gene/sqai,γίγνομαι,verb,prophdh/sas,προέπειμι,verb,o(,ὁ,article,prw=tos,πρότερος,adjective,e)pista/ths,ἐπιστάτη,noun,e)s,εἰς,preposition,loxagou=,λοχαγός,adjective,ta/cin,τάξις,noun,te,τε,particle,kai\,καί,conjunction,a)ci/wsin,ἀξίωσις,noun,kate/sth,καθίστημι,verb,kai\,καί,conjunction,a)rragh=,ἀρραγής,adverb,th\n,ὁ,article,pa=san,πᾶς,adjective,fa/lagga,φάλαγξ,noun,pare/sxeto,παρέχω,verb,καί,conjunction,ὡς,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,tri/ton,τρίτος,adjective,kai\,καί,conjunction,te/tarton,τέταρτος,adjective,zugo\n,ζυγόν,noun,kata\,κατά,preposition,lo/gon,λόγος,noun,h)/dh,ἤδη,adverb,th=s,ὁ,article,a)po\,ἀπό,preposition,tou=,ὁ,article,prw/tou,πρότερος,adjective,a)posta/sews,ἀπόστασις,noun,e)pilegome/nous,ἐπιλέγω,verb,takte/on,τακτέον,adjective,tau/th|,οὗτος,pronoun,toi,τοι,particle,kai\,καί,conjunction,h(,ὁ,article,*makedonikh\,fa/lagc,φάλαγξ,noun,fobera\,toi=s,ὁ,article,polemi/ois,πολέμιος,adjective,ou)k,οὐ,adverb,e)n,ἐν,preposition,tw=|,ὁ,article,e)/rgw|,ἔργον,noun,mo/non,μόνος,adjective,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,e)n,ἐν,preposition,th=|,ὁ,article,o)/yei,ὄψις,noun,e)fai/neto,φαίνω,verb,,,,,,,,,,,,,,,,,,,Μακεδονικός,adjective,φοβερός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nh\r,ἀνήρ,noun,ga\r,γάρ,particle,o(pli/ths,ὁπλίτης,noun,ei(sth/kei,ἵστημι,verb,au)toi=s,αὐτός,pronoun,kata\,κατά,preposition,pu/knwsin,πύκνωσις,noun,e)n,ἐν,preposition,du/o,δύο,adjective,ph/xesi,πῆχυς,noun,ma/lista,μάλιστα,adverb,to\,ὁ,article,de\,δέ,particle,me/geqos,μέγεθος,adjective,tw=n,ὁ,article,sarisw=n,σάρισα,noun,po/das,πούς,noun,e)pei=xen,ἐπέχω,verb,e(kkai/deka,ἑκκαίδεκα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou/twn,οὗτος,pronoun,oi(,ὁ,article,me\n,μέν,particle,te/ssares,τέσσαρες,noun,dia\,διά,preposition,th\n,ὁ,article,xei=ra/,χείρ,noun,te,τε,particle,tou=,ὁ,article,kate/xontos,κατέχω,verb,kai\,καί,conjunction,to\,ὁ,article,a)/llo,ἄλλος,adjective,sw=ma,σῶμα,adjective,a)pegi/gnonto,ἀπογίγνομαι,verb,oi(,ὁ,article,dw/deka,δώδεκα,adjective,de\,δέ,particle,proei=xon,προέχω,verb,pro\,tw=n,ὁ,article,swma/twn,e(ka/stou,ἕκαστος,adjective,tw=n,ὁ,article,prwtostatw=n,πρωτοστάτης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρό,preposition,σῶμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,d',δέ,particle,e)n,ἐν,preposition,tw=|,ὁ,article,deute/rw|,δεύτερος,adjective,zugw=|,ζυγόν,noun,u(pobebhko/tes,ὑποβαίνω,verb,e)kei/nwn,ἐκεῖνος,pronoun,posi\,πούς,noun,dusi\,δύο,adjective,th\n,ὁ,article,sa/risan,σάρισα,noun,au)=,αὖ,interjection,ei)=xon,ἔχω,verb,probeblhme/nhn,προβάλλω,verb,u(pe\r,ὑπέρ,preposition,tou\s,ὁ,article,prwtosta/tas,πρωτοστάτης,adjective,e)s,εἰς,preposition,po/das,πούς,noun,de/ka,oi(,ὁ,article,d',e)n,ἐν,preposition,tw=|,ὁ,article,tri/tw|,τρίτος,adjective,e)/ti,ἔτι,adverb,kai\,καί,conjunction,ou(=toi,οὗτος,pronoun,u(perai/rousan,ὑπεραίρω,verb,u(pe\r,ὑπέρ,preposition,tou\s,ὁ,article,prwtosta/tas,πρωτοστάτης,adjective,e)s,εἰς,preposition,po/das,πούς,noun,o)ktw/,ὀκτώ,adverb,,,,,,,,,,,,,,,,,,,δέκα,verb,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)/ti,ἔτι,adverb,oi(,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,teta/rtw|,τέταρτος,adjective,e)s,εἰς,preposition,e(/c,ἕξ,adjective,kai\,καί,conjunction,e)/ti,ἔτι,adverb,oi(,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,pe/mptw|,πέμπτος,adjective,e)ste/ssaras,,,oi(,ὁ,article,d',δέ,particle,e)n,ἐν,preposition,tw=|,ὁ,article,e(/ktw|,ἕκτος,adjective,e)s,du/o,δύο,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaq',κατά,preposition,e(/kaston,ἕκαστος,adjective,ou)=n,οὖν,particle,tw=n,ὁ,article,prwtostatw=n,πρωτοστάτης,adjective,e(\c,ἕξ,adjective,sa/risai,σάρισα,noun,probeblhme/nai,προβάλλω,verb,h)=san,εἰμί,verb,e)n,ἐν,preposition,ku/klw|,κύκλος,noun,e)fech=s,ἐφεξῆς,adverb,u(pobai/nousai,ὑποβαίνω,verb,w(/ste,ὥστε,conjunction,e(/kaston,ἕκαστος,adjective,o(pli/thn,ὁπλίτης,noun,e(\c,ἕξ,adjective,sari/sais,σάρισα,noun,pefra/xqai,φράσσω,verb,kai\,καί,conjunction,tai=s,duna/mesin,δύναμις,adjective,e)perei/dein,o(/poi,ὅποι,adverb,e)pibri/seian,ἐπιβρίθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ἐπερείδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,oi(,ἕ,pronoun,tw=|,ὁ,article,e(/ktw|,ἕκτος,adjective,d',δέ,particle,e)festhko/tes,ἐφίστημι,verb,ei),εἰ,conjunction,kai\,καί,conjunction,mh\,μή,conjunction,au)tai=s,αὐτός,pronoun,tai=s,ὁ,article,sari/sais,σάρισα,noun,a)lla\,ἀλλά,adverb,tw=|,ὁ,article,ge,γε,particle,ba/rei,βάρος,noun,tw=n,ὁ,article,swma/twn,σῶμα,adjective,suneph/reidon,,,toi=s,ὁ,article,pro\,sfw=n,σφεῖς,pronoun,tetagme/nois,w(s,ὡς,conjunction,th/n,ὁ,article,te,τε,particle,e)mbolh\n,ἐμβολή,noun,th\n,ὁ,article,e)s,εἰς,preposition,tou\s,ὁ,article,polemi/ous,πολέμιος,adjective,t's,,,fa/laggos,φάλαγξ,noun,ou),οὐ,adverb,forhth\n,φορητός,adjective,gi/gnesqai,γίγνομαι,verb,kai\,καί,conjunction,toi=s,ὁ,article,prwtosta/tais,πρωτοστάτης,adjective,au)=,αὖ,interjection,a)/poron,ἄπορος,adjective,th\n,ὁ,article,πρό,preposition,τάσσω,verb,fugh/n,φυγή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,de\,δέ,particle,ou)ragou\s,οὐραγός,noun,ou)x,οὐ,adverb,ou(/tw,οὕτως,adverb,ti,τις,pronoun,kat',κατά,preposition,a)lkh\n,ἀλκή,noun,w(s,ὡς,conjunction,kata\,κατά,preposition,su/nesin,σύνεσις,noun,kai\,καί,conjunction,e)mpeiri/an,ἐμπειρία,noun,tw=n,ὁ,article,polemikw=n,πολεμικός,adjective,e)pile/ktous,ἐπίλεκτος,adjective,xrh\,χρή,verb,ei)=nai,εἰμί,verb,w(s,ὡς,conjunction,e)pime/lesqai,ἐπιμελέομαι,verb,tou=,stoixei=n,στοιχέω,verb,ta\,zuga\,ζυγή,noun,kai\,καί,conjunction,toi=s,ὁ,article,e)qelokakou=si,ἐθελοκακέω,verb,mh\,μή,conjunction,e)fie/nai,ἐφίημι,verb,a)podidra/skein,ἀποδιδράσκω,verb,e)/cw,ἔξω,adverb,th=s,ὁ,article,ta/cews,τάξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
