word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS
h)\,ἠέ,conjunction,ga\r,γάρ,particle,*zeu\s,Ζεύς,proper,o(/de,ὅδε,pronoun,g',γε,particle,e)sti\n,εἰμί,verb,h)\,ἠέ,conjunction,a)rguro/tocos,ἀργυρότοξος,adjective,*)apo/llwn,Ἀπόλλων,proper,h)e\,ἠέ,conjunction,*poseida/wn,Ποσειδεών,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,ou),οὐ,adverb,qnhtoi=si,θνητός,adjective,brotoi=sin,βροτός,noun,ei)/kelos,εἴκελος,adjective,a)lla\,ἀλλά,adverb,qeoi=s,θεός,noun,oi(\,ἕ,pronoun,*)olu/mpia,Ὀλύμπια,proper,dw/mat',δῶμα,noun,e)/xousin,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,a)/get',ἄγω,verb,au)to\n,αὐτός,pronoun,a)fw=men,ἀφίημι,verb,e)p',ἐπί,preposition,h)pei/roio,ἤπειρος,adjective,melai/nhs,μέλας,adjective,au)ti/ka,αὐτίκα,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhd',μηδέ,particle,e)pi\,ἐπί,preposition,xei=ras,χείρ,noun,i)a/llete,ἰάλλω,verb,mh/,μή,conjunction,ti,τις,pronoun,xolwqei\s,χολόομαι,verb,o)/rsh|,ὄρνυμι,verb,e)/p',ἐπί,preposition,a)rgale/ous,ἀργαλέος,adjective,t',τε,particle,a)ne/mous,ἄνεμος,noun,kai\,καί,conjunction,lai/lapa,λαῖλαψ,noun,pollh/n,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,
*(\ws,ὅς,pronoun,fa/to,φημί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,d',δέ,particle,a)rxo\s,ἀρχός,noun,stugerw=|,στυγερός,adjective,h)ni/pape,ἐνίπτω,verb,mu/qw|,μῦθος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daimo/ni',δαιμόνιος,adjective,ou)=ron,οὖρον,noun,o(/ra,ὁράω,verb,a(/ma,ἅμα,adverb,d',δέ,particle,i(sti/on,ἱστίον,noun,e(/lkeo,ἕλκω,verb,nho\s,ναός,noun,su/mpanq',σύμπας,adjective,o(/pla,ὅπλον,noun,labw/n,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/de,ὅδε,pronoun,d',δέ,particle,au)=t',αὖτε,adverb,a)/ndressi,ἀνήρ,noun,melh/sei,ἐπιμελέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/lpomai,ἔλπω,verb,h)\,ἠέ,conjunction,*ai)/gupton,Αἴγυπτος,proper,a)fi/cetai,ἀφίζω,verb,h)\,ἠέ,conjunction,o(/,ὅς,pronoun,ge,γε,particle,*ku/pron,Κύπρος,proper,h)\,ἠέ,conjunction,e)s,εἰς,preposition,*(uperbore/ous,Ὑπερβόρεοι,proper,h)\,ἠέ,conjunction,e(kaste/rw,ἑκάς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,de\,δέ,particle,teleuth\n,τελευτή,noun,e)/k,ἐκ,preposition,pot',ποτέ,particle,e)rei=,ἐράομαι,verb,au)tou=,αὐτός,pronoun,te,τε,particle,fi/lous,φίλος,adjective,kai\,καί,conjunction,kth/mata,κτῆμα,noun,pa/nta,πᾶς,adjective,ou(/s,ὅς,pronoun,te,τε,particle,kasignh/tous,κασίγνητος,noun,e)pei\,ἐπεί,conjunction,h(mi=n,ἐγώ,pronoun,e)/mbale,ἐμβάλλω,verb,dai/mwn,δαίμων,adjective,,,,,,,,,,,,
w(\s,ὅς,pronoun,ei)pw\n,εἶπον,verb,i(sto/n,ἱστός,noun,te,τε,particle,kai\,καί,conjunction,i(sti/on,ἱστίον,noun,e(/lketo,ἕλκω,verb,nho/s,ναός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/mpneusen,ἐμπνέω,verb,d',δέ,particle,a)/nemos,ἄνεμος,noun,me/son,μέσος,adjective,i(sti/on,ἱστίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mfi\,ἀμφί,preposition,d',δέ,particle,a)/r',ἄρα,particle,o(/pla,ὅπλον,noun,katta/nusan,καττάνυσαν,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta/xa,τάχα,adjective,de/,δέ,particle,sfin,σφεῖς,pronoun,e)fai/neto,φαίνω,verb,qaumata\,θαυματός,adjective,e)/rga,ἔργον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=nos,οἶνος,noun,me\n,μέν,particle,prw/tista,πρώτιστος,adjective,qoh\n,θοός,adjective,a)na\,ἀνά,preposition,nh=a,ναῦς,noun,me/lainan,μέλας,adjective,h(du/potos,ἡδύποτος,adjective,kela/ruz',κελαρύζω,verb,eu)w/dhs,εὐώδης,adverb,w)/rnuto,ὄρνυμι,verb,d',δέ,particle,o)dmh\,ὀσμή,noun,a)mbrosi/h,ἀμβρόσιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,
nau/tas,ναύτης,noun,de\,δέ,particle,ta/fos,τάφος,noun,la/be,λαμβάνω,verb,pa/ntas,πᾶς,adjective,i)do/ntas,εἶδον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ti/ka,αὐτίκα,adverb,d',δέ,particle,a)kro/taton,ἄκρος,adjective,para\,παρά,preposition,i(sti/on,ἱστίον,noun,e)cetanu/sqh,ἐκτανύω,verb,a)/mpelos,ἄμπελος,noun,e)/nqa,ἔνθα,adverb,kai\,καί,conjunction,e)/nqa,ἔνθα,adverb,katekrhmnw=nto,κατακρημνάω,verb,de\,δέ,particle,polloi\,πολύς,adjective,bo/trues,βότρυς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mf',ἀμφί,preposition,i(sto\n,ἱστός,noun,de\,δέ,particle,me/las,μέλας,adjective,ei(li/sseto,ἑλίσσω,verb,kisso/s,κισσός,noun,a)/nqesi,ἄνθος,adjective,thleqa/wn,τηλεθάω,verb,xari/eis,χαρίεις,adjective,d',δέ,particle,e)pi\,ἐπί,preposition,karpo\s,καρπός,noun,o)rw/rei,ὄρνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ntes,πᾶς,adjective,de\,δέ,particle,skalmoi\,σκαλμός,noun,stefa/nous,στέφανος,noun,e)/xon,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(\,ἕ,pronoun,de\,δέ,particle,i)do/ntes,εἶδον,verb,nh=',ναῦς,noun,h)/dh,ἤδη,adverb,to/t',τότε,adverb,e)/peita,ἔπειτα,adverb,kubernh/thn,κυβερνήτης,noun,e)ke/leuon,κελεύω,verb,gh=|,γῆ,noun,pela/an,πελάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,d',δέ,particle,a)/ra,ἄρα,particle,sfi,σφεῖς,pronoun,le/wn,λέων,noun,ge/net',γίγνομαι,verb,e)/ndoqi,ἔνδοθι,adverb,nho\s,ναός,noun,deino\s,δεινός,adjective,e)p',ἐπί,preposition,a)krota/ths,ἄκρος,adjective,me/ga,μέγας,adverb,d',δέ,particle,e)/braxen,βράσσω,verb,e)n,ἐν,preposition,d',δέ,particle,a)/ra,ἄρα,particle,me/ssh|,μέσος,adjective,a)/rkton,ἄρκτος,noun,e)poi/hsen,ποιέω,verb,lasiau/xena,λασιαύχην,noun,sh/mata,σῆμα,adjective,fai/nwn,φαίνω,verb
a)\n,ἄν,particle,d',δέ,particle,e)/sth,ἵστημι,verb,memaui=a,μέμαα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/wn,λέων,noun,d',δέ,particle,e)pi\,ἐπί,preposition,se/lmatos,σέλμα,noun,a)/krou,ἄκρον,noun,deino\n,δεινός,adjective,u(po/dra,ὑπόδρα,adverb,i)dw/n,εἶδον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(\,ἕ,pronoun,d',δέ,particle,e)s,εἰς,preposition,pru/mnhn,πρύμνα,adjective,e)fo/bhqen,φοβέω,verb,a)mfi\,ἀμφί,preposition,kubernh/thn,κυβερνάω,verb,de\,δέ,particle,sao/frona,σώφρων,noun,qumo\n,θυμός,noun,e)/xonta,ἔχω,verb,e)/stan,ἵστημι,verb,a)/r',ἄρα,particle,e)kplhge/ntes,ἐκπλήσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,d',δέ,particle,e)capi/nhs,ἐξαπίνης,adverb,e)porou/sas,ἐποράω,verb,a)rxo\n,ἀρχός,noun,e(/l',αἱρέω,verb,oi(\,ἕ,pronoun,de\,δέ,particle,qu/raze,θύραζε,adverb,kako\n,κακός,adjective,mo/ron,μόρον,noun,e)calu/ontes,ἐξαλύω,verb,pa/ntes,πᾶς,adjective,o(mw=s,ὁμῶς,adverb,ph/dhsan,πηδάω,verb,e)pei\,ἐπεί,conjunction,i)/don,εἶδον,verb,ei)s,εἰς,preposition,a(/la,ἅλς,adjective,di=an,δῖος,adjective,delfi=nes,δελφίς,adjective,d',δέ,particle,e)ge/nonto,γίγνομαι,verb
kubernh/thn,κυβερνήτης,noun,d',δέ,particle,e)leh/sas,ἐλεάω,verb,e)/sxeqe,σχέθω,verb,kai/,καί,conjunction,min,μιν,pronoun,e)/qhke,τίθημι,verb,pano/lbion,πανόλβιος,adjective,ei)=pe/,εἶπον,verb,te,τε,particle,mu=qon,μῦθος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa/rsei,θαρσέω,verb,di=e,δῖος,adjective,ka/twr,,,tw=|,ὁ,article,e)mw=|,ἐμός,adjective,kexarisme/ne,χαρίζομαι,verb,qumw=|,θυμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)mi\,εἰμί,verb,d',δέ,particle,e)gw\,ἐγώ,pronoun,*dio/nusos,Διόνυσος,proper,e)ri/bromos,ἐρίβρομος,adjective,o(\n,ὅς,pronoun,te/ke,τίκτω,verb,mh/thr,μήτηρ,noun,*kadmhi\s,Καδμηίς,proper,*seme/lh,Σεμέλη,proper,*dio\s,Ζεύς,proper,e)n,ἐν,preposition,filo/thti,φιλότης,noun,migei=sa,μίγνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,
xai=re,χαίρω,verb,te/kos,τέκος,noun,*seme/lhs,Σεμέλη,proper,eu)w/pidos,εὐῶπις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de/,οὐδέ,particle,ph,πη,particle,e)/sti,εἰμί,verb,sei=o/,σέω,verb,ge,γε,particle,lhqo/menon,λανθάνω,verb,glukerh\n,γλυκερός,adjective,kosmh=sai,κοσμέω,verb,a)oidh/n,ἀοιδός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
