word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS
*megare/wn,Μεγάρη,proper,gou=n,γοῦν,particle,*)anqemo/kriton,Ἀνθεμόκριτος,proper,a)nelo/ntwn,ἀναιρέω,verb,ei)s,εἰς,preposition,tou=t',οὗτος,pronoun,e)lh/luqen,ἔρχομαι,verb,o(,ὁ,article,dh=mos,δῆμος,noun,w(/ste,ὥστε,conjunction,musthri/wn,μυστήριον,noun,me\n,μέν,particle,ei)=rgon,ἔργω,verb,au)tou/s,αὐτός,pronoun,u(pomnh/mata,ὑπόμνημα,noun,de\,δέ,particle,th=s,ὁ,article,a)diki/as,ἀδικία,noun,e)/sthsan,ἵστημι,verb,a)ndria/nta,ἀνδριάς,noun,pro\,πρό,preposition,tw=n,ὁ,article,pulw=n,πύλη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,pw=s,πῶς,adverb,ou),οὐ,adverb,deino/n,δεινός,adjective,e)f',ἐπί,preposition,oi(=s,ὅς,pronoun,paqo/ntes,πάσχω,verb,ou(/tws,οὕτως,adverb,e)mish/sate,μισέω,verb,tou\s,ὁ,article,dra/santas,δράω,verb,nu=n,νῦν,adverb,au)tou\s,αὐτός,pronoun,fai/nesqai,φαίνω,verb,poiou=ntas,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kalli/as,Καλλίης,proper,toi/nun,τοίνυν,particle,o(,ὁ,article,par',παρά,preposition,u(mw=n,σύ,pronoun,strathgo\s,στρατηγός,noun,ta\s,ὁ,article,me\n,μέν,particle,po/leis,πόλις,adjective,ta\s,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,*pagasi/th|,,,ko/lpw|,κόλπος,noun,katoikoume/nas,κατοικέω,verb,e)/laben,λάπτω,verb,a(pa/sas,ἅπας,adjective,u(mi=n,σύ,pronoun,me\n,μέν,particle,e)no/rkous,ἔνορκος,adjective,e)moi\,ἐγώ,pronoun,de\,δέ,particle,summaxi/das,συμμαχίς,adjective,ou)/sas,εἰμί,verb,tou\s,ὁ,article,d',δέ,particle,ei)s,εἰς,preposition,*makedoni/an,Μακεδονία,proper,ple/ontas,πλέω,verb,e)pw/lei,πωλέω,verb,pa/ntas,πᾶς,adjective,polemi/ous,πολέμιος,adjective,kri/nwn,κρίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,dia\,διά,preposition,tau=q',οὗτος,pronoun,u(mei=s,σύ,pronoun,e)ph|nei=t',ἐπαινέω,verb,au)to\n,αὐτός,pronoun,e)n,ἐν,preposition,toi=s,ὁ,article,yhfi/smasin,ψήφισμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/st',ὥστε,conjunction,e)/gwg',ἐγώ,pronoun,a)porw=,ἀφοράω,verb,ti/,τίς,pronoun,pot',ποτέ,particle,e)/stai,εἰμί,verb,kaino/teron,καινός,adjective,e)a\n,ἐάν,conjunction,o(mologh/shte/,ὁμολογέω,verb,moi,ἐγώ,pronoun,polemei=n,πολεμέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,o(/te,ὅτε,conjunction,fanerw=s,φανερός,adjective,diefero/meqa,διαφέρω,verb,lh|sta\s,ληιστός,adjective,e)cepe/mpete,ἐκπέμπω,verb,kai\,καί,conjunction,tou\s,ὁ,article,ple/ontas,πλέω,verb,w(s,ὡς,conjunction,h(ma=s,ἐγώ,pronoun,e)pwlei=te,πωλέω,verb,toi=s,ὁ,article,e)nanti/ois,ἐναντίος,adjective,e)bohqei=te,βοηθέω,verb,th\n,ὁ,article,xw/ran,χώρα,noun,mou,ἐγώ,pronoun,kakw=s,κακός,adjective,e)poiei=te,ἐποίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xwri\s,χωρίς,adverb,toi/nun,τοίνυν,particle,ei)s,εἰς,preposition,tou=to,οὗτος,pronoun,paranomi/as,παρανομία,noun,a)fi=xqe,ἀφικνέομαι,verb,kai\,καί,conjunction,dusmenei/as,δυσμένεια,noun,w(/ste,ὥστε,conjunction,kai\,καί,conjunction,pro\s,πρός,preposition,to\n,ὁ,article,*pe/rshn,Πέρσης,proper,pre/sbeis,πρέσβις,noun,a)pesta/lkate,ἀποστέλλω,verb,pei/sontas,πείθω,verb,au)to\n,αὐτός,pronoun,e)moi\,ἐγώ,pronoun,polemei=n,πολεμέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,ma/list',μάλιστα,adverb,a)/n,ἄν,particle,tis,τις,pronoun,qauma/seien,θαυμάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\,πρό,preposition,me\n,μέν,particle,ga\r,γάρ,particle,tou=,ὁ,article,labei=n,λαμβάνω,verb,au)to\n,αὐτός,pronoun,*ai)/gupton,Αἴγυπτος,proper,kai\,καί,conjunction,*foini/khn,Φοινίκη,proper,e)yhfi/sasqe,ψηφίζομαι,verb,a)\n,ἄν,particle,e)kei=no/s,ἐκεῖνος,pronoun,ti,τις,pronoun,newteri/zh|,νεωτερίζω,verb,parakalei=n,παρακαλέω,verb,o(moi/ws,ὅμοιος,adjective,e)me\,ἐγώ,pronoun,kai\,καί,conjunction,tou\s,ὁ,article,a)/llous,ἄλλος,adjective,*(/ellhnas,Ἕλλην,proper,a(/pantas,ἅπας,adjective,e)p',ἐπί,preposition,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,tosou=ton,τοσοῦτος,adjective,u(mi=n,σύ,pronoun,peri/esti,περίειμι,verb,tou=,ὁ,article,pro\s,πρός,preposition,e)me\,ἐγώ,pronoun,mi/sous,μῖσος,noun,w(/ste,ὥστε,conjunction,pro\s,πρός,preposition,e)kei=non,ἐκεῖνος,pronoun,diale/gesqe,διαλέγω,verb,peri\,περί,preposition,th=s,ὁ,article,e)pimaxi/as,ἐπιμαχία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,to\,ὁ,article,palaio\n,παλαιός,adjective,oi(,ὁ,article,pate/res,πατήρ,noun,u(mw=n,σύ,pronoun,w(s,ὡς,conjunction,e)gw\,ἐγώ,pronoun,punqa/nomai,πυνθάνομαι,verb,toi=s,ὁ,article,*peisistrati/dais,Πεισιστρατίδης,proper,e)peti/mwn,ἐπιτιμάω,verb,w(s,ὡς,conjunction,e)pa/gousi,ἐπάγω,verb,to\n,ὁ,article,*pe/rshn,Πέρσης,proper,e)pi\,ἐπί,preposition,tou\s,ὁ,article,*(/ellhnas,Ἕλλην,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(mei=s,σύ,pronoun,d',δέ,particle,ou)k,οὐ,adverb,ai)sxu/nesqe,αἰσχύνω,verb,tau=ta,οὗτος,pronoun,poiou=ntes,ποιέω,verb,a(\,ὅς,pronoun,dietelei=te,διατελέω,verb,toi=s,ὁ,article,tura/nnois,τύραννος,noun,e)gkalou=ntes,ἐγκαλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,pro\s,πρός,preposition,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,kai\,καί,conjunction,gra/fet',γράφω,verb,e)n,ἐν,preposition,toi=s,ὁ,article,yhfi/smasin,ψήφισμα,noun,e)moi\,ἐγώ,pronoun,prosta/ttontes,προστάσσω,verb,*th/rhn,Τήρης,proper,kai\,καί,conjunction,*kersoble/pthn,Κερσοβλέπτης,proper,e)a=n,ἀίω,verb,*qra/|khs,Θρᾴκη,proper,a)/rxein,ἄρχω,verb,w(s,ὡς,conjunction,o)/ntas,εἰμί,verb,*)aqhnai/ous,Ἀθήναιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
