word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/30/lemma/@_entry,word/30/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/51/lemma/@_entry,word/51/lemma/@_POS
h)\n,ἐάν,conjunction,de\,δέ,particle,dieqi/zh|,διεθίζω,verb,xro/nw|,χρόνος,noun,makrw=|,μακρός,adjective,to\,ὁ,article,a)/lghma,ἄλγημα,noun,kai\,καί,conjunction,perio/doisi,περίοδος,noun,makrh=|si,μακρός,adjective,kai\,καί,conjunction,pollh=|si,πολύς,adjective,kai\,καί,conjunction,prosepigi/gnhtai,προσεπιγίγνομαι,verb,me/zw,μέγας,adverb,te,τε,particle,kai\,καί,conjunction,pleu=na,πλείων,verb,dusalqh=,δυσαλθής,adverb,kefalai/hn,κεφάλαιος,adjective,kiklh/skomen,κικλήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)de/ai,ἰδέα,noun,de\,δέ,particle,muri/ai,μυρίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tisi\,τις,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,a)i/+dios,ἀίδιος,adjective,o(,ὁ,article,po/nos,πόνος,noun,kai\,καί,conjunction,smikro\s,μικρός,adjective,a)ll',ἀλλά,adverb,ou),οὐ,adverb,dialei/pwn,διαλείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tisi\,τις,pronoun,de\,δέ,particle,e)s,εἰς,preposition,peri/odon,περίοδος,noun,periplei=,περιπλέω,verb,o(/kws,ὅπως,conjunction,toi=si,τίς,pronoun,puretai/nousi,,,a)mfhmerino\n,ἀμφημερινός,adjective,par',παρά,preposition,h(me/rhn,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/lloisi,ἄλλος,adjective,d',δέ,particle,a)po\,ἀπό,preposition,du/sios,δύσις,adjective,e)s,εἰς,preposition,meshmbri/hn,μεσημβρία,noun,kai\,καί,conjunction,th=|de,ὅδε,pronoun,te/leon,τέλειος,adjective,a)popau/etai,ἀποπαύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,a)po\,ἀπό,preposition,meshmbri/hs,μεσημβρία,noun,e)s,εἰς,preposition,e)spe/rhn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,e)pi/prosqen,ἐπίπροσθεν,adverb,e)s,εἰς,preposition,nu/kta,νύξ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/de,ὅδε,pronoun,h(,ὁ,article,peri/odos,περίοδος,noun,ou),οὐ,adverb,ka/rta,κάρτα,adverb,dhqu/nei,δηθύνω,verb,kai\,καί,conjunction,toi=si,ὁ,article,me\n,μέν,particle,h(,ὁ,article,kefalh\,κεφαλή,noun,a)lge/ei,ἀλγέω,verb,pa=sa,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,h(/de,ὅδε,pronoun,a)/llote,ἄλλοτε,adverb,me\n,μέν,particle,e)pi\,ἐπί,preposition,decia/,δεξιός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llote,ἄλλοτε,adverb,de\,δέ,particle,e)p',ἐπί,preposition,a)ristera/,ἀριστερός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,me/twpon,μέτωπον,noun,h)\,ἠέ,conjunction,bre/gma,βρέγμα,noun,kai\,καί,conjunction,tau=ta,οὗτος,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,au)th=|,αὐτός,pronoun,h(me/rh|,ἡμέρα,noun,*rembw/dea,,,tro/pon,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=si,ὁ,article,de\,δέ,particle,kai\,καί,conjunction,ta\,ὁ,article,decia\,δεξιός,adjective,mou=non,μόνος,adjective,h)\,ἠέ,conjunction,ta\,ὁ,article,laia\,λαιός,noun,mou=non,μόνος,adjective,e)s,εἰς,preposition,o(/son,ὅσος,adjective,o(ri/zwn,ὁρίζω,verb,kro/tafos,κρόταφος,noun,h)\,ἠέ,conjunction,w)=s,οὖς,noun,h)\,ἠέ,conjunction,kai\,καί,conjunction,o)fru\s,ὀφρύς,noun,mi/a,εἷς,adjective,h)\,ἠέ,conjunction,o)fqalmo\s,ὀφθαλμός,noun,ei(=s,εἷς,adjective,h)\,ἠέ,conjunction,*ri\s,,,me/sfi,,,me/sou,μέσος,adjective,e)s,εἰς,preposition,i)=sa,ἴσος,adjective,te/mnei,τέμνω,verb,e)pe/keina,de\,δέ,particle,to\,ὁ,article,a)/lghma,ἄλγημα,noun,ou),οὐ,adverb,perh=|,περάω,verb,a)ll',ἀλλά,adverb,e)n,ἐν,preposition,h(mi/sei+,ἥμισυς,adjective,mi/mnei,μίμνω,verb,tw=|,ὁ,article,th=s,ὁ,article,kefalh=s,κεφαλή,noun,xwri/w|,χωρίον,noun,,,,,,,,,,,,,,,,ἐπέκεινα,adverb,,,,,,,,,,,,,,,,,,
e(terokrani/h,ἑτεροκρανία,noun,to/de,ὅδε,pronoun,mou=non,μόνος,adjective,kale/etai,καλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,eu)/hqes,εὐήθης,adjective,kako\n,κακός,adjective,kh)\n,ἐν,preposition,dialei/ph|,διαλείπω,verb,kh)\n,ἐν,preposition,smikro\n,μικρός,adjective,e)/mmenai,εἰμί,verb,doke/h|,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,ga\r,γάρ,particle,e)mpe/sh|,ἐμπίτνω,verb,kote\,ποτέ,particle,o)ce/ws,ὀξέως,adverb,ai)sxra\,αἰσχρός,adjective,kai\,καί,conjunction,deina\,δεινός,adjective,prh/ssei,πράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spasmo\s,σπασμός,noun,kai\,καί,conjunction,diastrofh\,διαστροφή,noun,tou=,ὁ,article,prosw/pou,πρόσωπον,noun,gi/gnetai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)fqalmoi\,ὀφθαλμός,noun,h)\,ἠέ,conjunction,a)tene/es,ἀτενής,adjective,ke/rasi,κέρας,noun,i)/keloi,ἴκελος,adjective,peph/gasi,πήγνυμι,verb,h)\,ἠέ,conjunction,th=|de,ὅδε,pronoun,ka)kei=se,ἐκεῖσε,adverb,spasmw/de,,,es,,,e)/ndon,ἔνδον,adverb,ei(lw=ntai,εἱλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skoto/dinos,σκοτόδινος,noun,o)fqalmw=n,ὀφθαλμός,noun,u(pobru/xios,ὑποβρύχιος,adjective,po/nos,πόνος,noun,a)/xri,ἄχρι,adverb,mhni/ggwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(drw\s,ἱδρώς,noun,a)/sxetos,ἄσχετος,adjective,teno/ntwn,τένων,noun,e)capi/nhs,ἐξαπίνης,adverb,a)/lgos,ἄλγος,noun,w(sperei/,ὥσπερ,adverb,tinos,τις,pronoun,pata/cantos,πατάσσω,verb,cu/lw|,ξύλον,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nauti/h,ναυτία,noun,e)/metos,ἔμετος,noun,xolwde/wn,χολώδης,adjective,kata/ptwsis,κατάπτωσις,noun,tou=,ὁ,article,a)nqrw/pou,ἄνθρωπος,noun,h)\n,ἐάν,conjunction,d',δέ,particle,e)pitei/nh|,ἐπιτείνω,verb,kote\,ποτέ,particle,to\,ὁ,article,pa/qos,πάθος,adjective,w(/nqrwpos,ἄνθρωπος,noun,e)teleu/thse,τελευτάω,verb,h)\n,ἐάν,conjunction,de\,δέ,particle,smikro/teronh)=|,,,kai\,καί,conjunction,e)s,εἰς,preposition,o)/leqrona)sine\s,,,xroni/zei,χρονίζω,verb,o)/knos,ὄκνος,noun,poulu\s,πολύς,adjective,karhbari/h,καρηβαρία,noun,a)pori/h,ἀπορία,noun,zwh\,ζωή,noun,du/sforos,δύσφορος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga/r,γάρ,particle,pws,πως,particle,feu/gousi,φεύγω,verb,th\n,ὁ,article,au)gh/n,αὐγή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sko/tos,σκότος,noun,de\,δέ,particle,prhonei,,,toute/oisi,,,th\n,ὁ,article,nou=son,νόσος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
