word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS
kaqo/lou,καθόλου,adverb,d',δέ,particle,o(/moio/n,ὅμοιος,adjective,e)sti,εἰμί,verb,tw=|,ὁ,article,le/gein,pro\,th=s,ὁ,article,gunaiko\s,γυνή,noun,h(,ὁ,article,mh/tra,μήτρα,noun,ge/gonen,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,λέγω,verb,πρό,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,ga\r,γάρ,particle,h(,ὁ,article,mh/tra,μήτρα,noun,pro\s,πρός,preposition,to\,w)|o/n,ou(/tw,οὕτως,adverb,pa/lin,πάλιν,adverb,to\,ὁ,article,w)|o\n,ᾠόν,noun,pro\s,πρός,preposition,to\n,ὁ,article,neosso\n,νεοσσός,noun,pe/fuke,φύω,verb,kuo/menon,κύω,verb,e)n,ἐν,preposition,au)tw=|,αὐτός,pronoun,kai\,καί,conjunction,loxeuo/menon,λοχεύω,verb,w(/ste,ὥστε,conjunction,ὁ,article,ᾠόν,noun,mhde\n,μηδείς,pronoun,diafe/rein,διαφέρω,verb,to\n,ὁ,article,diaporou=nta,διαπορέω,verb,pw=s,πῶς,adverb,o)/rniqes,ὄρνις,noun,e)ge/nonto,γίγνομαι,verb,mh\,μή,conjunction,genome/nwn,γίγνομαι,verb,w)|w=n,ᾤα,noun,tou=,ὁ,article,punqanome/nou,πυνθάνομαι,verb,pw=s,πῶς,adverb,a)/ndres,ἀνήρ,noun,e)ge/nonto,γίγνομαι,verb,kai\,καί,conjunction,gunai=kes,γυνή,noun,pri\n,πρίν,adverb,ai)doi=a,αἰδοῖον,noun,gene/sqai,γίγνομαι,verb,kai\,καί,conjunction,mh/tras,μήτρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,tw=n,ὁ,article,merw=n,μέρα,noun,ta\,ὁ,article,plei=sta,πλεῖστος,adjective,sunufi/statai,toi=s,o(/lois,ὅλος,adjective,ai(,ὁ,article,de\,δέ,particle,duna/meis,δύναμις,adjective,e)pigi/nontai,ἐπιγίγνομαι,verb,toi=s,ὁ,article,me/resin,μέρος,noun,ai(,ὁ,article,d',δέ,particle,e)ne/rgeiai,ἐνέργεια,noun,tai=s,ὁ,article,duna/mesi,δύναμις,adjective,ta\,ὁ,article,d',δέ,particle,σύνυφίστημι,verb,ὁ,article,a)potele/smata,ἀποτέλεσμα,noun,tai=s,ὁ,article,e)nergei/ais,ἐνέργεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)pote/lesma,ἀποτέλεσμα,noun,de\,δέ,particle,th=s,ὁ,article,gennhtikh=s,γεννητικός,adjective,tw=n,ὁ,article,mori/wn,duna/mews,to\,ὁ,article,spe/rma,σπέρμα,noun,kai\,καί,conjunction,to\,ὁ,article,w)|o/n,ᾠόν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,μόριον,noun,δύναμις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,th=s,ὁ,article,tw=n,ὁ,article,o(/lwn,ὅλος,adjective,kaqusterei=n,καθυστερέω,verb,gene/sews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γένεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sko/pei,σκοπάω,verb,de\,δέ,particle,mh/,μή,conjunction,kaqa/per,καθά,adverb,ou),οὐ,adverb,dunato/n,e)sti,pe/yin,πέψις,noun,trofh=s,τροφεύς,noun,ei)=nai,εἰμί,verb,pri\n,πρίν,adverb,h)\,ἠέ,conjunction,gene/sqai,γίγνομαι,verb,zw=|on,ζώιον,noun,ou(/tws,οὕτως,adverb,ou)d',οὐδέ,particle,w)|o\n,ᾠόν,noun,ou)de\,οὐδέ,particle,spe/rma,σπέρμα,noun,,,,,,,δυνατός,adjective,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,tau=ta,οὗτος,pronoun,pe/yesi/,πέψις,noun,tisi,τις,pronoun,kai\,metabolai=s,e)pigene/sqai,ἐπιγίγνομαι,verb,e)/oiken,ἔοικα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,μεταβολή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou)x,οὐ,adverb,oi(=o/n,οἷος,adjective,te,τε,particle,pri\n,πρίν,adverb,h)\,gene/sqai,zw=|on,ζώιον,noun,e)/xein,ἔχω,verb,zw/|ou,ζώιον,noun,trofh=s,τροφεύς,noun,peri/ttwma,περίσσωμα,noun,th\n,ὁ,article,fu/sin,φύσις,noun,,,,,,,,,,,,,,,,,,,,,,ἠέ,conjunction,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,a)lla\,ἀλλά,adverb,to\,ὁ,article,spe/rma,σπέρμα,noun,me\n,a(mwsge/pws,a)rxh=s,ἀρχή,noun,tinos,τις,pronoun,a)ntipoiei=tai,ἀντιποιέω,verb,to\,ὁ,article,d',δέ,particle,w)|o\n,ᾠόν,noun,ou)/t',οὔτε,adverb,a)rxh=s,ἀρχή,noun,e)/xei,ἔχω,verb,lo/gon,λόγος,noun,ou),οὐ,adverb,ga\r,γάρ,particle,u(fi/statai,ὑφίστημι,verb,prw=ton,πρότερος,adjective,μέν,particle,ἀμῶς,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/q',οὔτε,adverb,o(/lou,ὅλος,adjective,fu/sin,φύσις,noun,a)tele\s,ἀτελής,adjective,ga/r,γάρ,particle,e)stin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,a)rxh=s,ἀρχή,noun,me\n,μέν,particle,a)/neu,ἄνευ,preposition,gegone/nai,γίγνομαι,verb,zw=|on,ou),le/gomen,λέγω,verb,a)rxh\n,ἀρχή,noun,d',δέ,particle,ei)=nai,εἰμί,verb,zw|ogoni/as,ζωογονία,noun,u(f',ὑπό,preposition,h(=s,ὅς,pronoun,prw=ton,πρότερος,adjective,h(,ὁ,article,u(/lh,ὕλη,noun,mete/bale,μεταβάλλω,verb,duna/mews,δύναμις,adjective,kra=si/n,κρᾶσις,adjective,tina,τις,pronoun,ζώιον,noun,οὐ,adverb,kai\,καί,conjunction,mi=cin,μῖξις,noun,e)nergasame/nhs,ἐνεργάζομαι,verb,go/nimon,γόνιμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,d',δέ,particle,w)|o\n,ᾠόν,noun,e)pige/nnhma,,,ei)=nai,εἰμί,verb,kaqa/per,to\,ai(=ma,αἷμα,noun,kai\,καί,conjunction,to\,ὁ,article,ga/la,γάλα,noun,tou=,ὁ,article,zw/|ou,ζώιον,noun,meta\,μετά,preposition,trofh\n,τροφή,noun,kai\,καί,conjunction,pe/yin,πέψις,noun,,,,,,,,,,,,,καθά,adverb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,w)=ptai,ὁράω,verb,sunista/menon,συνίστημι,verb,w)|o\n,ᾠόν,noun,e)k,th=s,i)lu/os,ἰλύς,adjective,a)ll',ἀλλά,adverb,e)n,ἐν,preposition,mo/nw|,μόνος,adjective,zw/|w|,ζώιον,noun,tou=to,οὗτος,pronoun,th\n,ὁ,article,su/stasin,σύστασις,noun,e)/xei,ἔχω,verb,kai\,καί,conjunction,ge/nesin,γένεσις,noun,,,,,,,,,,ἐκ,preposition,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zw=|a,ζώιον,noun,de\,δέ,particle,kaq',κατά,preposition,au(ta\,ἑαυτοῦ,pronoun,muri/a,μυρίος,adjective,suni/statai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,συνίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ti/,τίς,pronoun,dei=,δέομαι,verb,le/gein,λέγω,verb,ta)/lla,ἄλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollw=n,πολύς,adjective,ga\r,γάρ,particle,e)gxe/lewn,ἔγχελυς,noun,a(liskome/nwn,ἁλίσκομαι,verb,ou)dei\s,οὐδείς,pronoun,e(w/raken,ou)/te,qoro\n,θορός,noun,ou)/t',οὔτε,adverb,w)|o\n,ᾠόν,noun,e)/gxelun,ἔγχελυς,noun,e)/xousan,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁράω,verb,οὔτε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,ka)\n,κἀν,conjunction,to\,ὁ,article,u(/dwr,ὕδωρ,noun,tis,τις,pronoun,e)caru/sh|,kai\,th\n,ὁ,article,i)lu\n,ἰλύς,adjective,a)nacu/sh|,ἀναξύω,verb,pa=san,πᾶς,adjective,ei)s,εἰς,preposition,to\n,ὁ,article,to/pon,τόπος,noun,u(/datos,ὕδωρ,noun,surrue/ntos,συρρέω,verb,e)gxe/leis,ἔγχελυς,noun,zw|ogonou=ntai,ζῳοποιέω,verb,,,,,,,,,,ἐξάρυσις,noun,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=,δέομαι,verb,ou)=n,οὖν,particle,u(/steron,ὕστερος,adjective,a)na/gkh|,ἀνάγκη,noun,gegone/nai,γίγνομαι,verb,to\,qate/rou,deo/menon,δέομαι,verb,pro\s,πρός,preposition,ge/nesin,γένεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ἕτερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de\,δέ,particle,kai\,καί,conjunction,nu=n,νῦν,adverb,qate/rou,ἕτερος,adjective,xwri\s,χωρίς,adverb,a)/llws,u(pa/rxei,suni/stasqai,συνίστημι,verb,tou=to,οὗτος,pronoun,proterei=n,προσερέω,verb,th=|,ὁ,article,a)rxh=|,ἀρχή,noun,th=s,ὁ,article,gene/sews,γένεσις,noun,,,,,,,,,,,,,,,,,,,,,,ἄλλως,adverb,ὑπάρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,e)kei/nhs,ἐκεῖνος,pronoun,ga\r,γάρ,particle,e)/sti,εἰμί,verb,th=s,ὁ,article,prw/ths,o(,lo/gos,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρότερος,adjective,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,nu=n,νῦν,adverb,ge,γε,particle,kai\,καί,conjunction,neottia\s,νεοσσιά,noun,sunti/qhsi,ta\,pthna\,πτηνός,adjective,pro\,πρό,preposition,th=s,ὁ,article,w)|otoki/as,ᾠοτοκία,noun,kai\,καί,conjunction,spa/rgana,σπάργανον,noun,paraskeua/zousin,παρασκευάζω,verb,ai(,ὁ,article,gunai=kes,γυνή,noun,,,,,,,,,,,,,,,,συντίθημι,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
