word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS
si/tou,σῖτος,noun,de\,δέ,particle,e)k,ἐκ,preposition,*qettali/as,Θεσσαλία,proper,e)spepleuko/tos,εἰσπλέω,verb,kai\,καί,conjunction,xrhma/twn,χρῆμα,adjective,dhmosi/a|,δημοσίᾳ,adverb,ou)k,οὐ,adverb,o)/ntwn,εἰμί,verb,e)pe/treyen,ἐπιτρέπω,verb,o(,ὁ,article,*lolliano\s,Λολλιανός,proper,e)/ranon,ἔρανος,noun,toi=s,ὁ,article,au)tou=,αὐτός,pronoun,gnwri/mois,γνώριμος,adjective,kai\,καί,conjunction,xrh/mata,χρῆμα,adjective,suxna\,συχνός,adjective,h)qroi/sqh,ἀθροίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou=to,οὗτος,pronoun,me\n,μέν,particle,a)ndro\s,ἀνήρ,noun,eu)mhxa/nou,εὐμήχανος,adjective,do/cei,δοκέω,verb,kai\,καί,conjunction,sofou=,σοφός,adjective,ta\,ὁ,article,politika/,πολιτικός,adjective,e)kei=no,ἐκεῖνος,pronoun,de\,δέ,particle,dikai/ou,δίκαιος,adjective,te,τε,particle,kai\,καί,conjunction,eu)gnw/monos,εὐγνώμων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,ga\r,γάρ,particle,xrh/mata,χρῆμα,adjective,tau=ta,οὗτος,pronoun,toi=s,ὁ,article,cumbalome/nois,συμβάλλω,verb,a)pe/dwken,ἀποδίδωμι,verb,e)panei\s,ἐπανίημι,verb,to\n,ὁ,article,misqo\n,μισθός,noun,th=s,ὁ,article,a)kroa/sews,ἀκρόασις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/doce,δοκέω,verb,de\,δέ,particle,o(,ὁ,article,sofisth\s,σοφιστής,noun,ou(=tos,οὗτος,pronoun,texnikw/tato/s,τεχνικός,adjective,te,τε,particle,kai\,καί,conjunction,fronimw/tatos,φρόνιμος,adjective,to\,ὁ,article,e)pixeirhmatiko\n,ἐπιχειρηματικός,adjective,e)n,ἐν,preposition,e)pinoi/a|,ἐπίνοια,noun,texnikh=|,τεχνικός,adjective,kei/menon,κεῖμαι,verb,i(kanw=s,ἱκανός,adjective,e)kponh=sai,ἐκπονέω,verb,kai\,καί,conjunction,e(rmhneu=sai,ἑρμηνεύω,verb,me\n,μέν,particle,a)poxrw=n,ἀποχράω,verb,noh=sai,νοέω,verb,de\,δέ,particle,kai\,καί,conjunction,ta\,ὁ,article,nohqe/nta,νοέω,verb,ta/cai,τάσσω,verb,a)pe/rittos,ἀπέριττος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diafai/nontai,διαφαίνω,verb,de\,δέ,particle,tou=,ὁ,article,lo/gou,λόγος,noun,kai\,καί,conjunction,lampro/thtes,λαμπρότης,noun,lh/gousai,λήγω,verb,taxe/ws,ταχέως,adverb,w(/sper,ὥσπερ,adverb,to\,ὁ,article,th=s,ὁ,article,a)straph=s,ἀστραπή,noun,se/las,σέλας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhlou=tai,δηλόω,verb,de\,δέ,particle,tou=to,οὗτος,pronoun,e)n,ἐν,preposition,pa=si,πᾶς,adjective,me/n,μέν,particle,ma/lista,μάλιστα,adverb,de\,δέ,particle,e)n,ἐν,preposition,toi=sde,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kathgorw=n,κατηγορέω,verb,me\n,μέν,particle,ga\r,γάρ,particle,tou=,ὁ,article,*lepti/nou,Λεπτίνης,proper,dia\,διά,preposition,to\n,ὁ,article,no/mon,νόμος,noun,e)pei\,ἐπεί,conjunction,mh\,μή,conjunction,e)foi/ta,φοιτάω,verb,toi=s,ὁ,article,*)aqhnai/ois,Ἀθήναια,proper,e)k,ἐκ,preposition,tou=,ὁ,article,*po/ntou,Πόντος,proper,si=tos,σῖτος,noun,w(=de,ὧδε,adverb,h)/kmasen,ἀκμάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ke/kleistai,κλείω,verb,to\,ὁ,article,sto/ma,στόμα,noun,tou=,ὁ,article,*po/ntou,Πόντος,proper,no/mw|,νόμος,noun,kai\,καί,conjunction,ta\s,ὁ,article,*)aqhnai/wn,Ἀθήναια,proper,trofa\s,τροφή,noun,o)li/gai,ὀλίγος,adjective,kwlu/ousi,κωλύω,verb,sullabai/,συλλαβή,noun,kai\,καί,conjunction,tau)to\n,ταυτός,adjective,du/natai,δύναμαι,verb,*lu/sandros,Λύσανδρος,proper,naumaxw=n,ναυμαχέω,verb,kai\,καί,conjunction,*lepti/nhs,Λεπτίνης,proper,nomomaxw=n,νομομαχέω,verb,a)ntile/gwn,ἀντιλέγω,verb,de\,δέ,particle,toi=s,ὁ,article,*)aqhnai/ois,Ἀθήναια,proper,a)pori/a|,ἀπορία,noun,xrhma/twn,χρῆμα,adjective,bouleuome/nois,βουλεύω,verb,pwlei=n,πωλέω,verb,ta\s,ὁ,article,nh/sous,νῆσος,noun,w(=de,ὧδε,adverb,e)/pneusen,πνέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lu=son,λύω,verb,w)=,ὦ,interjection,*po/seidon,Ποσειδῶν,proper,th\n,ὁ,article,e)pi\,ἐπί,preposition,*dh/lw|,Δῆλος,proper,xa/rin,χάρις,noun,sugxw/rhson,συγχωρέω,verb,au)th=|,αὐτός,pronoun,pwloume/nh|,πωλέομαι,verb,fugei=n,φεύγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)sxedi/aze,σχεδιάζω,verb,me\n,μέν,particle,ou)=n,οὖν,particle,kata\,κατά,preposition,to\n,ὁ,article,*)isai=on,,,ou(=,ἕ,pronoun,dh\,δή,particle,kai\,καί,conjunction,h)kroa/sato,ἀκροάομαι,verb,misqou\s,μισθός,noun,de\,δέ,particle,gennai/ous,γενναῖος,adjective,e)pra/tteto,πράσσω,verb,ta\s,ὁ,article,sunousi/as,συνουσία,noun,ou),οὐ,adverb,melethra\s,μελετηρός,adjective,mo/non,μόνος,adjective,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,didaskalika\s,διδασκαλικός,adjective,pare/xwn,παραχώννυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)ko/nes,εἰκών,noun,de\,δέ,particle,au)tou=,αὐτός,pronoun,*)aqh/nhsi,Ἀθήνευς,proper,mi/a,εἷς,adjective,me\n,μέν,particle,e)p',ἐπί,preposition,a)gora=s,ἀγορά,noun,e(te/ra,ἕτερος,adjective,de\,δέ,particle,e)n,ἐν,preposition,tw=|,ὁ,article,a)/lsei,ἄλσις,noun,tw=|,ὁ,article,mikrw=|,μικρός,adjective,o(\,ὅς,pronoun,au)to\s,αὐτός,pronoun,le/getai,λέγω,verb,e)kfuteu=sai,ἐκφυτεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,to\n,ὁ,article,*buza/ntion,Βυζάντιος,proper,sofisth\n,σοφιστής,noun,paralei/yw,παραλείφω,verb,*ma/rkon,Μάρκος,proper,u(pe\r,ὑπέρ,preposition,ou(=,ἕ,pronoun,ka)\n,κἀν,conjunction,e)piplh/caimi,ἐπιπλήσσω,verb,toi=s,ὁ,article,*(/ellhsin,Ἕλλην,proper,ei),εἰ,conjunction,toio/sde,τοιόσδε,adjective,geno/menos,γίγνομαι,verb,o(poi=on,ὁποῖος,adjective,dhlw/sw,δηλόω,verb,mh/pw,μήπω,adverb,tugxa/noi,τυγχάνω,verb,th=s,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,do/chs,δόξα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ma/rkw|,Μάρκος,proper,toi/nun,τοίνυν,particle,h)=n,εἰμί,verb,a)nafora\,ἀναφορά,noun,tou=,ὁ,article,ge/nous,γένος,noun,e)s,εἰς,preposition,to\n,ὁ,article,a)rxai=on,ἀρχαῖος,adjective,*bu/zanta,,,path\r,πατήρ,noun,de\,δέ,particle,o(mw/numos,ὁμώνυμος,adjective,e)/xwn,ἔχω,verb,qalattourgou\s,θαλασσουργός,noun,oi)ke/tas,οἰκέτης,noun,e)n,ἐν,preposition,*(ierw=|,ἱερόν,noun,to\,ὁ,article,de\,δέ,particle,*(iero\n,ἱερόν,noun,para\,παρά,preposition,ta\s,ὁ,article,e)kbola\s,ἐκβολάς,noun,tou=,ὁ,article,*po/ntou,Πόντος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dida/skalos,διδάσκαλος,noun,de\,δέ,particle,au)tou=,αὐτός,pronoun,*)isai=os,,,e)ge/neto,γίγνομαι,verb,par',παρά,preposition,ou(=,ἕ,pronoun,kai\,καί,conjunction,to\,ὁ,article,kata\,κατά,preposition,fu/sin,φύσις,noun,e(rmhneu/ein,ἑρμηνεύω,verb,maqw\n,μανθάνω,verb,e)peko/smhsen,ἐπικοσμέω,verb,au)to\,αὐτός,pronoun,w(raisme/nh|,ὡραίζω,verb,pra|o/thti,πραότης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,para/deigma,παράδειγμα,noun,i(kanw/taton,ἱκανός,adjective,th=s,ὁ,article,*ma/rkou,Μάρκος,proper,i)de/as,ἰδέα,noun,o(,ὁ,article,*spartia/ths,Σπαρτιάτης,proper,o(,ὁ,article,cumbouleu/wn,συμβουλεύω,verb,toi=s,ὁ,article,*lakedaimoni/ois,Λακεδαιμόνιος,proper,mh\,μή,conjunction,parade/xesqai,παραδέχομαι,verb,tou\s,ὁ,article,a)po\,ἀπό,preposition,*sfakthri/as,Σφακτηρίη,proper,gumnou\s,γυμνός,adjective,h(/kontas,ἥκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=sde,ὅδε,pronoun,ga\r,γάρ,particle,th=s,ὁ,article,u(poqe/sews,ὑπόθεσις,noun,h)/rcato,ἄρχω,verb,w(=de,ὧδε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
