word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS
su/mbolon,σύμβολον,noun,h)/dh,ἤδη,adverb,moi,ἐγώ,pronoun,me/g',μέγας,adverb,o)nh/simon,ὀνήσιμος,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,o)nota/zw,ὀνοτάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xai=re,χαίρω,verb,fuh\n,φυή,noun,e)ro/essa,ἐρόεις,adjective,xoroitu/pe,χοροιτύπος,adjective,daito\s,δαίς,adjective,e(tai/rh,ἑταίρα,noun,a)spasi/h,ἀσπάσιος,adjective,profanei=sa,προφαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/qen,πόθεν,adverb,to/de,ὅδε,pronoun,kalo\n,καλός,noun,a)/qurma,ἄθυρμα,noun,ai)o/lon,αἰόλος,adjective,o)/strakon,ὄστρακον,noun,e(/sso,ἕννυμι,verb,xe/lus,χέλυς,noun,o)/resi,ὄρος,adjective,zw/ousa,ζώω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,oi)/sw,φέρω,verb,s',σύ,pronoun,e)s,εἰς,preposition,dw=ma,δῶμα,noun,labw/n,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)/felo/s,ὄφελος,noun,ti,τις,pronoun,moi,ἐγώ,pronoun,e)/ssh|,ἔσσομαι,verb,ou)d',οὐδέ,particle,a)potimh/sw,ἀποτιμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,de/,δέ,particle,me,ἐγώ,pronoun,prw/tiston,πρώτιστος,adjective,o)nh/seis,ὄνησις,noun,oi)/koi,οἴκοι,adverb,be/lteron,βέλτερος,adjective,ei)=nai,εἰμί,verb,e)pei\,ἐπεί,conjunction,blabero\n,βλαβερός,adjective,to\,ὁ,article,qu/rhfin,θύρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,ga\r,γάρ,particle,e)phlusi/hs,ἐπηλυσία,noun,poluph/monos,πολυπήμων,adjective,e)/sseai,ἔσσομαι,verb,e)/xma,ἔχμα,noun,zw/ous',ζώω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,qa/nh|s,θνήσκω,verb,to/te,τότε,adverb,ken,ἄν,particle,ma/la,μάλα,adverb,kalo\n,καλός,noun,a)ei/dois,ἀείδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(\s,ὅς,pronoun,a)\r',ἄρα,particle,e)/fh,φημί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,xersi\n,χείρ,noun,a(/m',ἅμα,adverb,a)mfote/rh|sin,ἀμφότερος,adjective,a)ei/ras,ἀείρω,verb,a)\y,ἄψ,adverb,ei)/sw,εἴσω,adverb,ki/e,κίω,verb,dw=ma,δῶμα,noun,fe/rwn,φέρω,verb,e)rateino\n,ἐρατεινός,adjective,a)/qurma,ἄθυρμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nq',ἔνθα,adverb,a)naphrw/sas,,,glufa/nw|,γλύφανος,adjective,polioi=o,πολιός,adjective,sidh/rou,σίδηρον,noun,ai)w=n',αἰών,noun,e)ceto/rhsen,ἐκτορέω,verb,o)reskw/|oio,ὀρεσκῷος,adjective,xelw/nhs,χελώνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,o(po/t',ὁπότε,adverb,w)ku\,ὠκύς,adjective,no/hma,νόημα,noun,dia\,διά,preposition,ste/rnoio,στέρνον,noun,perh/sh|,περάω,verb,a)ne/ros,ἀνήρ,noun,o(/n,ὅς,pronoun,te,τε,particle,qameiai\,θαμέες,noun,e)pistrwfw=si,ἐπιστρωφάω,verb,me/rimnai,μέριμνα,noun,h)\,ἠέ,conjunction,o(/te,ὅστε,pronoun,dinhqw=sin,δινέω,verb,a)p',ἀπό,preposition,o)fqalmw=n,ὀφθαλμός,noun,a)marugai/,ἀμαρυγή,adjective,w(\s,ὅς,pronoun,a(/m',ἅμα,adverb,e)/pos,ἔπος,adjective,te,τε,particle,kai\,καί,conjunction,e)/rgon,ἔργον,noun,e)mh/deto,μήδομαι,verb,ku/dimos,κύδιμος,adjective,*(ermh=s,Ἑρμῆς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ph=ce,πήγνυμι,verb,d',δέ,particle,a)/r',ἄρα,particle,e)n,ἐν,preposition,me/troisi,μέτρον,noun,tamw\n,τέμνω,verb,do/nakas,δόναξ,noun,kala/moio,κάλαμος,noun,peirh/nas,πειραίνω,verb,dia\,διά,preposition,nw=ta,νῶτον,noun,dia\,διά,preposition,r(inoi=o,ῥινόν,noun,xelw/nhs,χελώνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mfi\,ἀμφί,preposition,de\,δέ,particle,de/rma,δέρμα,noun,ta/nusse,τανύω,verb,boo\s,βοῦς,noun,prapi/dessin,πραπίδες,noun,e(h=|si,ἑός,adjective,kai\,καί,conjunction,ph/xeis,πῆχυς,noun,e)ne/qhk',ἐντίθημι,verb,e)pi\,ἐπί,preposition,de\,δέ,particle,zugo\n,ζυγόν,noun,h)/raren,ἀραρίσκω,verb,a)mfoi=n,ἄμφω,noun,e(pta\,ἑπτά,noun,de\,δέ,particle,qhlute/rwn,θῆλυς,adjective,o)i/wn,ὄις,noun,e)tanu/ssato,τανύω,verb,xorda/s,χορδή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ta\r,ἀτάρ,particle,e)pei\,ἐπεί,conjunction,dh\,δή,particle,teu=ce,τεύχω,verb,fe/rwn,φέρω,verb,e)rateino\n,ἐρατεινός,adjective,a)/qurma,ἄθυρμα,noun,plh/ktrw|,πλῆκτρον,noun,e)peirh/tize,πειρητίζω,verb,kata\,κατά,preposition,me/ros,μέρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,d',δέ,particle,u(po\,ὑπό,preposition,xeiro\s,χείρ,noun,smerdale/on,σμερδαλέος,adjective,kona/bhse,κοναβέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qeo\s,θεός,noun,d',δέ,particle,u(po\,ὑπό,preposition,kalo\n,καλός,noun,a)/eiden,ἀείδω,verb,e)c,ἐκ,preposition,au)tosxedi/hs,αὐτοσχέδιος,adjective,peirw/menos,πειράω,verb,h)u/te,ἠύτε,particle,kou=roi,κόρος,noun,h(bhtai\,ἡβητής,noun,qali/h|si,θαλία,noun,paraibo/la,παράβολος,adjective,kertome/ousin,κερτομέω,verb,a)mfi\,ἀμφί,preposition,*di/a,Δίη,proper,*kroni/dhn,Κρονίδης,proper,kai\,καί,conjunction,*maia/da,Μαιάς,proper,kallipe/dilon,καλλιπέδιλος,noun,w(s,ὡς,conjunction,pa/ros,πάρος,preposition,w)ri/zeskon,ὀαρίζω,verb,e(tairei/h|,ἑταιρεία,noun,filo/thti,φιλότης,noun,h(/n,ὅς,pronoun,t',τε,particle,au)tou=,αὐτός,pronoun,geneh\n,γενεά,noun,o)nomakluto\n,ὀνομακλυτός,adjective,e)conoma/zwn,ἐξονομάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mfipo/lous,ἀμφίπολος,adjective,te,τε,particle,ge/raire,γεραίρω,verb,kai\,καί,conjunction,a)glaa\,ἀγλαός,adjective,dw/mata,δῶμα,noun,nu/mfhs,νύμφη,noun,kai\,καί,conjunction,tri/podas,τρίπους,adjective,kata\,κατά,preposition,oi)=kon,οἶκος,noun,e)phetanou/s,ἐπηετανός,adjective,te,τε,particle,le/bhtas,λέβης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ta\,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,h)/eide,ἀείδω,verb,ta\,ὁ,article,de\,δέ,particle,fresi\n,φρήν,noun,a)/lla,ἄλλος,adjective,menoi/na,μενοινάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th\n,ὁ,article,me\n,μέν,particle,kate/qhke,κατατίθημι,verb,fe/rwn,φέρω,verb,i(erw=|,ἱερόν,noun,e)ni\,ἐν,preposition,li/knw|,λίκνον,noun,fo/rmigga,φόρμιγξ,noun,glafurh/n,γλαφυρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,d',δέ,particle,a)/ra,ἄρα,particle,kreiw=n,κρέας,noun,e)rati/zwn,ἐρατίζω,verb,a)=lto,ἅλλομαι,verb,kata\,κατά,preposition,skopih\n,σκοπιά,noun,eu)w/deos,εὐώδης,adverb,e)k,ἐκ,preposition,mega/roio,μέγαρον,noun,o(rmai/nwn,ὁρμαίνω,verb,do/lon,δόλος,noun,ai)pu\n,αἰπύς,adjective,e)ni\,ἐν,preposition,fresi/n,φρήν,noun,oi)=a/,οἶος,adjective,te,τε,particle,fw=tes,φώς,adjective,fhlhtai\,φηλητής,noun,die/pousi,διέπω,verb,melai/nhs,μέλας,adjective,nukto\s,νύξ,adjective,e)n,ἐν,preposition,w(/rh|,ὥρα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)e/lios,ἥλιος,noun,me\n,μέν,particle,e)/dune,δύω,verb,kata\,κατά,preposition,xqono\s,χθών,noun,*)wkeano/nde,Ὠκεανόνδε,adverb,au)toi=si/n,αὐτός,pronoun,q',τε,particle,i(/ppoisi,ἵππος,noun,kai\,καί,conjunction,a(/rmasin,ἅρμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ta\r,ἀτάρ,particle,a)/r',ἄρα,particle,*(ermh=s,Ἑρμῆς,proper,*pieri/hs,Πιερία,proper,a)fi/kane,ἀφικάνω,verb,qe/wn,θέω,verb,o)/rea,ὄρος,adjective,skio/enta,σκιόεις,adjective,e)/nqa,ἔνθα,adverb,qew=n,θέα,noun,maka/rwn,μάκαρος,adjective,bo/es,βοῦς,noun,a)/mbrotoi,ἄμβροτος,adjective,au)=lin,αὖλις,noun,e)/xeskon,ἔχω,verb,bosko/menai,βόσκω,verb,leimw=nas,λειμών,noun,a)khrasi/ous,ἀκηράσιος,adjective,e)rateinou/s,ἐρατεινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
