word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/21/lemma/@_entry,word/21/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS
ti/nes,τίς,pronoun,e)k,ἐκ,preposition,nuktw=n,νύξ,adjective,ta\s,ὁ,article,h(mete/ras,ἡμέτερος,adjective,koi/tas,κοίτη,noun,pla/qous',πλάθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ne/pein,ἐνέπω,verb,xrh/,χρή,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fu/lakes,φύλαξ,noun,stratia=s,στρατία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,fe/rh|,φέρω,verb,qoru/bw|,θόρυβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mw=n,μῶν,adverb,tis,τις,pronoun,lo/xos,λόχος,noun,e)k,ἐκ,preposition,nuktw=n,νύξ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,su\,σύ,pronoun,ga\r,γάρ,particle,fulaka\s,φυλακή,noun,prolipw\n,προλείπω,verb,kinei=s,κινέω,verb,stratia/n,στρατία,noun,ei),εἰ,conjunction,mh/,μή,conjunction,tin',τις,pronoun,e)/xwn,ἔχω,verb,nukthgori/an,νυκτηγορία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,oi)=sqa,οἶδα,verb,doro\s,δόρυ,noun,pe/las,πέλας,adverb,*)argei/ou,Ἀργεῖος,proper,nuxi/an,νύχιος,adjective,h(ma=s,ἐγώ,pronoun,koi/tan,κοίτη,noun,pano/plous,πάνοπλος,adjective,kate/xontas,κατέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(pli/zou,ὁπλίζω,verb,xe/ra,χείρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summa/xwn,σύμμαχος,adjective,*(/ektor,Ἕκτωρ,proper,ba=qi,βαίνω,verb,pro\s,πρός,preposition,eu)na/s,εὐνή,noun,o)/trunon,ὀτρύνω,verb,e)/gxos,ἔγχος,noun,ai)/rein,αἴρω,verb,a)fu/pnison,ἀφυπνίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pe/mpe,πέμπω,verb,fi/lous,φίλος,adjective,i)e/nai,εἶμι,verb,poti\,πρός,preposition,so\n,σός,adjective,lo/xon,λόχος,noun,a(rmo/sate,ἁρμόζω,verb,yali/ois,ψάλιον,noun,i(/ppous,ἵππος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,ei)=s',εἴδομαι,verb,e)pi\,ἐπί,preposition,*panqoi/+dan,Πανθοΐδης,proper,h)\,ἠέ,conjunction,to\n,ὁ,article,*eu)rw/pas,Εὐρώπη,proper,*luki/wn,Λύκιοι,proper,a)go\n,ἀγός,noun,a)ndrw=n,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pou=,πού,adverb,sfagi/wn,σφάγιον,noun,e)/foroi,ἔφορος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pou=,πού,adverb,de\,δέ,particle,gumnh/twn,γυμνής,noun,mo/narxoi,μόναρχος,noun,tocofo/roi,τοξοφόρος,noun,te,τε,particle,*frugw=n,Φρύξ,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeu/gnute,ζεύγνυμι,verb,kero/deta,κερόδετος,adjective,to/ca,τόξον,noun,neurai=s,νευρά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me\n,μέν,particle,a)gge/lleis,ἀγγέλλω,verb,dei/mat',δεῖμα,noun,a)kou/ein,ἀκούω,verb,ta\,ὁ,article,de\,δέ,particle,qarsu/neis,θαρσύνω,verb,kou)de\n,οὐδείς,pronoun,kaqarw=s,καθαρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,h)=,ἦ,adverb,*kroni/ou,Κρόνιος,proper,*pano\s,Πάν,proper,tromera=|,,,ma/stigi,μάστιξ,noun,fobh=|,φοβέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,qroei=s,θροέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,se,σύ,pronoun,fw=,φημί,verb,ne/on,νέος,adjective,a)gge/llein,ἀγγέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polla\,πολύς,adjective,ga\r,γάρ,particle,ei)pw\n,εἶπον,verb,ou)de\n,οὐδείς,pronoun,tranw=s,τρανής,adverb,a)pe/deicas,ἀποδείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pu/r',πῦρ,noun,ai)/qei,αἴθω,verb,strato\s,στρατός,noun,*)argo/las,Ἀργόλας,proper,*(/ektor,Ἕκτωρ,proper,pa=san,πᾶς,adjective,a)n',ἀνά,preposition,o)/rfnan,ὄρφνη,noun,dieipeth=,,,de\,δέ,particle,naw=n,ναός,noun,pursoi=s,πυρρός,adjective,staqma/,σταθμόν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa=s,πᾶς,adjective,d',δέ,particle,*)agamemnoni/an,Ἀγαμεμνόνεος,proper,prose/ba,προσβαίνω,verb,strato\s,στρατός,noun,e)nnu/xios,ἐννύχιος,adjective,qoru/bw|,θόρυβος,noun,skhna/n,σκηνή,noun,ne/an,νέα,adjective,tin',τις,pronoun,e)fie/menoi,ἐφίημι,verb,ba/cin,βάξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga/r,γάρ,particle,pw,πω,particle,pa/ros,πάρος,preposition,w(=d',ὧδε,adverb,e)fobh/qh,φοβέω,verb,nausipo/ros,ναυσιπόρος,adjective,stratia/,στρατία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soi\,σύ,pronoun,d',δέ,particle,u(popteu/wn,ὑποπτεύω,verb,to\,ὁ,article,me/llon,μέλλω,verb,h)/luqon,ἔρχομαι,verb,a)/ggelos,ἄγγελος,noun,w(s,ὡς,conjunction,mh/pot',μήποτε,adverb,e)s,εἰς,preposition,e)me/,ἐγώ,pronoun,tina,τις,pronoun,me/myin,μέμψις,noun,ei)/ph|s,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,kairo\n,καιρός,noun,h(/keis,ἥκω,verb,kai/per,καίπερ,particle,a)gge/llwn,ἀγγέλλω,verb,fo/bon,φόβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/ndres,ἀνήρ,noun,ga\r,γάρ,particle,e)k,ἐκ,preposition,gh=s,γῆ,noun,th=sde,ὅδε,pronoun,nukte/rw|,νύκτερος,adjective,pla/th|,πλάτη,noun,laqo/ntes,λανθάνω,verb,o)/mma,ὄμμα,noun,tou)mo\n,ἐμός,adjective,a)rei=sqai,ἀείρω,verb,fugh\n,φυγή,noun,me/llousi,μέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sai/nei,σαίνω,verb,m',ἐγώ,pronoun,e)/nnuxos,ἔννυχος,adverb,fruktwri/a,φρυκτωρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,dai=mon,δαίμων,adjective,o(/stis,ὅστις,pronoun,m',ἐγώ,pronoun,eu)tuxou=nt',εὐτυχέω,verb,e)no/sfisas,νοσφίζομαι,verb,qoi/nhs,θοίνη,noun,le/onta,λέων,noun,pri\n,πρίν,adverb,to\n,ὁ,article,*)argei/wn,Ἀργᾶς,proper,strato\n,στρατός,noun,su/rdhn,σύρδην,adverb,a(/panta,ἅπας,adjective,tw=|d',ὅδε,pronoun,a)nalw=sai,ἀναλίσκω,verb,dori/,δόρυ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,ga\r,γάρ,particle,faennoi\,φαεινός,adjective,mh\,μή,conjunction,cune/sxon,συνόχωκα,verb,h(li/ou,ἥλιος,noun,lampth=res,λαμπτήρ,noun,ou)/ta)\n,,,e)/sxon,ἔχω,verb,eu)tuxou=n,εὐτυχέω,verb,do/ru,δόρυ,noun,pri\n,πρίν,adverb,nau=s,ναῦς,noun,purw=sai,πυράζω,verb,kai\,καί,conjunction,dia\,διά,preposition,skhnw=n,σκῆνος,noun,molei=n,βλώσκω,verb,ktei/nwn,κτείνω,verb,*)axaiou\s,Ἀχαιός,proper,th=|de,ὅδε,pronoun,polufo/nw|,xeri/,χείρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)gw\,ἐγώ,pronoun,me\n,μέν,particle,h)=,ἦ,adverb,pro/qumos,πρόθυμος,adjective,i(e/nai,ἵημι,verb,do/ru,δόρυ,noun,e)n,ἐν,preposition,nukti\,νύξ,adjective,xrh=sqai/,χράομαι,verb,t',τε,particle,eu)tuxei=,εὐτυχέω,verb,r(u/mh|,ῥύμη,adjective,qeou=,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,oi(,ὁ,article,sofoi/,σοφός,adjective,me,ἐγώ,pronoun,kai\,καί,conjunction,to\,ὁ,article,qei=on,θεῖος,adjective,ei)do/tes,οἶδα,verb,ma/nteis,μάντις,noun,e)/peisan,ἐφίζω,verb,h(me/ras,ἡμέρα,noun,mei=nai,μένω,verb,fa/os,φάος,adjective,ka)/peit',ἔπειτα,adverb,*)axaiw=n,Ἀχαία,proper,mhde/n',μηδείς,pronoun,e)n,ἐν,preposition,xe/rsw|,χέρσος,noun,lipei=n,λείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
