word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS,word/91/lemma/@_entry,word/91/lemma/@_POS
ei),εἰ,conjunction,ga\r,γάρ,particle,h)=n,εἰμί,verb,a)nagkai=on,ἀναγκαῖος,adjective,au)to/n,αὐτός,pronoun,w(/sper,ὥσπερ,adverb,h)=n,i)/sws,ἴσως,adverb,a)nelei=n,ἀναιρέω,verb,eu)qu\s,εὐθύς,adverb,e)/dei,δέω,verb,labo/nta,λαμβάνω,verb,kai\,καί,conjunction,tou=,ὁ,article,keleu/santos,κελεύω,verb,a)\n,ἄν,particle,h)=n,εἰμί,verb,to\,ὁ,article,e)/rgon,ἔργον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,
o(,ὁ,article,de\,δέ,particle,de/smion,δέσμιον,noun,proagagw\n,προάγω,verb,a)/ndra,ἀνήρ,noun,*(rwmai=on,,,tri\s,u(pateu/santa,ὑπατεύω,verb,kai\,καί,conjunction,pro\,πρό,preposition,tou=,ὁ,article,bh/matos,βῆμα,noun,sth/sas,ἵστημι,verb,kaqezo/menos,καθέζομαι,verb,au)to\s,αὐτός,pronoun,a)ne/krinen,ἀνακρίνω,verb,a)xqome/nwn,ἄχθομαι,verb,kai\,καί,conjunction,barunome/nwn,βαρύνω,verb,tw=n,ὁ,article,paro/ntwn,πάρειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τρίς,adverb,,,,
ei)=ta,εἶτα,adverb,e)ke/leusen,κελεύω,verb,a)pagago/ntas,ἀπάγω,verb,a)nelei=n,ἀναιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)paxqe/nta,ἀπάγω,verb,me/ntoi,μέντοι,particle,fasi\n,φημί,verb,au)to/n,αὐτός,pronoun,w(s,ὡς,conjunction,ei)=den,εἶδον,verb,e(lko/menon,h)/dh,ἤδη,adverb,to\,ὁ,article,ci/fos,ξίφος,noun,dei=sqai,δέομαι,verb,to/pon,τόπος,noun,au(tw=|,ἑαυτοῦ,pronoun,kai\,καί,conjunction,xro/non,χρόνος,noun,braxu/n,βραχύς,adjective,w(s,ὡς,conjunction,u(po\,ὑπό,preposition,koili/as,κοιλία,noun,e)noxloume/nw|,ἐνοχλέω,verb,parasxei=n,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἕλκω,verb,,,,
*ga/i+os,Γαῗος,proper,de\,δέ,particle,*)/oppios,,,o(,ὁ,article,*kai/saros,Καῖσαρ,proper,e(tai=ros,ἑταῖρος,noun,a)panqrw/pws,fhsi\,φημί,verb,kai\,καί,conjunction,*koi/+ntw|,Κόϊντος,proper,*ou)alleri/w|,,,xrh/sasqai,χράω,verb,to\n,ὁ,article,*pomph/i+on,Πομπήιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀπάνθρωπος,adjective,,,,
e)pista/menon,ἐφίστημι,verb,ga\r,γάρ,particle,w(s,ὡς,conjunction,e)/sti,εἰμί,verb,filolo/gos,,,a)nh\r,ἀνήρ,noun,kai\,filomaqh\s,φιλομαθής,adverb,e)n,ἐν,preposition,o)li/gois,ὀλίγος,adjective,o(,ὁ,article,*ou)alle/rios,,,w(s,ὡς,conjunction,h)/xqh,ἄγω,verb,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,e)pispasa/menon,ἐπισπάω,verb,kai\,καί,conjunction,sumperipath/santa,συμπεριπατέω,verb,kai\,καί,conjunction,puqo/menon,πύθω,verb,w(=n,ὅς,pronoun,e)/xrh|ze,χρῄζω,verb,kai\,καί,conjunction,maqo/nta,μανθάνω,verb,prosta/cai,προσστάζω,verb,toi=s,ὁ,article,u(phre/tais,ὑπηρέτης,noun,eu)qu\s,εὐθύς,adverb,a)nelei=n,ἀναιρέω,verb,a)pagago/ntas,ἀπάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,
a)ll',ἀλλά,adverb,*)oppi/w|,,,me/n,μέν,particle,o(/tan,ὅταν,conjunction,peri\,περί,preposition,tw=n,ὁ,article,*kai/saros,polemi/wn,πολέμιος,adjective,h)\,ἠέ,conjunction,fi/lwn,φίλος,adjective,diale/ghtai,διαλέγω,verb,sfo/dra,σφόδρα,adverb,dei=,δέομαι,verb,pisteu/ein,πιστεύω,verb,meta\,μετά,preposition,eu)labei/as,εὐλάβεια,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Καῖσαρ,proper,,,,
*pomph/i+os,Πομπήιος,proper,de\,δέ,particle,tou\s,ὁ,article,me\n,μέν,particle,e)n,ἐν,preposition,do/ch|,δόξα,noun,ma/lista,tw=n,ὁ,article,*su/lla,συλλάω,verb,polemi/wn,πολέμιος,adjective,kai\,καί,conjunction,fanerw=s,φανερός,adjective,a(liskome/nous,ἁλίσκομαι,verb,a)nagkai/ws,ἀναγκαῖος,adjective,e)ko/laze,κολάζω,verb,tw=n,ὁ,article,d',δέ,particle,a)/llwn,ἄλλος,adjective,o(/sous,ὅσος,adjective,e)ch=n,ἔξεστι,verb,periew/ra,περιοράω,verb,lanqa/nontas,λανθάνω,verb,e)ni/ous,ἔνιοι,adjective,de\,δέ,particle,kai\,καί,conjunction,sunece/pempe,συνεκπέμπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μάλιστα,adverb,,,,
th\n,ὁ,article,de\,δέ,particle,*(imerai/wn,Ἱμέραιος,proper,po/lin,πόλις,adjective,e)gnwko/tos,γιγνώσκω,verb,au)tou=,αὐτός,pronoun,kola/zein,genome/nhn,γίγνομαι,verb,meta\,μετά,preposition,tw=n,ὁ,article,polemi/wn,πολέμιος,adjective,*sqe/nis,,,o(,ὁ,article,dhmagwgo\s,δημαγωγός,noun,ai)thsa/menos,αἰτέω,verb,lo/gon,λόγος,noun,ou)k,οὐ,adverb,e)/fh,φημί,verb,di/kaia,δίκαιος,adjective,poih/sein,ποιέω,verb,to\n,ὁ,article,*pomph/i+on,Πομπήιος,proper,e)a\n,ἐάν,conjunction,to\n,ὁ,article,ai)/tion,αἴτιος,adjective,a)fei\s,ἀφίημι,verb,a)pole/sh|,ἀπόλλυμι,verb,tou\s,ὁ,article,mhde\n,μηδείς,pronoun,a)dikou=ntas,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κολάζω,verb,,,,
e)rome/nou,ἔρομαι,verb,de\,δέ,particle,e)kei/nou,ἐκεῖνος,pronoun,ti/na,τίς,pronoun,le/gei,λέγω,verb,to\n,ὁ,article,ai)/tion,e(auto\n,ἑαυτοῦ,pronoun,o(,ὁ,article,*sqe/nis,,,e)/fh,φημί,verb,tou\s,ὁ,article,me\n,μέν,particle,fi/lous,φίλος,adjective,pei/santa,πείθω,verb,tw=n,ὁ,article,politw=n,πολίτης,noun,tou\s,ὁ,article,d',δέ,particle,e)xqrou\s,ἐχθρός,adjective,biasa/menon,βιάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αἴτιος,adjective,,,,
a)gasqei\s,ἄγαμαι,verb,ou)=n,οὖν,particle,th\n,ὁ,article,parrhsi/an,παρρησία,noun,kai\,καί,conjunction,to\,ὁ,article,fro/nhma,tou=,ὁ,article,a)ndro\s,ἀνήρ,noun,o(,ὁ,article,*pomph/i+os,Πομπήιος,proper,a)fh=ke,ἀφήκω,verb,th=s,ὁ,article,ai)ti/as,αἰτία,noun,prw=ton,πρότερος,adjective,e)kei=non,ἐκεῖνος,pronoun,ei)=ta,εἶτα,adverb,tou\s,ὁ,article,a)/llous,ἄλλος,adjective,a(/pantas,ἅπας,adjective,a)kou/wn,ἀκούω,verb,de\,δέ,particle,tou\s,ὁ,article,stratiw/tas,στρατιώτης,adjective,e)n,ἐν,preposition,tai=s,ὁ,article,o(doipori/ais,ὁδοιπορία,noun,a)taktei=n,ἀτακτέω,verb,sfragi=da,σφραγίς,adjective,tai=s,ὁ,article,maxai/rais,μάχαιρα,noun,au)tw=n,αὐτός,pronoun,e)pe/balen,ἐπιβάλλω,verb,h(\n,ὅς,pronoun,o(,ὁ,article,mh\,μή,conjunction,fula/cas,φυλάσσω,verb,e)kola/zeto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,φρόνημα,noun,κολάζω,verb,,
tau=ta,οὗτος,pronoun,pra/ttwn,πράσσω,verb,e)n,ἐν,preposition,*sikeli/a|,Σικελία,proper,kai\,καί,conjunction,politeuo/menos,πολιτεύω,verb,e)de/cato,do/gma,δόγμα,noun,sugklh/tou,σύγκλητος,adjective,kai\,καί,conjunction,gra/mmata,γράμμα,noun,*su/lla,συλλάω,verb,keleu/onta,κελεύω,verb,ei)s,εἰς,preposition,*libu/hn,Λιβύη,proper,plei=n,πλέω,verb,kai\,καί,conjunction,polemei=n,πολεμέω,verb,*dometi/w|,,,kata\,κατά,preposition,kra/tos,κράτος,noun,h)qroiko/ti,ἀθροίζω,verb,pollaplasi/an,πολλαπλάσιος,adjective,du/namin,δύναμις,adjective,h(=s,ὅς,pronoun,e)/xwn,ἔχω,verb,*ma/rios,Μάρης,proper,ou),οὐ,adverb,pa/lai,πάλαι,adverb,diepe/rasen,διαπεράω,verb,e)k,ἐκ,preposition,*libu/hs,Λιβύη,proper,ei)s,εἰς,preposition,*)itali/an,Ἰταλία,proper,kai\,καί,conjunction,sune/xei,συγχέω,verb,ta\,ὁ,article,*(rwmai/wn,pra/gmata,πρᾶγμα,noun,tu/rannos,τύραννος,noun,e)k,ἐκ,preposition,fuga/dos,φυγάς,noun,katasta/s,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέχομαι,verb,,,,
o)ce/ws,ὀξέως,adverb,ou)=n,οὖν,particle,a(/panta,ἅπας,adjective,paraskeuasa/menos,παρασκευάζω,verb,o(,ὁ,article,*pomph/i+os,Πομπήιος,proper,*sikeli/as,me\n,μέν,particle,a)/rxonta,ἄρχων,noun,*me/mmion,,,kate/lipe,καταλιμπάνω,verb,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,th=s,ὁ,article,a)delfh=s,ἀδελφή,noun,au)to\s,αὐτός,pronoun,de\,δέ,particle,a)nh/geto,ἀνάγω,verb,nausi\,ναῦς,noun,me\n,μέν,particle,makrai=s,μακρός,adjective,e(kato\n,ἑκατόν,noun,ei)/kosi,εἴκοσι,verb,forthgoi=s,φορτηγέω,verb,de\,δέ,particle,si=ton,σῖτος,noun,kai\,καί,conjunction,be/lh,βέλος,noun,kai\,καί,conjunction,xrh/mata,χρῆμα,adjective,kai\,καί,conjunction,mhxana\s,μηχανή,noun,komizou/sais,κομίζω,verb,o)ktakosi/ais,ὀκτακόσιοι,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Σικελία,proper,,,,
