word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS
kai\,καί,conjunction,o(,ὁ,article,*galaci/dwros,,,oi)/ei,ga/r,γάρ,particle,e)/fh,φημί,verb,*qeo/krite,Θεόκριτος,proper,to\,ὁ,article,*swkra/tous,Σωκράτης,proper,daimo/nion,δαιμόνιον,noun,i)di/an,ἴδιος,adjective,kai\,καί,conjunction,peritth\n,περισσός,adjective,e)sxhke/nai,ἔχω,verb,du/namin,δύναμις,adjective,,,,,,,,,,οἴομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)xi\,οὐ,adverb,th=s,ὁ,article,koinh=s,κοινός,adjective,mo/rio/n,ti,τις,pronoun,mantikh=s,μαντικός,adjective,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,pei/ra|,πεῖρα,noun,bebaiwsa/menon,βεβαιόω,verb,e)n,ἐν,preposition,toi=s,ὁ,article,a)dh/lois,ἄδηλος,adjective,kai\,καί,conjunction,a)tekma/rtois,ἀτέκμαρτος,adjective,tw=|,ὁ,article,logismw=|,λογισμός,noun,r(oph\n,ῥοπή,noun,μορέω,verb,e)pa/gein,ἐπάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,ga\r,γάρ,particle,o(lkh\,ὁλκή,noun,mi/a,kaq',κατά,preposition,au(th\n,ἑαυτοῦ,pronoun,ou)k,οὐ,adverb,a)/gei,ἄγω,verb,to\n,ὁ,article,zugo/n,ζυγόν,noun,i)sorropou=nti,ἰσορροπέω,verb,de\,δέ,particle,ba/rei,βάρος,noun,prostiqeme/nh,προστίθημι,verb,kli/nei,κλίνω,verb,to\,ὁ,article,su/mpan,σύμπας,adjective,e)f',ἐπί,preposition,εἷς,adjective,e(auth/n,ἑαυτοῦ,pronoun,ou(/tw,οὕτως,adverb,ptarmo\s,πταρμός,noun,h)\,ἠέ,conjunction,klhdw\n,κληδών,noun,h)/,ἠέ,conjunction,ti,τις,pronoun,toiou=ton,τοιοῦτος,adjective,su/mbolon,σύμβολον,noun,kai\,καί,conjunction,kou=fon,κοῦφος,adjective,e)mbriqh=,ἐμβριθής,adverb,dia/noian,διάνοια,noun,e)pispa/sasqai,ἐπισπάω,verb,pro\s,πρός,preposition,pra=cin,πρᾶξις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duei=n,δυάω,verb,d',δέ,particle,e)nanti/wn,ἐναντίος,adjective,logismw=n,qate/rw|,ἕτερος,adjective,proselqo\n,προσέρχομαι,verb,e)/luse,ἐλύω,verb,th\n,ὁ,article,a)pori/an,ἀπορία,noun,th=s,ὁ,article,i)so/thtos,ἰσότης,noun,a)naireqei/shs,ἀναιρέω,verb,w(/ste,ὥστε,conjunction,ki/nhsin,κίνησις,adjective,gi/gnesqai,γίγνομαι,verb,kai\,καί,conjunction,o(rmh/n,ὁρμή,noun,,,,λογισμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(polabw\n,ὑπολαμβάνω,verb,d',δέ,particle,o(,ὁ,article,path/r,a)lla\,ἀλλά,adverb,mh/n,μήν,particle,e)/fh,φημί,verb,kai\,καί,conjunction,au)to/s,αὐτός,pronoun,w)=,ὦ,interjection,*galaci/dwre,,,*megarikou=,Μεγαρικός,adjective,tinos,τις,pronoun,h)/kousa,ἀκούω,verb,*teryi/wnos,,,de\,δέ,particle,e)kei=nos,ἐκεῖνος,pronoun,o(/ti,ὅστις,pronoun,πατήρ,noun,to\,ὁ,article,*swkra/tous,Σωκράτης,proper,daimo/nion,δαιμόνιον,noun,ptarmo\s,πταρμός,noun,h)=n,εἰμί,verb,o(/,ὅς,pronoun,te,τε,particle,par',παρά,preposition,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,o(,ὁ,article,par',παρά,preposition,a)/llwn,ἄλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(te/rou,ἕτερος,adjective,me\n,μέν,particle,ptaro/ntos,πταίρω,verb,e)k,decia=s,δεξιός,adjective,ei)/t',εἴτε,adverb,o)/pisqen,ὄπισθεν,adverb,ei)/t',εἴτε,adverb,e)/mprosqen,ἔμπροσθεν,adverb,o(rma=n,ὁρμή,noun,au)to\n,αὐτός,pronoun,e)pi\,ἐπί,preposition,th\n,ὁ,article,pra=cin,πρᾶξις,adjective,,,,,,,,,,,,,ἐκ,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,e)c,ἐκ,preposition,a)ristera=s,a)potre/pesqai,ἀποτρέπω,verb,tw=n,ὁ,article,d',δέ,particle,au)tou=,αὐτός,pronoun,ptarmw=n,πταρμός,noun,to\n,ὁ,article,me\n,μέν,particle,e)/ti,ἔτι,adverb,me/llontos,μέλλω,verb,bebaiou=n,βεβαιόω,verb,to\n,ὁ,article,d',δέ,particle,h)/dh,ἤδη,adverb,pra/ssontos,πράσσω,verb,ἀριστερός,adjective,e)pe/xein,ἐπέχω,verb,kai\,καί,conjunction,kwlu/ein,κωλύω,verb,th\n,ὁ,article,o(rmh/n,ὁρμή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)kei=no/,ἐκεῖνος,pronoun,moi,ἐγώ,pronoun,dokei=,qaumasto/n,θαυμαστός,adjective,ei),εἰ,conjunction,ptarmw=|,πταρμός,noun,xrw/menos,χράομαι,verb,ou),οὐ,adverb,tou=to,οὗτος,pronoun,toi=s,ὁ,article,e(tai/rois,ἑταῖρος,noun,a)lla\,ἀλλά,adverb,daimo/nion,δαιμόνιον,noun,ei)=nai,εἰμί,verb,to\,ὁ,article,kwlu=on,κωλύω,verb,h)\,ἠέ,conjunction,δοκέω,verb,keleu=on,κελεύω,verb,e)/lege,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tu/fou,τῦφος,noun,ga\r,γάρ,particle,a)\n,ἄν,particle,h)=n,tinos,τις,pronoun,w)=,ὦ,interjection,fi/le,φίλος,adjective,kenou=,κενός,adjective,kai\,καί,conjunction,ko/mpou,κομπόω,verb,to\,ὁ,article,toiou=ton,τοιοῦτος,adjective,ou)k,οὐ,adverb,a)lhqei/as,ἀλήθεια,adjective,kai\,καί,conjunction,a(plo/thtos,ἁπλότης,noun,oi(=s,ὅς,pronoun,to\n,ὁ,article,εἰμί,verb,a)/ndra,ἀνήρ,noun,me/gan,μέγας,adverb,w(s,ὡς,conjunction,a)lhqw=s,ἀληθής,adjective,kai\,καί,conjunction,diafe/ronta,διαφέρω,verb,tw=n,ὁ,article,pollw=n,πολύς,adjective,gegone/nai,γίγνομαι,verb,dokou=men,δοκέω,verb,u(po\,ὑπό,preposition,fwnh=s,φωνή,noun,e)/cwqen,ἔξωθεν,adverb,h)\,ἠέ,conjunction,ptarmou=,πταρμός,noun,tinos,τις,pronoun,o(phni/ka,ὁπηνίκα,adverb,tu/xoi,τυγχάνω,verb,qorubou/menon,θορυβέω,verb,e)k,ἐκ,preposition,tw=n,ὁ,article,pra/cewn,πρᾶξις,adjective,a)natre/pesqai,ἀνατρέπω,verb,kai\,καί,conjunction,proi/+esqai,προίημι,verb,to\,ὁ,article,dedogme/non,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,de\,δέ,particle,*swkra/tous,Σωκράτης,proper,au)=,o(rmai\,ὁρμή,noun,to\,ὁ,article,be/baion,βέβαιος,adjective,e)/xousai,ἔχω,verb,kai\,καί,conjunction,sfodro/thta,σφοδρότης,noun,fai/nontai,φαίνω,verb,pro\s,πρός,preposition,a(/pan,ἅπας,adjective,w(s,ὡς,conjunction,a)\n,ἄν,particle,e)c,ἐκ,preposition,o)rqh=s,ὀρθός,adjective,kai\,καί,conjunction,αὖ,interjection,i)sxura=s,ἰσχυρός,adjective,a)feime/nai,ἀφίημι,verb,kri/sews,κρίσις,adjective,kai\,καί,conjunction,a)rxh=s,ἀρχή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peni/a|,πενία,noun,ga\r,γάρ,particle,e)mmei=nai,ἐμμένω,verb,para\,pa/nta,πᾶς,adjective,to\n,ὁ,article,bi/on,βίος,adjective,e(kousi/ws,ἑκούσιος,adjective,su\n,σύν,preposition,pai\,πη,particle,xa/riti,χάρις,noun,tw=n,ὁ,article,dido/ntwn,δίδωμι,verb,e)/xein,ἔχω,verb,duna/menon,δύναμαι,verb,kai\,καί,conjunction,filosofi/as,φιλοσοφία,noun,mh\,μή,conjunction,παρά,preposition,e)ksth=nai,ἐξίστημι,verb,pro\s,πρός,preposition,tosau=ta,τοσοῦτος,adjective,kwlu/mata,κώλυμα,noun,kai\,καί,conjunction,te/los,τέλος,noun,ei)s,εἰς,preposition,swthri/an,σωτηρία,noun,kai\,καί,conjunction,fugh\n,φυγή,noun,au)tw=|,αὐτός,pronoun,spoudh=s,σπουδή,noun,e(tai/rwn,ἑταῖρος,noun,kai\,καί,conjunction,paraskeuh=s,παρασκευή,noun,eu)mhxa/nou,εὐμήχανος,adjective,genome/nhs,γίγνομαι,verb,mh/te,μήτε,particle,kamfqh=nai,κάμπτω,verb,liparou=si,λιπαρέω,verb,mh/q',μήτε,particle,u(poxwrh=sai,ὑποχωρέω,verb,tw=|,ὁ,article,qana/tw|,θάνατος,adjective,pela/zonti,πελάζω,verb,xrh=sqai,χράομαι,verb,d',δέ,particle,a)tre/ptw|,ἄτρεπτος,adjective,tw=|,ὁ,article,logismw=|,λογισμός,noun,pro\s,πρός,preposition,to\,ὁ,article,deino/n,δεινός,adjective,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,a)ndro\s,ἀνήρ,noun,e)k,ἐκ,preposition,klhdo/nwn,κληδών,noun,h)\,ἠέ,conjunction,ptarmw=n,πταρμός,noun,metaballome/nhn,μεταβάλλω,verb,o(/te,ὅτε,conjunction,tu/xoi,τυγχάνω,verb,gnw/mhn,γνώμη,noun,e)/xontos,ἔχω,verb,a)ll',ἀλλά,adverb,u(po\,ὑπό,preposition,mei/zonos,μέγας,adverb,e)pistasi/as,ἐπιστάσιος,adjective,kai\,καί,conjunction,a)rxh=s,ἀρχή,noun,a)gome/nou,ἄγω,verb,pro\s,πρός,preposition,to\,ὁ,article,kalo/n,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)kou/w,ἀκούω,verb,de\,δέ,particle,kai\,καί,conjunction,th\n,e)n,ἐν,preposition,*sikeli/a|,Σικελία,proper,th=s,ὁ,article,*)aqhnai/wn,Ἀθήναια,proper,duna/mews,δύναμις,adjective,fqora\n,φθορά,noun,proeipei=n,προεῖπον,verb,au)to\n,αὐτός,pronoun,e)ni/ois,ἔνιοι,adjective,tw=n,ὁ,article,fi/lwn,φίλος,adjective,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pro/teron,πρότερος,adjective,e)/ti,ἔτι,adverb,tou/twn,*purila/mphs,Πυριλάμπης,proper,o(,ὁ,article,*)antifw=ntos,Ἀντιφών,proper,a(lou\s,ἁλίσκομαι,verb,e)n,ἐν,preposition,th=|,ὁ,article,diw/cei,δίωξις,adjective,peri\,περί,preposition,*dh/lion,Δήλιος,proper,u(f',ὑπό,preposition,h(mw=n,ἐγώ,pronoun,dorati/w|,δοράτιον,noun,tetrwme/nos,τιτρώσκω,verb,w(s,ὡς,conjunction,οὗτος,pronoun,h)/kouse,ἀκούω,verb,tw=n,ὁ,article,e)pi\,ἐπί,preposition,ta\s,ὁ,article,sponda\s,σπονδή,noun,a)fikome/nwn,ἀφικνέομαι,verb,*)aqh/nhqen,Ἀθήνηθεν,adverb,o(/ti,ὅστις,pronoun,*swkra/ths,Σωκράτης,proper,met',μετά,preposition,*)alkibia/dou,Ἀλκιβιάδης,proper,kai\,καί,conjunction,*la/xhtos,Λάχης,proper,e)pi\,ἐπί,preposition,*(rhgi/sths,,,kataba\s,καταβαίνω,verb,a)ponenosth/koi,ἀπονοστέω,verb,polla\,πολύς,adjective,me\n,μέν,particle,tou=ton,οὗτος,pronoun,a)nekale/sato,ἀνακαλέω,verb,polla\,πολύς,adjective,de\,δέ,particle,fi/lous,φίλος,adjective,tina\s,τις,pronoun,kai\,καί,conjunction,loxi/tas,λοχίτης,adjective,oi(=s,ὅς,pronoun,sune/bh,συμβαίνω,verb,met',μετά,preposition,au)tou=,αὐτός,pronoun,para\,παρά,preposition,th\n,ὁ,article,*pa/rnhqa,Πάρνης,proper,feu/gousin,φεύγω,verb,u(po\,ὑπό,preposition,tw=n,ὁ,article,h(mete/rwn,ἡμέτερος,adjective,i(ppe/wn,ἱππεύς,noun,a)poqanei=n,ἀποθνήσκω,verb,w(s,ὡς,conjunction,tou=,ὁ,article,*swkra/tous,Σωκράτης,proper,daimoni/ou,δαιμόνιον,noun,parakou/santas,παρακούω,verb,e(te/ran,ἕτερος,adjective,o(do\n,ὁδός,adjective,ou)x,οὐ,adverb,h(\n,ὅς,pronoun,e)kei=nos,ἐκεῖνος,pronoun,h)=ge,ἄγω,verb,trepome/nous,τρέπω,verb,a)po\,ἀπό,preposition,th=s,ὁ,article,ma/xhs,μάχη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,d',δέ,particle,oi)=mai,οἴομαι,verb,kai\,*simmi/an,Σιμμίας,proper,a)khkoe/nai,ἀκούω,verb,polla/kis,πολλάκις,adverb,o(,ὁ,article,*simmi/as,Σιμμίας,proper,e)/fh,φημί,verb,kai\,καί,conjunction,pollw=n,πολύς,adjective,dieboh/qh,διαβοάω,verb,ga\r,γάρ,particle,ou)k,οὐ,adverb,h)re/ma,ἠρέμα,adverb,to\,ὁ,article,*swkra/tous,Σωκράτης,proper,καί,conjunction,*)aqh/nhsin,Ἀθήνησιν,adverb,e)k,ἐκ,preposition,tou/twn,οὗτος,pronoun,daimo/nion,δαιμόνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ou)=n,οὖν,particle,o(,ὁ,article,*feido/laos,ei)=pen,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
