word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS
*loci/a|,Λοξίας,proper,d',δέ,particle,e)gw\,ἐγώ,pronoun,xa/rin,χάρις,noun,pra/sswn,πράσσω,verb,a)delfw=|,ἀδελφός,adjective,plekto\n,πλεκτός,adjective,e)ca/ras,ἐξαίρω,verb,ku/tos,κύτος,adjective,h)/negka,φέρω,verb,kai\,καί,conjunction,to\n,ὁ,article,pai=da,παῖς,adjective,krhpi/dwn,κρηπιδόω,verb,e)/pi,ἐπί,preposition,ti/qhmi,τίθημι,verb,naou=,ναός,noun,tou=d',ὅδε,pronoun,a)naptu/cas,ἀναπτύσσω,verb,ku/tos,κύτος,adjective,e(likto\n,ἑλικτός,adjective,a)nti/phgos,ἀντίπηξ,noun,w(s,ὡς,conjunction,o(rw=|q',,,o(,ὁ,article,pai=s,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kurei=,κυρέω,verb,d',δέ,particle,a(/m',ἅμα,adverb,i(ppeu/ontos,ἱππεύω,verb,h(li/ou,ἥλιος,noun,ku/klw|,κύκλος,noun,profh=tis,προφῆτις,adjective,e)sbai/nousa,εἰσβαίνω,verb,mantei=on,μαντεῖον,noun,qeou=,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)/yin,ὄψις,noun,de\,δέ,particle,prosbalou=sa,προσδαίω,verb,paidi\,παῖς,adjective,nhpi/w|,νήπιος,adjective,e)qau/mas',θαυμάζω,verb,ei)/,εἰ,conjunction,tis,τις,pronoun,*delfi/dwn,Δελφικός,adjective,tlai/h,τλάω,verb,ko/rh,κόρη,noun,laqrai=on,λαθραῖος,adjective,w)di=n',ὠδίς,adjective,e)s,εἰς,preposition,qeou=,θεός,noun,r(i=yai,ῥίπτω,verb,do/mon,δόμος,noun,u(pe/r,ὑπέρ,preposition,te,τε,particle,qume/las,θυμέλη,noun,diori/sai,διορίζω,verb,pro/qumos,πρόθυμος,adjective,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)/ktw|,οἶκτος,noun,d',δέ,particle,a)fh=ken,ἀφήκω,verb,w)mo/thta,ὠμότης,noun,kai\,καί,conjunction,qeo\s,θεός,noun,sunergo\s,συνεργός,adjective,h)=n,εἰμί,verb,tw=|,ὁ,article,paidi\,παῖς,adjective,mh\,μή,conjunction,'kpesei=n,ἐκπίτνω,verb,do/mwn,δόμος,noun,tre/fei,τρέφω,verb,de/,δέ,particle,nin,νιν,pronoun,labou=sa,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,spei/ranta,σπείρω,verb,de\,δέ,particle,ou)k,οὐ,adverb,oi)=de,οἶδα,verb,*foi=bon,Φοῖβος,proper,ou)de\,οὐδέ,particle,mhte/r',μήτηρ,noun,h(=s,ὅς,pronoun,e)/fu,φύω,verb,o(,ὁ,article,pai=s,πᾶς,adjective,te,τε,particle,tou\s,ὁ,article,teko/ntas,τίκτω,verb,ou)k,οὐ,adverb,e)pi/statai,ἐφίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ne/os,νέος,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,w)\n,εἰμί,verb,a)mfi\,ἀμφί,preposition,bwmi/ous,βώμιος,adjective,trofa\s,τροφή,noun,h)la=t',ἀλάομαι,verb,a)qu/rwn,ἀθύρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,a)phndrw/qh,ἀπανδρόομαι,verb,de/mas,δέμας,noun,*delfoi/,Δελφοί,proper,sf',σφεῖς,pronoun,e)/qento,τίθημι,verb,xrusofu/laka,χρυσοφύλαξ,noun,tou=,ὁ,article,qeou=,θεός,noun,tami/an,ταμία,noun,te,τε,particle,pa/ntwn,πᾶς,adjective,pisto/n,πιστόν,noun,e)n,ἐν,preposition,d',δέ,particle,a)nakto/rois,ἀνάκτορον,noun,qeou=,θεός,noun,katazh=|,καταζάω,verb,deu=r',δεῦρο,adverb,a)ei\,ἀεί,adverb,semno\n,σεμνός,adjective,bi/on,βίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kre/ousa,Κρεούσα,proper,d',δέ,particle,h(,ὁ,article,tekou=sa,τίκτω,verb,to\n,ὁ,article,neani/an,νεανίης,noun,*cou/qw|,Ξοῦθος,proper,gamei=tai,γαμέω,verb,sumfora=s,συμφορά,noun,toia=sd',τοιόσδε,adjective,u(/po,ὑπό,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,tai=s,ὁ,article,*)aqh/nais,Ἀθήνη,proper,toi=s,ὁ,article,te,τε,particle,*xalkwdonti/dais,,,oi(\,ἕ,pronoun,gh=n,γῆ,noun,e)/xous',ἔχω,verb,*eu)boi=da,,,pole/mios,πολέμιος,adjective,klu/dwn,κλύδων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\n,ὅς,pronoun,sumponh/sas,συμπονέω,verb,kai\,καί,conjunction,sunecelw\n,συνεξαιρέω,verb,dori\,δόρυ,noun,ga/mwn,γάμος,adjective,*kreou/shs,Κρεούσα,proper,a)ci/wm',ἀξίωμα,noun,e)de/cato,δέχομαι,verb,ou)k,οὐ,adverb,e)ggenh\s,ἐγγενής,adjective,w)/n,εἰμί,verb,*ai)o/lou,Αἴολος,proper,de\,δέ,particle,tou=,ὁ,article,*dio\s,Ζεύς,proper,gegw\s,γίγνομαι,verb,*)axaio/s,Ἀχαιός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xro/nia,χρόνιος,adjective,de\,δέ,particle,spei/ras,σπείρω,verb,le/xh,λέχος,noun,a)/tekno/s,ἄτεκνος,adjective,e)sti,εἰμί,verb,kai\,καί,conjunction,*kre/ous',Κρέων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,ὅς,pronoun,ou(/neka,οὕνεκα,conjunction,h(/kousi,ἥκω,verb,pro\s,πρός,preposition,mantei=',μαντεία,noun,*)apo/llwnos,Ἀπόλλων,proper,ta/de,ὅδε,pronoun,e)/rwti,ἔρως,noun,pai/dwn,παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*loci/as,Λοξίας,proper,de\,δέ,particle,th\n,ὁ,article,tu/xhn,τύχη,noun,e)s,εἰς,preposition,tou=t',οὗτος,pronoun,e)lau/nei,ἐλαύνω,verb,kou),οὐ,adverb,le/lhqen,λανθάνω,verb,w(s,ὡς,conjunction,dokei=,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
