word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS
o(/ti,ὅστις,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,kai\,e)n,ἐν,preposition,th=|,ὁ,article,prote/ra|,πρότερος,adjective,di/kh|,h(,ὁ,article,tou/tou,οὗτος,pronoun,marturi/a,μαρτυρία,noun,yeudh\s,ψευδής,adverb,e)/docen,δοκέω,verb,ei)=nai,εἰμί,verb,o(,ὁ,article,to/q',τόθι,adverb,e(alwkw\s,ἁλίσκομαι,verb,ma/rtus,μάρτυς,noun,safe/stata,σαφής,adverb,tou=ton,οὗτος,pronoun,e)cele/gxei,ἐξελέγχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,δίκη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,ga\r,γάρ,particle,mh\,μή,conjunction,e)do/kei,ou(=tos,οὗτος,pronoun,ta\,ὁ,article,yeudh=,ψευδής,adverb,to/te,marturh=sai,μαρτυρέω,verb,dh=lon,δῆλος,adjective,o(/ti,ὅστις,pronoun,e)kei=no/s,ἐκεῖνος,pronoun,t',τε,particle,a)\n,ἄν,particle,a)pofugw\n,ἀποφεύγω,verb,th\n,ὁ,article,diamarturi/an,διαμαρτυρία,noun,a)ph=lqe,ἀπέρχομαι,verb,kai\,καί,conjunction,klhrono/mos,κληρονόμος,noun,a)\n,ἄν,particle,tw=n,ὁ,article,tou=,ὁ,article,qei/ou,θεῖος,noun,h(,ὁ,article,diamarturhqei=sa,διαμαρτυρέω,verb,gnhsi/a,γνήσιος,adjective,quga/thr,θυγάτηρ,adjective,ei)=nai,εἰμί,verb,a)ll',ἀλλά,adverb,ou)k,οὐ,adverb,a)\n,ἄν,particle,h(,ὁ,article,h(mete/ra,ἡμέτερος,adjective,kate/sth,καθίστημι,verb,mh/thr,μήτηρ,noun,,,,,,,,,,,,,,,,δοκέω,verb,τότε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(lo/ntos,ἁλίσκομαι,verb,de\,δέ,particle,tou=,ὁ,article,ma/rturos,kai\,καί,conjunction,a)posta/shs,ἀφίστημι,verb,tou=,ὁ,article,klh/rou,th=s,ὁ,article,a)mfisbhtou/shs,ἀμφισβητέω,verb,sbhtou/shs,,,gnhsi/as,γνήσιος,adjective,qugatro\s,θυγάτηρ,adjective,*pu/rrw|,Πύρρος,proper,ei)=nai,εἰμί,verb,mega/lh,μέγας,adverb,a)na/gkh,ἀνάγκη,noun,a(/ma,ἅμα,adverb,kai\,καί,conjunction,th\n,ὁ,article,tou/tou,οὗτος,pronoun,marturi/an,μαρτυρία,noun,e(alwke/nai,ἁλίσκομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μάρτυρος,noun,κλῆρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,ga\r,γάρ,particle,au)tou=,αὐτός,pronoun,tou/tou,diamarturh/sas,διαμαρτυρέω,verb,th\n,ὁ,article,tw=n,ὁ,article,yeudomarturi/wn,di/khn,δίκη,adjective,h)gwni/zeto,ἀγωνίζομαι,verb,po/teron,πότερος,adjective,e)c,ἐκ,preposition,e)gguhth=s,ἐγγυητός,adjective,h)\,ἠέ,conjunction,e)c,ἐκ,preposition,e(tai/ras,ἑταίρα,noun,h(,ὁ,article,a)mfisbhtou=sa,ἀμφισβητέω,verb,tou=,ὁ,article,klh/rou,κλῆρος,adjective,tw=|,ὁ,article,qei/w|,θεῖος,noun,gunaiko\s,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,ψευδομαρτυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnw/sesqe,γιγνώσκω,verb,ltd'gt,,,a)kou/santes,ἀκούω,verb,kai\,u(mei=s,σύ,pronoun,th=s,ὁ,article,te,τε,particle,a)ntwmosi/as,th=s,ὁ,article,h(mete/ras,ἡμέτερος,adjective,kai\,καί,conjunction,th=s,ὁ,article,tou/tou,οὗτος,pronoun,marturi/as,μαρτυρία,noun,kai\,καί,conjunction,th=s,ὁ,article,a(lou/shs,ἁλίσκομαι,verb,diamarturi/as,διαμαρτυρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,ἀντωμοσία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nagi/gnwske,ἀναγιγνώσκω,verb,labw\n,λαμβάνω,verb,tasdi\,ὅδε,pronoun,au)toi=s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,me\n,μέν,particle,e)/doce,δοκέω,verb,paraxrh=ma,eu)qu\s,εὐθύς,adverb,to/te,τότε,adverb,ltpa=sigt,,,ta\,yeudh=,ψευδής,adverb,marturh=sai,μαρτυρέω,verb,*niko/dhmos,Νικόδημος,proper,e)pide/deiktai,ἐπιδείκνυμι,verb,to/te,τότε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,παραχρῆμα,adverb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prosh/kei,προσήκω,verb,de\,δέ,particle,kai\,καί,conjunction,par',u(mi=n,σύ,pronoun,toi=s,ὁ,article,peri\,περί,preposition,au)tou=,tou/tou,οὗτος,pronoun,th\n,ὁ,article,di/khn,δίκη,adjective,me/llousi,μέλλω,verb,yhfiei=sqai,ψηφίζομαι,verb,e)celegxqh=nai,ἐξελέγχω,verb,th\n,ὁ,article,tou/tou,οὗτος,pronoun,marturi/an,μαρτυρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,παρά,preposition,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)piqumw=,ἐπιθυμέω,verb,de\,δέ,particle,prw=ton,πρότερος,adjective,me\n,peri\,περί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)tou=,αὐτός,pronoun,tou/tou,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puqe/sqai,πυνθάνομαι,verb,h(/n,ὅς,pronoun,tina/,τις,pronoun,pote,proi=ka/,προίξ,adjective,fhsin,φημί,verb,e)pidou\s,ἐπιδίδωμι,verb,e)kdou=nai,th\n,ὁ,article,a)delfh\n,ἀδελφή,noun,o(,ὁ,article,memarturhkw\s,μαρτυρέω,verb,tw=|,ὁ,article,to\n,ὁ,article,trita/lanton,τριτάλαντον,noun,oi)=kon,οἶκος,noun,kekthme/nw|,κτάομαι,verb,ei)=ta,εἶτα,adverb,po/teron,πότερος,adjective,h(,ὁ,article,e)gguhth\,ἐγγυητός,adjective,gunh\,γυνή,noun,a)pe/lipe,ἀπολείπω,verb,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,zw=nta,ζάω,verb,h)\,ἠέ,conjunction,teleuth/santos,τελευτάω,verb,to\n,ὁ,article,oi)=kon,οἶκος,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,par',παρά,preposition,o(/tou,ὅστις,pronoun,e)komi/sato,κομίζω,verb,th\n,ὁ,article,th=s,ὁ,article,a)delfh=s,ἀδελφή,noun,proi=ka,προίξ,adjective,ou(=tos,οὗτος,pronoun,e)peidh\,ἐπεί,conjunction,ποτέ,particle,ἐκδίδωμι,verb,teteleuthkw\s,τελευτάω,verb,h)=n,εἰμί,verb,w(=|,ὅς,pronoun,memartu/rhken,μαρτυρέω,verb,ou(=tos,οὗτος,pronoun,au)th\n,αὐτός,pronoun,e)gguh=sai,ἐγγυάω,verb,h)\,ἠέ,conjunction,ei),εἰ,conjunction,mh\,μή,conjunction,e)komi/zeto,κομίζω,verb,o(poi/an,ὁποῖος,adjective,di/khn,δίκη,adjective,si/tou,σῖτος,noun,h)\,ἠέ,conjunction,th=s,ὁ,article,proiko\s,προίξ,adjective,au)th=s,αὐτός,pronoun,e)n,ἐν,preposition,ei)/kosin,εἴκοσι,verb,e)/tesi,ἔτος,noun,tw=|,ὁ,article,e)/xonti,ἔχω,verb,to\n,ὁ,article,klh=ron,κλῆρος,adjective,dika/sasqai,δικάζω,verb,h)ci/wsen,ἀξιόω,verb,h)\,ἠέ,conjunction,ei)/,εἰ,conjunction,tou,τις,pronoun,a)nqrw/pwn,ἄνθρωπος,noun,e)nanti/on,ἐναντίος,adjective,prosh=lqen,προσέρχομαι,verb,e)gkalw=n,ἐγκαλέω,verb,tw=|,ὁ,article,klhrono/mw|,κληρόνομος,noun,peri\,περί,preposition,th=s,ὁ,article,proiko\s,προίξ,adjective,th=s,ὁ,article,a)delfh=s,ἀδελφή,noun,e)n,ἐν,preposition,xro/nw|,χρόνος,noun,tosou/tw|,τοσοῦτος,adjective
peri/,περί,preposition,te,τε,particle,ou)=n,οὖν,particle,tou/twn,h(de/ws,ἡδέως,adverb,a)\n,ἄν,particle,puqoi/mhn,πύθω,verb,o(/,ti,τις,pronoun,pot',ποτέ,particle,h)=n,εἰμί,verb,to\,ὁ,article,ai)/tion,αἴτιος,adjective,tou=,ὁ,article,mhde\n,μηδείς,pronoun,tou/twn,οὗτος,pronoun,gegenh=sqai,γίγνομαι,verb,peri\,περί,preposition,th=s,ὁ,article,e)gguhth=s,ἐγγυητός,adjective,w(s,ὡς,conjunction,memartu/rhken,μαρτυρέω,verb,ou(=tos),οὗτος,pronoun,gunaiko/s,γυνή,noun,kai\,καί,conjunction,pro\s,πρός,preposition,tou/tois,οὗτος,pronoun,ei)/,εἰ,conjunction,tis,τις,pronoun,a)/llos,ἄλλος,adjective,e)gguhth\n,ἐγγυητής,noun,e)/sxe,ἔχω,verb,th\n,ὁ,article,tou/tou,οὗτος,pronoun,a)delfh\n,ἀδελφή,noun,gunai=ka,γυνή,noun,h)\,ἠέ,conjunction,tw=n,ὁ,article,pro/teron,πρότερος,adjective,xrhsame/nwn,χράω,verb,pri\n,πρίν,adverb,οὗτος,pronoun,ὅς,pronoun,gnw=nai,γιγνώσκω,verb,to\n,ὁ,article,h(me/teron,ἡμέτερος,adjective,qei=on,θεῖος,noun,au)th/n,αὐτός,pronoun,h)\,ἠέ,conjunction,o(/soi,ὅσος,adjective,e)kei/nou,ἐκεῖνος,pronoun,gignw/skontos,γιγνώσκω,verb,e)plhsi/azon,πλησιάζω,verb,au)th=|,αὐτός,pronoun,h)\,ἠέ,conjunction,o(/soi,ὅσος,adjective,u(/steron,ὕστερος,adjective,e)plhsi/azon,πλησιάζω,verb,teteleuthko/tos,τελευτάω,verb,e)kei/nou,ἐκεῖνος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh=lon,δῆλος,adjective,ga\r,γάρ,particle,o(/ti,ὅστις,pronoun,to\n,au)to\n,αὐτός,pronoun,tro/pon,τρόπος,noun,o(,ὁ,article,a)delfo\s,au)th\n,αὐτός,pronoun,a(/pasi,ἅπας,adjective,toi=s,ὁ,article,plhsia/zousin,πλησιάζω,verb,e)kde/dwken,ἐκδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ἀδελφός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,w(=n,ὅς,pronoun,ei),εἰ,conjunction,deh/seie,kaq',κατά,preposition,e(/kaston,ἕκαστος,adjective,dielqei=n,διέρχομαι,verb,ou)k,a)\n,ἄν,particle,pa/nu,πάνυ,adverb,mikro\n,μικρός,adjective,e)/rgon,ἔργον,noun,ge/noito,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέω,verb,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,u(mei=s,keleu/hte,κελεύω,verb,peri\,περί,preposition,e)ni/wn,ἔνιοι,adjective,mnhsqei/hn,a)\n,ἄν,particle,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σύ,pronoun,μιμνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de/,δέ,particle,tisin,τις,pronoun,u(mw=n,a)hde\s,ἀηδής,adjective,a)kou/ein,ἀκούω,verb,e)sti/n,εἰμί,verb,w(/sper,e)moi\,ἐγώ,pronoun,le/gein,λέγω,verb,ti,τις,pronoun,peri\,περί,preposition,tou/twn,οὗτος,pronoun,au)ta\s,αὐτός,pronoun,ta\s,ὁ,article,marturi/as,μαρτυρία,noun,u(mi=n,σύ,pronoun,pare/comai,παρέχω,verb,ta\s,ὁ,article,marturhqei/sas,μαρτυρέω,verb,e)n,ἐν,preposition,th=|,ὁ,article,prote/ra|,πρότερος,adjective,di/kh|,δίκη,adjective,w(=n,ὅς,pronoun,ou)demia=|,οὐδείς,pronoun,e)piskh/yasqai,ἐπισκήπτω,verb,h)ci/wsan,ἀξιόω,verb,ou(=toi,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σύ,pronoun,ὥσπερ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,o(/pou,ὅπου,adverb,koinh\n,κοινός,adjective,au)toi\,w(mologh/kasin,ὁμολογέω,verb,ei)=nai,εἰμί,verb,tou=,ὁ,article,boulome/nou,th\n,ὁ,article,gunai=ka,γυνή,noun,pw=s,πῶς,adverb,a)\n,ἄν,particle,ei)ko/tws,ἐοικότως,adverb,h(,ὁ,article,au)th\,αὐτός,pronoun,gunh\,γυνή,noun,e)gguhth\,ἐγγυητός,adjective,do/ceien,δοκέω,verb,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,mh\n,μήν,particle,o(po/te,ὁπότε,adverb,mh\,e)peskhmme/noi,ἐπισκήπτω,verb,ei)si\,εἰμί,verb,tai=s,ὁ,article,peri\,au)tou=,αὐτός,pronoun,tou/tou,οὗτος,pronoun,marturi/ais,μαρτυρία,noun,w(mologhko/tes,ὁμολογέω,verb,ei)si\,εἰμί,verb,tau=ta,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μή,conjunction,περί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)kou/santes,ἀκούω,verb,de\,δέ,particle,kai\,καί,conjunction,u(mei=s,au)tw=n,αὐτός,pronoun,tw=n,ὁ,article,marturiw=n,μαρτυρία,noun,gnw/sesqe,w(s,ὡς,conjunction,ou(=to/s,οὗτος,pronoun,te,τε,particle,perifanw=s,περιφανής,adverb,ta\,ὁ,article,yeudh=,ψευδής,adverb,memartu/rhke,μαρτυρέω,verb,kai\,καί,conjunction,o)rqw=s,ὀρθός,adjective,kai\,καί,conjunction,kata\,κατά,preposition,tou\s,ὁ,article,no/mous,νόμος,noun,oi(,ἕ,pronoun,dika/santes,δικάζω,verb,th\n,ὁ,article,di/khn,δίκη,adjective,e)/gnwsan,γιγνώσκω,verb,th\n,ὁ,article,klhronomi/an,κληρονομία,noun,mh\,μή,conjunction,prosh/kein,προσήκω,verb,th=|,ὁ,article,mh\,μή,conjunction,o)rqw=s,ὀρθός,adjective,gegenhme/nh|,γίγνομαι,verb,gunaiki/,γυνή,noun,,,,,,,,,,,,,,,,,,,σύ,pronoun,γιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
