word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS
ai)tei=,αἰτέω,verb,d',δέ,particle,a)delfh\n,ἀδελφή,noun,th\n,ὁ,article,e)mh\n,ἐμός,adjective,*poluce/nhn,Πολυξένη,proper,tu/mbw|,τύμβος,noun,fi/lon,φίλος,adjective,pro/sfagma,πρόσφαγμα,noun,kai\,καί,conjunction,ge/ras,γέρας,adjective,labei=n,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,teu/cetai,τεύχω,verb,tou=d',ὅδε,pronoun,ou)d',οὐδέ,particle,a)dw/rhtos,ἀδώρητος,adjective,fi/lwn,φίλος,adjective,e)/stai,εἰμί,verb,pro\s,πρός,preposition,a)ndrw=n,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,peprwme/nh,πόρω,verb,d',δέ,particle,a)/gei,ἄγω,verb,qanei=n,θνήσκω,verb,a)delfh\n,ἀδελφή,noun,tw=|d',ὅδε,pronoun,e)mh\n,ἐμός,adjective,e)n,ἐν,preposition,h)/mati,ἦμαρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duoi=n,δύο,adjective,de\,δέ,particle,pai/doin,παῖς,adjective,du/o,δύο,adjective,nekrw\,νεκρός,noun,kato/yetai,καθοράω,verb,mh/thr,μήτηρ,noun,e)mou=,ἐγώ,pronoun,te,τε,particle,th=s,ὁ,article,te,τε,particle,dusth/nou,δύστηνος,adjective,ko/rhs,κόρη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fanh/somai,φαίνω,verb,ga/r,γάρ,particle,w(s,ὡς,conjunction,ta/fou,τάφος,noun,tlh/mwn,τλήμων,adjective,tu/xw,τυγχάνω,verb,dou/lhs,δούλη,noun,podw=n,πούς,noun,pa/roiqen,πάροιθε,preposition,e)n,ἐν,preposition,kludwni/w|,κλυδώνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,ga\r,γάρ,particle,ka/tw,κάτος,adjective,sqe/nontas,σθένω,verb,e)ch|thsa/mhn,ἐξαιτέω,verb,tu/mbou,τύμβος,noun,kurh=sai,κυρέω,verb,ka)s,εἰς,preposition,xe/ras,χείρ,noun,mhtro\s,μήτηρ,noun,pesei=n,πίπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou)mo\n,ἐμός,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,o(/sonper,ὅσος,adjective,h)/qelon,ἐθέλω,verb,tuxei=n,τυγχάνω,verb,e)/stai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geraia=|,γεραιός,adjective,d',δέ,particle,e)kpodw\n,ἐκποδών,adverb,xwrh/somai,χωρέω,verb,*(eka/bh|,Ἑκάβη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pera=|,περάω,verb,ga\r,γάρ,particle,h(/d',ὅδε,pronoun,u(po\,ὑπό,preposition,skhnh=s,σκηνή,noun,po/da,πούς,noun,*)agame/mnonos,Ἀγαμέμνων,proper,fa/ntasma,φάντασμα,noun,deimai/nous',δειμαίνω,verb,e)mo/n,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,mh=ter,μήτηρ,noun,h(/tis,ὅστις,pronoun,e)k,ἐκ,preposition,turannikw=n,τυραννικός,adjective,do/mwn,δόμος,noun,dou/leion,δούλειος,adjective,h)=mar,ἦμαρ,noun,ei)=des,εἶδον,verb,w(s,ὡς,conjunction,pra/sseis,πράσσω,verb,kakw=s,κακός,adjective,o(/sonper,ὅσος,adjective,eu)=,εὖ,adverb,pot',ποτέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ntishkw/sas,ἀντισηκόω,verb,de/,δέ,particle,se,σύ,pronoun,fqei/rei,φθείρω,verb,qew=n,θέα,noun,tis,τις,pronoun,th=s,ὁ,article,pa/roiq',πάροιθε,preposition,eu)praci/as,εὐπραξία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/get',ἄγε,adverb,w)=,ὦ,interjection,pai=des,παῖς,adjective,th\n,ὁ,article,grau=n,γραῦς,adjective,pro\,πρό,preposition,do/mwn,δόμος,noun,a)/get',ἄγε,adverb,o)rqou=sai,ὀρθόω,verb,th\n,ὁ,article,o(mo/doulon,ὁμόδουλος,noun,*trw|a/des,Τρῳάς,proper,u(mi=n,σύ,pronoun,pro/sqe,πρόσθεν,adverb,d',δέ,particle,a)/nassan,ἄνασσα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la/bete,λαμβάνω,verb,fe/rete,φέρω,verb,pe/mpet',πέμπω,verb,a)ei/rete/,ἀείρω,verb,mou,ἐγώ,pronoun,geraia=s,γεραιός,adjective,xeiro\s,χείρ,noun,proslazu/menai,προσλάζυμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)gw\,ἐγώ,pronoun,skoliw=|,σκολιός,adjective,ski/pwni,σκίπων,noun,xero\s,χείρ,noun,diereidome/na,διερείδομαι,verb,speu/sw,σπεύδω,verb,bradu/poun,βραδύπους,noun,h)/lusin,ἤλυσις,noun,a)/rqrwn,ἄρθρον,noun,protiqei=sa,προστίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,steropa\,στεροπή,noun,*dio/s,Ζεύς,proper,w)=,ὦ,interjection,skoti/a,σκοτία,noun,nu/c,νύξ,adjective,ti/,τίς,pronoun,pot',ποτέ,particle,ai)/romai,αἴρω,verb,e)/nnuxos,ἔννυχος,adverb,ou(/tw,οὕτως,adverb,dei/masi,δέμω,verb,fa/smasin,φάσμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,po/tnia,πότνια,noun,*xqw/n,Χθών,proper,melanopteru/gwn,μελανοπτέρυξ,noun,mh=ter,μήτηρ,noun,o)nei/rwn,ὄνειρος,noun,a)pope/mpomai,ἀποπέμπω,verb,e)/nnuxon,ἔννυχος,adverb,o)/yin,ὄψις,noun,h(\n,ὅς,pronoun,peri\,περί,preposition,paido\s,παῖς,adjective,e)mou=,ἐγώ,pronoun,tou=,ὁ,article,sw|zome/nou,σώζω,verb,kata\,κατά,preposition,*qrh/|khn,Θρᾴκη,proper,a)mfi\,ἀμφί,preposition,*polucei/nhs,πολύξενος,adjective,te,τε,particle,fi/lhs,φίλος,adjective,qugatro\s,θυγάτηρ,adjective,di',διά,preposition,o)nei/rwn,ὄνειρος,noun,fobera\n,φοβερός,adjective,e)da/hn,δάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,xqo/nioi,χθόνιος,adjective,qeoi/,θεός,noun,sw/sate,σώζω,verb,pai=d',παῖς,adjective,e)mo/n,ἐμός,adjective,o(\s,ὅς,pronoun,mo/nos,μόνος,adjective,oi)/kwn,οἶκος,noun,a)/gkur',ἄγκυρα,noun,e)/t',ἔτι,adverb,e)mw=n,ἐμός,adjective,th\n,ὁ,article,xionw/dh,χιονώδης,adjective,*qrh/|khn,Θρᾴκη,proper,kate/xei,καταχέω,verb,cei/nou,ξένος,noun,patri/ou,πάτριος,adjective,fulakai=sin,φυλακή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/stai,εἰμί,verb,ti,τις,pronoun,ne/on,νέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/cei,ἥκω,verb,ti,τις,pronoun,me/los,μέλος,noun,goero\n,γοερός,adjective,goerai=s,γοερός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/pot',οὔποτε,adverb,e)ma\,ἐμός,adjective,frh\n,φρήν,noun,w(=d',ὧδε,adverb,a)li/astos,ἀλίαστος,adjective,fri/ssei,φρίσσω,verb,tarbei=,ταρβέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
