word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/12/lemma/@_entry,word/12/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/26/lemma/@_entry,word/26/lemma/@_POS,word/39/lemma/@_entry,word/39/lemma/@_POS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/kou,ὅπου,adverb,to\,ὁ,article,sw=ma,σῶμα,adjective,ta\,ὁ,article,a)/rmena,ἄρμενα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,xro/nos,χρόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,tro/pos,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,to/pos,τόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,drw=n,δράω,verb,h)\,ἠέ,conjunction,kaqh/menos,κάθημαι,verb,h)\,ἠέ,conjunction,e(stew\s,ἵστημι,verb,cumme/trws,σύμμετρος,adverb,pro\s,πρός,preposition,e(wuto\n,ἑαυτοῦ,pronoun,pro\s,πρός,preposition,to\,ὁ,article,xeirizo/menon,,,pro\s,th\n,ὁ,article,au)gh/n,αὐγή,noun,,,,,,,,,,,,,,,,,,,πρός,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*au)ge/hs,Αὐγέης,proper,me\n,μέν,particle,ou)=n,οὖν,particle,du/o,δύο,adjective,ei)/dea,εἶδος,noun,to\,ὁ,article,me\n,μέν,particle,koino\n,κοινός,adjective,to\,ὁ,article,de\,δέ,particle,texnhto/n,τεχνητός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,koino\n,κοινός,adjective,ou)k,οὐ,adverb,e)f',ἐπί,preposition,h(mi=n,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,texnhto\n,τεχνητός,adjective,kai\,καί,conjunction,e)f',ἐπί,preposition,h(mi=n,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,ὅς,pronoun,e(kate/rou,ἑκάτερος,adjective,dissai\,δισσός,adjective,xrh/sies,χρῆσις,noun,h)\,ἠέ,conjunction,pro\s,πρός,preposition,au)gh\n,αὐγή,noun,h)\,ἠέ,conjunction,u(p',ὑπό,preposition,au)gh/n,αὐγή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(p',ὑπό,preposition,au)gh\n,αὐγή,noun,me\n,μέν,particle,ou)=n,οὖν,particle,o)li/gh,ὀλίγος,adjective,te,τε,particle,h(,ὁ,article,xrh=sis,χρῆσις,noun,katafanh/s,καταφανής,adverb,te,τε,particle,h(,ὁ,article,metrio/ths,μετριότης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,de\,δέ,particle,pro\s,πρός,preposition,au)gh\n,αὐγή,noun,e)k,ἐκ,preposition,tw=n,ὁ,article,pareouse/wn,πάρειμι,verb,e)k,ἐκ,preposition,tw=n,ὁ,article,cumferouse/wn,συμφέρω,verb,au)ge/wn,αὐγή,noun,pro\s,πρός,preposition,th\n,lamprota/thn,λαμπρός,adjective,tre/pein,τρέπω,verb,to\,ὁ,article,xeirizo/menon,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plh\n,πλήν,preposition,o(ko/sa,ὁπόσος,adjective,laqei=n,λανθάνω,verb,dei=,δέομαι,verb,h)\,ἠέ,conjunction,o(rh=|n,,,ai)sxro/n,αἰσχρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,de\,δέ,particle,to\,ὁ,article,me\n,μέν,particle,xeirizo/menon,,,e)nanti/on,ἐναντίος,adjective,th=|,ὁ,article,au)gh=|,αὐγή,noun,to\n,ὁ,article,de\,δέ,particle,xeiri/zonta,,,e)nanti/on,ἐναντίον,adverb,tw=|,xeirizome/nw|,,,plh\n,πλήν,preposition,w(/ste,ὥστε,conjunction,mh\,μή,conjunction,e)piskota/zein,ἐπισκοτάζω,verb,,,,,,,,,,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,ga\r,γάρ,particle,a)\n,ἄν,particle,o(,ὁ,article,me\n,μέν,particle,drw=n,δράω,verb,o(rw/|h,ὁράω,verb,to\,ὁ,article,de\,δέ,particle,xeirizo/menon,,,ou)x,οὐ,adverb,o(rw=|to,ὁράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,e(wuto\n,ἑαυτοῦ,pronoun,de\,δέ,particle,kaqhme/nw|,κάθημαι,verb,po/des,πούς,noun,e)s,εἰς,preposition,th\n,ὁ,article,a)/nw,ἄνω,adverb,i)/cin,,,kat',κατά,preposition,i)qu\,εὐθύς,adjective,gou/nasin,γόνυ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia/stasin,διάστασις,noun,de\,δέ,particle,o)li/gon,ὀλίγος,adjective,cumbebw=tes,συμβαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gou/nata,γόνυ,noun,de\,δέ,particle,a)nwte/rw,ἀνώτερος,adjective,boubw/nwn,βουβών,noun,smikro\n,μικρός,adjective,dia/stasin,διάστασις,noun,de\,δέ,particle,a)gkw/nwn,ἀγκών,noun,qe/sei,θέσις,noun,kai\,καί,conjunction,paraqe/sei,παράθεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(ma/tion,ἱμάτιον,adjective,eu)stale/ws,εὐσταλής,adjective,eu)krine/ws,εὐκρινής,adverb,i)/sws,ἴσως,adverb,o(moi/ws,ὅμοιος,adjective,a)gkw=sin,ἀγκών,noun,w)/moisin,ὦμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,de\,δέ,particle,to\,ὁ,article,xeirizo/menon,,,tou=,ὁ,article,me\n,μέν,particle,pro/sw,πρόσω,adverb,kai\,καί,conjunction,e)ggu\s,ἐγγύς,adverb,kai\,καί,conjunction,tou=,ὁ,article,a)/nw,ἄνω,adverb,kai\,tou=,ὁ,article,ka/tw,κάτος,adjective,kai\,καί,conjunction,e)/nqa,ἔνθα,adverb,h)\,ἠέ,conjunction,e)/nqa,ἔνθα,adverb,h)\,ἠέ,conjunction,me/son,μέσος,adjective,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,me\n,μέν,particle,pro/sw,πρόσω,adverb,kai\,καί,conjunction,e)ggu\s,ἐγγύς,adverb,o(/rion,ὅριον,noun,a)gkw=nas,ἀγκών,noun,e)s,εἰς,preposition,me\n,μέν,particle,to\,ὁ,article,pro/sqen,πρόσθεν,adverb,gou/nata,γόνυ,noun,mh\,a)mei/bein,ἀμείβω,verb,e)s,εἰς,preposition,de\,δέ,particle,to\,ὁ,article,o)/pisqen,ὄπισθεν,adverb,pleura/s,πλευρά,noun,,,,,,,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,de\,δέ,particle,a)/nw,ἄνω,adverb,mh\,μή,conjunction,a)nwte/rw,ἄνω,adverb,mazw=n,μᾶζα,noun,a)/kras,ἄκρος,adjective,xei=ras,χείρ,noun,e)/xein,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,de\,δέ,particle,ka/tw,κάτος,adjective,mh\,μή,conjunction,katwte/rw,κάτος,adjective,h)\,ἠέ,conjunction,w(s,ὡς,conjunction,to\,ὁ,article,sth=qos,στῆθος,noun,e)pi\,ἐπί,preposition,gou/nasin,γόνυ,noun,e)/xonta,ἔχω,verb,e)/xein,a)/kras,ἄκρος,adjective,xei=ras,χείρ,noun,e)ggwni/ous,ἐγγώνιος,adverb,pro\s,πρός,preposition,braxi/onas,βραχίων,adjective,,,,,,,,,,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me\n,μέν,particle,kata\,κατά,preposition,me/son,μέσος,adjective,ou(/tws,οὕτως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,de\,δέ,particle,e)/nqa,ἔνθα,adverb,h)\,ἠέ,conjunction,e)/nqa,ἔνθα,adverb,mh\,μή,conjunction,e)/cw,ἔξω,adverb,th=s,ὁ,article,e)/drhs,δράω,verb,kata\,κατά,preposition,lo/gon,λόγος,noun,de\,δέ,particle,th=s,e)pitrofh=s,ἐπιτροφή,noun,prosballo/menon,προσδαίω,verb,to\,ὁ,article,sw=ma,σῶμα,adjective,kai\,καί,conjunction,tou=,ὁ,article,sw/matos,σῶμα,adjective,to\,ὁ,article,ὁ,article,e)rgazo/menon,ἐργάζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(stew=ta,ἵστημι,verb,de\,δέ,particle,i)dei=n,εἶδον,verb,me\n,μέν,particle,e)p',ἐπί,preposition,a)mfote/rwn,ἀμφότερος,adjective,bebw=ta,βαίνω,verb,e)c,ἐκ,preposition,i)/sou,ἴσος,adjective,tw=n,ὁ,article,podw=n,πούς,noun,a(/lis,ἅλις,adverb,drh=|n,de\,δέ,particle,tw=|,ὁ,article,e(te/rw|,ἕτερος,adjective,e)pibebw=ta,ἐπιβαίνω,verb,mh\,μή,conjunction,tw=|,ὁ,article,kata\,κατά,preposition,th\n,ὁ,article,,,drw=san,δράω,verb,xei=ra,χείρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(/yos,ὕψος,noun,gou/na,,,tos,,,pro\s,πρός,preposition,boubw=nas,βουβών,noun,w(s,ὡς,conjunction,e)n,ἐν,preposition,e(/drh|,ἕδρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ta\,ὁ,article,a)/lla,ἄλλος,adjective,o(/ria,ὅριον,noun,ta\,ὁ,article,au)ta/,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
