word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/17/lemma/@_entry,word/17/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS,word/39/lemma/@_entry,word/39/lemma/@_POS,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/42/lemma/@_entry,word/42/lemma/@_POS,word/49/lemma/@_entry,word/49/lemma/@_POS,word/65/lemma/@_entry,word/65/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS
kai\,καί,conjunction,periw/numa,περιώνυμος,adjective,e)/ti,ἔτι,adverb,nu=n,νῦν,adverb,xw/ran,χώρα,noun,nemo/mena,νέμω,verb,pollh\n,πολύς,adjective,*skordi/skwn,,,kai\,καί,conjunction,*triballw=n,Τριβαλλός,proper,oi(\,ἕ,pronoun,e)s,εἰς,preposition,tosou=ton,τοσοῦτος,adjective,a)llh/lous,ἀλλήλων,pronoun,pole/mw|,πόλεμος,noun,die/fqeiran,διαφθείρω,verb,w(s,ὡς,conjunction,*triballw=n,ei)/,εἰ,conjunction,ti,τις,pronoun,u(po/loipon,ὑπόλοιπος,adjective,h)=n,εἰμί,verb,e)s,εἰς,preposition,*ge/tas,Γέται,proper,u(pe\r,ὑπέρ,preposition,*)/istron,Ἴστρος,proper,Τριβαλλός,proper,fugei=n,φεύγω,verb,kai\,καί,conjunction,ge/nos,γένος,noun,a)kma/san,ἀκμάζω,verb,me/xri,μέχρι,preposition,*fili/ppou,Φίλιππος,proper,te,τε,particle,kai\,*)aleca/ndrou,Ἀλέξανδρος,proper,nu=n,νῦν,adverb,e)/rhmon,ἐρῆμος,adjective,kai\,a)nw/numon,ἀνώνυμος,adjective,toi=s,th=|de,ὅδε,pronoun,ei)=nai,καί,conjunction,καί,conjunction,ὁ,article,εἰμί,verb,*skordi/skous,de\,δέ,particle,a)sqenesta/tous,ἀσθενής,adjective,a)po\,ἀπό,preposition,tou=de,ὅδε,pronoun,genome/nous,γίγνομαι,verb,u(po\,ὑπό,preposition,*(rwmai/wn,u(/steron,ὕστερος,adjective,o(/moia,ὅμοιος,adjective,paqei=n,πάσχω,verb,kai\,καί,conjunction,e)s,εἰς,preposition,ta\s,ὁ,article,nh/sous,νῆσος,noun,tou=,ὁ,article,au)tou=,αὐτός,pronoun,potamou=,ποταμός,noun,fugei=n,φεύγω,verb,su\n,σύν,preposition,xro/nw|,χρόνος,noun,de/,δέ,particle,tinas,τις,pronoun,e)pane)lqei=n,kai\,καί,conjunction,*paio/nwn,Παίων,proper,e)sxatiai=s,ἐσχατιά,noun,paroikh=sai,παροικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,e)/sti,εἰμί,verb,kai\,καί,conjunction,nu=n,νῦν,adverb,*skordi/skwn,,,ge/nos,γένος,noun,e)n,ἐν,preposition,*pai/osin,Παίων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,d',δέ,particle,au)tw=|,αὐτός,pronoun,tro/pw|,τρόπος,noun,kai\,καί,conjunction,*)ardiai=oi,,,ta\,ὁ,article,qala/ssia,θαλάσσιος,adjective,o)/ntes,εἰμί,verb,a)/ristoi,ἄριστος,adjective,pro\s,πρός,preposition,*au)tarie/wn,,,a)ri/stwn,ἄριστος,adjective,o)/ntwn,εἰμί,verb,ta\,ὁ,article,kata\,κατά,preposition,gh=n,γῆ,noun,polla\,bla/yantes,βλάπτω,verb,au)tou/s,αὐτός,pronoun,o(/mws,ὅμως,conjunction,e)fqa/rhsan,φθείρω,verb,,,,,,,,,,,,,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nautikoi\,ναυτικός,adjective,me\n,μέν,particle,e)pi\,ἐπί,preposition,toi=s,ὁ,article,*)ardiai/ois,,,e)ge/nonto,γίγνομαι,verb,*liburnoi/,Λιβυρνός,proper,ge/nos,γένος,noun,e(/teron,ἕτερος,adjective,*)illuriw=n,Ἰλλυρία,proper,oi(\,ἕ,pronoun,to\n,ὁ,article,*)io/nion,Ἰόνιος,proper,kai\,καί,conjunction,ta\s,ὁ,article,nh/sous,νῆσος,noun,e)lh/|steuon,nausi\n,ναῦς,noun,w)kei/ais,ὠκύς,adjective,te,τε,particle,kai\,καί,conjunction,kou/fais,κοῦφος,adjective,o(/qen,ὅθεν,adverb,e)/ti,ἔτι,adverb,nu=n,νῦν,adverb,λῃστεύω,verb,*(rwmai=oi,,,ta\,ὁ,article,kou=fa,κοῦφος,adjective,kai\,καί,conjunction,o)ce/a,ὀξύς,adjective,di/krota,δίκροτος,adjective,*liburni/das,Λιβυρνικός,adjective,prosagoreu/ousin,,,,,,,,,,,,,,,,,,,προσαγορεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*au)tarie/as,,,de\,δέ,particle,fasi\n,φημί,verb,e)k,ἐκ,preposition,qeoblabei/as,θεοβλάβεια,adjective,*)apo/llwnos,Ἀπόλλων,proper,e)s,εἰς,preposition,e)/sxaton,σχέθω,verb,kakou=,κακός,adjective,perielqei=n,περιέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*molisto/mw|,,,ga\r,γάρ,particle,au)tou\s,αὐτός,pronoun,kai\,καί,conjunction,*keltoi=s,Κελτός,proper,toi=s,ὁ,article,*ki/mbrois,,,legome/nois,λέγω,verb,e)pi\,ἐπί,preposition,*delfou=s,,,sustrateu=sai,συστρατεύω,verb,kai\,καί,conjunction,fqarh=nai,φθείρω,verb,me\n,μέν,particle,au)ti/ka,αὐτίκα,adverb,tou\s,ὁ,article,ple/onas,πλείων,verb,au)tw=n,pro\,πρό,preposition,e)pixeirh/sews,ἐπιχείρησις,noun,u(etw=n,ὑετός,noun,sfi/si,σφεῖς,pronoun,kai\,καί,conjunction,que/llhs,θύελλα,adjective,kai\,καί,conjunction,prhsth/rwn,πρηστήρ,noun,αὐτός,pronoun,e)mpesontwn,,,e)pigene/sqai,ἐπιγίγνομαι,verb,de\,δέ,particle,toi=s,ὁ,article,u(postre/yasin,ὑποστρέφω,verb,a)/peiron,ἄπειρος,adjective,batra/xwn,βάτραχος,adjective,plh=qos,oi(\,ἕ,pronoun,diasape/ntes,διασήπομαι,verb,ta\,ὁ,article,na/mata,die/fqeiran,διαφθείρω,verb,,,,,,πλῆθος,noun,νᾶμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)k,ἐκ,preposition,th=s,ὁ,article,gh=s,γῆ,noun,a)tmw=n,ἀτμή,noun,a)to/pwn,ἄτοπος,adjective,genome/nwn,γίγνομαι,verb,loimo\s,λοιμός,noun,h)=n,εἰμί,verb,*)illuriw=n,Ἰλλυρία,proper,kai\,καί,conjunction,fqo/ros,φθόρος,noun,*au)tarie/wn,,,ma/lista,μάλιστα,adverb,me/xri,μέχρι,preposition,feu/gontes,φεύγω,verb,ta\,ὁ,article,oi)kei=a,kai\,καί,conjunction,to\n,ὁ,article,loimo\n,λοιμός,noun,sfi/si,σφεῖς,pronoun,perife/rontes,περιφέρω,verb,ou)deno\s,οὐδείς,pronoun,au)tou\s,αὐτός,pronoun,dexome/nou,δέχομαι,verb,οἰκεῖος,adjective,dia\,διά,preposition,tou=to,οὗτος,pronoun,to\,ὁ,article,de/os,δέος,noun,u(perh=lqon,ὑπερέρχομαι,verb,o(do\n,ὁδός,adjective,h(merw=n,ἡμέρα,noun,ei)/kosi,kai\,καί,conjunction,triw=n,τρεῖς,noun,kai\,καί,conjunction,th\n,*getw=n,Γέται,proper,e(lw/dh,kai\,καί,conjunction,a)oi/khton,εἴκοσι,verb,ὁ,article,ἑλώδης,adjective,ἀοίκητος,adjective,para\,to\,ὁ,article,*basternw=n,,,e)/qnos,ἔθνος,adjective,w)/|khsan,οἰκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,παρά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*keltoi=s,Κελτός,proper,de\,δέ,particle,o(,ὁ,article,qeo\s,θεός,noun,th\n,ὁ,article,gh=n,γῆ,noun,e)/seise,εἰσίζομαι,verb,kai\,καί,conjunction,ta\s,ὁ,article,po/leis,πόλις,adjective,kath/negke,καταφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\,ὁ,article,kako\n,κακός,adjective,ou)k,οὐ,adverb,e)/lhge,λήγω,verb,me/xri,μέχρι,preposition,kai\,καί,conjunction,oi(/de,ὅδε,pronoun,ta\,ὁ,article,oi)kei=a,οἰκεῖος,adjective,feu/gontes,φεύγω,verb,e)ne/balon,ἐμβάλλω,verb,e)s,εἰς,preposition,*)illuriou\s,Ἰλλυριός,proper,tou\s,ὁ,article,sunamartontas,,,sfi/sin,σφεῖς,pronoun,a)sqenei=s,u(po\,ὑπό,preposition,tou=,ὁ,article,loimou=,λοιμός,noun,genome/nous,γίγνομαι,verb,kai\,καί,conjunction,e)dh/|wsa/n,δηιόω,verb,te,τε,particle,ta\,ὁ,article,ἀσθενής,adjective,e)kei/nwn,ἐκεῖνος,pronoun,kai\,καί,conjunction,tou=,ὁ,article,loimou=,λοιμός,noun,metasxo/ntes,μετέχω,verb,e)/fugon,φεύγω,verb,kai\,καί,conjunction,me/xri,*purh/nhs,Πυρήνη,proper,e)lehla/toun,λεηλατέω,verb,,,,,,,,,,,,,μέχρι,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pistre/fousi,ἐπιστρέφω,verb,d',δέ,particle,au)toi=s,αὐτός,pronoun,e)s,εἰς,preposition,th\n,ὁ,article,e(/w,ἠώς,noun,*(rwmai=oi,,,dedio/tes,δείδω,verb,u(po\,ὑπό,preposition,mnh/mhs,μνήμη,noun,tw=n,ὁ,article,propepolemhko/twn,προπολεμέω,verb,sfi/si,σφεῖς,pronoun,*keltw=n,Κελτός,proper,mh\,μή,conjunction,kai\,καί,conjunction,oi(/de,ὅδε,pronoun,e)s,th\n,ὁ,article,*)itali/an,Ἰταλία,proper,u(pe\r,ὑπέρ,preposition,*)/alpeis,Ἄλπις,proper,e)sba/loien,εἰσβάλλω,verb,a)ph/ntwn,ἀπαντάω,verb,a(/ma,ἅμα,adverb,toi=s,ὁ,article,εἰς,preposition,u(pa/tois,ὕπατος,adjective,kai\,καί,conjunction,panstratia=|,πανστρατιά,noun,diw/llunto,διόλλυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\,ὁ,article,pa/qos,πάθος,adjective,tou=to,οὗτος,pronoun,*(rwmai/wn,,,me/ga,μέγας,adverb,de/os,δέος,noun,*keltw=n,Κελτός,proper,e)s,εἰς,preposition,o(/lhn,ὅλος,adjective,th\n,ὁ,article,*)itali/an,Ἰταλία,proper,e)ne/bale,ἐμβάλλω,verb,me/xri,μέχρι,preposition,*ga/ion,Γαῗος,proper,*ma/rion,Μάριος,proper,e(lo/menoi,αἱρέω,verb,sfw=n,oi(,ὁ,article,*(rwmai=oi,,,strathgei=n,στρατηγέω,verb,a)/rti,ἄρτι,adverb,*libu/wn,Λίβυς,proper,toi=s,ὁ,article,*noma/si,νομάς,noun,kai\,καί,conjunction,σφεῖς,pronoun,*maurousi/ois,,,e)gkratw=s,ἐγκρατής,adjective,pepolemhko/ta,πολεμέω,verb,tou\s,ὁ,article,*ki/mbrous,,,e)ni/kwn,νικάω,verb,kai\,καί,conjunction,polu\n,fo/non,φόνος,noun,au)tw=n,αὐτός,pronoun,ei)rga/santo,ἐργάζομαι,verb,polla/kis,w(/s,ὡς,conjunction,moi,peri\,περί,preposition,*keltw=n,πολύς,adjective,πολλάκις,adverb,ἐγώ,pronoun,Κελτός,proper,le/gonti,ei)/rhtai,ἔρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,a)sqenei=s,ἀσθενής,adjective,te,τε,particle,h)/dh,ἤδη,adverb,geno/menoi,γίγνομαι,verb,kai\,καί,conjunction,pa/shs,πᾶς,adjective,gh=s,γῆ,noun,a)pokleio/menoi,ἀποκλείω,verb,dia\,διά,preposition,to\,ὁ,article,a)sqene/s,ἀσθενής,adjective,e)s,εἰς,preposition,ta\,ὁ,article,oi)kei=a,οἰκεῖος,adjective,e)panh=lqon,ἐπανέρχομαι,verb,polla\,kai\,καί,conjunction,dra/santes,δράω,verb,kai\,καί,conjunction,paqo/ntes,πάσχω,verb,,,,,,,,,,,,,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toiou=ton,τοιοῦτος,adjective,me\n,μέν,particle,dh\,δή,particle,te/los,τέλος,noun,th=s,ὁ,article,a)sebei/as,ἀσέβεια,noun,o(,ὁ,article,qeo\s,θεός,noun,e)pe/qhken,ἐπιτίθημι,verb,*)illurioi=s,Ἰλλυρίζω,verb,te,τε,particle,kai\,καί,conjunction,*keltoi=s,Κελτός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,a)pe/sxonto,ἀπέχω,verb,th=s,ὁ,article,i(erosuli/as,ἱεροσυλία,noun,a)ll',ἀλλά,adverb,au)=qis,αὖθις,adverb,a(/ma,ἅμα,adverb,toi=s,ὁ,article,*keltoi=s,Κελτός,proper,*)illuriw=n,Ἰλλυρία,proper,oi(,ὁ,article,*skordi/skoi,,,ma/lista,μάλιστα,adverb,kai\,καί,conjunction,*mai=doi,,,kai\,καί,conjunction,*da/rdanoi,th\n,ὁ,article,*makedoni/an,Μακεδονία,proper,e)pe/dramon,ἐπιτρέχω,verb,o(mou=,ὁμοῦ,adverb,kai\,καί,conjunction,th\n,ὁ,article,*(ella/da,Ἑλλάς,proper,kai\,καί,conjunction,Δάρδανος,proper,polla\,πολύς,adjective,tw=n,ὁ,article,i(erw=n,ἱερά,noun,kai\,καί,conjunction,to\,ὁ,article,*delfiko\n,Δελφικός,adjective,e)su/lhsan,συλάω,verb,pollou\s,a)pobalo/ntes,ἀποβάλλω,verb,o(/mws,ὅμως,conjunction,kai\,καί,conjunction,to/te,,,,,,,,,πολύς,adjective,τότε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(rwmai=oi,,,d',δέ,particle,e)/xontes,ἔχω,verb,h)/dh,ἤδη,adverb,deu/teron,δεύτερος,adjective,kai\,καί,conjunction,triakosto\n,τριακοστός,adjective,e)/tos,ἔτος,noun,a)po\,ἀπό,preposition,th=s,ὁ,article,prw/ths,πρότερος,adjective,e)s,εἰς,preposition,*keltou\s,Κελτός,proper,pei/ras,ἀπολάω,verb,kai\,καί,conjunction,e)c,ἐκ,preposition,e)kei/nou,ἐκεῖνος,pronoun,polemou=ntes,au)toi=s,αὐτός,pronoun,e)k,ἐκ,preposition,diasthma/twn,διάστημα,noun,e)pistrateu/ousi,ἐπιστρατεύω,verb,toi=s,ὁ,article,*)illurioi=s,Ἰλλυρίζω,verb,e)pi\,ἐπί,preposition,th=|de,ὅδε,pronoun,πολεμέω,verb,th=|,ὁ,article,i(erosuli/a|,ἱεροσυλία,noun,h(goume/nou,ἡγέομαι,verb,*leuki/ou,Λεύκιος,proper,*skipi/wnos,,,h)/dh,ἤδη,adverb,tw=n,ὁ,article,te,*(ellh/nwn,Ἕλλην,proper,kai\,καί,conjunction,*makedo/nwn,Μακεδών,proper,prostatou=ntes,,,,,,,,,τε,particle,προστατέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,fasi,φημί,verb,tou\s,ὁ,article,me\n,μέν,particle,perixw/rous,περίχωρος,adjective,ou),οὐ,adverb,summaxh=sai,συμμαχέω,verb,toi=s,ὁ,article,i(erosu/lois,ἱερόσυλος,noun,a)ll',ἀλλά,adverb,e(ko/ntas,ἑκών,adjective,e)gkatalipei=n,ἐγκαταλείπω,verb,tw=|,ὁ,article,*skipi/wni,,,a)bohqh/tous,ἀβοήθητος,adjective,mnh/mh|,μνήμη,noun,tw=n,ὁ,article,di',*au)tarie/as,,,e)s,εἰς,preposition,pa/ntas,πᾶς,adjective,*)illuriou\s,Ἰλλυριός,proper,sumpeso/ntwn,συμπίτνω,verb,,,,,,,,,,διά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*skipi/wna,,,de\,δέ,particle,*skordi/skous,,,me\n,μέν,particle,diafqei=rai,διαφθείρω,verb,kai\,καί,conjunction,ei)/,εἰ,conjunction,ti,τις,pronoun,loipo\n,λοιπός,adjective,au)tw=n,αὐτός,pronoun,h)=n,εἰμί,verb,e)s,εἰς,preposition,to\n,ὁ,article,*)/istron,Ἴστρος,proper,kai\,καί,conjunction,ta\s,ὁ,article,nh/sous,νῆσος,noun,tou=,potamou=,ποταμός,noun,metoikh=sai,μετοικέω,verb,fugo/ntas,φεύγω,verb,*mai/dois,,,de\,δέ,particle,kai\,καί,conjunction,*dardaneu=si,,,sunqe/sqai,συντίθημι,verb,ὁ,article,dwrodokh/santa,δωροδοκέω,verb,tou=,ὁ,article,i(erou=,ἱερόν,noun,xrusi/ou,χρυσίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,tis,τις,pronoun,e)/fh,φημί,verb,tw=n,ὁ,article,*)italikw=n,Ἰταλικός,adjective,suggrafe/wn,συγγραφεύς,noun,w(s,ὡς,conjunction,dia\,διά,preposition,tou=to,οὗτος,pronoun,ma/lista,μάλιστα,adverb,*(rwmai/ois,,,pleo/nws,πλείων,verb,meta\,μετά,preposition,*leu/kion,Λεύκιος,proper,ta\,ὁ,article,e)mfu/lia,ἐμφύλιος,adjective,h)/kmase,ἀκμάζω,verb,me/xri,monarxi/as,μοναρχία,noun,,,,,,,,,,,,,,,,,,,,,,μέχρι,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
