word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/48/lemma/@_entry,word/48/lemma/@_POS,word/60/lemma/@_entry,word/60/lemma/@_POS
tw=n,ὁ,article,toiou/twn,τοιοῦτος,adjective,e(lke/wn,ἕλκος,noun,o(/tan,ὅταν,conjunction,doke/h|,δοκέω,verb,dei=sqai,δέομαι,verb,katapla/sios,κατάπλασις,noun,ou),οὐ,adverb,xrh\,χρή,verb,au)to\,αὐτός,pronoun,to\,ὁ,article,e(/lkos,ἕλκος,noun,katapla/ssein,καταπλάσσω,verb,a)lla\,ἀλλά,adverb,ta\,ὁ,article,perie/xonta,περιέχω,verb,o(/kws,ὅπως,conjunction,to\,ὁ,article,pu=on,,,a)poxwre/h|,ἀποχωρέω,verb,kai\,καί,conjunction,ta\,ὁ,article,sklhruno/mena,σκληρύνω,verb,malaxqh=|,μαλάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,de\,δέ,particle,e(lke/wn,ἑλκέω,verb,o(/per,ὅσπερ,adjective,me\n,μέν,particle,a)\n,ἄν,particle,o)ce/i+,ὀξύς,adjective,be/lei+,βέλος,noun,diatmhqh=|,διατέμνω,verb,h)\,ἠέ,conjunction,diakoph=|,διακόπτω,verb,e)nde/xetai,ἐνδέχομαι,verb,e)/naimon,ἔναιμος,adjective,fa/rmakon,φάρμακον,noun,kai\,καί,conjunction,to\,ὁ,article,kwlu=on,κωλύω,verb,diapuei=n,διαπυέω,verb,a)nachrai=no/n,ἀναξηραίνω,verb,ti,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/,ὅς,pronoun,tis,τις,pronoun,d',δέ,particle,u(po\,ὑπό,preposition,tou=,ὁ,article,be/leos,βέλος,noun,e)fla/sqh,,,kai\,καί,conjunction,e)ko/ph,κόπτω,verb,sa\rc,σάρξ,adjective,tau/thn,οὗτος,pronoun,de\,δέ,particle,i)htreu/ein,,,o(/kws,ὅπως,conjunction,dia/puos,διάπυος,adjective,w(s,ὡς,conjunction,ta/xista,τάχιστος,adjective,ge/nhtai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(=sso/n,ἥσσων,adverb,te,τε,particle,ga\r,γάρ,particle,flegmai/nei,φλεγμαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,a)na/gkh,ἀνάγκη,noun,ta\s,ὁ,article,sa/rkas,σάρξ,adjective,ta\s,ὁ,article,flasqei/sas,,,kai\,καί,conjunction,kopei/sas,κόπτω,verb,sapei/sas,σήπω,verb,kai\,καί,conjunction,pu=on,,,genome/nas,γίγνομαι,verb,e)ktakh=nai,ἐκτήκω,verb,e)/peita,ἔπειτα,adverb,blasta/nein,βλαστάνω,verb,ne/as,ναῦς,noun,sa/rkas,σάρξ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/lkei+,ἕλκος,noun,neotrw/tw|,νεότρωτος,adjective,panti\,πᾶς,adjective,plh\n,πλήν,preposition,e)n,ἐν,preposition,koili/h|,κοιλία,noun,cumfe/rei,συμφέρω,verb,e)k,ἐκ,preposition,tou=,ὁ,article,trw/matos,τραῦμα,noun,ai(=ma,αἷμα,noun,*ruh=nai,,,au)ti/ka,αὐτίκα,adverb,ple/on,πλέος,adjective,h)\,ἠέ,conjunction,e)/lasson,ἐλάσσων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flegmai/nei,φλεγμαίνω,verb,ga\r,γάρ,particle,h(=sson,ἥσσων,adverb,au)to\,αὐτός,pronoun,to\,ὁ,article,e(/lkos,ἕλκος,noun,kai\,καί,conjunction,ta\,ὁ,article,perie/xonta,περιέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,a)po\,ἀπό,preposition,tw=n,ὁ,article,pepalaiwme/nwn,παλαιόω,verb,e(lke/wn,ἕλκος,noun,cumfe/rei,συμφέρω,verb,ai(=ma,αἷμα,noun,poie/ein,ποιέω,verb,a)por)*re/ein,,,pukna\,πυκνός,adjective,o(/kws,ὅπως,conjunction,a)\n,ἄν,particle,doke/h|,δοκέω,verb,kairo\s,καιρός,noun,ei)=nai,εἰμί,verb,kai\,καί,conjunction,a)p',ἀπό,preposition,au)tw=n,αὐτός,pronoun,tw=n,ὁ,article,e(lke/wn,ἕλκος,noun,kai\,καί,conjunction,tw=n,ὁ,article,periexo/ntwn,περιέχω,verb,to\,ὁ,article,e(/lkos,ἕλκος,noun,a)/llws,ἄλλως,adverb,te,τε,particle,kai\,καί,conjunction,h)\n,ἐάν,conjunction,e)n,ἐν,preposition,knh/mh|,κνήμη,adjective,e)/h|,εἰμί,verb,to\,ὁ,article,e(/lkos,ἕλκος,noun,h)\,ἠέ,conjunction,e)n,ἐν,preposition,daktu/lw|,δάκτυλος,noun,podo\s,πούς,noun,h)\,ἠέ,conjunction,xeiro\s,χείρ,noun,ma=llon,μᾶλλον,adverb,h)/,ἠέ,conjunction,kou,πού,adverb,a)/lloqi,ἄλλοθι,adverb,tou=,ὁ,article,sw/matos,σῶμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi/netai,γίγνομαι,verb,ga\r,γάρ,particle,a)por)*re/ontos,,,tou=,ὁ,article,ai(/matos,αἷμα,noun,chro/tera,ξηρός,adjective,kai\,καί,conjunction,mei/ona,μείων,adverb,i)sxnaino/mena,ἰσχναίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kwlu/ei,κωλύω,verb,ga\r,γάρ,particle,ma/lista,μάλιστα,adverb,me\n,μέν,particle,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,e(/lkea,ἕλκος,noun,u(giai/nesqai,ὑγιαίνω,verb,e)/peita,ἔπειτα,adverb,de\,δέ,particle,kai\,καί,conjunction,ta)/lla,ἄλλος,adjective,cu/mpanta,σύμπας,adjective,ai(/matos,αἷμα,noun,shpedw\n,σηπεδών,noun,kai\,καί,conjunction,o(/,ὅς,pronoun,ti,τις,pronoun,e)c,ἐκ,preposition,ai(/matos,αἷμα,noun,metasta/sios,μετάστασις,noun,gege/nhtai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cumfe/rei,συμφέρω,verb,de\,δέ,particle,meta\,μετά,preposition,th\n,ὁ,article,tou=,ὁ,article,ai(/matos,αἷμα,noun,a)por)*roh\n,,,e)pi\,ἐπί,preposition,tw=n,ὁ,article,toiou/twn,τοιοῦτος,adjective,e(lke/wn,ἕλκος,noun,kai\,καί,conjunction,spo/ggon,σπόγγος,noun,e)pidei=n,ἐπεῖδον,verb,pukno\n,πυκνός,adjective,kai\,καί,conjunction,malqako\n,μαλθακός,adjective,tetmhme/non,τέμνω,verb,chro/teron,ξηρός,adjective,h)\,ἠέ,conjunction,u(gro/teron,ὑγρός,adjective,kai\,καί,conjunction,e)pi\,ἐπί,preposition,tw=|,ὁ,article,spo/ggw|,σπόγγος,noun,a)/nwqen,ἄνωθεν,adverb,fu/lla,φύλλον,noun,suxna\,συχνός,adjective,ti/qesqai,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/laion,ἔλαιον,noun,de\,δέ,particle,kai\,καί,conjunction,o(/sa,ὅσος,adjective,malqakw/dea,μαλθακώδης,adjective,h)\,ἠέ,conjunction,e)laiw/dea/,ἐλαιώδης,adjective,e)sti,εἰμί,verb,fa/rmaka,φάρμακον,noun,ou),οὐ,adverb,cumfe/rei,συμφέρω,verb,toi=si,ὁ,article,toiou/toisin,τοιοῦτος,adjective,e(/lkesin,ἕλκος,noun,h)\n,ἐάν,conjunction,mh\,μή,conjunction,pa/nu,πάνυ,adverb,h)/dh,ἤδη,adverb,pro\s,πρός,preposition,u(giei/hn,ὑγίεια,noun,tei/nh|,τείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,toi=si,ὁ,article,neotrw/toisin,νεότρωτος,adjective,e(/lkesi,ἕλκος,noun,cumfe/rei,συμφέρω,verb,e)/laion,ἔλαιον,noun,ou)de\,οὐδέ,particle,malqakw/dea,μαλθακώδης,adjective,ou)de\,οὐδέ,particle,steatw/dea,στεατώδης,adjective,fa/rmaka,φάρμακον,noun,a)/llws,ἄλλως,adverb,te,τε,particle,kai\,καί,conjunction,o(/,ὅς,pronoun,ti,τις,pronoun,a)\n,ἄν,particle,de/htai,δέομαι,verb,e(/lkos,ἕλκος,noun,plei/onos,πλείων,verb,kaqa/rsios,καθάρσιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,cu/mpan,σύμπας,adjective,ei)pei=n,εἶπον,verb,e)lai/w|,ἔλαιον,noun,th\n,ὁ,article,xrh=sin,χρῆσις,noun,poie/esqai,ποιέω,verb,kai\,καί,conjunction,e)n,ἐν,preposition,qe/rei,θέρος,noun,kai\,καί,conjunction,e)n,ἐν,preposition,xeimw=ni,χειμών,noun,pro\s,πρός,preposition,a(\,ὅς,pronoun,tw=n,ὁ,article,toiou/twn,τοιοῦτος,adjective,farma/kwn,φάρμακον,noun,deo/meqa,δέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(upoka/qarsis,ὑποκάθαρσις,noun,th=s,ὁ,article,ka/tw,κάτος,adjective,koili/hs,κοιλία,noun,cumfe/rei,συμφέρω,verb,toi=si,ὁ,article,plei/stoisi,πλεῖστος,adjective,tw=n,ὁ,article,e(lke/wn,ἕλκος,noun,kai\,καί,conjunction,e)n,ἐν,preposition,trw/masin,τραῦμα,noun,e)n,ἐν,preposition,kefalh=|,κεφαλή,noun,e)ou=si,εἰμί,verb,kai\,καί,conjunction,e)n,ἐν,preposition,koili/h|,κοιλία,noun,kai\,καί,conjunction,e)n,ἐν,preposition,a)/rqroisi,ἄρθρον,noun,kai\,καί,conjunction,o(/sa,ὅσος,adjective,sfakeli/sai,σφακελίζω,verb,ki/ndunos,κίνδυνος,noun,kai\,καί,conjunction,o(/sa,ὅσος,adjective,*rapta\,,,kai\,καί,conjunction,toi=sin,τίς,pronoun,e)sqiome/noisi,ἐσθίω,verb,kai\,καί,conjunction,e(rpustikoi=si,ἑρπυστικός,adjective,kai\,καί,conjunction,toi=sin,τίς,pronoun,a)/llws,ἄλλως,adverb,pepalaiwme/noisin,παλαιόω,verb,e(/lkesi,ἕλκος,noun,kai\,καί,conjunction,o(/kh,ὅπη,adverb,a)\n,ἄν,particle,me/llh|,μέλλω,verb,e)pidei=n,ἐπεῖδον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,xrh\,χρή,verb,ou)d',οὐδέ,particle,e)mpla/ssein,ἐμπλάσσω,verb,ta\,ὁ,article,fa/rmaka,φάρμακον,noun,pri\n,πρίν,adverb,a)\n,ἄν,particle,pa/nu,πάνυ,adverb,chro\n,ξηρός,adjective,poih/sh|s,ποιέω,verb,to\,ὁ,article,e(/lkos,ἕλκος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to/te,τότε,adverb,de\,δέ,particle,dei=,δέομαι,verb,prostiqe/nai,προστίθημι,verb,a)naspoggi/zein,ἀνασπογγίζω,verb,de\,δέ,particle,to\,ὁ,article,e(/lkos,ἕλκος,noun,polla/kis,πολλάκις,adverb,spo/ggw|,σπόγγος,noun,kai\,καί,conjunction,au)=qis,αὖθις,adverb,dqo/nion,,,chro\n,ξηρός,adjective,kai\,καί,conjunction,kaqaro\n,καθαρός,adjective,prosi/sxwn,προσίσχω,verb,polla/kis,πολλάκις,adverb,ou(/tw,οὕτως,adverb,de\,δέ,particle,e)piqei\s,ἐπιτίθημι,verb,to\,ὁ,article,fa/rmakon,φάρμακον,noun,to\,ὁ,article,doke/on,δοκέω,verb,cumfe/rein,συμφέρω,verb,e)pidei=n,ἐπεῖδον,verb,h)\,ἠέ,conjunction,mh\,μή,conjunction,e)pidei=n,ἐπεῖδον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/lkesi,ἕλκος,noun,toi=si,ὁ,article,plei/stoisin,πλεῖστος,adjective,w(/rh,ὥρα,adjective,h(,ὁ,article,qermote/rh,θερμός,adjective,cumforwte/rh,σύμφορος,adjective,tou=,ὁ,article,xeimw=nos,χειμών,noun,plh\n,πλήν,preposition,toi=sin,τίς,pronoun,e)n,ἐν,preposition,kefalh=|,κεφαλή,noun,kai\,καί,conjunction,koili/h|,κοιλία,noun,ma=llon,μᾶλλον,adverb,de\,δέ,particle,h(,ὁ,article,i)shmerinh/,ἰσημερινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,e(/lkea,ἕλκος,noun,o(ko/sa,ὁπόσος,adjective,mh\,μή,conjunction,kalw=s,καλός,noun,kaqarqe/nta,καθαίρω,verb,e)s,εἰς,preposition,to\,ὁ,article,de/on,δέον,adjective,a)ei\,ἀεί,adverb,pro/teron,πρότερος,adjective,a)/rcetai,ἄρχω,verb,blaota/nein,,,tau=ta,οὗτος,pronoun,u(persarke/ei,ὑπερσαρκέω,verb,ma/lista,μάλιστα,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/sa,ὁπόσος,adjective,d',δέ,particle,a)\n,ἄν,particle,kaqarqe/nta,καθαίρω,verb,kalw=s,καλός,noun,te,τε,particle,kai\,καί,conjunction,e)s,εἰς,preposition,to\,ὁ,article,de/on,δέον,adjective,a)ei\,ἀεί,adverb,e)pi\,ἐπί,preposition,to\,ὁ,article,chro/teron,ξηρός,adjective,qerapeu/htai,θεραπεύω,verb,plh\n,πλήν,preposition,ei),εἰ,conjunction,qlasqh=|,,,tau=ta,οὗτος,pronoun,de\,δέ,particle,ou)x,οὐ,adverb,u(persarke/ei,ὑπερσαρκέω,verb,w(s,ὡς,conjunction,e)pi\,ἐπί,preposition,to\,ὁ,article,poulu/,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,o(koqenou=n,,,o)ste/on,ὀστέον,noun,a)fisth=tai,ἀφίστημι,verb,h)\,ἠέ,conjunction,kauqe\n,καίω,verb,h)\,ἠέ,conjunction,prisqe\n,πρίω,verb,h)\,ἠέ,conjunction,a)/llw|,ἄλλος,adjective,tw|,τις,pronoun,tro/pw|,τρόπος,noun,tw=n,ὁ,article,e(lke/wn,ἕλκος,noun,tou/twn,οὗτος,pronoun,ai(,ὁ,article,ou)lai\,οὐλαί,noun,koilo/terai,κόιλος,adjective,gi/nontai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/lkea,ἕλκος,noun,ou),οὐ,adverb,kekaqarme/na,,,ou)k,οὐ,adverb,e)qe/lei,ἐθέλω,verb,cunie/nai,σύνειμι,verb,cunago/mena,συνάγω,verb,ou)d',οὐδέ,particle,au)to/mata,αὐτόματος,adjective,cune/rxetai,συνέρχομαι,verb,*wn,,,ta\,ὁ,article,perie/xonta,περιέχω,verb,flegmai/nei,φλεγμαίνω,verb,tou=,ὁ,article,e(/lkeos,ἕλκος,noun,e)/st',εἰμί,verb,a)\n,ἄν,particle,mh\,μή,conjunction,pau/shtai,παύω,verb,th=s,ὁ,article,flegmasi/hs,φλεγμασία,noun,ou)k,οὐ,adverb,e)qe/lei,ἐθέλω,verb,cunie/nai,σύνειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
