word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS
i)/sws,de\,δέ,particle,e)p',ἐπί,preposition,e)kei=non,ἐκεῖνος,pronoun,tre/yetai,τρέπω,verb,to\n,ὁ,article,lo/gon,λόγος,noun,w(s,ὡς,conjunction,*dikaioge/nhs,Δικαιογένης,proper,te,τε,particle,a(\,ὅς,pronoun,h(mi=n,ἐγώ,pronoun,w(molo/ghsen,ὁμολογέω,verb,a(/panta,ἅπας,adjective,pepoi/hke,ποιέω,verb,kai\,καί,conjunction,au)to\s,αὐτός,pronoun,th\n,ὁ,article,e)ceggu/hn,ἐξεγγύη,noun,o(/ti,ὅστις,pronoun,a)pe/dwken,ἀποδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἴσως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),ou)=n,οὖν,particle,tau=t',οὗτος,pronoun,e)rei=,ἐράομαι,verb,yeu/setai,ψεύδω,verb,kai\,καί,conjunction,r(a|di/ws,ῥᾴδιος,adjective,e)legxqh/setai,ἐλέγχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰ,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nagnw/setai,ga\r,γάρ,particle,u(mi=n,σύ,pronoun,o(/sa,ὅσος,adjective,kate/lipe,καταλιμπάνω,verb,*dikaioge/nhs,Δικαιογένης,proper,o(,ὁ,article,*menece/nou,Μενέξενος,proper,e)n,ἐν,preposition,tw=|,ὁ,article,klh/rw|,κλῆρος,adjective,kai\,καί,conjunction,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,a(\,ὅς,pronoun,e)/laben,λάπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀναγιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,ei),εἰ,conjunction,me\n,μέν,particle,mh/,μή,conjunction,fasi,φημί,verb,*dikaioge/nhn,Δικαιογένης,proper,to\n,ὁ,article,h(me/teron,ἡμέτερος,adjective,qei=on,θεῖος,adjective,zw=nta,ζάω,verb,kekth=sqai,κτάομαι,verb,kai\,καί,conjunction,a)poqnh/skonta,ἀποθνήσκω,verb,h(mi=n,ἐγώ,pronoun,dou=nai,δίδωμι,verb,a)podeica/twsan,ἀποδείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),de\,δέ,particle,kai\,καί,conjunction,e)kei=non,ἐκεῖνος,pronoun,katalipei=n,καταλιμπάνω,verb,kai\,καί,conjunction,h(ma=s,ἐγώ,pronoun,kekomi/sqai,κομίζω,verb,marturhsa/tw,μαρτυρέω,verb,tis,τις,pronoun,au)toi=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰ,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,me\n,μέν,particle,ga\r,γάρ,particle,*dikaioge/nhs,Δικαιογένης,proper,w(molo/gei,ὁμολογέω,verb,paradw/sein,παραδίδωμι,verb,h(mi=n,ἐγώ,pronoun,w(=n,ὅς,pronoun,kate/lipen,καταλιμπάνω,verb,o(,ὁ,article,*menece/nou,Μενέξενος,proper,ta\,ὁ,article,du/o,δύο,adjective,me/rh,μέρα,noun,h(mei=s,ἐγώ,pronoun,ma/rturas,μάρτυς,noun,parexo/meqa,παρέχω,verb,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,*lewxa/rhs,Λεωχάρης,proper,h)gguh/sato,ἐγγυάω,verb,au)to\n,αὐτός,pronoun,tau=ta,οὗτος,pronoun,poih/sein,ποιέω,verb,,,,,,,,,,,,,,,,,,,ὅστις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,ga\r,γάρ,particle,dikazo/meqa,δικάζω,verb,dia\,διά,preposition,tou=to,οὗτος,pronoun,kai\,καί,conjunction,tau=ta,οὗτος,pronoun,a)ntwmo/samen,ἀντόμνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,moi,ἐγώ,pronoun,a)na/gnwqi,ἀναγιγνώσκω,verb,th\n,ὁ,article,a)ntwmosi/an,ἀντωμοσία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),me\n,μέν,particle,toi/nun,τοίνυν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,peri\,περί,preposition,tou/twn,οὗτος,pronoun,e)/mellon,μέλλω,verb,a)pologh/sesqai,ἀπολογέομαι,verb,mo/non,μόνος,adjective,*lewxa/rhs,Λεωχάρης,proper,h)\,ἠέ,conjunction,*dikaioge/nhs,Δικαιογένης,proper,h)/rkei,ἀρκέω,verb,a)/n,ἄν,particle,moi,ἐγώ,pronoun,ta\,ὁ,article,ei)rhme/na,ἐρῶ,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰ,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,de\,δέ,particle,pareskeuasme/noi,παρασκευάζω,verb,ei)si\n,εἰμί,verb,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,peri\,περί,preposition,lttou=gt,,,klh/rou,κλῆρος,adjective,le/gein,λέγω,verb,bou/lomai,βούλομαι,verb,u(ma=s,σύ,pronoun,kai\,καί,conjunction,par',παρά,preposition,e)mou=,ἐγώ,pronoun,ta\,ὁ,article,praxqe/nta,πράσσω,verb,puqe/sqai,πυνθάνομαι,verb,i(/na,ἵνα,conjunction,ei)do/tes,οἶδα,verb,ta)lhqh=,ἀληθής,adjective,o(/,ὅς,pronoun,ti,τις,pronoun,a)\n,ἄν,particle,dokh=|,δοκάζω,verb,u(mi=n,σύ,pronoun,yhfi/shsqe,ψηφίζομαι,verb,a)lla\,ἀλλά,adverb,mh\,μή,conjunction,e)chpathme/noi,ἐξαπατάω,verb,ἐπεί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*menece/nw|,ga\r,γάρ,particle,tw=|,ὁ,article,h(mete/rw|,ἡμέτερος,adjective,pa/ppw|,πάππος,noun,e)ge/neto,γίγνομαι,verb,u(o\s,ὗς,noun,me\n,μέν,particle,ei(=s,εἷς,adjective,*dikaioge/nhs,Δικαιογένης,proper,qugate/res,θυγάτηρ,adjective,de\,δέ,particle,te/ttares,τέσσαρες,noun,w(=n,ὅς,pronoun,e)/labe,λαμβάνω,verb,mi/an,εἷς,adjective,me\n,μέν,particle,*polua/ratos,Πολυάρατος,proper,o(,ὁ,article,path\r,πατήρ,noun,o(,ὁ,article,e)mo/s,ἐμός,adjective,a)/llhn,ἄλλος,adjective,de\,δέ,particle,*dhmoklh=s,Δημοκλέης,proper,o(,ὁ,article,*frea/rrios,Φρεάρριος,proper,th\n,ὁ,article,de\,δέ,particle,*khfisofw=n,Κηφισοφῶν,proper,Μενέξενος,proper,o(,ὁ,article,*paianieu/s,Παιανιεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,de\,δέ,particle,ltteta/rthgt,,,*qeopo/mpw|,Θεόπομπος,proper,e)gh/mato,γαμέω,verb,tw=|,ὁ,article,*khfisodo/tou,Κηφισόδοτος,proper,patri/,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,o(,ὁ,article,me\n,μέν,particle,*dikaioge/nhs,Δικαιογένης,proper,trih/rarxos,τριήραρχος,noun,e)kpleu/sas,ἐκπλέω,verb,th=s,ὁ,article,*para/lou,Πάραλος,proper,e)teleu/thse,τελευτάω,verb,maxo/menos,μάχομαι,verb,e)n,ἐν,preposition,*kni/dw|,Κνίδος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)poqano/ntos,d',δέ,particle,au)tou=,αὐτός,pronoun,a)/paidos,ἄπαις,noun,diaqh/khn,διαθήκη,noun,a)pe/fhne,ἀποφαίνω,verb,*pro/cenos,Πρόξενος,proper,o(,ὁ,article,*dikaioge/nous,,,lttoudi\gt,,,path/r,πατήρ,noun,h(=|,ὅς,pronoun,pisteu/santes,πιστεύω,verb,oi(,ὁ,article,h(me/teroi,ἡμέτερος,adjective,pate/res,πατήρ,noun,e)nei/manto,νέμω,verb,to\n,ὁ,article,klh=ron,κλῆρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀποθνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,e)pi\,ἐπί,preposition,me\n,μέν,particle,tw=|,ὁ,article,tri/tw|,τρίτος,adjective,me/rei,μέρος,noun,tou=,ὁ,article,klh/rou,κλῆρος,adjective,*dikaioge/nhs,Δικαιογένης,proper,o(/de,ὅδε,pronoun,tw=|,ὁ,article,*menece/nou,Μενέξενος,proper,*dikaioge/nei,,,h(mete/rw|,ἡμέτερος,adjective,de\,δέ,particle,qei/w|,θεῖος,noun,u(o\s,ὗς,noun,e)gi/gneto,γίγνομαι,verb,poihto/s,ποιητός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,de\,δέ,particle,loipw=n,λοιπός,adjective,e(ka/sth,ἕκαστος,adjective,to\,ὁ,article,me/ros,μέρος,noun,e)pedika/sato,ἐπιδικάζω,verb,tw=n,ὁ,article,*menece/nou,Μενέξενος,proper,qugate/rwn,θυγάτηρ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,e)gw\,ἐγώ,pronoun,tou\s,ὁ,article,to/te,τότε,adverb,paro/ntas,πάρειμι,verb,u(mi=n,σύ,pronoun,ma/rturas,μάρτυς,noun,pare/comai,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
