word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/25/lemma/@_entry,word/25/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS
ge/graptai,γράφω,verb,kai\,καί,conjunction,*deina/rxw|,Δείναρχος,proper,lo/gos,λόγος,noun,kat',κατά,preposition,au)tou=,αὐτός,pronoun,e)n,ἐν,preposition,w(=|,ὅς,pronoun,dedh/lwtai,δηλόω,verb,o(/ti,ὅστις,pronoun,*(alimousi/ous,,,sunede/kase,συνδεκάζω,verb,kai\,καί,conjunction,dia\,διά,preposition,tou=to,οὗτος,pronoun,ce/nos,ξένος,noun,w)\n,εἰμί,verb,th=|,ὁ,article,politei/a|,πολιτεία,noun,e)negra/fh,ἐγγράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,polla\,πολύς,adjective,shmai/nei,σημαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)isai=os,,,de\,δέ,particle,a)nti\,ἀντί,preposition,tou=,ὁ,article,fe/rein,φέρω,verb,kai\,καί,conjunction,e)na/gein,ἐνάγω,verb,kai\,καί,conjunction,e(/lkein,ἕλκω,verb,e)/laben,λάπτω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,ou(/tws,οὕτως,adverb,e)pigrafome/nw|,ἐπιγράφω,verb,u(pe\r,ὑπέρ,preposition,*eu)ma/qous,,,ei)s,εἰς,preposition,e)leuqeri/an,ἐλευθερία,noun,a)fai/resis,ἀφαίρεσις,noun,le/gwn,λέγω,verb,ou(/tws,οὕτως,adverb,e)/blaye/,βλάπτω,verb,me,ἐγώ,pronoun,*cenoklh=s,Ξενοκλέης,proper,a)felo/menos,ἀφαιρέω,verb,*eu)ma/qhn,ei)s,εἰς,preposition,e)leuqeri/an,ἐλευθερία,noun,a)/gontos,ἄγω,verb,e)mou=,ἐγώ,pronoun,ei)s,εἰς,preposition,doulei/an,δουλεία,noun,kata\,κατά,preposition,to\,ὁ,article,e)mo\n,ἐμός,adjective,me/ros,μέρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,polla/kis,πολλάκις,adverb,e)n,ἐν,preposition,tw=|,ὁ,article,lo/gw|,λόγος,noun,e)xrh/sato,χράω,verb,tw=|,ὁ,article,o)no/mati,ὄνομα,adjective,e)pi\,ἐπί,preposition,th=s,ὁ,article,au)th=s,αὐτός,pronoun,e)nnoi/as,ἔννοια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)antifw=n,Ἀντιφῶν,proper,d',δέ,particle,e)n,ἐν,preposition,tw=|,ὁ,article,peri\,περί,preposition,a)lhqei/as,ἀλήθεια,adjective,fhsi\,φημί,verb,tou\s,ὁ,article,no/mous,νόμος,noun,mega/lous,μέγας,adverb,a)/goi,ἄγω,verb,a)nti\,ἀντί,preposition,tou=,ὁ,article,h(goi=to,ἡγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tou,οὗτος,pronoun,pollh\,πολύς,adjective,xrh=sis,χρῆσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)isokra/ths,Ἰσοκράτης,proper,e)n,ἐν,preposition,tw=|,ὁ,article,*panaqhnai+kw=|,Παναθηναικός,adjective,w(s,ὡς,conjunction,a)\n,ἄν,particle,ei),εἰ,conjunction,e)/lege,λέγω,verb,tw=n,ὁ,article,pollw=n,πολύς,adjective,sofistw=n,σοφιστής,noun,kai\,καί,conjunction,planhtw=n,πλανήτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,metafora\,μεταφορά,noun,a)po\,ἀπό,preposition,tw=n,ὁ,article,a)gelai/wn,ἀγελαῖος,adjective,zw/|wn,ζώιον,noun,a(\,ὅς,pronoun,bo/sketai,βόσκω,verb,ei)s,εἰς,preposition,a(\,ὅς,pronoun,tu/xoi,τυγχάνω,verb,xwri/a,χωρίον,noun,h)\,ἠέ,conjunction,a)po\,ἀπό,preposition,tw=n,ὁ,article,i)xqu/wn,ἰχθύς,noun,ou(\s,ὅς,pronoun,diabo/skesqai/,διαβόσκω,verb,fasi,φημί,verb,r(u/dhn,ῥύδην,adverb,kai\,καί,conjunction,a)gelhdo/n,ἀγεληδόν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nti\,ἀντί,preposition,tou=,ὁ,article,a)/pais,ἄπαις,noun,par),πηρός,adjective,*)isai/w|,Ἰσαῖος,proper,e)n,ἐν,preposition,tw=|,ὁ,article,u(pe\r,ὑπέρ,preposition,*menekle/ous,Μενεκλῆς,proper,klh/rou,κλῆρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,οὗτος,pronoun,h)=n,εἰμί,verb,w(s,ὡς,conjunction,o(,ὁ,article,*cenofw=n,Ξενοφῶν,proper,dhloi=,δηλόω,verb,basileu\s,βασιλεύς,noun,*lakedaimoni/wn,Λακεδαιμόνιος,proper,e)pifanh\s,ἐπιφανής,adverb,kai\,καί,conjunction,gennai=os,γενναῖος,adjective,kai\,καί,conjunction,polla\,πολύς,adjective,th=s,ὁ,article,*)asi/as,Ἄσιος,proper,katestre/yato,καταστρέφω,verb,toi=s,ὁ,article,*ku/rw|,Κῦρος,proper,sunanaba=si,συναναβαίνω,verb,xrhsa/menos,χράω,verb,stratiw/tais,στρατιώτης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,quga/thr,θυγάτηρ,adjective,*ke/kropos,Κέκροψ,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,de\,δέ,particle,kai\,καί,conjunction,e)pw/numon,ἐπώνυμος,adjective,*)aqhna=s,Ἀθήνη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)antifw=n,Ἀντιφῶν,proper,e)n,ἐν,preposition,tw=|,ὁ,article,a)nti\,ἀντί,preposition,tou=,ὁ,article,a(gni/zete,ἁγνίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)isai=os,,,e)n,ἐν,preposition,tw=|,ὁ,article,pro\s,πρός,preposition,*eu)klei/dhn,Εὐκλείδης,proper,peri\,περί,preposition,xwri/ou,χωρίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
