word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/46/lemma/@_entry,word/46/lemma/@_POS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,me\n,μέν,particle,w)=,ὦ,interjection,ta=n,τᾶν,adjective,th\n,ὁ,article,o(do\n,ὁδός,adjective,tau/thn,οὗτος,pronoun,i)/qi,εἶμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,deina\,δεινός,adjective,nw\,ἐγώ,pronoun,de/draken,δράω,verb,ou(k,ἐκ,preposition,tw=n,ὁ,article,o)rne/wn,ὄρνεον,noun,o(,ὁ,article,pinakopw/lhs,πινακοπώλης,noun,filokra/ths,,,melagxolw=n,μελαγχολάω,verb,o(\s,ὅς,pronoun,tw/d',ὅδε,pronoun,e)/faske,φάσκω,verb,nw=|n,ἐγώ,pronoun,fra/sein,φράζω,verb,to\n,ὁ,article,*thre/a,Τηρεύς,proper,to\n,ὁ,article,e)/pof',ἔποψ,noun,o(\s,ὅς,pronoun,o)/rnis,ὄρνις,noun,e)ge/net',γίγνομαι,verb,e)k,ἐκ,preposition,tw=n,ὁ,article,o)rne/wn,ὄρνεον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)pe/doto,ἀποδίδωμι,verb,to\n,ὁ,article,me\n,μέν,particle,*qarrelei/dou,Θαρρελείδης,proper,toutoni\,οὗτος,pronoun,koloio\n,κολοιός,noun,o)bolou=,ὀβολός,noun,thndedi\,ὅδε,pronoun,triwbo/lou,τριώβολον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw\,ὁ,article,d',δέ,particle,ou)k,οὐ,adverb,a)/r',ἄρα,particle,h)/|sthn,οἶδα,verb,ou)de\n,οὐδείς,pronoun,a)/llo,ἄλλος,adjective,plh\n,πλήν,preposition,da/knein,δάκνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,ti/,τίς,pronoun,ke/xhnas,χάσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sq',ἔσθω,verb,o(/poi,ὅποι,adverb,kata\,κατά,preposition,tw=n,ὁ,article,petrw=n,πέτρα,noun,h(ma=s,ἐγώ,pronoun,e)/t',ἔτι,adverb,e)/ceis,ξέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga/r,γάρ,particle,e)st',εἰμί,verb,e)ntau=qa/,ἐνταῦθα,adverb,tis,τις,pronoun,o(do/s,ὁδός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,ma\,μά,particle,*di/',Δίη,proper,e)ntau=qa/,ἐνταῦθα,adverb,g',γε,particle,a)trapo\s,ἀτραπός,adjective,ou)damou=,οὐδαμός,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,h(,ὁ,article,korw/nh,κορώνη,noun,th=s,ὁ,article,o(dou=,ὁδός,adjective,ti,τις,pronoun,le/gei,λέγω,verb,pe/ri,περί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,tau)ta\,ταυτός,adjective,krw/zei,κρώζω,verb,ma\,μά,particle,*di/a,Δίη,proper,nu=n,νῦν,adverb,te,τε,particle,kai\,καί,conjunction,to/te,τότε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,dh\,δή,particle,le/gei,λέγω,verb,peri\,περί,preposition,th=s,ὁ,article,o(dou=,ὁδός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,d',δέ,particle,a)/llo,ἄλλος,adjective,g',γε,particle,h)\,ἠέ,conjunction,bru/kous',βρύκω,verb,a)pe/desqai/,ἀπεσθίω,verb,fhsi/,φημί,verb,mou,ἐγώ,pronoun,tou\s,ὁ,article,daktu/lous,δάκτυλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,deino\n,δεινός,adjective,ou)=n,οὖν,particle,dh=t',δῆτα,adverb,e)sti\n,εἰμί,verb,h(ma=s,ἐγώ,pronoun,deome/nous,δέομαι,verb,e)s,εἰς,preposition,ko/rakas,κόραξ,noun,e)lqei=n,ἔρχομαι,verb,kai\,καί,conjunction,pareskeuasme/nous,παρασκευάζω,verb,e)/peita,ἔπειτα,adverb,mh\,μή,conjunction,'ceurei=n,ἐξευρίσκω,verb,du/nasqai,δύναμαι,verb,th\n,ὁ,article,o(do/n,ὁδός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mei=s,ἐγώ,pronoun,ga/r,γάρ,particle,w)=ndres,ἀνήρ,noun,oi(,ἕ,pronoun,paro/ntes,πάρειμι,verb,e)n,ἐν,preposition,lo/gw|,λόγος,noun,no/son,νόσος,noun,nosou=men,νοσέω,verb,th\n,ὁ,article,e)nanti/an,ἐναντίος,adjective,*sa/ka|,Σάκαι,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,w)\n,εἰμί,verb,ou)k,οὐ,adverb,a)sto\s,ἀστός,noun,e)sbia/zetai,,,h(mei=s,ἐγώ,pronoun,de\,δέ,particle,fulh=|,φυλή,noun,kai\,καί,conjunction,ge/nei,γένος,noun,timw/menoi,τιμάω,verb,a)stoi\,ἀστός,noun,met',μετά,preposition,a)stw=n,ἄστυ,noun,ou),οὐ,adverb,sobou=ntos,σοβέω,verb,ou)deno\s,οὐδείς,pronoun,a)nepto/mesq',ἀναπέτομαι,verb,e)k,ἐκ,preposition,th=s,ὁ,article,patri/dos,πατρίς,adjective,a)mfoi=n,ἄμφω,noun,podoi=n,πούς,noun,au)th\n,αὐτός,pronoun,me\n,μέν,particle,ou),οὐ,adverb,misou=nt',μισέω,verb,e)kei/nhn,ἐκεῖνος,pronoun,th\n,ὁ,article,po/lin,πόλις,adjective,to\,ὁ,article,mh\,μή,conjunction,ou),οὐ,adverb,mega/lhn,μέγας,adverb,ei)=nai,εἰμί,verb,fu/sei,φύσις,noun,keu)dai/mona,εὐδαίμων,adjective,kai\,καί,conjunction,pa=si,πᾶς,adjective,koinh\n,κοινός,adjective,e)napotei=sai,ἐναποτίνω,verb,xrh/mata,χρῆμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,ou)=n,οὖν,particle,te/ttiges,τέττιξ,noun,e(/na,ἕνος,adjective,mh=n',μήνη,noun,h)\,ἠέ,conjunction,du/o,δύο,adjective,e)pi\,ἐπί,preposition,tw=n,ὁ,article,kradw=n,κράδη,adjective,a)/|dous',ἀείδω,verb,*)aqhnai=oi,Ἀθηναῖος,proper,d',δέ,particle,a)ei\,ἀεί,adverb,e)pi\,ἐπί,preposition,tw=n,ὁ,article,dikw=n,δίκη,adjective,a)/|dousi,ἀείδω,verb,pa/nta,πᾶς,adjective,to\n,ὁ,article,bi/on,βίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,tau=ta,οὗτος,pronoun,to/nde,ὅδε,pronoun,to\n,ὁ,article,ba/don,βάδος,noun,badi/zomen,βαδίζω,verb,kanou=n,καίνω,verb,d',δέ,particle,e)/xonte,ἔχω,verb,kai\,καί,conjunction,xu/tran,χύτρα,noun,kai\,καί,conjunction,murri/nas,μυρσίνη,noun,planw/meqa,πλανάω,verb,zhtou=nte,ζητέω,verb,to/pon,τόπος,noun,a)pra/gmona,ἀπράγμων,adjective,o(/poi,ὅποι,adverb,kaqidruqe/nte,καθιδρύω,verb,diagenoi/meq',διαγίγνομαι,verb,a)/n,ἄν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,sto/los,στόλος,noun,nw=|n,ἐγώ,pronoun,e)sti,εἰμί,verb,para\,παρά,preposition,to\n,ὁ,article,*thre/a,Τηρεύς,proper,to\n,ὁ,article,e)/popa,ἔποψ,noun,par',παρά,preposition,e)kei/nou,ἐκεῖνος,pronoun,puqe/sqai,πυνθάνομαι,verb,deome)nw,,,ei)/,εἰ,conjunction,pou,πού,adverb,toiau/thn,τοιοῦτος,adjective,ei)=de,εἶδον,verb,po/lin,πόλις,adjective,h(=|,ὅς,pronoun,'pe/pteto,ἀποπέτομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,e)/stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,korw/nh,κορώνη,noun,moi,ἐγώ,pronoun,pa/lai,πάλαι,adverb,a)/nw,ἄνω,adverb,ti,τις,pronoun,fra/zei,φράζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xw),ὁ,article,koloio\s,κολοιός,noun,ou(tosi\,οὗτος,pronoun,a)/nw,ἄνω,adverb,ke/xhnen,χάσκω,verb,w(sperei\,ὥσπερ,adverb,deiknu/s,δείκνυμι,verb,ti/,τίς,pronoun,moi,ἐγώ,pronoun,kou)k,οὐ,adverb,e)/sq',ἔσθω,verb,o(/pws,ὅπως,conjunction,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,e)ntau=q',ἐνταῦθα,adverb,o)/rnea,ὄρνεον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)so/meqa,εἶμι,verb,d',δέ,particle,au)ti/k',αὐτίκα,adverb,h)\n,ἐάν,conjunction,poih/swmen,ποιέω,verb,yo/fon,ψόφος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
