word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/45/lemma/@_entry,word/45/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS
ei),εἰ,conjunction,de\,δέ,particle,xwri\s,χωρίς,adverb,me/n,μέν,particle,e)sti,εἰμί,verb,suneu/casqai,συνεύχομαι,verb,ta\,ὁ,article,me/gista,μέγας,adverb,xwri\s,χωρίς,adverb,de\,δέ,particle,sumbouleu=sai,συμβουλεύω,verb,peri\,περί,preposition,tw=n,ὁ,article,e)nesthko/twn,ἐνίστημι,verb,e(\n,εἷς,adjective,tou=t',οὗτος,pronoun,a)ciw=,ἀξιάω,verb,tai=s,ὁ,article,gnw/mais,γνώμη,noun,u(poqe/ntas,ὑποτίθημι,verb,u(ma=s,σύ,pronoun,a)kroa=sqai,ἀκροάομαι,verb,ei),εἰ,conjunction,mh\,μή,conjunction,diamarta/nw,διαμαρτάνω,verb,tw=n,ὁ,article,logismw=n,λογισμός,noun,ou(\s,ὅς,pronoun,e)/xw,ἔχω,verb,peri\,περί,preposition,tou/twn,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,toi/nun,τοίνυν,particle,h(gou=mai,ἡγέομαι,verb,th\n,ὁ,article,po/lin,πόλις,adjective,th\n,ὁ,article,h(mete/ran,ἡμέτερος,adjective,tw=n,ὁ,article,me\n,μέν,particle,*(ellhni/dwn,Ἑλληνίς,proper,eu)tuxesta/thn,εὐτυχής,adjective,ei)=nai,εἰμί,verb,kai\,καί,conjunction,nh\,νή,preposition,*di/a,Δίη,proper,g',γε,particle,ei),εἰ,conjunction,bou/lesqe,βούλομαι,verb,prosqh/sw,προσθέω,verb,kai\,καί,conjunction,tw=n,ὁ,article,a(pasw=n,ἅπας,adjective,ou),οὐ,adverb,mh/n,μήν,particle,pw,πω,particle,th=s,ὁ,article,fu/sews,φύσις,noun,th=s,ὁ,article,a)nqrwpi/nhs,ἀνθρώπινος,adjective,krei/ttona,κρείσσων,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,d',δέ,particle,au(/th,οὗτος,pronoun,ti/s,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,e)c,ἐκ,preposition,i)/sou,ἴσος,adjective,ta\,ὁ,article,pra/gmata,πρᾶγμα,noun,oi(,ὁ,article,qeoi\,θεός,noun,sfi/si,σφεῖς,pronoun,t',τε,particle,au)toi=s,αὐτός,pronoun,kai\,καί,conjunction,toi=s,ὁ,article,a)nqrw/pois,ἄνθρωπος,noun,e)/neiman,νέμω,verb,a)ll',ἀλλά,adverb,au)toi\,αὐτός,pronoun,me\n,μέν,particle,a(/t',ἅτε,adverb,o)/ntes,εἰμί,verb,a)qa/natoi,ἀθάνατος,adjective,kai\,καί,conjunction,ku/rioi,κύριος,adjective,tw=n,ὁ,article,a(pa/ntwn,ἅπας,adjective,a)qana/tous,ἀθάνατος,adjective,kai\,καί,conjunction,ta\s,ὁ,article,eu)tuxi/as,εὐτυχία,noun,e)/xousi,ἔχω,verb,kai\,καί,conjunction,ou),οὐ,adverb,de/os,δέος,noun,mh/,μή,conjunction,tis,τις,pronoun,au)tou\s,αὐτός,pronoun,a)fe/lhtai,ἀφαιρέω,verb,krei/ttwn,κρείσσων,verb,geno/menos,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=s,ὅς,pronoun,tosou=ton,τοσοῦτος,adjective,peri/estin,περίειμι,verb,w(/st',ὥστε,conjunction,ou),οὐ,adverb,mo/non,μόνος,adjective,au)toi\,αὐτός,pronoun,ta)gaqa\,ἀγαθός,adjective,pa/nta,πᾶς,adjective,ke/kthntai,κτάομαι,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,au)toi\,αὐτός,pronoun,ne/mousi,νέμω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ne/mousi,νέμω,verb,d',δέ,particle,ou)x,οὐ,adverb,o(/nper,ὅς,pronoun,au)toi\,αὐτός,pronoun,ke/kthntai,κτάομαι,verb,tro/pon,τρόπος,noun,a)ll',ἀλλά,adverb,o(/sois,ὅσος,adjective,ta\,ὁ,article,kra/tista,κράτιστος,adjective,tw=n,ὁ,article,a)nqrw/pwn,ἄνθρωπος,noun,e)/dosan,δίδωμι,verb,ta\,ὁ,article,plei/w,πλέως,adjective,katorqou=n,κατορθόω,verb,ou),οὐ,adverb,pa/nt',πᾶς,adjective,e)/dosan,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou/tou,οὗτος,pronoun,me/giston,μέγας,adverb,para/deigma,παράδειγμα,noun,oi(,ὁ,article,nu=n,νῦν,adverb,u(ma=s,σύ,pronoun,e)pi\,ἐπί,preposition,th\n,ὁ,article,ei)rh/nhn,εἰρήνη,noun,ou(=toi,οὗτος,pronoun,prokalou/menoi,προκαλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)co\n,ἔξεστι,verb,ga\r,γάρ,particle,au)toi=s,αὐτός,pronoun,ei),εἰ,conjunction,metria/zein,μετριάζω,verb,h)ci/oun,ἀξιόω,verb,au)tou/s,αὐτός,pronoun,t',τε,particle,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,e)/xein,ἔχω,verb,kai\,καί,conjunction,e(te/rois,ἕτερος,adjective,tau=ta,οὗτος,pronoun,brabeu/ein,βραβεύω,verb,e)parqe/ntes,ἐπαίρω,verb,toi=s,ὁ,article,u(pa/rxousin,ὑπάρχω,verb,ei),εἰ,conjunction,nu=n,νῦν,adverb,dunh/sontai,δύναμαι,verb,par',παρά,preposition,u(mw=n,σύ,pronoun,tw=n,ὁ,article,au)tw=n,αὐτός,pronoun,tou/twn,οὗτος,pronoun,tuxei=n,τυγχάνω,verb,eu(/rhma,εὕρημα,noun,poiou=ntai,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,toi/nun,τοίνυν,particle,o(/,ὅς,pronoun,ge,γε,particle,tou/tois,οὗτος,pronoun,e)gkalou=men,ἐγκαλέω,verb,tou=t',οὗτος,pronoun,au)toi\,αὐτός,pronoun,pa/qwmen,πάσχω,verb,mhde\,μηδέ,particle,th=s,ὁ,article,tou/twn,οὗτος,pronoun,a)bouli/as,ἀβουλία,noun,ma=llon,μᾶλλον,adverb,klhronomh/swmen,κληρονομέω,verb,h)\,ἠέ,conjunction,toi=s,ὁ,article,h(mete/rois,ἡμέτερος,adjective,au)tw=n,αὐτός,pronoun,logismoi=s,λογισμός,noun,xrhsw/meqa,χράω,verb,ou(\s,ὅς,pronoun,peri\,περί,preposition,tou/twn,οὗτος,pronoun,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,ei)/xomen,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/ste,οἶδα,verb,ga\r,γάρ,particle,dh/,δή,particle,pou,πού,adverb,kai\,καί,conjunction,to/te,τότε,adverb,pro\s,πρός,preposition,ta\s,ὁ,article,polla\s,πολύς,adjective,presbei/as,πρέσβεια,noun,au)tw=n,αὐτός,pronoun,kai\,καί,conjunction,ta\,ὁ,article,prosta/gmata,πρόσταγμα,noun,e)kei=na,ἐκεῖνος,pronoun,mi/an,εἷς,adjective,tau/thn,οὗτος,pronoun,ou)=san,εἰμί,verb,a)po/krisin,ἀπόκρισις,noun,di/kh|,δίκη,adjective,dialu/esqai,διαλύω,verb,po/lemon,πόλεμος,noun,de\,δέ,particle,koino\n,κοινός,adjective,toi=s,ὁ,article,*(/ellhsi,Ἕλλην,proper,mh\,μή,conjunction,kinei=n,κινέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to/te,τότε,adverb,me\n,μέν,particle,toi/nun,τοίνυν,particle,tou/twn,οὗτος,pronoun,ou),οὐ,adverb,dexome/nwn,δέχομαι,verb,a)nagkai/ws,ἀναγκαῖος,adjective,ei)s,εἰς,preposition,to\n,ὁ,article,po/lemon,πόλεμος,noun,kate/sthte,καθίστημι,verb,nu=n,νῦν,adverb,de\,δέ,particle,pw=s,πῶς,adverb,ei)ko\s,ἔοικα,verb,e)f',ἐπί,preposition,u(mi=n,σύ,pronoun,gegenhme/nwn,γίγνομαι,verb,mh\,μή,conjunction,xrh=sqai,χράομαι,verb,tou/tois,οὗτος,pronoun,a(/,ὅς,pronoun,g',γε,particle,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,a)\n,ἄν,particle,ei),εἰ,conjunction,mhdei\s,μηδείς,pronoun,e)kw/luse,κωλύω,verb,mhde\n,μηδείς,pronoun,e)pra/cate,πράσσω,verb,a)ll',ἀλλά,adverb,a)mfote/rwqen,ἀμφοτέρωθεν,adverb,to\,ὁ,article,pra=gma,πρᾶγμα,noun,a)nastrafh=nai,ἀναστρέφω,verb,kai\,καί,conjunction,tou\s,ὁ,article,me\n,μέν,particle,to/te,τότε,adverb,fugo/ntas,φεύγω,verb,th\n,ὁ,article,ei)rh/nhn,εἰρήνη,noun,nu=n,νῦν,adverb,h(/kein,ἥκω,verb,e)pi\,tau/thn,οὗτος,pronoun,prokaloume/nous,προκαλέω,verb,h(ma=s,ἐγώ,pronoun,d',δέ,particle,oi(\,ἕ,pronoun,to/te,τότε,adverb,ἐπί,preposition,th=s,ὁ,article,ei)rh/nhs,εἰρήνη,noun,ei)xo/meqa,ἔχω,verb,au)=qis,αὖθις,adverb,au)=,αὖ,interjection,to\n,ὁ,article,po/lemon,πόλεμος,noun,fai/nesqai,φαίνω,verb,proairoume/nous,προαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,oi(,ἕ,pronoun,me\n,μέν,particle,e)/xoien,ἔχω,verb,a)\n,ἄν,particle,ei)pei=n,εἶπον,verb,w(s,ὡς,conjunction,ei)ko/tws,ἐοικότως,adverb,metabe/blhntai,μεταβάλλω,verb,h(mi=n,ἐγώ,pronoun,d',δέ,particle,w(s,ὡς,conjunction,o)rqw=s,ὀρθός,adjective,to/t',τότε,adverb,e)gignw/skomen,γιγνώσκω,verb,au)ta\,αὐτός,pronoun,ta\,ὁ,article,tou/tois,οὗτος,pronoun,sumbebhko/ta,συμβαίνω,verb,marturei=,μαρτύρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/st',ὥστε,conjunction,ou)k,οὐ,adverb,a)\n,ἄν,particle,dh/,δή,particle,pou,πού,adverb,dikai/ws,δίκαιος,adjective,metaballoi/meqa,μεταβάλλω,verb,h)\,ἠέ,conjunction,komidh=,κομιδῇ,adverb,ge,γε,particle,a)/topon,ἄτοπος,adjective,ei),εἰ,conjunction,*lakedaimo/nioi,Λακεδαιμόνιος,proper,me\n,μέν,particle,h(mi=n,ἐγώ,pronoun,su/myhfoi,σύμψηφος,adjective,gego/nasin,γίγνομαι,verb,a)fe/ntes,ἀφίημι,verb,ta\,ὁ,article,dokou=nta,δοκέω,verb,e(autoi=s,ἑαυτοῦ,pronoun,h(mei=s,ἐγώ,pronoun,d',δέ,particle,h(mi=n,ἐγώ,pronoun,au)toi=s,αὐτός,pronoun,u(penanti/a,ὑπεναντίος,adjective,gignw/skontes,γιγνώσκω,verb,o)fqhso/meqa,ὁράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(gou=mai,ἡγέομαι,verb,de\,δέ,particle,qew=n,θέα,noun,tina,τις,pronoun,tauti\,οὗτος,pronoun,pa/nta,πᾶς,adjective,strathgh=sai,στρατηγέω,verb,ei)/te,εἴτε,adverb,ga\r,γάρ,particle,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,e)qelontai\,ἐθελοντής,noun,to\n,ὁ,article,po/lemon,πόλεμος,noun,proeilo/meqa,προαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ndrei/as,ἀνδρεία,noun,me\n,μέν,particle,a)/n,ἄν,particle,ti,τις,pronoun,tou=t',οὗτος,pronoun,i)/sws,ἴσως,adverb,su/mbolon,σύμβολον,noun,e)chne/gkamen,ἐκφέρω,verb,th\n,ὁ,article,d',δέ,particle,e)piei/keian,ἐπιείκεια,noun,ou)dei\s,οὐδείς,pronoun,i)dei=n,εἶδον,verb,ei)=xen,ἔχω,verb,a)\n,ἄν,particle,ou)/koun,οὔκουν,adverb,e)n,ἐν,preposition,au)toi=s,αὐτός,pronoun,ge,γε,particle,oi(=s,ὅς,pronoun,h(|rou/meqa,αἱρέω,verb,ei)/te,εἴτε,adverb,kai\,καί,conjunction,boulome/nwn,βούλομαι,verb,h(mw=n,ἐγώ,pronoun,th\n,ὁ,article,ei)rh/nhn,εἰρήνη,noun,a)/gein,ἄγω,verb,e)pei/sqhsan,πείθω,verb,ou(=toi,οὗτος,pronoun,to\,ὁ,article,me\n,μέν,particle,proora=sqai,προοράω,verb,th=s,ὁ,article,*(ella/dos,Ἑλλάς,proper,h(ma=s,ἐγώ,pronoun,kai\,καί,conjunction,to\,ὁ,article,mh\,μή,conjunction,proxei/rws,πρόχειρος,adjective,e)/xein,ἔχω,verb,pro\s,πρός,preposition,ta\s,ὁ,article,pleoneci/as,πλεονεξία,noun,e)ph/|nesen,ἐπαινέω,verb,a)/n,tis,τις,pronoun,dikai/ws,δίκαιος,adjective,ta\,ὁ,article,de\,δέ,particle,th=s,ὁ,article,a)ndrei/as,ἀνδρεία,noun,ἄν,particle,kai\,καί,conjunction,th=s,ὁ,article,duna/mews,δύναμις,adjective,ou),οὐ,adverb,pa/ntes,πᾶς,adjective,e)/mellon,μέλλω,verb,sunei/sesqai,σύνειμι,verb,ou)/koun,οὔκουν,adverb,e)n,ἐν,preposition,au)tw=|,αὐτός,pronoun,ge,γε,particle,tw=|,ὁ,article,th\n,ὁ,article,ei)rh/nhn,εἰρήνη,noun,a)/gein,ἄγω,verb,ai(rei=sqai,αἱρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,a)mfo/tera,ἀμφότερος,adjective,w(s,ὡς,conjunction,ka/llista,κάλλιστα,adverb,e)nedeica/meqa,ἐνδείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
