word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS
w(=|,ὅς,pronoun,parqe/noi,παρθένος,noun,me\n,μέν,particle,trei=s,τρέω,verb,e)/fumen,φύω,verb,e)k,ἐκ,preposition,mia=s,εἷς,adjective,*xruso/qemis,Χρυσόθεμις,proper,*)ifige/neia/,ἰφιγένεια,adjective,t',τε,particle,*)hle/ktra,Ἠλέκτρη,proper,t',τε,particle,e)gw/,ἐγώ,pronoun,a)/rshn,ἄρσην,noun,d',δέ,particle,*)ore/sths,Ὀρέστης,proper,mhtro\s,μήτηρ,noun,a)nosiwta/ths,ἀνόσιος,adjective,h(\,ὅς,pronoun,po/sin,πόσις,noun,a)pei/rw|,ἄπειρος,adjective,peribalou=s',περιβάλλω,verb,u(fa/smati,ὑπαύω,verb,e)/kteinen,ἐκτείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,ὅς,pronoun,d',δέ,particle,e(/kati,ἕκητι,adverb,parqe/nw|,παρθένος,noun,le/gein,λέγω,verb,ou),οὐ,adverb,kalo/n,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)w=,ἀίω,verb,tou=t',οὗτος,pronoun,a)safe\s,ἀσαφής,adverb,e)n,ἐν,preposition,koinw=|,κοινός,adjective,skopei=n,σκοπάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*foi/bou,Φοῖβος,proper,d',δέ,particle,a)diki/an,ἀδικία,noun,me\n,μέν,particle,ti/,τίς,pronoun,dei=,δέομαι,verb,kathgorei=n,κατηγορέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pei/qei,πείθω,verb,d',δέ,particle,*)ore/sthn,Ὀρέστης,proper,mhte/r',μήτηρ,noun,h(/,ὅς,pronoun,sf',σφεῖς,pronoun,e)gei/nato,γείνομαι,verb,ktei=nai,κτείνω,verb,pro\s,πρός,preposition,ou)x,οὐ,adverb,a(/pantas,ἅπας,adjective,eu)/kleian,εὔκλεια,noun,fe/ron,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/mws,ὅμως,conjunction,d',δέ,particle,a)pe/ktein',ἀποκτείνω,verb,ou)k,οὐ,adverb,a)peiqh/sas,ἀπειθέω,verb,qew=|,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)gw\,ἐγώ,pronoun,mete/sxon,μετέχω,verb,oi(=a,οἷος,adjective,dh\,δή,particle,gunh/,γυνή,noun,fo/nou,φόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)nteu=qen,ἐντεῦθεν,adverb,a)gri/a|,ἀγρία,noun,suntakei\s,συντήκω,verb,no/sw|,νόσος,noun,tlh/mwn,τλήμων,adjective,*)ore/sths,Ὀρέστης,proper,o(/de,ὅδε,pronoun,pesw\n,πίπτω,verb,e)n,ἐν,preposition,demni/ois,δέμνιον,noun,kei=tai,κέω,verb,to\,ὁ,article,mhtro\s,μήτηρ,noun,d',δέ,particle,ai(=ma/,αἷμα,noun,nin,νιν,pronoun,troxhlatei=,τροχηλατέω,verb,mani/aisin,μανία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)noma/zein,ὀνομάζω,verb,ga\r,γάρ,particle,ai)dou=mai,αἰδέομαι,verb,qea\s,θεά,noun,eu)meni/das,,,ai(\,ὅς,pronoun,to/nd',ὅδε,pronoun,e)camillw=ntai,ἐξαμιλλάομαι,verb,fo/bw|,φόβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/kton,ἕκτος,adjective,de\,δέ,particle,dh\,δή,particle,to/d',ὅδε,pronoun,h)=mar,ἦμαρ,noun,e)c,ἐκ,preposition,o(/tou,ὅστις,pronoun,sfagai=s,σφαγή,noun,qanou=sa,θνήσκω,verb,mh/thr,μήτηρ,noun,puri\,πῦρ,noun,kaqh/gnistai,καθαγνίζω,verb,de/mas,δέμας,noun,w(=n,ὅς,pronoun,ou)/te,οὔτε,adverb,si=ta,σῖτος,noun,dia\,διά,preposition,de/rhs,δειρή,noun,e)de/cato,δέχομαι,verb,ou),οὐ,adverb,lou/tr',λουτρίς,noun,e)/dwke,δίδωμι,verb,xrwti/,χρώς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlanidi/wn,χλανίδιον,noun,d',δέ,particle,e)/sw,ἔσω,adjective,krufqei/s,κρύπτω,verb,o(/tan,ὅταν,conjunction,me\n,μέν,particle,sw=ma,σῶμα,adjective,koufisqh=|,κουφίζω,verb,no/sou,νόσος,noun,e)/mfrwn,ἔμφρων,adjective,dakru/ei,δακρύω,verb,pote\,ποτός,adjective,de\,δέ,particle,demni/wn,δέμνιον,noun,a)/po,ἀπό,preposition,phda=|,πηδάω,verb,dromai=os,δρομαῖος,adjective,pw=los,πῶλος,noun,w(\s,ὅς,pronoun,u(po\,ὑπό,preposition,zugou=,ζυγόν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/doce,δοκέω,verb,d',δέ,particle,*)/argei,Ἄργος,proper,tw=|de,ὅδε,pronoun,mh/q',μήτε,particle,h(ma=s,ἐγώ,pronoun,ste/gais,στέγη,noun,mh\,μή,conjunction,puri\,πῦρ,noun,de/xesqai,δέχομαι,verb,mh/te,μήτε,particle,prosfwnei=n,προσφωνέω,verb,tina,τις,pronoun,mhtroktonou=ntas,μητροκτονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuri/a,κυρία,noun,d',δέ,particle,h(/d',ὅδε,pronoun,h(me/ra,ἡμέρα,noun,e)n,ἐν,preposition,h(=|,ὅς,pronoun,dioi/sei,διαφέρω,verb,yh=fon,ψῆφος,noun,*)argei/wn,Ἀργᾶς,proper,po/lis,πόλις,adjective,ei),εἰ,conjunction,xrh\,χρή,verb,qanei=n,θνήσκω,verb,nw\,ἐγώ,pronoun,leusi/mw|,λεύσιμος,adjective,petrw/mati,πέτρωμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)lpi/da,ἐλπίς,noun,de\,δέ,particle,dh/,δή,particle,tin',τις,pronoun,e)/xomen,ἔχω,verb,w(/ste,ὥστε,conjunction,mh\,μή,conjunction,qanei=n,θνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/kei,ἥκω,verb,ga\r,γάρ,particle,e)s,εἰς,preposition,gh=n,γῆ,noun,*mene/lews,Μενέλαος,proper,*troi/as,Τροία,proper,a)/po,ἀπό,preposition,lime/na,λιμήν,noun,de\,δέ,particle,*naupli/eion,Ναυπλιεύς,proper,e)kplhrw=n,ἐκπληρόω,verb,pla/th|,πλάτη,noun,a)ktai=sin,ἀκτή,noun,o(rmei=,ὁρμάω,verb,daro\n,δηρός,adjective,e)k,ἐκ,preposition,*troi/as,Τροία,proper,xro/non,χρόνος,noun,a)/laisi,ἄλη,noun,plagxqei/s,πλάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,de\,δέ,particle,dh\,δή,particle,polu/stonon,πολύστονος,adjective,*(ele/nhn,Ἑλένη,proper,fula/cas,φυλάσσω,verb,nu/kta,νύξ,adjective,mh/,μή,conjunction,tis,τις,pronoun,ei)sidw\n,εἰσεῖδον,verb,meq',μετά,preposition,h(me/ran,ἡμέρα,noun,stei/xousan,στείχω,verb,w(=n,ὅς,pronoun,u(p',ὑπό,preposition,*)ili/w|,Ἴλιον,proper,pai=des,παῖς,adjective,teqna=sin,θνήσκω,verb,e)s,εἰς,preposition,pe/trwn,πέτρος,noun,e)/lqh|,ἔρχομαι,verb,bola/s,βολή,noun,prou/pemyen,προπέμπω,verb,e)s,εἰς,preposition,dw=m',δῶμα,noun,h(me/teron,ἡμέτερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/stin,εἰμί,verb,d',δέ,particle,e)/sw,ἔσω,adjective,klai/ous',κλαίω,verb,a)delfh\n,ἀδελφή,noun,sumfora/n,συμφορά,noun,te,τε,particle,dwma/twn,δῶμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/xei,ἔχω,verb,de\,δέ,particle,dh/,δή,particle,tin',τις,pronoun,a)lge/wn,ἄλγος,noun,parayuxh/n,παραψυχή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\n,ὅς,pronoun,ga\r,γάρ,particle,kat',κατά,preposition,oi)/kous,οἶκος,noun,e)/lif',λείπω,verb,o(/t',ὅτε,conjunction,e)s,εἰς,preposition,*troi/an,Τροία,proper,e)/plei,πλέω,verb,parqe/non,παρθένος,noun,e)mh=|,ἐμός,adjective,te,τε,particle,mhtri\,μήτηρ,noun,pare/dwken,παραδίδωμι,verb,tre/fein,τρέφω,verb,*mene/laos,Μενέλαος,proper,a)gagw\n,ἄγω,verb,*(ermio/nhn,Ἑρμιόνη,proper,*spa/rths,Σπάρτη,proper,a)/po,ἀπό,preposition,tau/th|,οὗτος,pronoun,ge/ghqe,γηθέω,verb,ka)pilh/qetai,ἐπιλανθάνομαι,verb,kakw=n,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ble/pw,βλέπω,verb,de\,δέ,particle,pa=san,πᾶς,adjective,ei)s,εἰς,preposition,o(do/n,ὁδός,adjective,po/t',πότις,adjective,o)/yomai,ὁράω,verb,*mene/laon,Μενέλαος,proper,h(/konq',ἥκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,ta/,τίς,pronoun,g',γε,particle,a)/ll',ἄλλος,adjective,e)p',ἐπί,preposition,a)sqenou=s,ἀσθενής,adjective,r(w/mhs,ῥώμη,noun,o)xou/meq',ὀχάομαι,verb,h)/n,ἐάν,conjunction,ti,τις,pronoun,mh\,μή,conjunction,kei/nou,ἐκεῖνος,pronoun,pa/ra,παρά,preposition,swqw=men,σώζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
