word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/31/lemma/@_entry,word/31/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS
sunagagw\n,συνάγω,verb,d',δέ,particle,e)gw\,ἐγώ,pronoun,pantaxo/qen,πανταχόθεν,adverb,kai\,καί,conjunction,tou\s,ὁ,article,fi/lous,φῖλος,noun,e)noxlh/sas,ἐνοχλέω,verb,kai\,καί,conjunction,qei\s,τίθημι,verb,e)pi\,ἐπί,preposition,th\n,ὁ,article,tra/pezan,τράπεζα,noun,ta\s,ὁ,article,tettara/konta,τεσσαράκοντα,adjective,mna=s,μνᾶ,noun,h(=kon,ἥκω,verb,w(s,ὡς,conjunction,th\n,ὁ,article,*)antigo/nan,Ἀντιγόνη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)kei/nh,ἐκεῖνος,pronoun,sunh/gagen,συνάγω,verb,h(ma=s,ἐγώ,pronoun,ei)s,εἰς,preposition,to\,ὁ,article,au)to/,αὐτός,pronoun,e)me/,ἐγώ,pronoun,te,τε,particle,kai\,καί,conjunction,*)aqhnoge/nhn,Ἀθηνογένης,proper,kai\,καί,conjunction,dih/llace,διαλλάσσω,verb,kai\,καί,conjunction,parekeleu/sato,παρακελεύομαι,verb,tou=,ὁ,article,loipou=,λοιπός,adjective,eu)=,εὖ,adverb,poiei=n,ποιέω,verb,a)llh/lous,ἀλλήλων,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)/gwg',ἐγώ,pronoun,e)/fhn,φημί,verb,tau=ta,οὗτος,pronoun,poih/sein,ποιέω,verb,kai\,καί,conjunction,*)aqhnoge/nhs,Ἀθηνογένης,proper,ou(tosi\,οὗτος,pronoun,u(polabw\n,ὑπολαμβάνω,verb,ei)=pen,εἶπον,verb,o(/,ὅς,pronoun,ti,τις,pronoun,tw=n,ὁ,article,pepragme/nwn,πράσσω,verb,dei=,δέομαι,verb,me,ἐγώ,pronoun,xa/rin,χάρις,noun,e)/xein,ἔχω,verb,*)antigo/na|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,e)/fh,φημί,verb,tau/ths,οὗτος,pronoun,e(/neka,ἕνεκα,preposition,h)/dh,ἤδη,adverb,soi,σύ,pronoun,e)ndei/comai,ἐνδείκνυμι,verb,o(/sa,ὅσος,adjective,se,σύ,pronoun,a)gaqa\,ἀγαθός,adjective,poih/sw,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,me\n,μέν,particle,ga/r,γάρ,particle,e)/fh,φημί,verb,to\,ὁ,article,a)rgu/rion,ἀργύριον,adjective,e)p',ἐπί,preposition,e)leuqeri/a|,ἐλευθερία,noun,katabalei=s,καταβάλλω,verb,tou=,ὁ,article,*mi/dou,Μίδας,proper,kai\,καί,conjunction,tw=n,ὁ,article,pai/dwn,παῖς,adjective,e)gw\,ἐγώ,pronoun,de/,δέ,particle,soi,σύ,pronoun,a)podw/somai,ἀποδίδωμι,verb,au)tou\s,αὐτός,pronoun,w)nh=|,ὠνή,noun,kai\,καί,conjunction,pra/sei,πιπράσκω,verb,i(/na,ἵνα,conjunction,prw=ton,πρότερος,adjective,me\n,μέν,particle,mhdei\s,μηδείς,pronoun,parenoxlh=|,παρενοχλέω,verb,mhde\,μηδέ,particle,diafqei/rh|,διαφθείρω,verb,to\n,ὁ,article,pai=da,παῖς,adjective,e)/,p,,,e,,,i,,,t',τε,particle,ἒ,interjection,au)toi\,αὐτός,pronoun,mh\,μή,conjunction,e)gxeirw=si,ἐγχειρέω,verb,ponhreu/esqai,πονηρεύομαι,verb,mhde\n,μηδείς,pronoun,dia\,διά,preposition,to\n,ὁ,article,fo/bon,φόβος,noun,to\,ὁ,article,de\,δέ,particle,me/giston,μέγας,adverb,nu=n,νῦν,adverb,me\n,μέν,particle,a)\n,ἄν,particle,do/ceian,δοκέω,verb,di',διά,preposition,e)me\,ἐγώ,pronoun,gegone/nai,γίγνομαι,verb,e)leu/qeroi,ἐλεύθερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,de\,δέ,particle,pria/menos,πρίαμαι,verb,su\,σύ,pronoun,w)nh=|,ὠνή,noun,kai\,καί,conjunction,pra/sei,πιπράσκω,verb,ei)=q',εἶτα,adverb,u(/steron,ὕστερος,adjective,o(/te,ὅτε,conjunction,a)/n,ἄν,particle,soi,σύ,pronoun,dokh=|,δοκάζω,verb,a)fh=|s,ἀφίημι,verb,au)tou\s,αὐτός,pronoun,e)leuqe/rous,ἐλεύθερος,adjective,diplasi/an,διπλάσιος,adjective,e(/cousi/n,ἔχω,verb,soi,σύ,pronoun,th\n,ὁ,article,xa/rin,χάρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/son,ὅσος,adjective,me/ntoi,μέντοι,particle,o)fei/lousin,ὀφέλλω,verb,a)rgu/rion,ἀργύριον,adjective,mu/rou,μῦρος,noun,te/,τε,particle,tinos,τις,pronoun,timh\n,τιμή,noun,*pagka/lw|,πάγκαλος,adjective,kai\,καί,conjunction,*proklei=,Προκλέης,proper,kai\,καί,conjunction,ei)/,εἰ,conjunction,ti,τις,pronoun,a)/llo,ἄλλος,adjective,kate/qeto/,κατατίθημι,verb,tis,τις,pronoun,e)pi\,ἐπί,preposition,to\,ὁ,article,muropw/lion,μυροπώλιον,adjective,tw=n,ὁ,article,prosfoitw/ntwn,προσφοιτάω,verb,oi(=a,οἷος,adjective,gi/gnetai,γίγνομαι,verb,tau=ta,οὗτος,pronoun,e)/fh,φημί,verb,su\,σύ,pronoun,a)nade/ch|,ἀναδέχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/stin,εἰμί,verb,de\,δέ,particle,mikra\,μικρός,adjective,komidh=|,κομιδῇ,adverb,kai\,καί,conjunction,pollw=|,πολύς,adjective,plei/w,πλέως,adjective,forti/a,φορτίον,noun,e)sti\n,εἰμί,verb,tou/twn,οὗτος,pronoun,e)n,ἐν,preposition,tw=|,ὁ,article,e)rgasthri/w|,ἐργαστήριον,noun,mu/ron,μύρον,adjective,kai\,καί,conjunction,a)la/bastroi,ἀλάβαστρον,noun,kai\,καί,conjunction,smu/rna,σμύρνα,noun,kai\,καί,conjunction,a)/ll',ἄλλος,adjective,a)/tta,ἄττα,interjection,o)no/mata,ὄνομα,adjective,le/gwn,λέγω,verb,o(/qen,ὅθεν,adverb,pa/nta,πᾶς,adjective,tau=ta,οὗτος,pronoun,dialuqh/setai,διαλύω,verb,r(a|di/ws,ῥᾴδιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,de/,δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,w(s,ὡς,conjunction,e)/oiken,ἔοικα,verb,e)ntau=qa,ἐνταῦθα,adverb,h(,ὁ,article,e)piboulh\,ἐπιβουλή,noun,kai\,καί,conjunction,to\,ὁ,article,pla/sma,πλάσμα,noun,to\,ὁ,article,me/ga,μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ga\r,γάρ,particle,e)p',ἐπί,preposition,e)leuqeri/a|,ἐλευθερία,noun,kataba/lloimi,καταβάλλω,verb,au)tw=n,αὐτός,pronoun,to\,ὁ,article,a)rgu/rion,ἀργύριον,adjective,tou=to,οὗτος,pronoun,mo/non,μόνος,adjective,a)pw/lluon,ἀπόλλυμι,verb,o(\,ὅς,pronoun,doi/hn,δίδωμι,verb,au)tw=|,αὐτός,pronoun,a)ll',ἀλλά,adverb,ou)de\n,οὐδείς,pronoun,deino\n,δεινός,adjective,e)/pasxon,πάσχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,priai/mhn,πρίαμαι,verb,w)nh=|,ὠνή,noun,kai\,καί,conjunction,pra/sei,πιπράσκω,verb,o(mologh/sas,ὁμολογέω,verb,au)tw=|,αὐτός,pronoun,ta\,ὁ,article,xre/a,χρέος,noun,a)nade/cesqai,ἀναδέχομαι,verb,w(s,ὡς,conjunction,ou)qeno\s,οὐδείς,pronoun,a)/cia,ἄξιος,adjective,o)/nta,εἰμί,verb,dia\,διά,preposition,to\,ὁ,article,mh\,μή,conjunction,proeide/nai,πρόοιδα,verb,kai\,καί,conjunction,tou\s,ὁ,article,plhrwta\s,πληρωτής,noun,tw=n,ὁ,article,e)ra/nwn,ἔρανος,noun,e)n,ἐν,preposition,o(mologi/a|,ὁμολογία,noun,labw/n,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/per,ὅσπερ,adjective,e)poi/hsen,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,ga\r,γάρ,particle,ei)po/ntos,εἶπον,verb,au)tou=,αὐτός,pronoun,tau=ta,οὗτος,pronoun,e)gw\,ἐγώ,pronoun,proswmolo/ghsa,προσομολογέω,verb,eu)qu\s,εὐθύς,adverb,e)k,ἐκ,preposition,tw=n,ὁ,article,gona/twn,γόνυ,noun,labw\n,λαμβάνω,verb,tw=n,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,grammatei=o/n,γραμματεῖον,noun,ti,τις,pronoun,to\,ὁ,article,e)ggegramme/non,ἐγγράφω,verb,a)negi/gnwsken,ἀναγιγνώσκω,verb,h)=san,εἰμί,verb,de\,δέ,particle,au(=tai,οὗτος,pronoun,sunqh=kai,συνθήκη,noun,pro\s,πρός,preposition,e)me/,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,ὅς,pronoun,e)gw\,ἐγώ,pronoun,a)nagignwskome/nwn,ἀναγιγνώσκω,verb,me\n,μέν,particle,h)/kouon,ἀκούω,verb,e)/speudon,σπεύδω,verb,me/ntoi,μέντοι,particle,e)f',ἐπί,preposition,o(\,ὅς,pronoun,h(=kon,ἥκω,verb,tou=to,οὗτος,pronoun,dioikh/sasqai,διοικέω,verb,kai\,καί,conjunction,shmai/netai,σημαίνω,verb,ta\s,ὁ,article,sunqh/kas,συνθήκη,noun,eu)qu\s,εὐθύς,adverb,e)n,ἐν,preposition,th=|,ὁ,article,au)th=|,αὐτός,pronoun,oi)ki/a|,οἰκία,noun,i(/na,ἵνα,conjunction,mhdei\s,μηδείς,pronoun,tw=n,ὁ,article,eu)=,εὖ,adverb,fronou/ntwn,φρονέω,verb,a)kou/sai,ἀκέω,verb,ta\,ὁ,article,e)ggegramme/na,ἐγγράφω,verb,proseggra/yas,προσεγγράφω,verb,met',μετά,preposition,e)mou=,*ni/kwna,Νίκων,proper,to\n,ὁ,article,*khfisie/a,Κηφισιεύς,proper,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)lqo/ntes,ἔρχομαι,verb,d',δέ,particle,e)pi\,ἐπί,preposition,to\,ὁ,article,muropw/lion,μυροπώλιον,adjective,to\,ὁ,article,me\n,μέν,particle,grammatei=on,γραμματεῖον,noun,tiqe/meqa,τίθημι,verb,para\,παρά,preposition,*lusiklei=,Λυσικλέης,proper,*leukonoiei=,,,ta\s,ὁ,article,de\,δέ,particle,tettara/konta,τεσσαράκοντα,adjective,mna=s,μνᾶ,noun,e)gw\,ἐγώ,pronoun,katabalw\n,καταβάλλω,verb,th\n,ὁ,article,w)nh\n,ὠνή,noun,e)poihsa/mhn,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tou,οὗτος,pronoun,de\,δέ,particle,genome/nou,γίγνομαι,verb,prosh/|esa/n,πρόσειμι,verb,moi,ἐγώ,pronoun,oi(,ὁ,article,xrh=stai,χρήστης,adjective,oi(=s,ὅς,pronoun,w)fei/leto,ὀφείλω,verb,para\,παρά,preposition,tw=|,ὁ,article,*mi/da|,Μίδας,proper,kai\,καί,conjunction,oi(,ὁ,article,plhrwtai\,πληρωτής,noun,tw=n,ὁ,article,e)ra/nwn,ἔρανος,noun,kai\,καί,conjunction,diele/gonto/,διαλέγω,verb,moi,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)n,ἐν,preposition,trisi\n,τρεῖς,noun,mhsi\n,μείς,adjective,a(/panta,ἅπας,adjective,ta\,ὁ,article,xre/a,χρέος,noun,fanera\,φανερός,adjective,e)gego/nei,γίγνομαι,verb,w(/st',ὥστε,conjunction,ei)=nai/,εἰμί,verb,moi,ἐγώ,pronoun,su\n,σύν,preposition,toi=s,ὁ,article,e)ra/nois,ἔρανος,noun,o(/per,ὅσπερ,adjective,kai\,καί,conjunction,a)rti/ws,ἄρτιος,adjective,ei)=pon,εἶπον,verb,peri\,περί,preposition,pe/nte,πέντε,adverb,ta/lanta,τάλαντον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,h)|sqo/mhn,ἀίσθω,verb,ou(=,ἕ,pronoun,h)=n,εἰμί,verb,kakou=,κακός,adjective,to/t',τότε,adverb,h)/dh,ἤδη,adverb,tou\s,ὁ,article,fi/lous,φῖλος,noun,kai\,καί,conjunction,tou\s,ὁ,article,oi)kei/ous,οἰκεῖος,adjective,sunh/gagon,συνάγω,verb,kai\,καί,conjunction,ta\,ὁ,article,a)nti/grafa,ἀντίγραφος,adjective,tw=n,ὁ,article,sunqhkw=n,συνθήκη,noun,a)negignw/skomen,ἀναγιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,ai(=s,ὅς,pronoun,e)ge/grapto,γράφω,verb,me\n,μέν,particle,to\,ὁ,article,tou=,ὁ,article,*pagka/lou,πάγκαλος,adjective,kai\,καί,conjunction,tou=,ὁ,article,*polukle/ous,Πολυκλέης,proper,o)/noma,ὄνομα,adjective,diarrh/dhn,διαρρήδην,adverb,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,mu/rwn,μῦρος,noun,timai\,τιμή,noun,w)fei/lonto,ὀφείλω,verb,a(\,ὅς,pronoun,h)=n,εἰμί,verb,braxe/a,βραχύς,adjective,te,τε,particle,kai\,καί,conjunction,e)ch=n,ἔξεστι,verb,au)toi=s,αὐτός,pronoun,ei)pei=n,εἶπον,verb,o(/ti,ὅστις,pronoun,to\,ὁ,article,mu/ron,μύρον,adjective,a)/cion,ἄξιος,adjective,ei)/h,ἀίω,verb,tou=,ὁ,article,a)rguri/ou,to\,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,e)rgasthri/w|,ἐργαστήριον,noun,ἀργύριον,adjective,ta\,ὁ,article,de\,δέ,particle,polla\,πολύς,adjective,tw=n,ὁ,article,xrew=n,χρέος,noun,kai\,καί,conjunction,ta\,ὁ,article,me/gista,μέγας,adverb,ou)k,οὐ,adverb,e)nege/grapto,ἐγγράφω,verb,e)p',ἐπί,preposition,o)noma/twn,ὄνομα,adjective,a)ll',ἀλλά,adverb,e)n,ἐν,preposition,prosqh/khs,προσθήκη,noun,me/rei,μέρος,noun,w(s,ὡς,conjunction,ou)de\n,οὐδείς,pronoun,o)/nta,εἰμί,verb,kai\,καί,conjunction,ei)/,εἰ,conjunction,tw|,τις,pronoun,a)/llw|,ἄλλος,adjective,o)fei/lei,ὀφέλλω,verb,ti,τις,pronoun,*mi/das,Μίδας,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tw=n,ὁ,article,e)ra/nwn,ἔρανος,noun,ei(=s,εἷς,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,*dikaiokra/ths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)nege/grapto,ἐγγράφω,verb,ou(=,ἕ,pronoun,h)=san,εἰμί,verb,loipai\,λοιπός,adjective,trei=s,τρέω,verb,forai/,φορά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,οὗτος,pronoun,me\n,μέν,particle,e)pi\,ἐπί,preposition,tou=,ὁ,article,*dikaiokra/tous,,,o)no/matos,ὄνομα,adjective,h)=n,εἰμί,verb,gegramme/nos,γράφω,verb,oi(,ἕ,pronoun,d',δέ,particle,a)/lloi,ἄλλος,adjective,e)f',ἐπί,preposition,oi(=s,ὅς,pronoun,ei)lh/fei,λαμβάνω,verb,pa/nta,πᾶς,adjective,o(,ὁ,article,*mi/das,Μίδας,proper,neosu/llogoi,νεοσύλλογος,adjective,d',δέ,particle,h)=san,εἰμί,verb,tou/tous,οὗτος,pronoun,d',δέ,particle,ou)k,οὐ,adverb,e)ne/grayen,ἐγγράφω,verb,e)n,ἐν,preposition,tai=s,ὁ,article,sunqh/kais,συνθήκη,noun,a)ll',ἀλλά,adverb,a)pekru/yato,ἀποκρύπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
