word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS
i(keteu/w,se,σύ,pronoun,geraia/,γεραιός,adjective,geraiw=n,γεραιός,adjective,e)k,ἐκ,preposition,stoma/twn,στόμα,noun,pro\s,πρός,preposition,go/nu,γόνυ,noun,pi/ptousa,πίπτω,verb,to\,ὁ,article,so/n,σός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἱκετεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/nomoi,te/kna,τέκνον,noun,lu=sai,λύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄνομος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fqime/nwn,neku/wn,νέκυς,noun,oi(\,ἕ,pronoun,katalei/pousi,καταλιμπάνω,verb,me/lh,μέλη,noun,qana/tw|,θάνατος,adjective,lusimelei=,λυσιμελής,adjective,qhrsi\n,θήρ,noun,o)rei/oisi,ὄρειον,noun,bora/n,βορός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,φθίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)sidou=s',oi)ktra\,οἰκτρός,adjective,me\n,μέν,particle,o)/sswn,ὄσσε,adjective,da/kru',δάκρυον,noun,a)mfi\,ἀμφί,preposition,blefa/rois,βλέφαρον,noun,r(usa\,ῥυσός,adjective,de\,δέ,particle,sarkw=n,σάρξ,adjective,polia=n,πολιός,adjective,katadru/mmata,κατάδρυμμα,noun,xeirw=n,χείρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰσεῖδον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,ga/r,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,fqime/nous,φθίω,verb,pai=das,παῖς,adjective,e)mou\s,ἐμός,adjective,ou)/te,οὔτε,adverb,do/mois,δόμος,noun,proqe/man,,,ou)/te,οὔτε,adverb,ta/fwn,τάφος,noun,xw/mata,χῶμα,noun,gai/as,γαῖα,noun,e)sorw=,εἰσοράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/tekes,kai\,καί,conjunction,su/,σύ,pronoun,pot',ποτέ,particle,w)=,ὦ,interjection,po/tnia,πότνια,noun,kou=ron,κόρος,noun,fi/la,φίλος,adjective,poihsame/na,ποιέω,verb,le/ktra,λέκτρον,noun,po/sei,πόσις,noun,sw=|,σός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τίκτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta/,nun,νῦν,adverb,do\s,δίδωμι,verb,e)moi\,ἐγώ,pronoun,sa=s,σής,noun,dianoi/as,διάνοια,noun,meta/dos,μεταδίδωμι,verb,d',δέ,particle,o(/sson,ὅσος,adjective,e)palgw=,ἐπαλγέω,verb,mele/a,μέλεος,adjective,'g'w\,,,fqime/nwn,φθίω,verb,ou(\s,ὅς,pronoun,e)/tekon,τίκτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μετά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
para/peison,de\,δέ,particle,so/n,σός,adjective,w)/,ὦ,interjection,lisso/meq',,,e)lqei=n,ἔρχομαι,verb,te/knon,τέκνον,noun,*)ismhno\n,Ἰσμηνός,proper,e)ma/n,ἐμός,adjective,t',τε,particle,e)s,εἰς,preposition,xe/ra,χείρ,noun,qei=nai,θείνω,verb,neku/wn,νέκυς,noun,qalera=|,,,sw/mat',σῶμα,adjective,a)lai/nont',ἀλαίνω,verb,a)/tafa,ἄταφος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,παραπείθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(si/ws,ou)/x,οὐ,adverb,u(p',ὑπό,preposition,a)na/gkas,ἀνάγκη,noun,de\,δέ,particle,propi/ptousa,προπίτνω,verb,prosaitou=s',προσαιτέω,verb,e)/molon,βλώσκω,verb,decipu/rous,δεξίπυρος,adjective,qew=n,θέα,noun,qume/las,θυμέλη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅσιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/xomen,d',δέ,particle,e)/ndika,ἔνδικος,adjective,kai\,καί,conjunction,soi/,σύ,pronoun,ti,τις,pronoun,pa/resti,πάρειμι,verb,sqe/nos,σθένος,noun,w(/st',ὥστε,conjunction,eu)tekni/a|,εὐτεκνία,noun,dustuxi/an,δυστυχία,noun,ta\n,ὁ,article,par',παρά,preposition,e)moi\,ἐγώ,pronoun,kaqelei=n,καθαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)ktra\,de\,δέ,particle,pa/sxous',πάσχω,verb,i(keteu/w,ἱκετεύω,verb,so\n,σός,adjective,e)moi\,ἐγώ,pronoun,pai=da,παῖς,adjective,talai/na|,τάλας,adjective,'n,ἐν,preposition,xeri\,χείρ,noun,qei=nai,θείνω,verb,ne/kun,νέκυς,noun,a)mfibalei=n,ἀμφιβάλλω,verb,lugra\,λυγρός,adjective,me/lh,μέλη,noun,paido\s,παῖς,adjective,e)mou=,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οἰκτρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)gw\n,o(/d',ὅδε,pronoun,a)/llos,ἄλλος,adjective,e)/rxetai,ἔρχομαι,verb,go/wn,γόος,noun,go/wn,γόος,noun,dia/doxos,διάδοχος,adjective,a)xou=si,ἠχώ,noun,prospo/lwn,πρόσπολος,noun,xe/res,χείρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀγών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/t',w)=,ὦ,interjection,cunw|doi\,συνῳδός,adjective,ktu/poi,κτύπος,noun,i)/t',εἶμι,verb,w)=,ὦ,interjection,cunalghdo/nes,συναλγηδών,noun,xoro\n,χορός,noun,to\n,ὁ,article,*(/aidas,Ἅιδης,proper,se/bei,σέβομαι,verb,dia\,διά,preposition,parh=|dos,,,o)/nuxa,ὄνυξ,noun,leuko\n,λευκός,adjective,ai(matou=te,αἱματόω,verb,xrw=ta/,χρώς,noun,te,τε,particle,fo/nion,φόνιος,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἶμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
