word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS
kai\,καί,conjunction,ga\r,γάρ,particle,a)\n,ἄν,particle,ei)ko/tws,ἐοικότως,adverb,moi,ἐγώ,pronoun,stena/zeie,,,ta\,ὁ,article,tw=n,ὁ,article,progo/nwn,πρόγονος,adjective,h)ri/a,ἠρίον,noun,ei),εἰ,conjunction,*eu)peiqi/dhs,,,o(,ὁ,article,*korudalleu\s,,,e)mauto\n,ἐμαυτοῦ,pronoun,perio/yomai,περιοράω,verb,proselou/menon,προσαιρέομαι,verb,kai\,καί,conjunction,tau=ta,οὗτος,pronoun,u(p',ὑπό,preposition,a)ndrapo/dou,ἀνδράποδον,noun,i)/sws,ἴσως,adverb,duoi=n,δύο,adjective,mnai=n,μνᾶ,noun,a)ci/ou,ἄξιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,soi,σύ,pronoun,kalo\n,καλός,noun,ei)/rgastai,ἐργάζομαι,verb,kai\,καί,conjunction,ti/,τίς,pronoun,soi,σύ,pronoun,pepo/nhtai,πονέομαι,verb,xrhsto/n,χρηστός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,ga\r,γάρ,particle,a)mpeli/dos,ἀμπελίς,noun,o)/rxon,ὄρχος,noun,e)la/sas,ἐλαύνω,verb,ei)=ta,εἶτα,adverb,mosxi/dia,μοσχίδιον,adjective,suki/dwn,συκίς,noun,parafuteu/sas,παραφυτεύω,verb,a(pala/,ἁπαλός,adjective,kai\,καί,conjunction,e)n,ἐν,preposition,ku/klw|,κύκλος,noun,peri\,περί,preposition,to\,ὁ,article,au)/lion,αὔλιον,noun,kate/phca,καταπήγνυμι,verb,e)la=|das,ἐλαίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=ta/,εἶτα,adverb,moi,ἐγώ,pronoun,dei=pnon,δεῖπνον,noun,kai\,καί,conjunction,pi/sinon,πίσινος,adjective,e)/tnos,ἔτνος,noun,kai\,καί,conjunction,trei=s,τρέω,verb,a(dra\s,ἁδρός,adjective,e)ceka/naca,ἐκκανάσσω,verb,ku/likas,κύλιξ,noun,kai\,καί,conjunction,a)/smenos,ἄσμενος,adjective,kate/darqon,καταδαρθάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,smh/nh,σμήνη,noun,moi,ἐγώ,pronoun,tw=n,ὁ,article,melittw=n,μέλισσα,noun,kena/,κενός,adjective,kai\,καί,conjunction,a)pefoi/thsan,ἀποφοιτάω,verb,th=s,ὁ,article,e(sti/as,ἑστία,noun,ou)k,οὐ,adverb,ou)=sai,εἰμί,verb,te/ws,τέως,adverb,drape/tides,δραπέτις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,ga\r,γάρ,particle,kai\,καί,conjunction,pistai\,πιστός,adjective,die/menon,δίεμαι,verb,kai\,καί,conjunction,w)/|koun,οἰκέω,verb,w(s,ὡς,conjunction,oi)/kous,οἶκος,noun,tou\s,ὁ,article,au(tw=n,ἑαυτοῦ,pronoun,si/mblous,σίμβλος,noun,kai\,καί,conjunction,ei)=xon,ἔχω,verb,leimw=na,λειμών,noun,eu)/droson,εὔδροσος,adjective,kai\,καί,conjunction,dh\,δή,particle,kai\,καί,conjunction,a)nqw=n,ἄνθη,noun,eu)/foron,εὔφορος,adjective,kai\,καί,conjunction,ei(stiw=men,ἑστιάω,verb,au)ta\s,αὐτός,pronoun,pandaisi/a|,πανδαισία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(\,ὅς,pronoun,de\,δέ,particle,u(po\,ὑπό,preposition,th=s,ὁ,article,filergi/as,φιλεργία,noun,th=s,ὁ,article,a)/gan,ἄγαν,adverb,a)nqeisti/wn,ἀνθεστιάω,verb,h(ma=s,ἐγώ,pronoun,pollw=|,πολύς,adjective,kai\,καί,conjunction,kalw=|,καλός,noun,tw=|,ὁ,article,me/liti,μέλι,noun,kou)de/pote,οὐδέποτε,adverb,th=sde,ὅδε,pronoun,th=s,ὁ,article,w)di=nos,ὠδίς,adjective,th=s,ὁ,article,glukei/as,γλύκειος,adjective,h)=san,εἰμί,verb,a)/gonoi,ἄγονος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,w)/|xonto,οἴχομαι,verb,a)piou=sai,ἄπειμι,verb,luphqei=sai,λυπέω,verb,pro\s,πρός,preposition,h(mw=n,ἐγώ,pronoun,ou)de\,οὐδέ,particle,e(/n,εἷς,adjective,ou),οὐ,adverb,ma\,μά,particle,to\n,ὁ,article,*)aristai=on,Ἀρισταῖος,proper,kai\,καί,conjunction,to\n,ὁ,article,*)apo/llw,Ἀπόλλων,proper,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ai(\,ὅς,pronoun,me/n,μέν,particle,ei)si,εἰμί,verb,fuga/des,φυγάς,noun,o(,ὁ,article,de\,δέ,particle,oi)=kos,οἶκος,noun,au)tw=n,αὐτός,pronoun,xh=ro/s,χῆρος,adjective,e)sti,εἰμί,verb,kai\,καί,conjunction,ta\,ὁ,article,a)/nqh,ἄνθη,noun,ta\,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,leimw=ni,λειμών,noun,peri\,περί,preposition,au)ta\,αὐτός,pronoun,ghra=|,γηράσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,au)tw=n,αὐτός,pronoun,o(/tan,ὅταν,conjunction,u(pomnhsqw=,ὑπομιμνήσκω,verb,th=s,ὁ,article,pth/sews,πτῆσις,noun,kai\,καί,conjunction,th=s,ὁ,article,eu)xari/tou,εὐχάριτος,adverb,xorei/as,χορεία,noun,ou)de\n,οὐδείς,pronoun,a)/llo,ἄλλος,adjective,h)\,ἠέ,conjunction,nomi/zw,νομίζω,verb,qugate/ras,θυγάτηρ,adjective,a)fh|rh=sqai,ἀφαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)rgi/zomai,ὀργίζω,verb,me\n,μέν,particle,ou)=n,οὖν,particle,au)tai=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ga\r,γάρ,particle,a)pe/lipon,ἀπολείπω,verb,trofe/a,τροφεύς,noun,au)tw=n,αὐτός,pronoun,kai\,καί,conjunction,a)texnw=s,ἄτεχνος,adverb,pate/ra,πατήρ,noun,kai\,καί,conjunction,frouro\n,φρουρός,noun,kai\,καί,conjunction,meledwno\n,μελεδωνός,noun,ou)k,οὐ,adverb,a)xa/riton,ἀχάριτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=,δέομαι,verb,de/,δέ,particle,me,ἐγώ,pronoun,a)nixneu=sai,ἀνιχνεύω,verb,th\n,ὁ,article,pla/nhn,πλάνη,noun,au)tw=n,αὐτός,pronoun,kai\,καί,conjunction,o(/poi,ὅποι,adverb,pote\,ποτός,adjective,a)podra=sai,ἀποδιδράσκω,verb,ka/qhntai,κάθημαι,verb,kai\,καί,conjunction,ti/s,τίς,pronoun,au)ta\s,αὐτός,pronoun,u(pede/cato,ὑποδέχομαι,verb,kai\,καί,conjunction,tou=to,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/xei,ἔχω,verb,ga/r,γάρ,particle,toi,σύ,pronoun,ta\s,ὁ,article,mhde\n,μηδείς,pronoun,proshkou/sas,προσήκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=ta,εἶτα,adverb,eu(rw\n,εὑρίσκω,verb,o)neidiw=,ὀνειδίζω,verb,polla\,πολύς,adjective,ta\s,ὁ,article,a)gnw/monas,ἀγνώμων,adjective,kai\,καί,conjunction,a)pi/stous,ἄπιστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,poi=,ποι,adverb,tis,τις,pronoun,a)potre/yei,ἀποτρέπω,verb,to\,ὁ,article,r(eu=ma,ῥεῦμα,noun,ei),εἰ,conjunction,mh/te,μήτε,particle,e)s,εἰς,preposition,th\n,ὁ,article,o(do\n,ὁδός,adjective,e)mbalei=,ἐμβάλλω,verb,mh/te,μήτε,particle,e)s,εἰς,preposition,th\n,ὁ,article,tw=n,ὁ,article,geito/nwn,γείτων,noun,diabh/setai,διαβαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,dh/pou,δήπου,particle,keleu/seis,κελεύω,verb,h(ma=s,ἐγώ,pronoun,e)kpiei=n,ἐκπίνω,verb,au)to/,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/lai,πάλαι,adverb,me\n,μέν,particle,ou)=n,οὖν,particle,le/lektai,λέγω,verb,kako\n,κακός,adjective,ei)=nai,εἰμί,verb,gei/twn,γείτων,noun,kako/s,κακός,adjective,pepi/steutai,πιστεύω,verb,de\,δέ,particle,nu=n,νῦν,adverb,ou)x,οὐ,adverb,h(/kista,ἥκιστος,adjective,e)pi\,ἐπί,preposition,sou=,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)de/n,οὐδείς,pronoun,soi,σύ,pronoun,ple/on,πλέος,adjective,th=s,ὁ,article,bi/as,βία,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,a)podwso/meqa/,ἀποδίδωμι,verb,soi,σύ,pronoun,to\,ὁ,article,xwri/on,χωρίον,noun,dika/setai,δικάζω,verb,de\,δέ,particle,pro/teron,πρότερος,adjective,u(pe\r,ὑπέρ,preposition,tou/twn,οὗτος,pronoun,pro/s,πρός,preposition,se,σύ,pronoun,o(,ὁ,article,despo/ths,δεσπότης,adjective,e)a/nper,ἐάν,conjunction,th\n,ὁ,article,dia/noian,διάνοια,noun,u(giai/nh|,ὑγιαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)x,οὐ,adverb,o(/ti,ὅστις,pronoun,kalh\,καλός,noun,le/geis,λέγω,verb,ei)=nai,εἰμί,verb,ou)d',οὐδέ,particle,o(/ti,ὅστις,pronoun,pollou\s,πολύς,adjective,e)rasta\s,ἐραστός,adjective,le/geis,λέγω,verb,e)/xein,ἔχω,verb,dia\,διά,preposition,tou=to,οὗτος,pronoun,e)painw=,ἐπαινέω,verb,se,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/sws,ἴσως,adverb,me\n,μέν,particle,ga/r,γάρ,particle,se,σύ,pronoun,e)kei=noi,ἐκεῖνος,pronoun,dia\,διά,preposition,to\,ὁ,article,ei)=dos,εἶδος,noun,qauma/zousin,θαυμάζω,verb,e)me\,ἐγώ,pronoun,de\,δέ,particle,a)re/skeis,ἀρέσκω,verb,dia\,διά,preposition,to\,ὁ,article,o)/noma,ὄνομα,adjective,kai/,καί,conjunction,se,σύ,pronoun,ou(/tws,οὕτως,adverb,w(s,ὡς,conjunction,kai\,καί,conjunction,th\n,ὁ,article,gh=n,γῆ,noun,th\n,ὁ,article,patrw/|an,πατρῷος,adjective,e)painw=,ἐπαινέω,verb,kai\,καί,conjunction,teqau/maka,θαυμάζω,verb,to\n,ὁ,article,ou(/tw,οὕτως,adverb,se,σύ,pronoun,kale/santa,καλέω,verb,th=s,ὁ,article,e)pinoi/as,ἐπίνοια,noun,i(/na,ἵνα,conjunction,mh\,μή,conjunction,mo/noi,μόνος,adjective,se,σύ,pronoun,perimai/nwntai,περιμαίνομαι,verb,dhlono/ti,δηλονότι,adverb,oi(,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,a)lla\,ἀλλά,adverb,ga\r,γάρ,particle,kai\,καί,conjunction,a)groi=kos,ἀγροῖκος,adjective,lew/s,λαός,noun
