word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/63/@_form,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/lemma/@_entry,word/63/lemma/@_POS
e)n,ἐν,preposition,de\,δέ,particle,toi=s,ὁ,article,sundetikoi=s,συνδετικός,adjective,kai\,καί,conjunction,toi=s,ὁ,article,proqetikoi=s,προθετικός,adjective,mori/ois,μόριον,noun,kai\,καί,conjunction,e)/ti,ἔτι,adverb,ma=llon,μᾶλλον,adverb,e)n,ἐν,preposition,toi=s,ὁ,article,diarqrou=si,διαρθρέω,verb,ta\s,ὁ,article,tw=n,ὁ,article,o)noma/twn,ὄνομα,adjective,duna/meis,δύναμις,adjective,poihtou=,ποιητής,noun,tro/pon,τρόπος,noun,e)necousia/zwn,ἐνεξουσιάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plei=sta,πλεῖστος,adjective,d',δέ,particle,a)/n,ἄν,particle,tis,τις,pronoun,eu(/roi,εὑρίσκω,verb,par',παρά,preposition,au)tw=|,αὐτός,pronoun,tw=n,ὁ,article,sxhma/twn,σχῆμα,noun,prosw/pwn,πρόσωπον,noun,te,τε,particle,a)postrofai=s,ἀποστροφή,noun,kai\,καί,conjunction,xro/nwn,χρόνος,noun,e)nallagai=s,ἐναλλαγή,noun,kai\,καί,conjunction,tropikw=n,τροπικός,adjective,shmeiw/sewn,σημείωσις,noun,metaforai=s,μεταφορά,noun,e)chllagme/na,ἐξαλλάσσω,verb,kai\,καί,conjunction,soloikismw=n,σολοικισμός,noun,lamba/nonta,λαμβάνω,verb,fantasi/as,φαντασία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(po/sa,ὁπόσος,adjective,te,τε,particle,gi/netai,γίγνομαι,verb,pra/gmata,πρᾶγμα,noun,a)nti\,ἀντί,preposition,swma/twn,σῶμα,adjective,h)\,ἠέ,conjunction,sw/mata,σῶμα,adjective,a)nti\,ἀντί,preposition,pragma/twn,πρᾶγμα,noun,kai\,καί,conjunction,e)f',ἐπί,preposition,w(=n,ὅς,pronoun,e)nqumhma/twn,ἐνθύμημα,noun,te,τε,particle,kai\,καί,conjunction,nohma/twn,νόημα,noun,ai(,ὁ,article,metacu\,μεταξύ,adverb,paremptw/seis,παρέμπτωσις,noun,pollai\,πολύς,adjective,gino/menai,γίγνομαι,verb,dia\,διά,preposition,makrou=,μακρός,adjective,th\n,ὁ,article,a)kolouqi/an,ἀκολουθία,noun,komi/zontai,κομίζω,verb,ta/,τίς,pronoun,te,τε,particle,skolia\,σκολιός,adjective,kai\,καί,conjunction,polu/ploka,πολύπλοκος,adjective,kai\,καί,conjunction,dusece/likta,δυσεξέλικτος,adjective,kai\,καί,conjunction,ta\,ὁ,article,a)/lla,ἄλλος,adjective,ta\,ὁ,article,suggenh=,συγγενεύς,noun,tou/tois,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu(/roi,εὑρίσκω,verb,d',δέ,particle,a)/n,ἄν,particle,tis,τις,pronoun,ou)k,οὐ,adverb,o)li/ga,ὀλίγος,adjective,kai\,καί,conjunction,tw=n,ὁ,article,qeatrikw=n,θεατρικός,adjective,sxhma/twn,σχῆμα,noun,kei/mena,κεῖμαι,verb,par',παρά,preposition,au)tw=|,αὐτός,pronoun,ta\s,ὁ,article,parisw/seis,παρίσωσις,noun,le/gw,λέγω,verb,kai\,καί,conjunction,paromoiw/seis,παρομοιόω,verb,kai\,καί,conjunction,paronomasi/as,παρονομασία,noun,kai\,καί,conjunction,a)ntiqe/seis,ἀντίθεσις,noun,e)n,ἐν,preposition,ai(=s,ὅς,pronoun,e)pleo/nase,πλεονάζω,verb,*gorgi/as,Γοργίης,proper,o(,ὁ,article,*leonti=nos,,,kai\,καί,conjunction,oi(,ὁ,article,peri\,περί,preposition,*pw=lon,Πῶλος,proper,kai\,καί,conjunction,*liku/mnion,Λικύμνιον,proper,kai\,καί,conjunction,polloi\,πολύς,adjective,a)/lloi,ἄλλος,adjective,tw=n,ὁ,article,kat',κατά,preposition,au)to\n,αὐτός,pronoun,a)kmasa/ntwn,ἀκμάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kdhlo/tata,ἔκδηλος,adjective,de\,δέ,particle,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,xarakthrikw/tata/,,,e)sti,εἰμί,verb,to/,ὁ,article,te,τε,particle,peira=sqai,πειράω,verb,di',διά,preposition,e)laxi/stwn,ἐλάχιστος,adjective,o)noma/twn,ὄνομα,adjective,plei=sta,πλεῖστος,adjective,shmai/nein,σημαίνω,verb,pra/gmata,πρᾶγμα,noun,kai\,καί,conjunction,polla\,πολύς,adjective,suntiqe/nai,συντίθημι,verb,noh/mata,νόημα,noun,ei)s,εἰς,preposition,e(\n,εἷς,adjective,kai\,καί,conjunction,to\,ὁ,article,e)/ti,ἔτι,adverb,prosdexo/meno/n,προσδέχομαι,verb,ti,τις,pronoun,to\n,ὁ,article,a)kroath\n,ἀκροατής,noun,a)kou/sesqai,ἀκούω,verb,katalipei=n,καταλιμπάνω,verb,u(f',ὑπό,preposition,w(=n,ὅς,pronoun,a)safe\s,ἀσαφής,adverb,gi/netai,γίγνομαι,verb,to\,ὁ,article,braxu/,βραχύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(/na,ἵνα,conjunction,de\,δέ,particle,sunelw\n,συναιρέω,verb,ei)/pw,εἶπον,verb,te/ssara,τέσσαρες,noun,me/n,μέν,particle,e)stin,εἰμί,verb,w(/sper,ὥσπερ,adverb,o)/rgana,ὄργανον,noun,th=s,ὁ,article,*qoukudi/dou,Θουκυδίδης,proper,le/cews,λέξις,noun,to\,ὁ,article,poihtiko\n,ποιητικός,adjective,tw=n,ὁ,article,o)noma/twn,ὄνομα,adjective,to\,ὁ,article,polueide\s,πολυειδής,adverb,tw=n,ὁ,article,sxhma/twn,σχῆμα,noun,to\,ὁ,article,traxu\,τραχύς,adjective,th=s,ὁ,article,a(rmoni/as,ἁρμονία,noun,to\,ὁ,article,ta/xos,τάχος,adjective,th=s,ὁ,article,shmasi/as,σημασία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrw/mata,χρῶμα,noun,de\,δέ,particle,au)th=s,αὐτός,pronoun,to/,ὁ,article,te,τε,particle,strifno\n,στριφνός,adjective,kai\,καί,conjunction,to\,ὁ,article,pikro\n,πικρός,adjective,kai\,καί,conjunction,to\,ὁ,article,pukno\n,πυκνός,adjective,kai\,καί,conjunction,to\,ὁ,article,au)sthro\n,αὐστηρός,adjective,kai\,καί,conjunction,to\,ὁ,article,e)mbriqe\s,ἐμβριθής,adverb,kai\,καί,conjunction,to\,ὁ,article,deino\n,δεινός,adjective,kai\,καί,conjunction,fobero/n,φοβερός,adjective,u(pe\r,ὑπέρ,preposition,a(/panta,ἅπας,adjective,de\,δέ,particle,au)tou=,αὐτός,pronoun,tau=ta,οὗτος,pronoun,to\,ὁ,article,paqhtiko/n,παθητικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toioutosi\,τοιοῦτος,adjective,me\n,μέν,particle,dh\,δή,particle,ti/s,τίς,pronoun,e)stin,εἰμί,verb,o(,ὁ,article,*qoukudi/dhs,Θουκυδίδης,proper,kata\,κατά,preposition,to\n,ὁ,article,th=s,ὁ,article,le/cews,λέξις,noun,xarakth=ra,χαρακτήρ,noun,w(=|,ὅς,pronoun,para\,παρά,preposition,tou\s,ὁ,article,a)/llous,ἄλλος,adjective,dih/negken,διαφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*glwsshmatika\,γλωσσηματικός,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,kai\,καί,conjunction,a)phrxaiwme/na,ἀπαρχαιόομαι,verb,kai\,καί,conjunction,dusei/kasta,δυσείκαστος,adjective,toi=s,ὁ,article,polloi=s,πολύς,adjective,e)sti,εἰμί,verb,to/,ὁ,article,te,τε,particle,a)kraifne/s,ἀκραιφνής,adverb,kai\,καί,conjunction,o(,ὁ,article,e)pilogismo/s,ἐπιλογισμός,noun,kai\,καί,conjunction,h(,ὁ,article,periwph/,περιωπή,noun,kai\,καί,conjunction,h(,ὁ,article,a)nakwxh/,ἀνοκωχή,noun,kai\,καί,conjunction,ta\,ὁ,article,o(/moia,ὅμοιος,adjective,tou/tois,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poihtika\,ποιητικός,adjective,de\,δέ,particle,h(/,ὅς,pronoun,te,τε,particle,kwlu/mh,κωλύμη,adjective,kai\,καί,conjunction,h(,ὁ,article,pre/sbeusis,πρέσβευσις,noun,kai\,καί,conjunction,h(,ὁ,article,kataboh/,καταβοή,noun,kai\,καί,conjunction,h(,ὁ,article,a)xqhdw/n,ἀχθηδών,noun,kai\,καί,conjunction,h(,ὁ,article,dikai/wsis,δικαίωσις,noun,kai\,καί,conjunction,ta\,ὁ,article,paraplh/sia,παραπλήσιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,d',δέ,particle,e)n,ἐν,preposition,toi=s,ὁ,article,sxhmatismoi=s,σχηματισμός,noun,kaino/ths,καινότης,noun,te,τε,particle,kai\,καί,conjunction,polutropi/a,πολυτροπία,noun,kai\,καί,conjunction,h(,ὁ,article,e)callagh\,ἐξαλλαγή,noun,th=s,ὁ,article,sunh/qous,συνήθης,adverb,xrh/sews,χρῆσις,noun,e)n,ἐν,preposition,h(=|,ὅς,pronoun,ma/lista,μάλιστα,adverb,diafe/rein,διαφέρω,verb,au)to\n,αὐτός,pronoun,h(gou/meqa,ἁγέομαι,verb,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,e)pi\,ἐπί,preposition,tou/twn,οὗτος,pronoun,gi/gnetai,γίγνομαι,verb,tw=n,ὁ,article,e)/rgwn,ἔργον,noun,fanera/,φανερός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tan,ὅταν,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,mi/an,εἷς,adjective,le/cin,λέξις,noun,ei)/te,εἴτε,adverb,o)nomatikh\n,ὀνοματικός,adjective,ei)/te,εἴτε,adverb,r(hmatikh\n,ῥηματικός,adjective,e)n,ἐν,preposition,plei/osin,πλείων,verb,o)no/masin,ὄνομα,adjective,h)\,ἠέ,conjunction,r(h/masin,ῥῆμα,noun,e)kfe/rh|,ἐκφέρω,verb,perifra/zwn,περιφράζομαι,verb,th\n,ὁ,article,au)th\n,αὐτός,pronoun,no/hsin,νόησις,adjective,toiau/thn,τοιοῦτος,adjective,poiei=,ποιέω,verb,th\n,ὁ,article,le/cin,λέξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,ga\r,γάρ,particle,o(,ὁ,article,*qemistoklh=s,Θεμιστοκλέης,proper,bebaio/tata,βέβαιος,adjective,dh\,δή,particle,fu/sews,φύσις,noun,i)sxu\n,ἰσχύς,noun,dhlw/sas,δηλόω,verb,kai\,καί,conjunction,diafero/ntws,διαφερόντως,adverb,ti,τις,pronoun,e)s,εἰς,preposition,au)to\,αὐτός,pronoun,ma=llon,μᾶλλον,adverb,e(te/rou,ἕτερος,adjective,a)/cios,ἄξιος,adjective,qauma/sai,θαυμάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μείς,adjective,e)n,ἐν,preposition,tw=|,ὁ,article,e)pitafi/w|,ἐπιτάφιος,adjective,ge/grafen,γράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,au)=,αὖ,interjection,kata\,κατά,preposition,peni/an,πενία,noun,e)/xwn,ἔχω,verb,de/,δέ,particle,ti,τις,pronoun,a)gaqo\n,ἀγαθός,adjective,dra=sai,δράω,verb,th\n,ὁ,article,po/lin,πόλις,adjective,a)ciw/matos,ἀξίωμα,noun,a)fanei/a|,ἀφάνεια,noun,kekw/lutai,κωλύω,verb,kai\,καί,conjunction,ga\r,γάρ,particle,e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,to\,ὁ,article,su/ntomon,σύντομος,adjective,poiei=,ποιέω,verb,to\n,ὁ,article,lo/gon,λόγος,noun,toiou=ton,τοιοῦτος,adjective,w(s,ὡς,conjunction,e)pi\,ἐπί,preposition,tou=,ὁ,article,*lakedaimoni/ou,Λακεδαιμόνιος,proper,*brasi/da,Βρασίδης,proper,te/qhken,τίθημι,verb,o(/te,ὅτε,conjunction,maxo/menos,μάχομαι,verb,peri\,περί,preposition,*pu/lon,Πύλος,proper,a)po\,ἀπό,preposition,th=s,ὁ,article,new\s,ναός,noun,traumati/as,τραυματίας,noun,geno/menos,γίγνομαι,verb,e)ce/pesen,ἐκπίτνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peso/ntos,πίπτω,verb,de\,δέ,particle,au)tou=,αὐτός,pronoun,fhsi/n,φημί,verb,ei)s,εἰς,preposition,th\n,ὁ,article,pareceiresi/an,παρεξειρεσία,noun,h(,ὁ,article,a)spi\s,ἀσπίς,noun,perierru/h,περιρρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bou/letai,βούλομαι,verb,ga\r,γάρ,particle,dhlou=n,δηλόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peso/ntos,πίπτω,verb,de\,δέ,particle,au)tou=,αὐτός,pronoun,e)/cw,ἔξω,adverb,th=s,ὁ,article,new\s,ναός,noun,e)pi\,ἐπί,preposition,ta\,ὁ,article,proe/xonta,προέχω,verb,me/rh,μέρα,noun,th=s,ὁ,article,ei)resi/as,εἰρεσία,noun,e)n,ἐν,preposition,oi(=s,ὅς,pronoun,de\,δέ,particle,ta\,ὁ,article,r(hmatika\,ῥηματικός,adjective,mo/ria,μόριον,noun,th=s,ὁ,article,le/cews,λέξις,noun,o)nomatikw=s,ὀνοματικός,adjective,sxhmati/zei,σχηματίζω,verb,toiau/thn,τοιοῦτος,adjective,poiei=,ποιέω,verb,th\n,ὁ,article,fra/sin,φράσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/stin,εἰμί,verb,de\,δέ,particle,au)tw=|,αὐτός,pronoun,pro\s,πρός,preposition,*)aqhnai/ous,Ἀθήναιος,proper,o(,ὁ,article,*kori/nqios,Κορίνθιος,proper,e)n,ἐν,preposition,th=|,ὁ,article,prw/th|,πρότερος,adjective,bu/blw|,βύβλος,noun,ta/de,ὅδε,pronoun,le/gwn,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dikaiw/mata,δικαίωμα,noun,me\n,μέν,particle,ou)=n,οὖν,particle,ta/de,ὅδε,pronoun,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,e)/xomen,ἔχω,verb,parai/nesin,παραίω,verb,de\,δέ,particle,kai\,καί,conjunction,a)ci/wsin,ἀξίωσις,noun,xa/ritos,χάρις,noun,toia/nde,τοιόσδε,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,ga\r,γάρ,particle,parainei=n,παραινέω,verb,kai\,καί,conjunction,a)ciou=n,ἀξιόω,verb,r(h/mata,ῥῆμα,noun,o)/nta,εἰμί,verb,o)nomatika\,ὀνοματικός,adjective,ge/gonen,γίγνομαι,verb,parai/nesis,παραίω,verb,kai\,καί,conjunction,a)ci/wsis,ἀξίωσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau/ths,οὗτος,pronoun,e)sti\,εἰμί,verb,th=s,ὁ,article,i)de/as,ἰδέα,noun,h(/,ὅς,pronoun,te,τε,particle,ou)k,οὐ,adverb,a)potei/xisis,ἀποτείχισις,noun,tou=,ὁ,article,*plhmmuri/ou,,,h(,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,e(bdo/mh|,ἕβδομος,adjective,bu/blw|,βύβλος,noun,kai\,καί,conjunction,h(,ὁ,article,o)lo/fursis,ὀλόφυρσις,noun,h(\n,ὅς,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,prw/th|,πρότερος,adjective,bu/blw|,βύβλος,noun,te/qhken,τίθημι,verb,e)n,ἐν,preposition,dhmhgori/a|,δημηγορία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
