word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/32/lemma/@_entry,word/32/lemma/@_POS
kai\,καί,conjunction,pa=si,πᾶς,adjective,de\,δέ,particle,to\n,ὁ,article,*si/louion,,,e)pw/numon,ἐπώνυμος,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,de\,δέ,particle,*pro/ka|,,,du/o,δύο,adjective,e)gene/sqhn,γίγνομαι,verb,ui(oi/,υἱός,noun,presbu/teros,πρέσβυς,noun,me\n,μέν,particle,*neme/twr,νεμέτωρ,noun,new/teros,νέος,adjective,de\,δέ,particle,*)amou/lios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labo/ntos,λαμβάνω,verb,de\,δέ,particle,tou=,ὁ,article,presbute/rou,πρέσβυς,noun,para\,παρά,preposition,tou=,ὁ,article,patro\s,πατήρ,noun,teleutw=ntos,τελευτάω,verb,th\n,ὁ,article,a)rxh/n,ἀρχή,noun,o(,ὁ,article,new/teros,νέος,adjective,u(/brei,ὕβρις,noun,kai\,καί,conjunction,bi/a|,βία,adjective,kate/sxen,κατέχω,verb,a)felo/menos,ἀφαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\n,ὁ,article,me\n,μέν,particle,pai=da,παῖς,adjective,tou=,ὁ,article,a)delfou=,ἀδελφός,adjective,*)/egeston,,,ktei/nei,κτείνω,verb,th\n,ὁ,article,qugate/ra,θυγάτηρ,adjective,de\,δέ,particle,*(re/an,,,*siloui/an,,,i(e/reian,ἱέρεια,noun,i(/na,ἵνα,conjunction,a)/pais,ἄπαις,noun,diamei/nh|,διαμένω,verb,kaqi/sthsi,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,me/ntoi,μέντοι,particle,*neme/tora,νεμέτωρ,noun,th=s,ὁ,article,ei)s,εἰς,preposition,to\,ὁ,article,sw=ma,σῶμα,adjective,e)piboulh=s,ἐπιβουλή,noun,h(,ὁ,article,tw=n,ὁ,article,h)qw=n,ἦθος,adjective,e)cei=le,ἐξαιρέω,verb,prao/ths,πραότης,noun,kai\,καί,conjunction,h(,ὁ,article,pollh\,πολύς,adjective,e)piei/keia,ἐπιείκεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,h(,ὁ,article,*siloui/a,,,e)/kue,κύω,verb,para\,παρά,preposition,to\n,ὁ,article,no/mon,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th\n,ὁ,article,me\n,μέν,particle,*)amou/lios,,,e)pi\,ἐπί,preposition,kola/sei,κόλασις,noun,sunela/mbane,συλλαμβάνω,verb,du/o,δύο,adjective,de\,δέ,particle,pai=das,παῖς,adjective,e)k,ἐκ,preposition,th=sde,ὅδε,pronoun,genome/nous,γίγνομαι,verb,poime/sin,ποιμήν,noun,e)/dwken,δίδωμι,verb,ei)s,εἰς,preposition,to\n,ὁ,article,plhsi/on,πλησίος,adjective,potamo\n,ποταμός,noun,e)mbalei=n,ἐμβάλλω,verb,ta\,ὁ,article,bre/fh,βρέφος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*qu/bris,,,h)=n,εἰμί,verb,o)/noma,ὄνομα,adjective,tw=|,ὁ,article,potamw=|,ποταμός,noun,*(rw=mos,,,de\,δέ,particle,kai\,καί,conjunction,*(rwmu/los,,,oi(,ὁ,article,pai=des,παῖς,adjective,e)c,ἐκ,preposition,*ai)nei/ou,Αἰνείας,proper,e(/lkontes,ἕλκω,verb,mhtro/qen,μητρόθεν,adverb,to\,ὁ,article,ge/nos,γένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,ga\r,γάρ,particle,tou=,ὁ,article,fu/ntos,φύς,verb,a)/dhlon,ἄδηλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,me\n,μέν,particle,prw=tos,πρότερος,adjective,to/mos,τόμος,noun,tw=n,ὁ,article,e(pta\,ἑπτά,noun,basile/wn,βασίλη,noun,*(rwmu/lou,,,*nouma=,,,*pompili/ou,,,*)/agkou,,,*(ostili/ou,,,kai\,καί,conjunction,*)/agkou,,,e(te/rou,ἕτερος,adjective,tou=,ὁ,article,kai\,καί,conjunction,*marki/ou,Μάρκιος,proper,e)pigo/nou,ἐπίγονος,adjective,*nouma=,,,*tarkuni/ou,,,*seroui/ou,Σερούϊος,proper,*tulli/ou,Τύλλιος,proper,kai\,καί,conjunction,*tarkuni/ou,,,*leuki/ou,Λεύκιος,proper,tou=,ὁ,article,*tarkuni/ou,,,tou/twn,οὗτος,pronoun,tw=n,ὁ,article,e(pta\,ἑπτά,noun,e)/rga,ἔργον,noun,te,kai\,καί,conjunction,pra/ceis,πρᾶξις,adjective,perie/xei,περιέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τε,particle
w(=n,ὅς,pronoun,o(,ὁ,article,prw=tos,πρότερος,adjective,kti/sths,κτίστης,noun,te,τε,particle,*(rw/mhs,,,kai\,καί,conjunction,oi)kisth\s,οἰκιστής,noun,gegonw/s,γίγνομαι,verb,a)/rcas,ἄρχω,verb,te,τε,particle,patrikw=s,πατρικός,adjective,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,turannikw=s,τυραννικός,adjective,o(/mws,ὅμως,conjunction,e)sfa/gh,σφάζω,verb,h)\,ἠέ,conjunction,w(s,ὡς,conjunction,a)/lloi,ἄλλος,adjective,fasi/n,φημί,verb,h)fani/sqh,ἀφανίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,deu/teros,δεύτερος,adjective,ou)de\n,οὐδείς,pronoun,h(=tton,ἥσσων,adverb,bebasileukw/s,βασιλεύω,verb,ei),εἰ,conjunction,mh\,μή,conjunction,kai\,καί,conjunction,ma=llon,μᾶλλον,adverb,to\n,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,bi/on,βίος,adjective,e)teleu/thse,τελευτάω,verb,zh/sas,ζάω,verb,o(,ὁ,article,de\,δέ,particle,tri/tos,τρίτος,adjective,e)keraunw/qh,κεραυνόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no/sw|,νόσος,noun,de\,δέ,particle,to\n,ὁ,article,bi/on,βίος,adjective,o(,ὁ,article,te/tartos,τέταρτος,adjective,u(pech=lqen,ὑπεξέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,pe/mptos,πέμπτος,adjective,u(po\,ὑπό,preposition,poime/nwn,ποιμήν,noun,e)sfa/gh,σφάζω,verb,kai\,καί,conjunction,o(,ὁ,article,e(/ktos,ἕκτος,adjective,o(moi/ws,ὅμοιος,adjective,sfagh=|,σφαγεύς,noun,kate/streye,καταστρέφω,verb,to\n,ὁ,article,bi/on,βίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,e(/bdomos,ἕβδομος,adjective,kai\,καί,conjunction,th=s,ὁ,article,po/lews,πόλις,adjective,kai\,καί,conjunction,th=s,ὁ,article,basilei/as,βασιλεία,noun,paranomw=n,παρανομέω,verb,e)chla/qh,ἐξελαύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)c,ἐκ,preposition,ou(=,ἕ,pronoun,th=s,ὁ,article,basilei/as,βασιλεία,noun,kataluqei/shs,καταλύω,verb,ei)s,εἰς,preposition,tou\s,ὁ,article,u(pa/tous,ὕπατος,adjective,ta\,ὁ,article,th=s,ὁ,article,a)rxh=s,ἀρχή,noun,metete/qh,μετατίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,δέ,particle,to\n,ὁ,article,pate/ra,πατήρ,noun,fula/casa,φυλάσσω,verb,a)podhmou=nta,ἀποδημέω,verb,u(pisxnei=tai,ὑποσχέθω,verb,*tati/w|,,,prodw/sein,προδίδωμι,verb,to\,ὁ,article,frou/rion,φρούριον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keleu/santos,κελεύω,verb,de\,δέ,particle,*tati/ou,,,to\n,ὁ,article,xruso\n,χρυσός,noun,e)s,εἰς,preposition,th\n,ὁ,article,pai=da,παῖς,adjective,e)li/qazon,λιθάζω,verb,e)/ste,ἔστε,conjunction,titrwskome/nh,τιτρώσκω,verb,katexw/sqh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,to\n,ὁ,article,po/lemon,πόλεμος,noun,to\n,ὁ,article,pro\s,πρός,preposition,*(rwmu/lon,,,*tati/ou,,,ai(,ὁ,article,*(rwmai/wn,,,gunai=kes,γυνή,noun,kai\,καί,conjunction,*sabi/nwn,Σαβῖνος,proper,qugate/res,θυγάτηρ,adjective,dih/|,,,thsan,,,au)tai\,αὐτός,pronoun,tw=|,ὁ,article,xa/raki,χάραξ,noun,tw=n,ὁ,article,gone/wn,γονεύς,noun,proselqou=sai,προσέρχομαι,verb,xei=ra/s,χείρ,noun,te,τε,particle,protei/nousai,προτείνω,verb,kai\,καί,conjunction,bre/fh,βρέφος,noun,ta\,ὁ,article,h)/dh,ἤδη,adverb,sfi/sin,σφεῖς,pronoun,e)k,ἐκ,preposition,tw=n,ὁ,article,a)ndrw=n,ἀνήρ,noun,geno/mena,e)pideiknu/ousai,ἐπιδείκνυμι,verb,kai\,καί,conjunction,toi=s,ὁ,article,a)ndra/si,ἀνήρ,noun,marturou=sai,μαρτυρέω,verb,mhde\n,μηδείς,pronoun,u(bristiko\n,ὑβριστικός,adjective,e)s,εἰς,preposition,au)ta\s,αὐτός,pronoun,a(martei=n,ἁμαρτάνω,verb,,,,,,,,,,γίγνομαι,verb
e)de/onto/,δέομαι,verb,te,τε,particle,labei=n,λαμβάνω,verb,tina\,τις,pronoun,oi)=kton,οἶκτος,noun,tou\s,ὁ,article,*sabi/nous,Σαβῖνος,proper,sfw=n,σφεῖς,pronoun,te,τε,particle,au)tw=n,αὐτός,pronoun,kai\,καί,conjunction,khdestw=n,κηδεστής,adjective,kai\,καί,conjunction,e)kgo/nwn,κίκω,verb,kai\,καί,conjunction,qugate/rwn,θυγάτηρ,adjective,kai\,καί,conjunction,fei/sasqai,φείδομαι,verb,suggenou=s,συγγενής,adverb,kai\,καί,conjunction,miarou=,μιαρός,adjective,pole/mou,πόλεμος,noun,h)\,ἠέ,conjunction,prw/tas,πρότερος,adjective,a)nelei=n,ἀναιρέω,verb,ai(\,ὅς,pronoun,th\n,ὁ,article,ai)ti/an,αἰτία,noun,e)/xousi,ἔχω,verb,tou=,ὁ,article,pole/mou,πόλεμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
