word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS
ta\,ὁ,article,me\n,μέν,particle,a)rxai=a,ἀρχαῖος,adjective,*kourh/twn,κούρητες,noun,xoroi\,χορός,noun,kai\,καί,conjunction,trofai\,τροφή,noun,kai\,καί,conjunction,gene/seis,γένεσις,noun,qew=n,θέα,noun,kai\,καί,conjunction,*pe/lopes,Πέλοψ,proper,diabai/nontes,διαβαίνω,verb,e)nqe/nde,ἐνθένδε,adverb,kai\,καί,conjunction,*pelopo/nnhsos,Πελοπόννησος,proper,a)poiki/a,ἀποικία,noun,kai\,καί,conjunction,*qhseu\s,Θησεύς,proper,oi)kisth\s,tw=n,ὁ,article,u(po\,ὑπό,preposition,to\n,ὁ,article,*si/pulon,Σίπυλος,proper,to/pwn,τόπος,noun,kai\,καί,conjunction,*(omh/rou,Ὅμηρος,proper,gonai\,γονή,noun,kai\,καί,conjunction,a)gw=nes,ἀγών,noun,kai\,καί,conjunction,tro/paia,τρόπαιον,noun,kai\,καί,conjunction,ni=kai,νίκη,noun,οἰκιστής,noun,para\,παρά,preposition,toi=s,ὁ,article,a)/rxousi,ἄρχων,noun,kai\,καί,conjunction,dia\,διά,preposition,pa/ntwn,πᾶς,adjective,e)qnw=n,ἔθνος,adjective,kai\,καί,conjunction,logi/wn,λόγιον,noun,perihgh/seis,περιήγησις,noun,a)nagrafo/ntwn,ἀναγράφω,verb,kalli/sthn,καλός,noun,tw=n,ὁ,article,a(pasw=n,ἅπας,adjective
kai\,καί,conjunction,mh\n,μήν,particle,ta/,τίς,pronoun,ge,γε,particle,o(rw/mena,ὁράω,verb,krei/ttw,κρείσσων,verb,dihgh/sews,διήγησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prosio/nti,πρόσειμι,verb,me\n,μέν,particle,eu)qu\s,εὐθύς,adverb,a)straph\,ἀστραπή,noun,ka/llous,κάλλος,noun,kai\,καί,conjunction,megeqw=n,μέγεθος,adjective,a)riqmoi\,ἀριθμός,adjective,kai\,καί,conjunction,me/tra,μέτρον,noun,kai\,καί,conjunction,sta/seis,στάσις,adjective,w(/sper,ὥσπερ,adverb,a(rmoni/as,ἁρμονία,noun,mia=s,εἷς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/des,πούς,noun,me\n,μέν,particle,e)p',ἐπί,preposition,h)io/nwn,ἠιών,noun,kai\,καί,conjunction,lime/nwn,λιμήν,noun,kai\,καί,conjunction,a)lsw=n,ἄλσος,noun,e)reido/menoi,ἐρείδω,verb,meso/ths,μεσότης,noun,de\,δέ,particle,i)/son,ἴσος,adjective,tou=,ὁ,article,pedi/ou,πέδιον,noun,te,τε,particle,u(perai/rousa,ὑπεραίρω,verb,kai\,καί,conjunction,tw=n,ὁ,article,a)/nwqen,ἄνωθεν,adverb,a)polei/pousa,e)sxatia\,ἐσχατιά,noun,de\,δέ,particle,meshmbrinh\,μεσημβρινός,adjective,kata\,κατά,preposition,mikro\n,μικρός,adjective,u(youme/nh,ὑψόω,verb,di',διά,preposition,o(moi/ou,ὅμοιος,adjective,tou=,ὁ,article,panto\s,πᾶς,adjective,la/qra,λάθρῃ,adverb,lh/gousa,λήγω,verb,ei)s,εἰς,preposition,a)kro/polin,ἀκρόπολις,noun,ἀπολείπω,verb,skopia\n,σκοπιά,noun,th=s,ὁ,article,te,τε,particle,qala/tths,θάλασσα,noun,kai\,καί,conjunction,th=s,ὁ,article,po/lews,πόλις,adjective,e)/xousan,ἔχω,verb,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,ou)/te,οὔτε,adverb,lo/gw|,λόγος,noun,r(hto\n,ῥητός,adjective,ou)/te,οὔτε,adverb,o)/yei,ὁράω,verb,bebai/ws,βέβαιος,adjective,katalhpto\n,καταληπτός,adjective,a)ll',ἀλλά,adverb,e)kfeu=gon,ἐκφεύγω,verb,ou)k,οὐ,adverb,oi)=d',οἶδα,verb,o(/pws,ὅπως,conjunction,e)piqumi/an,ἐπιθυμία,noun,de\,δέ,particle,tou=,ὁ,article,sullabei=n,συλλαμβάνω,verb,au)to\,αὐτός,pronoun,parista\n,a)ei\,ἀεί,adverb,dh/,δή,particle,pote,ποτέ,particle,to\,ὁ,article,u(pe\r,ὑπέρ,preposition,pa/shs,πᾶς,adjective,th=s,ὁ,article,po/lews,πόλις,adjective,e(sthko\s,ἵστημι,verb,ga/nos,γάνος,adjective,,,,,,,,,,,,,παρίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,diafqei=ron,διαφθείρω,verb,ta\s,ὁ,article,o)/yeis,ὄψις,noun,w(s,ὡς,conjunction,e)/fh,φημί,verb,*sapfw\,Σαπφώ,proper,a)ll',ἀλλά,adverb,au)=con,αὐξάνω,verb,kai\,καί,conjunction,tre/fon,τρέφω,verb,kai\,καί,conjunction,a)/rdon,ἄρδω,verb,a(/ma,ἅμα,adverb,eu)qumi/a|,εὐθυμία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(akinqi/nw|,ὑακίνθινος,adjective,me\n,μέν,particle,a)/nqei,ἄνθος,adjective,ou)damw=s,οὐδαμός,adverb,o(/moion,ὅμοιος,adjective,a)ll',ἀλλά,adverb,oi(=on,οἷος,adjective,ou)de\n,οὐδείς,pronoun,pw/pote,πώποτε,adverb,gh=,γῆ,noun,kai\,καί,conjunction,h(/lios,ἥλιος,noun,a)nqrw/pois,ἄνθρωπος,noun,e)/fhnan,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/sper,ὥσπερ,adverb,de\,δέ,particle,a)/galma,ἄγαλμα,noun,a)kribw=s,ἀκριβῶς,adverb,pepoikilme/non,ποικίλλω,verb,pa/nth,πάντῃ,adverb,periio/nti,περίειμι,verb,qe/an,θέα,noun,e)/xei,ἔχω,verb,ou(/tw,οὕτως,adverb,soi,σύ,pronoun,th=|,ὁ,article,pro/teron,πρότερος,adjective,me\n,μέν,particle,w(raiota/th|,ὡραῖος,adjective,po/lewn,πόλις,adjective,nuni\,νυνί,adverb,d',δέ,particle,a)wri/an,ἀωρία,noun,perih=n,a)f',ἀπό,preposition,o(/tou,ὅστις,pronoun,tis,τις,pronoun,a)ei\,ἀεί,adverb,qewroi/h,θεωρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,περίειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,dh\,δή,particle,to\,ὁ,article,ka/lliston,καλός,noun,ei)=dos,εἶδος,noun,pare/stai,πάρειμι,verb,dokei=n,δοκέω,verb,tou=to,οὗτος,pronoun,me\n,μέν,particle,e)cai/fnhs,ἐξαίφνης,adverb,e)kfanh\s,ἐκφανής,adverb,e)ggignome/nh,ἐγγίγνομαι,verb,tou=to,οὗτος,pronoun,de\,δέ,particle,a)pantikru\,ἀπαντικρύ,adverb,gignome/nw|,γίγνομαι,verb,tou=to,οὗτος,pronoun,d',δέ,particle,e)k,ἐκ,preposition,proastei/wn,e)k,ἐκ,preposition,porqmw=n,πορθμός,noun,e)k,ἐκ,preposition,pela/gous,πέλαγος,noun,e)k,ἐκ,preposition,gh=s,γῆ,noun,e)k,ἐκ,preposition,qala/tths,θάλασσα,noun,,,,,,,,,,,,,,,,,,,προάστειον,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,me\n,μέν,particle,ta\,ὁ,article,pri\n,πρίν,adverb,e)ntuxei=n,ἐντυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunousi/ai,συνουσία,noun,de\,δέ,particle,o(/sai,ὅσος,adjective,kai\,καί,conjunction,o(mili/ai,ὁμιλία,noun,ti/na,τίς,pronoun,me\n,μέν,particle,ko/ron,κόρος,noun,e)/sxon,ἔχω,verb,a)nqrw/pois,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/ni,τίς,pronoun,de\,δέ,particle,a)/llh|,ἄλλος,adjective,po/lei,πόλις,adjective,para\,παρά,preposition,mikro\n,μικρός,adjective,e)lqei=n,ἔρχομαι,verb,a)pe/lipon,ἀπολείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,krh=nai,κρήνη,noun,kai\,καί,conjunction,qe/atra,θέατρον,noun,kai\,καί,conjunction,stenwpoi\,στενωπός,adjective,kai\,καί,conjunction,dro/moi,δρόμος,noun,kata/stegoi,κατάστεγος,adjective,kai\,καί,conjunction,u(/paiqroi,ὑπαίθριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,th=s,ὁ,article,u(perla/mprou,ὑπέρλαμπρος,adjective,sxh=ma,σχῆμα,noun,a)gora=s,ἀγορά,noun,w)=,ὦ,interjection,xrusou=,χρυσός,noun,te,τε,particle,e)pw/numoi,ἐπώνυμος,adjective,kai\,καί,conjunction,i(erw=n,ἱερά,noun,o(doi\,ὁδός,adjective,kaq',κατά,preposition,e(/kaston,ἕκαστος,adjective,plai/sion,πλαίσιον,noun,a)nt',ἀντί,preposition,a)gora=s,ἀγορά,noun,a(/pasai,ἅπας,adjective,w)=,ὦ,interjection,lime/nes,poqou=ntes,ποθέω,verb,ta\s,ὁ,article,th=s,ὁ,article,filta/ths,φίλτατος,adjective,po/lews,πόλις,adjective,a)gka/las,ἀγκάλη,noun,w)=,ὦ,interjection,ka/llh,κάλλος,noun,gumnasi/wn,γύμνασις,noun,a)mu/qhta,ἀμύθητος,adjective,w)=,ὦ,interjection,naw=n,ναός,noun,kai\,καί,conjunction,peribo/lwn,περίβολος,adjective,λιμήν,noun,xa/rites,χάρις,noun,poi=,ποι,adverb,pote,ποτέ,particle,gh=s,γῆ,noun,e)/dute,δύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,ko/smoi,κόσμος,noun,parali/as,παράλιος,adjective,w)=,ὦ,interjection,pa/nta,πᾶς,adjective,e)kei=na,ἐκεῖνος,pronoun,o)nei/rata,ὄνειρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi=ai,πόα,noun,phgai\,πηγή,noun,dakru/wn,δάκρυον,noun,i(kanai\,ἱκανός,adjective,tosou/tw|,τοσοῦτος,adjective,kakw=|,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi=ai,πόα,noun,sunauli/ai,συναυλία,noun,kai\,καί,conjunction,sunw|di/ai,συνῳδία,noun,xorw=n,χορός,noun,pa/ntwn,πᾶς,adjective,th\n,ὁ,article,kalli/xoron,καλλίχορος,adjective,kai\,καί,conjunction,poluu/mnhton,πολυύμνητος,adjective,kai\,καί,conjunction,tripo/qhton,τριπόθητος,adjective,a)nqrw/pois,ἄνθρωπος,noun,a)rke/sousin,ἀρκέω,verb,a)noimw=cai,ἀνοιμώζω,verb,po/lin,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,ptw=ma,πτῶμα,noun,th=s,ὁ,article,*)asi/as,Ἄσιος,proper,w)=,ὦ,interjection,loipai\,λοιπός,adjective,po/leis,πόλις,adjective,w)=,ὦ,interjection,pa=sa,πᾶς,adjective,me\n,μέν,particle,gh=,γῆ,noun,pa=sa,πᾶς,adjective,de\,δέ,particle,ei)/sw,εἴδομαι,verb,*gadei/rwn,Γάδειρα,proper,te,τε,particle,kai\,καί,conjunction,e)/cw,ἔξω,adverb,*gadei/rwn,Γάδειρα,proper,qa/latta,w)=,ὦ,interjection,ku/klos,κύκλος,noun,a)ste/rwn,ἀστήρ,noun,w)=,ὦ,interjection,pa/nta,πᾶς,adjective,e)forw=n,ἐφοράω,verb,h(/lie,ἥλιος,noun,oi(=on,οἷος,adjective,h)ne/sxou,ἀνέχω,verb,qe/ama,θέαμα,noun,o(rw=n,ὁράω,verb,,,,,,,,,,θάλασσα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,paidia\,παιδιή,noun,me\n,μέν,particle,*)ili/ou,Ἴλιον,proper,po/rqhsis,πόρθησις,noun,paidia\,παιδιή,noun,de\,δέ,particle,*)aqhnai/wn,Ἀθήναια,proper,e)n,ἐν,preposition,*sikeli/a|,Σικελία,proper,sumforai\,συμφορά,noun,kai\,καί,conjunction,kataskafai\,κατασκαφή,noun,*qhbw=n,Θῆβαι,proper,kai\,καί,conjunction,strateuma/twn,στράτευμα,adjective,o)/leqroi,ὄλεθρος,noun,kai\,καί,conjunction,po/lewn,πόλις,adjective,du/seis,kai\,καί,conjunction,pa/nq',πᾶς,adjective,o(/sa,ὅσος,adjective,pu=r,πῦρ,noun,kai\,καί,conjunction,po/lemoi,πόλεμος,noun,kai\,καί,conjunction,seismoi\,σεισμός,noun,me/xri,μέχρι,preposition,tou=de,ὅδε,pronoun,a)peirga/santo,ἀπεργάζομαι,verb,,,,,,,,,,δύσις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,pro/teron,πρότερος,adjective,me\n,μέν,particle,ka/llei,κάλλος,noun,kai\,καί,conjunction,mou/sais,Μοῦσα,proper,a(pa/sas,ἅπας,adjective,po/leis,πόλις,adjective,a)pokru/ptousa,ἀποκρύπτω,verb,nu=n,νῦν,adverb,d',δέ,particle,a)pokru/yasa,ἀποκρύπτω,verb,to\,ὁ,article,th=s,ὁ,article,*(ro/dou,,,ptw=ma,πτῶμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/melles,μέλλω,verb,a)/ra,ἄρα,particle,toi=s,ὁ,article,*(/ellhsin,Ἕλλην,proper,a(|desqai,,,deute/rwn,δεύτερος,adjective,sxetliwte/rwn,σχέτλιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
