word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/15/lemma/@_entry,word/15/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS
o(mou=,ὁμοῦ,adverb,de\,δέ,particle,*ka/dmou,Κάδμος,proper,paisi\n,παῖς,adjective,a)namemeigme/nai,ἀναμίγνυμι,verb,xlwrai=s,χλωρός,adjective,u(p',ὑπό,preposition,e)la/tais,ἐλάτης,noun,a)noro/fois,,,h(=ntai,ἧμαι,verb,pe/trais,πέτρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=,δέομαι,verb,ga\r,γάρ,particle,po/lin,πόλις,adjective,th/nd',ὅδε,pronoun,e)kmaqei=n,ἐκμανθάνω,verb,kei),εἰ,conjunction,mh\,μή,conjunction,qe/lei,ἐθέλω,verb,a)te/leston,ἀτέλεστος,adjective,ou)=san,εἰμί,verb,tw=n,ὁ,article,e)mw=n,ἐμός,adjective,bakxeuma/twn,Βάκχευμα,proper,*seme/lhs,Σεμέλη,proper,te,τε,particle,mhtro\s,a)pologh/sasqai/,ἀπολογέομαι,verb,μήτηρ,noun,m',ἐγώ,pronoun,u(/per,ὑπέρ,preposition,fane/nta,φαίνω,verb,qnhtoi=s,θνητός,adjective,dai/mon',δαίμων,adjective,o(\n,ὅς,pronoun,ti/ktei,τίκτω,verb,*dii/,Ζεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ka/dmos,Κάδμος,proper,me\n,μέν,particle,ou)=n,οὖν,particle,ge/ras,γέρας,adjective,te,τε,particle,kai\,καί,conjunction,turanni/da,τυραννίς,noun,*penqei=,Πενθεύς,proper,di/dwsi,δίδωμι,verb,qugatro\s,θυγάτηρ,adjective,e)kpefuko/ti,ἐκφύω,verb,o(\s,ὅς,pronoun,qeomaxei=,θεομαχέω,verb,ta\,ὁ,article,kat',κατά,preposition,e)me\,kai\,καί,conjunction,ἐγώ,pronoun,spondw=n,σπονδή,noun,a)/po,ἀπό,preposition,w)qei=,ὠθέω,verb,m',ἐγώ,pronoun,e)n,ἐν,preposition,eu)xai=s,εὐχή,noun,t',τε,particle,ou)damou=,οὐδαμός,adverb,mnei/an,μνεία,noun,e)/xei,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,ὅς,pronoun,ou(/nek',οὕνεκα,conjunction,au)tw=|,αὐτός,pronoun,qeo\s,θεός,noun,gegw\s,γίγνομαι,verb,e)ndei/comai,ἐνδείκνυμι,verb,pa=si/n,πᾶς,adjective,te,τε,particle,*qhbai/oisin,Θηβαῖος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,d',δέ,particle,a)/llhn,ἄλλος,adjective,xqo/na,χθών,noun,ta)nqe/nde,ἐνθένδε,adverb,qe/menos,τίθημι,verb,eu)=,εὖ,adverb,metasth/sw,μεθίστημι,verb,po/da,πούς,noun,deiknu\s,δείκνυμι,verb,e)mauto/n,ἐμαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,*qhbai/wn,Θηβαῖος,proper,po/lis,πόλις,adjective,o)rgh=|,ὀργή,noun,su\n,σύν,preposition,o(/plois,ὅπλον,noun,e)c,ἐκ,preposition,o)/rous,ὄρος,adjective,ba/kxas,Βακχάω,verb,a)/gein,ἄγω,verb,zhth=|,ζητέω,verb,cuna/yw,συνάπτω,verb,maina/si,μαινάς,noun,strathlatw=n,στρατηλάτης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,ὅς,pronoun,ou(/nek',οὕνεκα,conjunction,ei)=dos,εἶδος,noun,qnhto\n,θνητός,adjective,a)lla/cas,ἀλλάσσω,verb,e)/xw,ἔχω,verb,morfh/n,μορφή,noun,t',τε,particle,e)mh\n,ἐμός,adjective,mete/balon,μεταβάλλω,verb,ei)s,εἰς,preposition,a)ndro\s,ἀνήρ,noun,fu/sin,φύσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,w)=,ὦ,interjection,lipou=sai,λείπω,verb,*tmw=lon,Τμῶλος,proper,e)/ruma,ἔρυμα,noun,*ludi/as,Λύδιος,proper,qi/asos,θίασος,noun,e)mo/s,ἐμός,adjective,gunai=kes,γυνή,noun,a(\s,ὅς,pronoun,e)k,ἐκ,preposition,barba/rwn,βάρβαρος,adjective,e)ko/misa,κομίζω,verb,pare/drous,πάρεδρος,adjective,kai\,καί,conjunction,cunempo/rous,e)moi/,ἐμός,adjective,συνέμπορος,noun,ai)/resqe,αἴρω,verb,ta)pixw/ri',ἐπιχώριος,adjective,e)n,ἐν,preposition,po/lei,πόλις,adjective,*frugw=n,Φρύξ,proper,tu/mpana,τύμπανον,noun,*(re/as,,,te,τε,particle,mhtro\s,μήτηρ,noun,e)ma/,ἐμός,adjective,q',τε,particle,eu(rh/mata,εὕρημα,noun,basi/leia/,βασίλειον,noun,t',τε,particle,a)mfi\,ἀμφί,preposition,dw/mat',δῶμα,noun,e)lqou=sai,ἔρχομαι,verb,ta/de,ὅδε,pronoun,ktupei=te,κτυπέω,verb,*penqe/ws,Πενθεύς,proper,w(s,ὡς,conjunction,o(ra=|,ὁράω,verb,*ka/dmou,Κάδμος,proper,po/lis,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,ba/kxais,Βάκχη,proper,e)s,εἰς,preposition,*kiqairw=nos,Κιθαιρών,proper,ptuxa\s,πτυχή,noun,e)lqw\n,ἔρχομαι,verb,i(/n',ἵνα,conjunction,ei)si/,εἰμί,verb,summetasxh/sw,συμμετέχω,verb,xorw=n,χορός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)asi/as,Ἄσιος,proper,a)po\,ἀπό,preposition,ga=s,γῆ,noun,i(ero\n,ἱερόν,noun,*tmw=lon,Τμῶλος,proper,a)mei/yasa,ἀμείβω,verb,qoa/zw,θοάζω,verb,*bromi/w|,Βρόμιος,proper,po/non,πόνος,noun,h(du\n,ἡδύς,adjective,ka/mato/n,κάματος,noun,t',τε,particle,eu)ka/maton,εὐκάματος,adjective,*ba/kxion,Βάκχιος,proper,eu)azome/na,εὐάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,o(dw=|,ὁδός,adjective,ti/s,τίς,pronoun,o(dw=|,ὁδός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mela/qrois,μέλαθρον,noun,e)/ktopos,ἔκτοπος,adjective,e)/stw,εἰμί,verb,sto/ma,στόμα,noun,t',τε,particle,eu)/fhmon,εὔφημος,adjective,a(/pas,ἅπας,adjective,e)cosiou/sqw,ἐξοσιόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,nomisqe/nta,νομίζω,verb,ga\r,γάρ,particle,ai)ei\,ἀεί,adverb,*dio/nuson,Διόνυσος,proper,u(mnh/sw,ὑμνέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,ma/kar,μάκαρ,noun,o(/stis,ὅστις,pronoun,eu)dai/mwn,εὐδαίμων,adjective,teleta\s,τελετή,noun,qew=n,θέα,noun,ei)dw\s,οἶδα,verb,biota\n,βιοτή,noun,a(gisteu/ei,ἁγιστεύω,verb,kai\,καί,conjunction,qiaseu/etai,θιασεύω,verb,yuxa\n,ψυχή,noun,e)n,ἐν,preposition,o)/ressi,ὄρος,adjective,bakxeu/wn,Βακχεύω,verb,o(si/ois,kaqarmoi=sin,καθαρμός,noun,ὅσιος,adjective,ta/,τίς,pronoun,te,τε,particle,matro\s,μήτηρ,noun,mega/las,μέγας,adverb,o)/rgia,ὄργια,noun,*kube/las,Κύβελα,proper,qemiteu/wn,θεμιτεύω,verb,a)na\,ἀνά,preposition,qu/rson,θύρσος,noun,te,τε,particle,tina/sswn,τινάσσω,verb,kissw=|,κισσός,noun,te,τε,particle,stefanwqei\s,στεφανόω,verb,*dio/nuson,Διόνυσος,proper,qerapeu/ei,θεραπεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
