word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/4/lemma/@_entry,word/4/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/46/lemma/@_entry,word/46/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS
muhqh=nai,μυάω,verb,de\,δέ,particle,ce/nwn,ξένος,noun,prw/tous,πρότερος,adjective,*(hrakle/a,kai\,καί,conjunction,*dioskou/rous,Διόσκουροι,proper,a)gw=na/,ἀγών,noun,te,τε,particle,gumniko\n,γυμνικός,adjective,gene/sqai,γίγνομαι,verb,prw=ton,πρότερος,adjective,*)eleusi=ni,Ἐλευσίς,proper,th=s,ὁ,article,*)attikh=s,Ἀττικός,adjective,kai\,καί,conjunction,to\,ὁ,article,a)=qlon,ἆθλον,noun,ei)=nai,εἰμί,verb,Ἡράκλεα,proper,tou=,ὁ,article,karpou=,καρπός,noun,tou=,ὁ,article,fanqe/ntos,φαίνω,verb,peirwme/nwn,πειράω,verb,tw=n,ὁ,article,a)nqrw/pwn,ἄνθρωπος,noun,o(/son,ὅσος,adjective,ei)s,εἰς,preposition,i)sxu\n,ἰσχύς,noun,e)k,ἐκ,preposition,th=s,ὁ,article,h(me/rou,ἥμερος,adjective,trofh=s,τροφεύς,noun,e)pe/dosan,ἐπιδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)pa/gein,ἀπάγω,verb,de\,δέ,particle,kai\,καί,conjunction,tou\s,ὁ,article,*(/ellhnas,a)parxa\s,ἀπαρχή,noun,tw=n,ὁ,article,karpw=n,καρπός,noun,e(ka/stote,ἑκάστοτε,adverb,*)aqh/naze,Ἀθήναζε,adverb,w(s,ὡς,conjunction,mhtropo/lei,μητρόπολις,adjective,sfw=n,σφεῖς,pronoun,te,τε,particle,au)tw=n,αὐτός,pronoun,kai\,καί,conjunction,tw=n,ὁ,article,karpw=n,καρπός,noun,tw=n,ὁ,article,Ἕλλην,proper,*)aqhnai/wn,Ἀθήναια,proper,th=|,ὁ,article,po/lei,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*eu)molpi/dai,Εὐμολπίδαι,proper,de\,δέ,particle,kai\,καί,conjunction,*kh/rukes,Κήρυξ,proper,ei)s,*poseidw=,Ποσειδῶν,proper,te,τε,particle,kai\,καί,conjunction,*(ermh=n,Ἑρμῆς,proper,a)nafe/rontes,ἀναφέρω,verb,oi(,ὁ,article,me\n,μέν,particle,i(erofa/ntas,ἱεροφάντης,noun,oi(,ὁ,article,de\,δέ,particle,da|dou/xous,δᾳδοῦχος,noun,parei/xonto,παρέχω,verb,,,,,,,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ta\,ὁ,article,me\n,μέν,particle,ei)s,εἰς,preposition,mu/qous,a)nh/konta,ἀνήκω,verb,toiau=ta,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μῦθος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,d',δέ,particle,u(/steron,ὕστερος,adjective,*(hrakleidw=n,Ἡράκλειδαι,proper,ei)s,*pelopo/nnhson,Πελοπόννησος,proper,katelqo/ntwn,κατέρχομαι,verb,kai\,καί,conjunction,xro/nou,χρόνος,noun,diagenome/nou,διαγίγνομαι,verb,*dwriei=s,Δωρίζω,verb,e)p',ἐπί,preposition,*)aqh/nas,Ἀθήνευς,proper,e)stra/teuon,στρατεύω,verb,,,,,,,,,,,,,,,,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,*)eleusi=ni,Ἐλευσίς,proper,gi/gnontai,γίγνομαι,verb,kataisxunqe/ntes,ei)/te,εἴτε,adverb,kai\,καί,conjunction,dei/santes,δείδω,verb,xrh\,χρή,verb,le/gein,λέγω,verb,a)pio/ntes,ἄπειμι,verb,w)/|xonto,οἴχομαι,verb,th\n,ὁ,article,au)th/n,αὐτός,pronoun,,,,,,,,,,,,,,,,καταισχύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,d',δέ,particle,e)kei/nwn,ἐκεῖνος,pronoun,to/te,τότε,adverb,ki/nhsis,*)iwni/an,Ἰώνιος,proper,oi)ki/zei,οἰκίζω,verb,par',παρά,preposition,h(mi=n,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κίνησις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genome/nou,γίγνομαι,verb,de\,δέ,particle,tou=,ὁ,article,*mhdikou=,Μηδικός,adjective,sto/lou,kai\,καί,conjunction,megi/stwn,μέγας,adverb,dh\,δή,particle,pragma/twn,πρᾶγμα,noun,kai\,καί,conjunction,kindu/nwn,κίνδυνος,noun,ou),οὐ,adverb,mo/non,μόνος,adjective,th\n,ὁ,article,*(ella/da,Ἑλλάς,proper,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,pa=n,πᾶς,adjective,o(/son,ὅσος,adjective,στόλος,noun,e)/cw,ἔξω,adverb,th=s,ὁ,article,*persikh=s,Περσικός,adjective,a)rxh=s,ἀρχή,noun,h)=n,εἰμί,verb,katasxo/ntwn,κατέχω,verb,polla\,πολύς,adjective,me\n,μέν,particle,tw=n,ὁ,article,e)n,ἐν,preposition,toi=s,ὁ,article,*(/ellhsin,Ἕλλην,proper,i(erw=n,ἱερά,noun,e)mpi/mpratai,ἐμπίμπρημι,verb,kai\,καί,conjunction,pro/s,πρός,preposition,ge,γε,particle,h(,ὁ,article,korufh\,κορυφή,noun,th=s,ὁ,article,*(ella/dos,Ἑλλάς,proper,h(,ὁ,article,tw=n,ὁ,article,*)aqhnai/wn,Ἀθήναια,proper,po/lis,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=|,ὁ,article,d',δέ,particle,*)eleusi=ni,Ἐλευσίς,proper,tosou=ton,τοσοῦτος,adjective,perih=n,w(/st',ὥστε,conjunction,ou)k,οὐ,adverb,a)po/rqhtos,ἀπόρθητος,adjective,mo/non,μόνος,adjective,w(s,ὡς,conjunction,ei)pei=n,εἶπον,verb,diege/neto,διαγίγνομαι,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,suniou/shs,σύνειμι,verb,th=s,ὁ,article,naumaxi/as,ναυμαχία,noun,e)cefoi/ta,ἐκφοιτάω,verb,me\n,μέν,particle,περίειμι,verb,o(,ὁ,article,*)/iakxos,Ἴακχος,proper,sunnaumaxh/swn,συνναυμαχέω,verb,ne/fos,νέφος,noun,de\,δέ,particle,o(rmhqe\n,ὁρμάω,verb,a)p',ἀπό,preposition,*)eleusi=nos,Ἐλευσίς,proper,kai\,καί,conjunction,u(ywqe\n,ὑψόω,verb,u(pe\r,ὑπέρ,preposition,tw=n,ὁ,article,new=n,ναός,noun,e)gkate/skhyen,ἐγκατασκήπτω,verb,ei)s,εἰς,preposition,ta\s,ὁ,article,tw=n,ὁ,article,barba/rwn,βάρβαρος,adjective,nau=s,ναῦς,noun,a(/ma,ἅμα,adverb,tw=|,ὁ,article,me/lei,μέλω,verb,tw=|,ὁ,article,mustikw=|,μυστικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ce/rchs,Ξέρξης,proper,d',δέ,particle,e)kplagei\s,ἐκπλάσσω,verb,e)/feuge,φεύγω,verb,kai\,ta\,ὁ,article,*mh/dwn,Μήδων,proper,pra/gmat',πρᾶγμα,noun,a)pw/lluto,ἀπόλλυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pole/mou,πόλεμος,noun,de\,δέ,particle,sumba/ntos,συμβαίνω,verb,toi=s,ὁ,article,*(/ellhsi,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,pollou=,πολύς,adjective,kai\,καί,conjunction,pa/ntwn,πᾶς,adjective,a)/nw,ἄνω,adverb,kai\,καί,conjunction,ka/tw,κάτος,adjective,genome/nwn,γίγνομαι,verb,mo/nh,μόνος,adjective,dh\,δή,particle,tro/pon,τρόπος,noun,ge/,γε,particle,tina,τις,pronoun,Ἕλλην,proper,*)eleusi\s,Ἐλευσίς,proper,h)re/mei,ἠρεμέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou)/te,οὔτε,adverb,*boiwtw=n,Βοιωτός,proper,i(/ppos,ἵππος,noun,ou)/te,*lakedaimoni/wn,Λακεδαιμόνιος,proper,kai\,καί,conjunction,*peloponnhsi/wn,Πελοποννήσιοι,proper,ei)sbolai\,εἰσβολή,noun,ou),οὐ,adverb,tou=,ὁ,article,peribo/lou,περίβολος,adjective,prosh/yanto,προσάπτω,verb,ou),οὐ,adverb,to\n,ὁ,article,new\n,ναός,noun,ei)=don,εἶδον,verb,e(te/rois,ἕτερος,adjective,h)\,ἠέ,conjunction,οὔτε,adverb,prosh=ken,προσήκω,verb,o)fqalmoi=s,ὀφθαλμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*sfodri/ou,Σφοδρίας,proper,toi/nun,τοίνυν,particle,u(/steron,ὕστερος,adjective,o(rmhqe/ntos,ὁρμάω,verb,e)k,*qhbw=n,Θῆβαι,proper,h)/rkesan,ἀρκέω,verb,ai(,ὁ,article,da=|des,δαίς,adjective,fanei=sai,φαίνω,verb,katasbe/sai,κατασβέννυμι,verb,th\n,ὁ,article,to/lman,τόλμα,noun,,,,,,,,,,,,,,,,,,,ἐκ,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
