word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/20/lemma/@_entry,word/20/lemma/@_POS
kai\,καί,conjunction,tiqe/meqa,τίθημι,verb,sunqh/kas,συνθήκη,noun,e)n,ἐν,preposition,ai(=s,ὅς,pronoun,h(/,ὅς,pronoun,te,τε,particle,mi/sqwsis,μίσθωσις,noun,h)=n,εἰμί,verb,gegramme/nh,γράφω,verb,kai\,καί,conjunction,lu/sis,λύσις,noun,tou/tw|,οὗτος,pronoun,par',παρά,preposition,h(mw=n,ἐγώ,pronoun,e)/n,ἐν,preposition,tini,τις,pronoun,r(htw=|,ῥητός,adjective,xro/nw|,χρόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
praxqe/ntwn,πράσσω,verb,de\,δέ,particle,tou/twn,οὗτος,pronoun,e)lafhboliw=nos,ἐλαφηβολιών,adjective,mhno\s,μείς,adjective,e)pi\,ἐπί,preposition,*qeofi/lou,Θεόφιλος,proper,a)/rxontos,ἄρχω,verb,e)gw\,ἐγώ,pronoun,me\n,μέν,particle,e)kple/wn,ἔκπλεος,adjective,ei)s,εἰς,preposition,to\n,ὁ,article,*po/nton,Πόντος,proper,eu)qu\s,εὐθύς,adverb,w)|xo/mhn,οἴχομαι,verb,ou(=tos,οὗτος,pronoun,d',δέ,particle,e)nqa/d',ἐνθάδε,adverb,h)=n,εἰμί,verb,kai\,*eu)/ergos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction
ta\,ὁ,article,me\n,μέν,particle,dh\,δή,particle,praxqe/nta,πράσσω,verb,tou/tois,οὗτος,pronoun,pro\s,πρός,preposition,au(tou/s,ἑαυτοῦ,pronoun,e(/ws,ἕως,conjunction,a)pedh/moun,ἀποδημέω,verb,e)gw/,ἐγώ,pronoun,ou)k,οὐ,adverb,a)\n,ἄν,particle,e)/xoim',ἔχω,verb,ei)pei=n,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,ga\r,γάρ,particle,tau)ta\,ταυτός,adjective,le/gousin,λέγω,verb,ou)/t',οὔτε,adverb,a)ei\,ἀεί,adverb,tau)/q',ταυτός,adjective,ou(=to/s,οὗτος,pronoun,ge,γε,particle,a)lla\,ἀλλά,adverb,tote\,τοτέ,adverb,me\n,μέν,particle,e)kpesei=n,ἐκπίτνω,verb,u(p',ὑπό,preposition,e)kei/nou,ἐκεῖνος,pronoun,bi/a|,βία,adjective,para\,παρά,preposition,ta\s,ὁ,article,sunqh/kas,συνθήκη,noun,e)k,ἐκ,preposition,th=s,misqw/sews,μίσθωσις,noun,tote\,τοτέ,adverb,d',δέ,particle,au)to\n,αὐτός,pronoun,ai)/tion,αἴτιος,adjective,au(tw=|,ἑαυτοῦ,pronoun,pro\s,πρός,preposition,to\,ὁ,article,dhmo/sion,δημόσιος,adjective,gene/sqai,γίγνομαι,verb,th=s,ὁ,article,e)ggrafh=s,ἐγγραφεύς,noun,tote\,τοτέ,adverb,d',δέ,particle,a)/ll',ἄλλος,adjective,o(/,ὅς,pronoun,ti,τις,pronoun,a)\n,ἄν,particle,bou/lhtai,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article
e)kei=nos,ἐκεῖνος,pronoun,d',δέ,particle,a(plw=s,ἁπλῶς,adverb,ou)/te,οὔτε,adverb,tou\s,ὁ,article,to/kous,τόκος,noun,a)polamba/nwn,ἀπολαμβάνω,verb,ou)/te,οὔτε,adverb,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,tw=n,ὁ,article,e)n,ἐν,preposition,tai=s,ὁ,article,sunqh/kais,συνθήκη,noun,poiou=ntos,ποιέω,verb,ou)de\n,οὐδείς,pronoun,tou/tou,οὗτος,pronoun,e)lqw\n,ἔρχομαι,verb,par',παρά,preposition,e(ko/ntos,ἑκών,adjective,tou/tou,labw\n,λαμβάνω,verb,e)/xein,ἔχω,verb,ta\,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun
meta\,μετά,preposition,de\,δέ,particle,tau=t',οὗτος,pronoun,a)pelqo/nta,ἀπέρχομαι,verb,tou=ton,οὗτος,pronoun,h(/kein,ἥκω,verb,tou\s,ὁ,article,a)mfisbhth/sontas,ἀμφισβητέω,verb,a)/gonta,ἄγω,verb,au)to\s,αὐτός,pronoun,d',δέ,particle,ou)x,οὐ,adverb,u(pecelqei=n,ὑπεξέρχομαι,verb,e)kei/nois,ἐκεῖνος,pronoun,tou=ton,οὗτος,pronoun,d',δέ,particle,ou)xi\,οὐ,adverb,kwlu/ein,κωλύω,verb,e)/xein,ἔχω,verb,o(/saper,ὅσος,adjective,e)misqw/sato,ei),εἰ,conjunction,poioi/h,ποιέω,verb,ta\,ὁ,article,sugkei/mena,σύγκειμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μισθόω,verb
tou/twn,οὗτος,pronoun,me\n,μέν,particle,dh\,δή,particle,toiou/tous,τοιοῦτος,adjective,a)kou/w,ἀκούω,verb,lo/gous,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kei=no,ἐκεῖνος,pronoun,d',δέ,particle,oi)=d',οἶδα,verb,o(/ti,ὅστις,pronoun,ei),εἰ,conjunction,me\n,μέν,particle,ou(=tos,οὗτος,pronoun,a)lhqh=,ἀληθής,adjective,le/gei,λέγω,verb,kai\,καί,conjunction,deina\,δεινός,adjective,pe/ponqen,πάσχω,verb,w(/sper,ὥσπερ,adverb,fhsi/n,φημί,verb,u(po\,ὑπό,preposition,tou=,ὁ,article,*eu)e/rgou,,,e)/xei,ἔχω,verb,di/khn,δίκη,adjective,h(=s,ὅς,pronoun,e)timh/sat',au)to/s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τιμάω,verb
ei(=len,αἱρέω,verb,ga\r,γάρ,particle,ei)selqw\n,εἰσέρχομαι,verb,au)to\n,αὐτός,pronoun,w(s,ὡς,conjunction,u(ma=s,σύ,pronoun,kai\,καί,conjunction,ou),οὐ,adverb,dh/pou,δήπου,particle,tw=n,ὁ,article,au)tw=n,αὐτός,pronoun,para/,παρά,preposition,te,τε,particle,tou=,ὁ,article,pepoihko/tos,ποιέω,verb,di/kaio/s,δίκαιος,adjective,e)stin,εἰμί,verb,di/khn,δίκη,adjective,labei=n,λαμβάνω,verb,kai\,καί,conjunction,par',e)mou=,ἐγώ,pronoun,tou=,ὁ,article,mhd',μηδέ,particle,e)pidhmou=ntos,ἐπιδημέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,παρά,preposition
ei),εἰ,conjunction,d',δέ,particle,o(,ὁ,article,*eu)/ergos,,,a)lhqh=,ἀληθής,adjective,le/gei,λέγω,verb,sesukofa/nthtai,συκοφαντέω,verb,me\n,μέν,particle,w(s,ὡς,conjunction,e)/oiken,ἔοικα,verb,e)kei=nos,ἐκεῖνος,pronoun,e)gw\,ἐγώ,pronoun,d',δέ,particle,ou)d',οὐδέ,particle,ou(/tws,οὕτως,adverb,tw=n,ὁ,article,au)tw=n,αὐτός,pronoun,feu/goim',φεύγω,verb,a)\n,ἄν,particle,di/khn,δίκη,adjective,ei)ko/tws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐοικότως,adverb
w(s,ὡς,conjunction,ou)=n,οὖν,particle,tau=ta,οὗτος,pronoun,prw=ton,πρότερος,adjective,a)lhqh=,ἀληθής,adjective,le/gw,λέγω,verb,tou/twn,οὗτος,pronoun,tou\s,ὁ,article,ma/rturas,μάρτυς,noun,u(mi=n,σύ,pronoun,pare/comai,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,me\n,μέν,particle,toi/nun,τοίνυν,particle,kai\,καί,conjunction,prath\r,πρατήρ,noun,h)=n,εἰμί,verb,h(mi=n,ἐγώ,pronoun,tw=n,ὁ,article,kthma/twn,κτῆμα,noun,o(/sper,ὅς,pronoun,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,au)to\s,αὐτός,pronoun,e)w/nhto,ὠνέομαι,verb,kai\,καί,conjunction,kata\,κατά,preposition,ta\s,ὁ,article,sunqh/kas,συνθήκη,noun,ou(=tos,οὗτος,pronoun,e)misqw/saq',μισθόω,verb,h(me/teron,o)\n,εἰμί,verb,to\,ὁ,article,e)rgasth/rion,ἐργαστήριον,noun,kai\,καί,conjunction,ta)ndra/poda,ἀνδράποδον,noun,kai\,καί,conjunction,ou)/te,οὔτε,adverb,parh=n,πάρειμι,verb,e)gw\,ἐγώ,pronoun,toi=s,ὁ,article,meta\,μετά,preposition,tau=ta,οὗτος,pronoun,pro\s,πρός,preposition,*eu)/ergon,,,tou/tw|,οὗτος,pronoun,praxqei=sin,πράσσω,verb,ou)/t',οὔτε,adverb,e)pedh/moun,ἐπιδημέω,verb,o(/lws,ὅλος,adjective,e)/laxe/n,λαγχάνω,verb,te,τε,particle,di/khn,δίκη,adjective,e)kei/nw|,ἐκεῖνος,pronoun,kai\,καί,conjunction,ou)de\n,οὐδείς,pronoun,pw/poq',πώποτε,adverb,h(mi=n,ἐγώ,pronoun,e)neka/lei,ἐγκαλέω,verb,a)kou/ete,ἀκούω,verb,tw=n,ὁ,article,martu/rwn,μάρτυρος,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἡμέτερος,adjective
e)peidh\,ἐπεί,conjunction,toi/nun,τοίνυν,particle,a)fiko/mhn,ἀφικνέομαι,verb,sxedo/n,σχεδόν,adverb,ti,τις,pronoun,pa/nt',πᾶς,adjective,a)polwlekw\s,ἀπόλλυμι,verb,o(/s',ὅσος,adjective,e)/xwn,ἔχω,verb,e)ce/pleusa,ἐκπλέω,verb,a)kou/sas,ἀκέω,verb,kai\,καί,conjunction,katalabw\n,καταλαμβάνω,verb,tou=ton,οὗτος,pronoun,me\n,μέν,particle,a)festhko/ta,ἀφίστημι,verb,to\n,ὁ,article,d',δέ,particle,*eu)/ergon,,,e)/xonta,ἔχω,verb,kai\,kratou=nq',κρατέω,verb,w(=n,ὅς,pronoun,e)wnh/meqa,ὠνέομαι,verb,qaumastw=s,θαυμαστός,adjective,w(s,ὡς,conjunction,e)luph/qhn,λυπέω,verb,o(rw=n,ὁράω,verb,to\,ὁ,article,pra=gma/,πρᾶγμα,noun,moi,ἐγώ,pronoun,periesthko\s,περιίστημι,verb,ei)s,εἰς,preposition,a)/topon,ἄτοπος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction
h)\,ἠέ,conjunction,ga\r,γάρ,particle,koinwnei=n,κοινωνέω,verb,e)/dei,δέω,verb,th=s,ὁ,article,e)rgasi/as,ἐργασία,noun,kai\,καί,conjunction,tw=n,ὁ,article,e)pimeleiw=n,ἐπιμέλεια,noun,tw=|,ὁ,article,*eu)e/rgw|,,,h)\,ἠέ,conjunction,xrh/sthn,χρήστης,adjective,a)nti\,ἀντί,preposition,tou/tou,οὗτος,pronoun,to\n,ὁ,article,*eu)/ergon,,,e)/xein,ἔχω,verb,kai\,καί,conjunction,pro\s,πρός,preposition,e)kei=non,pa/lin,πάλιν,adverb,mi/sqwsin,μίσθωσις,noun,gra/fein,γράφω,verb,kai\,καί,conjunction,sumbo/laion,συμβόλαιον,noun,poiei=sqai,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκεῖνος,pronoun
tou/twn,οὗτος,pronoun,d',δέ,particle,ou)de/teron,οὐδέτερος,adjective,proh|rou/mhn,προαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)hdw=s,ἀηδής,adjective,d',δέ,particle,e)/xwn,ἔχω,verb,oi(=s,ὅς,pronoun,le/gw,λέγω,verb,tou/tois,οὗτος,pronoun,i)dw\n,εἶδον,verb,to\n,ὁ,article,*mnhsikle/a,Μνησικλῆς,proper,to\n,ὁ,article,prath=ra,πρατήρ,noun,tou/twn,οὗτος,pronoun,h(mi=n,ἐγώ,pronoun,gegenhme/non,γίγνομαι,verb,proselqw\n,προσέρχομαι,verb,e)memfo/mhn,μέμφομαι,verb,au)tw=|,αὐτός,pronoun,le/gwn,λέγω,verb,oi(=on,οἷος,adjective,a)/nqrwpon,ἄνθρωπος,noun,prou)ce/nhse/,moi,ἐγώ,pronoun,kai\,καί,conjunction,tou\s,ὁ,article,a)mfisbhtou=ntas,ἀμφισβητέω,verb,kai\,καί,conjunction,ti/,τίς,pronoun,tau=t',οὗτος,pronoun,e)sti\n,εἰμί,verb,h)rw/twn,ἐρωτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκνέω,verb
a)kou/sas,ἀκέω,verb,d',δέ,particle,e)kei=nos,ἐκεῖνος,pronoun,tw=n,ὁ,article,me\n,μέν,particle,a)mfisbhtou/ntwn,ἀμφισβητέω,verb,katege/la,καταγελάω,verb,sunelqei=n,συνέρχομαι,verb,d',δέ,particle,e)/fh,φημί,verb,tou/tous,οὗτος,pronoun,bou/lesqai,βούλομαι,verb,pro\s,πρός,preposition,h(ma=s,ἐγώ,pronoun,kai\,καί,conjunction,suna/cein,συνάγνυμι,verb,au)to\s,αὐτός,pronoun,h(ma=s,ἐγώ,pronoun,kai\,καί,conjunction,paraine/sein,παραινέω,verb,tou/tw|,pa/nta,πᾶς,adjective,poiei=n,ποιέω,verb,ta\,ὁ,article,di/kai',δικαία,noun,e)moi/,ἐγώ,pronoun,kai\,καί,conjunction,oi)/esqai,οἴομαι,verb,pei/sein,πείθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun
w(s,ὡς,conjunction,de\,δέ,particle,sunh/lqomen,συνέρχομαι,verb,ta\,ὁ,article,me\n,μέν,particle,polla\,πολύς,adjective,ti/,τίς,pronoun,dei=,δέομαι,verb,le/gein,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(=kon,ἥκω,verb,d',δέ,particle,oi(,ἕ,pronoun,dedaneike/nai,δανείζω,verb,fa/skontes,φάσκω,verb,tou/tw|,οὗτος,pronoun,e)pi\,ἐπί,preposition,tw=|,ὁ,article,e)rgasthri/w|,ἐργαστήριον,noun,kai\,καί,conjunction,toi=s,ὁ,article,a)ndrapo/dois,ἀνδράποδον,noun,a(\,ὅς,pronoun,h(mei=s,ἐγώ,pronoun,e)pria/meqa,πρίαμαι,verb,para\,παρά,preposition,*mnhsikle/ous,Μνησικλῆς,proper,kai\,καί,conjunction,ou)de\n,οὐδείς,pronoun,h)=n,εἰμί,verb,a(plou=n,ou)d',οὐδέ,particle,u(gie\s,ὑγιής,adverb,tou/twn,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἁπλόος,adjective
