word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/48/lemma/@_entry,word/48/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS
oi(,ὁ,article,me\n,μέν,particle,o(mw=s,ὁμῶς,adverb,pole/es,πολύς,adjective,te,τε,particle,kai\,καί,conjunction,a)/lludis,ἄλλυδις,adverb,a)/lloi,ἄλλος,adjective,e)o/ntes,εἰμί,verb,ou)ranw=|,οὐρανός,noun,e(/lkontai,ἕλκω,verb,pa/nt',πᾶς,adjective,h)/mata,ἦμαρ,noun,sunexe\s,συνεχής,adverb,ai)ei/,ἀεί,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ta\r,ἀτάρ,particle,o(/,ὅς,pronoun,g',γε,particle,ou)d',οὐδέ,particle,o)li/gon,ὀλίγος,adjective,metani/ssetai,μετανίσσομαι,verb,a)lla\,ἀλλά,adverb,ma/l',μάλα,adverb,au(/tws,αὔτως,adverb,a)/cwn,ἄξος,noun,ai)e\n,ἀεί,adverb,a)/rhren,ἀραρίσκω,verb,e)/xei,ἔχω,verb,d',δέ,particle,a)ta/lanton,ἀτάλαντος,adjective,a(pa/nth,ἐπάντης,adjective,messhgu\s,μεσηγύ,adverb,gai=an,γαῖα,noun,peri\,περί,preposition,d',δέ,particle,ou)rano\n,οὐρανός,noun,au)to\n,αὐτός,pronoun,a)ginei=,ἀγινέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,min,μιν,pronoun,peirai/nousi,πειραίνω,verb,du/w,δύο,adjective,po/loi,πόλος,noun,a)mfote/rwqen,ἀμφοτέρωθεν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,o(,ὁ,article,me\n,μέν,particle,ou)k,οὐ,adverb,e)pi/optos,ἐπίοπτος,adjective,o(,ὁ,article,d',δέ,particle,a)nti/os,ἀντίος,adjective,e)k,ἐκ,preposition,bore/ao,,,u(yo/qen,ὑψόθεν,adverb,w)keanoi=o,Ὠκεανός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
du/s,δύω,verb,de/,δέ,particle,min,μιν,pronoun,a)mfi\s,ἀμφίς,adverb,e)/xousai,ἔχω,verb,a(/ma,ἅμα,adverb,troxo/wsi,τροχάζω,verb,to\,ὁ,article,dh\,δή,particle,kale/ontai,καλέω,verb,ai(,ὁ,article,d',δέ,particle,h)/toi,ἤτοι,particle,kefala\s,κεφαλή,noun,me\n,μέν,particle,e)p',ἐπί,preposition,i)cu/as,ἰξύα,noun,ai)e/n,ἀεί,adverb,e)/xousin,ἔχω,verb,a)llh/lwn,ἀλλήλων,pronoun,ai)ei\,ἀεί,adverb,de/,δέ,particle,katwma/diai,κατωμάδιος,adjective,fore/ontai,φορέω,verb,e)/mpalin,ἔμπαλιν,adverb,ei)s,εἰς,preposition,w)/mous,ὦμος,noun,tetramme/nai,τρέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,e)teo\n,ἐτεός,adverb,dh/,δή,particle,*krh/thqen,Κρήτηθεν,adverb,kei=nai/,ἐκεῖνος,pronoun,ge,γε,particle,*dio\s,Ζεύς,proper,mega/lou,μέγας,adverb,i)o/thti,ἰότης,adjective,ou)rano\n,οὐρανός,noun,ei)sane/bhsan,εἰσαναβαίνω,verb,o(/,ὅς,pronoun,min,μιν,pronoun,to/te,τότε,adverb,kouri/zonta,κουρίζω,verb,*di/ktw|,δίκτον,noun,e)n,ἐν,preposition,eu)w/dei,εὐώδης,adverb,o)/reos,ὄρος,adjective,sxedo\n,σχεδόν,adverb,*)idai/oio,Ἰδαῖος,proper,a)/ntrw|,ἄντρον,noun,e)gkate/qento,ἐγκατατίθεμαι,verb,kai\,καί,conjunction,e)/trefon,τρέφω,verb,ei)s,εἰς,preposition,e)niauto/n,ἐνιαυτός,noun,*diktai=oi,Δικταῖος,proper,*kou/rhtes,κούρητες,noun,o(/te,ὅτε,conjunction,*kro/non,Κρόνος,proper,e)yeu/donto,ψεύδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th\n,ὁ,article,me\n,μέν,particle,e)pi/klhsin,ἐπίκλησις,noun,kale/ousin,καλέω,verb,th\n,ὁ,article,d',δέ,particle,e(te/rhn,ἕτερος,adjective,*(eli/kh|,Ἑλίκη,proper,ge,γε,particle,me\n,μέν,particle,a)/ndres,ἀνήρ,noun,*)axaioi\,Ἀχαιός,proper,ei)n,ἐν,preposition,a(li\,ἁλίς,noun,tekmai/rontai,τεκμαίρομαι,verb,i(/na,ἵνα,conjunction,xrh\,χρή,verb,nh=as,ναῦς,noun,a)ginei=n,ἀγινέω,verb,th=|,ὁ,article,d',δέ,particle,a)/ra,ἄρα,particle,*foi/nikes,Φοῖνιξ,proper,pi/sunoi,πίσυνος,adjective,pero/wsi,περάω,verb,qa/lassan,θάλασσα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,h(,ὁ,article,me\n,μέν,particle,kaqarh\,καθαρός,adjective,kai\,καί,conjunction,e)pifra/ssasqai,ἐπιφράζω,verb,e(toi/mh,ἑτοῖμος,adjective,pollh\,πολύς,adjective,fainome/nh,φαίνω,verb,*(eli/kh,Ἑλίκη,proper,prw/ths,πρότερος,adjective,a)po\,ἀπό,preposition,nukto/s,νύξ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,d',δέ,particle,e(te/rh,ἕτερος,adjective,o)li/gh,ὀλίγος,adjective,me/n,μέν,particle,a)ta\r,ἀτάρ,particle,nau/th|sin,ναύτης,noun,a)rei/wn,ἄρειος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meiote/rh|,μειότερος,adjective,ga\r,γάρ,particle,pa=sa,πᾶς,adjective,peristre/fetai,περιστρέφω,verb,strofa/liggi,στροφάλιγξ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=|,ὁ,article,kai\,καί,conjunction,*sido/nioi,Σιδόνιος,proper,i)qu/ntata,ἰθύντατα,adverb,nauti/llontai,ναυτίλλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\s,ὁ,article,de/,δέ,particle,di',διά,preposition,a)mfote/ras,ἀμφότερος,adjective,oi(/h,οἷος,adjective,potamoi=o,ποταμός,noun,a)porrw/c,ἀπορρώξ,noun,ei)lei=tai,εἴλω,verb,me/ga,μέγας,adverb,qau=ma,θαῦμα,noun,peri/,περί,preposition,t',τε,particle,a)mfi/,ἀμφί,preposition,t',τε,particle,e)agw/s,ἄγνυμι,verb,muri/os,μυρίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,d',δέ,particle,a)/ra,ἄρος,adjective,oi(,ὁ,article,spei/rhs,σπεῖρα,noun,e(ka/terqe,ἑκάτερθε,adverb,fe/rontai,φέρω,verb,a)/rktoi,ἄρκτος,noun,kuane/ou,κυάνεος,adjective,pefulagme/nai,φυλάσσω,verb,w)keanoi=o,Ὠκεανός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
