word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS
tou=to,οὗτος,pronoun,d',δέ,particle,o(/sois,ὅσος,adjective,tw=n,ὁ,article,qesmoqetw=n,θεσμοθέτης,noun,ei)s,εἰς,preposition,*)/areion,ἄρειος,adjective,pa/gon,πάγος,adjective,ou)x,οὐ,adverb,oi(=o/n,οἷος,adjective,t',τε,particle,e)sti\n,εἰμί,verb,a)nelqei=n,ἀνέρχομαι,verb,pare/ntes,παρίημι,verb,to\,ὁ,article,bia/zesqai,βιάζω,verb,ste/rgousin,στέργω,verb,tai=s,ὁ,article,u(mete/rais,ὑμέτερος,adjective,gnw/sesi,γνῶσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou=t',οὗτος,pronoun,ei)ko/tws,ἐοικότως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/sper,ὥσπερ,adverb,ga/r,γάρ,particle,o(/tan,ὅταν,conjunction,a)/rxwsi,ἄρχω,verb,tou\s,ὁ,article,i)diw/tas,ἰδιώτης,noun,oi)/ontai,οἴομαι,verb,dei=n,δέω,verb,au(toi=s,ἑαυτοῦ,pronoun,peiqarxei=n,πειθαρχέω,verb,w(sau/tws,ὡσαύτως,adverb,o(/tan,ὅταν,conjunction,au)toi\,αὐτός,pronoun,i)diw=tai,ἰδιώτης,noun,ge/nwntai,γίγνομαι,verb,pa/lin,πάλιν,adverb,toi=s,ὁ,article,th=s,ὁ,article,po/lews,πόλις,adjective,a)/rxousi,ἄρχω,verb,no/mois,νόμος,noun,dikai/ws,δίκαιος,adjective,a)\n,ἄν,particle,a)kolouqoi=en,ἀκολουθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,toi/nun,τοίνυν,particle,oi(,ἕ,pronoun,politeuo/menoi,πολιτεύω,verb,pa/ntes,πᾶς,adjective,e)k,ἐκ,preposition,tw=n,ὁ,article,palaiw=n,παλαιός,adjective,ei),εἰ,conjunction,bou/lesq',βούλομαι,verb,a)rca/menoi,ἄρχω,verb,xro/nwn,χρόνος,noun,qewrei=n,θεωρέω,verb,w(sau/tws,ὡσαύτως,adverb,fai/nontai,φαίνω,verb,ei)/kontes,εἴκω,verb,toi=s,ὁ,article,u(mete/rois,ὑμέτερος,adjective,dikai/ois,δίκαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)aristei/dhn,Ἀριστείδης,proper,me/n,μέν,particle,ge/,γε,particle,fasin,φημί,verb,u(po\,ὑπό,preposition,tw=n,ὁ,article,progo/nwn,πρόγονος,adjective,metastaqe/nt',μεθίστημι,verb,e)n,ἐν,preposition,*ai)gi/nh|,Αἴγινα,proper,diatri/bein,διατρίβω,verb,e(/ws,ἕως,conjunction,o(,ὁ,article,dh=mos,δῆμος,noun,au)to\n,αὐτός,pronoun,katede/cato,καταδέχομαι,verb,*miltia/dhn,Μιλτιάδης,proper,de\,δέ,particle,kai\,καί,conjunction,*perikle/a,Περικλέης,proper,o)flo/ntas,ὀφλισκάνω,verb,to\n,ὁ,article,me\n,μέν,particle,tria/konta,τριάκοντα,noun,to\n,ὁ,article,de\,δέ,particle,penth/konta,πεντήκοντα,verb,ta/lanta,τάλαντον,noun,e)ktei/santas,ἐκτίνω,verb,ou(/tw,οὕτως,adverb,dhmhgorei=n,δημηγορέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,kai\,καί,conjunction,deino/taton,δεινός,adjective,a)\n,ἄν,particle,ei)/h,ἀίω,verb,sumbai=non,συμβαίνω,verb,tou\s,ὁ,article,me\n,μέν,particle,polla\,πολύς,adjective,kai\,καί,conjunction,mega/la,μέγας,adverb,poih/santas,ποιέω,verb,u(ma=s,σύ,pronoun,a)gaqa\,ἀγαθός,adjective,mh\,μή,conjunction,tuxei=n,τυγχάνω,verb,tau/ths,οὗτος,pronoun,th=s,ὁ,article,dwreia=s,δωρειά,noun,w(/ste,ὥστε,conjunction,para\,παρά,preposition,tou\s,ὁ,article,no/mous,νόμος,noun,ti,τις,pronoun,tou\s,ὁ,article,keime/nous,κεῖμαι,verb,u(mi=n,σύ,pronoun,pra=cai,πράσσω,verb,to\n,ὁ,article,de\,δέ,particle,mhde\n,μηδείς,pronoun,me\n,μέν,particle,a)gaqo\n,ἀγαθός,adjective,ei)rgasme/non,ἐργάζομαι,verb,u(perplhqh=,ὑπερπληθής,adjective,d',δέ,particle,e)chmarthko/ta,ἐξαμαρτάνω,verb,tou=ton,οὗτος,pronoun,ou(/tw,οὕτως,adverb,proxei/rws,πρόχειρος,adjective,fai/nesqai,φαίνω,verb,kai\,καί,conjunction,para\,παρά,preposition,to\,ὁ,article,sumfe/ron,συμφέρω,verb,kai\,καί,conjunction,to\,ὁ,article,di/kaion,δίκαιος,adjective,e)cousi/an,ἐξουσία,noun,par',παρά,preposition,u(mw=n,σύ,pronoun,tou=,ὁ,article,paranomei=n,παρανομέω,verb,ei)lhfo/ta,λαμβάνω,verb,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ti/,τίς,pronoun,dei=,δέομαι,verb,le/gein,λέγω,verb,peri\,περί,preposition,tw=n,ὁ,article,palaiw=n,παλαιός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,tou\s,ὁ,article,e)f',ἐπί,preposition,u(mw=n,σύ,pronoun,au)tw=n,αὐτός,pronoun,a)nalogi/sasqe,ἀναλογίζομαι,verb,ei)/,εἰ,conjunction,tis,τις,pronoun,ou(/tws,οὕτως,adverb,a)naidh\s,ἀναιδής,adjective,ge/gonen,γίγνομαι,verb,pw/pote,πώποτε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de/na,οὐδείς,pronoun,ga\r,γάρ,particle,a)\n,ἄν,particle,eu(/roite,εὑρίσκω,verb,ei),εἰ,conjunction,boulh/sesq',βούλομαι,verb,a)kribw=s,ἀκριβῶς,adverb,e)ceta/zein,ἐξετάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xwri\s,χωρίς,adverb,toi/nun,τοίνυν,particle,tou/twn,οὗτος,pronoun,o(/tan,ὅταν,conjunction,tis,τις,pronoun,yhfi/smatos,ψήφισμα,noun,h)\,ἠέ,conjunction,no/mou,νόμος,noun,grafh\n,γραφή,noun,a)pene/gkh|,ἀποφέρω,verb,pro\s,πρός,preposition,tou\s,ὁ,article,qesmoqe/tas,θεσμοθέτης,noun,o(,ὁ,article,me\n,μέν,particle,no/mos,νόμος,noun,h)\,ἠέ,conjunction,to\,ὁ,article,yh/fism',ψήφισμα,noun,a)/kuro/n,ἄκυρος,adjective,e)stin,εἰμί,verb,o(,ὁ,article,de\,δέ,particle,qei\s,τίθημι,verb,h)\,ἠέ,conjunction,gra/yas,γράφω,verb,ou)de\n,οὐδείς,pronoun,a)naisxuntei=,ἀναισχυντέω,verb,biazo/menos,βιάζω,verb,a)ll',ἀλλά,adverb,o(/,ὅς,pronoun,ti,τις,pronoun,a)\n,ἄν,particle,u(mei=s,σύ,pronoun,yhfi/shsqe,ψηφίζομαι,verb,tou/tw|,οὗτος,pronoun,e)mme/nei,ἐμμένω,verb,ka)\n,κἀν,conjunction,h)=|,εἰμί,verb,prw=tos,πρότερος,adjective,tw=|,ὁ,article,du/nasqai,δύναμαι,verb,le/gein,λέγω,verb,h)\,ἠέ,conjunction,pra/ttein,πράσσω,verb,e)n,ἐν,preposition,u(mi=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
